,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-31 21:44:03, It's dropping January now,0,1,0,0,0,0,0.033204462,0.91381234,0.05298319,Neg,-0.8806079,hmeisler
2,2018-03-31 15:23:02, Money talks.,0,0,0,3,0,3,0.02479458,0.056995805,0.9182096,Neu,-0.032201223,hmeisler
3,2018-03-31 15:10:03,Just checked my spam box & saw this. Not sure how I would have gotten on this list :)  ,1,0,1,1,0,4,0.030280912,0.065569945,0.9041491,Neu,-0.035289034,hmeisler
4,2018-03-31 14:59:00, many other sentiment indicators are not at extremes the way they might normally be but i am not a fan of rydex since i simply think it doesn't much matter anymore. just IMHO,0,1,1,1,0,1,0.037552096,0.061283085,0.9011648,Neu,-0.02373099,hmeisler
5,2018-03-31 14:48:05, this is what happens in Banana Republics. Does Congress even give a crap?,0,1,0,0,0,2,0.027296698,0.18683404,0.78586924,Neu,-0.15953735,hmeisler
6,2018-03-31 14:29:05, Here's my issue with this. How much is Rydex still used? With the advent of ETFs and their enormous growth I'm not so sure this is still a great tell.,1,1,0,1,0,0,0.096970536,0.04507889,0.85795057,Neu,0.051891647,hmeisler
7,2018-03-31 14:28:03,  ROFL I have been waiting for months. To no avail.,1,1,0,0,0,0,0.058338605,0.27053678,0.67112464,Neu,-0.21219817,hmeisler
8,2018-03-31 14:27:03,  smalls doing better than bigs.,0,1,0,1,0,1,0.9404115,0.020877367,0.038711123,Pos,0.91953415,hmeisler
9,2018-03-31 14:13:03,  yes,0,0,0,0,0,0,0.10770593,0.03593013,0.85636395,Neu,0.071775794,hmeisler
10,2018-03-31 14:05:01,  divide one by the other,0,0,0,0,0,0,0.029166596,0.024883557,0.9459499,Neu,0.004283039,hmeisler
11,2018-03-31 14:03:00,This is for  (Yes sometimes I take requests!!)  IWM:QQQ  ,0,1,0,4,2,8,0.034595296,0.029326575,0.93607813,Neu,0.005268721,hmeisler
12,2018-03-31 13:32:00, I think we have called them reluctant in the past :),1,1,0,0,1,0,0.054772437,0.11109436,0.8341332,Neu,-0.056321926,hmeisler
13,2018-03-31 13:31:03," it can be interpreted anyway you would like it to be. I say nothing like price to change sentiment. bulls at highs, not so much anymore.",1,1,1,0,0,0,0.05900537,0.028434094,0.9125606,Neu,0.030571274,hmeisler
14,2018-03-31 13:18:04,Market Vane Bulls lowest since 2016 election (57)  ,0,0,0,4,20,38,0.011233529,0.95573735,0.03302913,Neg,-0.94450384,hmeisler
15,2018-03-31 13:15:00,The Citi Panic/Euphoria Model worked just as it said it should.  ,1,0,1,2,19,59,0.19786647,0.021352578,0.7807809,Neu,0.1765139,hmeisler
16,2018-03-31 13:13:05,Barrons on the Pot Stocks  ,0,0,0,1,0,12,0.1664799,0.14625293,0.6872672,Neu,0.02022697,hmeisler
17,2018-03-31 13:11:05,Insider Ratio. Not one spike since September.  ,0,0,0,2,11,22,0.077309676,0.13472705,0.7879633,Neu,-0.05741737,hmeisler
18,2018-03-30 22:07:03,  1987 had plenty of other issues. one indicator on its own does not tell the whole story.,1,1,0,1,0,2,0.024693782,0.12949981,0.8458064,Neu,-0.10480603,hmeisler
19,2018-03-30 22:06:00, a) thank you. b) not overbought is how I would now term it,1,1,1,1,0,2,0.08844101,0.014706687,0.8968524,Neu,0.07373432,hmeisler
20,2018-03-30 22:05:01, yes but a much shorter time frame so the implications are not the same for the big trend,0,1,0,0,0,0,0.043500096,0.039620787,0.9168791,Neu,0.0038793087,hmeisler
22,2018-03-30 16:14:01, OMG. Hah. that's great.,0,1,0,0,0,1,0.7119295,0.014441664,0.27362883,Pos,0.69748783,hmeisler
23,2018-03-30 16:13:04," No, they meant NOW.",0,1,0,1,0,0,0.05621299,0.08529305,0.858494,Neu,-0.029080056,hmeisler
24,2018-03-30 16:12:05, You are stronger than I could ever hope to be!,0,1,1,0,0,0,0.48372945,0.022757586,0.49351296,Neu,0.46097186,hmeisler
25,2018-03-30 13:04:05, Excellent!,0,0,0,1,0,1,0.74595875,0.028790439,0.22525087,Pos,0.71716833,hmeisler
26,2018-03-30 13:04:00,    Oh sorry. I don't know.,0,1,0,0,0,0,0.04832916,0.26438418,0.68728673,Neu,-0.21605502,hmeisler
27,2018-03-30 13:03:04, Sure is. Send pencils!,0,1,0,0,0,1,0.05974879,0.028666021,0.9115853,Neu,0.03108277,hmeisler
28,2018-03-30 13:02:03, Look at the bright side. At least you don't need to add a symbol too.,0,1,0,0,0,1,0.08111373,0.020087492,0.8987988,Neu,0.06102624,hmeisler
29,2018-03-30 12:59:01,  And yet...,0,0,0,0,0,1,0.09139284,0.0722688,0.8363384,Neu,0.019124039,hmeisler
30,2018-03-30 12:58:00, *Not in my lifetime!,0,0,0,0,0,0,0.07535897,0.066835165,0.85780585,Neu,0.008523807,hmeisler
31,2018-03-30 12:57:00, Right. Don't let facts get in the way of a good story.,0,1,0,1,0,0,0.04950491,0.054258205,0.8962369,Neu,-0.0047532953,hmeisler
32,2018-03-30 12:56:01, gaining valuable sentiment tells!,0,1,0,0,0,1,0.3583469,0.016300043,0.62535304,Neu,0.34204686,hmeisler
33,2018-03-29 22:57:03, I hear you. I just wish they would shut up and speak about what they know and not make it up because folks who don't know charts would look and wonder what am i missing,0,1,1,1,0,1,0.027566481,0.37868252,0.593751,Neu,-0.35111603,hmeisler
34,2018-03-29 22:55:05, I am lazy :),0,1,0,0,0,0,0.032887224,0.46977246,0.49734023,Neu,-0.43688524,hmeisler
35,2018-03-29 22:55:00, at least you get it!,0,1,0,0,0,0,0.34936854,0.021222979,0.6294085,Neu,0.32814556,hmeisler
36,2018-03-29 22:54:04," even at that they weren't. AMZN did not take out yesterday's high and TSLA did.  As I said, not the same. They should stop making stuff up",1,1,1,2,0,2,0.056348577,0.0735678,0.8700837,Neu,-0.017219223,hmeisler
38,2018-03-29 22:36:04,AMZN  ,0,0,0,11,8,15,0.0447205,0.032114945,0.92316455,Neu,0.012605555,hmeisler
39,2018-03-29 22:28:05, but delish!,0,0,0,0,0,0,0.1302683,0.05685352,0.81287813,Neu,0.07341479,hmeisler
40,2018-03-29 22:28:03, He is not on so I don't know.,0,1,0,0,0,0,0.03596416,0.18871924,0.7753166,Neu,-0.15275508,hmeisler
41,2018-03-29 22:28:00, I missed the beginning. did he explain what/how he gets FV?,1,1,0,1,0,0,0.03736292,0.068742186,0.89389485,Neu,-0.031379268,hmeisler
42,2018-03-29 22:19:01, then say that. don't say they have the same chart. two different things. makes a mockery out of chart reading which clearly they have zero skills at.,1,1,0,0,0,0,0.023003636,0.67459285,0.30240345,Neg,-0.6515892,hmeisler
