,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-01 17:19:05,Happy Easter!  ,0,0,0,2,6,46,0.07512795,0.06802022,0.85685176,Neu,0.0071077347,keithmccullough
1,2018-03-29 17:43:05,"""Today's US economic data is at the purgatorial nexus of cognitive dissonance."" -Dr. Drake  ",0,1,0,2,1,5,0.049684595,0.19283491,0.75748044,Neu,-0.14315031,keithmccullough
2,2018-03-29 17:42:03,"Technically illegal, yes  ",0,0,0,1,0,3,0.03337996,0.055181064,0.91143894,Neu,-0.021801103,keithmccullough
3,2018-03-29 16:01:04,The Macro Show (FREE): A Hedge Fund Manager's Playbook for the Next Bear Market   via ,0,0,0,0,4,10,0.04760258,0.019685658,0.9327117,Neu,0.027916921,keithmccullough
4,2018-03-29 14:52:05,"As the data changes, we do  ",0,1,0,4,2,9,0.026796276,0.033775795,0.939428,Neu,-0.0069795195,keithmccullough
5,2018-03-29 14:51:04,We currently have the lowest GDP forecast on Wall Street (after being the highest for 5 straight quarters) for Q1 of 2018,0,1,0,1,3,10,0.008140538,0.96968466,0.02217482,Neg,-0.9615441,keithmccullough
6,2018-03-29 14:50:00,NASDAQ (currently a new Bearish TREND  goes red on the day - $AMZN smoked,1,1,0,2,0,2,0.076345645,0.39352462,0.53012973,Neu,-0.31717896,keithmccullough
7,2018-03-29 14:48:04,Both the US Consumption report and the Chicago PMI print of 57.4 beg a simple question - is the peak for the US cycle in?,0,1,0,1,5,11,0.052867897,0.08526333,0.86186874,Neu,-0.03239543,keithmccullough
8,2018-03-29 14:37:04,"China: Castles Made of Sand, Fall In the Sea, Eventually   via ",0,0,0,0,2,4,0.019156463,0.20736308,0.7734805,Neu,-0.18820661,keithmccullough
9,2018-03-29 14:37:00,"Cheers, thanks  ",0,0,0,0,1,2,0.6555549,0.028807873,0.31563726,Pos,0.626747,keithmccullough
11,2018-03-29 14:33:05,$TSLA $254,0,0,0,1,1,4,0.054284964,0.028701289,0.91701376,Neu,0.025583675,keithmccullough
12,2018-03-29 14:00:02,The Macro Show LIVE  starts now  ,0,1,0,0,0,0,0.032575484,0.034870353,0.9325541,Neu,-0.0022948682,keithmccullough
13,2018-03-29 13:51:04,"In today's Early Look ""Tremendous Impact"" I preview our Q2 Global Macro Themes presentation",0,1,0,1,0,2,0.06560701,0.019501349,0.9148916,Neu,0.04610566,keithmccullough
14,2018-03-29 13:49:04,“A few things work fantastically well and have tremendous impact.” -Richard Koch,0,1,0,0,0,0,0.29805744,0.009130015,0.69281256,Neu,0.28892744,keithmccullough
15,2018-03-29 11:47:03,Tesla $TSLA &gt; Stormy Weather in Longville ...    via ,0,0,0,1,6,16,0.073910944,0.32695997,0.59912914,Neu,-0.25304902,keithmccullough
16,2018-03-29 11:45:03,BITCOIN: remains Bearish TREND  - Old Wall Media crickets on this decline this week  ,0,1,0,2,1,3,0.021946745,0.9630472,0.015006039,Neg,-0.9411005,keithmccullough
17,2018-03-29 11:40:04,Swiss 10yr Yield falls to -0.02% as European Inflation data continues to slow from its cycle peak,0,1,0,0,3,4,0.01011167,0.9698663,0.020022063,Neg,-0.9597546,keithmccullough
19,2018-03-29 11:34:03,GOLD: doesn't like Dollar Up days  ,0,1,0,1,2,4,0.09182829,0.2646577,0.64351404,Neu,-0.17282942,keithmccullough
20,2018-03-29 11:28:00,GERMANY: +1.0% on the bounce for the DAX to lower-highs on decelerating volume   No change to our EuropeSlowing call,0,1,0,1,0,3,0.12210251,0.6011254,0.27677208,Neg,-0.47902292,keithmccullough
21,2018-03-29 11:24:03,AUSTRALIA: no bounce - stocks down another -0.5% overnight and -4.1% in the last month,0,0,0,0,1,2,0.008562806,0.9720167,0.0194205,Neg,-0.9634539,keithmccullough
22,2018-03-29 11:19:05,"HONG KONG: only +0.2% on the ""bounce"" also remains Bearish TREND  HangSeng",0,1,0,0,1,2,0.0920569,0.83468664,0.07325644,Neg,-0.74262977,keithmccullough
23,2018-03-29 11:17:02,JAPAN: NIkkei +0.6% on the bounce but remains Bearish TREND ,0,1,0,1,1,2,0.62663543,0.32546705,0.047897544,Pos,0.30116838,keithmccullough
24,2018-03-29 11:08:00,SP500 -2.6% YTD  ,0,0,0,4,7,10,0.23205036,0.15885836,0.60909134,Neu,0.073192,keithmccullough
25,2018-03-29 10:59:05,"Today in 1867, Queen Victoria gave Royal Assent to the British North America Act (establishing the Dominion of Canada July1st)  ",1,1,0,0,1,2,0.081329465,0.013272867,0.90539765,Neu,0.0680566,keithmccullough
26,2018-03-29 10:55:01,Top of the risk mgt morn,0,0,0,0,0,6,0.037457533,0.051921,0.9106214,Neu,-0.014463466,keithmccullough
27,2018-03-28 22:16:01,Cartoon of the Day: Hibernation's End?   via ,0,0,0,4,12,25,0.033110242,0.10132119,0.86556864,Neu,-0.068210945,keithmccullough
28,2018-03-28 19:58:05,VIDEO (1min) Reflation's Rollover   via ,0,0,0,2,0,3,0.085611515,0.01317611,0.90121233,Neu,0.07243541,keithmccullough
29,2018-03-28 19:54:05,Thanks  ,0,0,0,1,0,3,0.115307964,0.038832095,0.84585994,Neu,0.07647587,keithmccullough
30,2018-03-28 18:35:05,Bearish Chart of The Day: Pending Home Sales Down -4.1% y/y  ,0,0,0,1,8,10,0.008454081,0.97307736,0.018468544,Neg,-0.9646233,keithmccullough
31,2018-03-28 15:59:05,VIDEO (3 mins) The Biggest Risk to the Market Right Now   via ,0,0,0,2,0,1,0.04243691,0.24897155,0.7085916,Neu,-0.20653464,keithmccullough
32,2018-03-28 15:56:04,The Nasdaq and S&P 500 Breaking Bad (i.e. new Bearish Trends)   via ,0,0,0,0,1,2,0.04345618,0.8958266,0.06071718,Neg,-0.8523704,keithmccullough
33,2018-03-28 15:42:01,Did you SellTheBounce?,0,0,0,6,2,13,0.056646045,0.032902736,0.91045123,Neu,0.02374331,keithmccullough
34,2018-03-28 15:13:01,"Another Good Day for Our Macro Themes: ChinaSlowing, EuropeSlowing, ReflationsRollover...   via ",0,0,0,0,1,5,0.28988305,0.011976256,0.6981406,Neu,0.2779068,keithmccullough
35,2018-03-28 14:32:03,Thank you   ,0,0,0,1,2,5,0.16040425,0.021911504,0.81768423,Neu,0.13849275,keithmccullough
36,2018-03-28 14:00:03,The Macro Show  starts now,0,1,0,1,0,1,0.032688215,0.054782532,0.9125293,Neu,-0.022094317,keithmccullough
37,2018-03-28 13:30:00,"“There's no talent here, this is hard work. This is an obsession.” -Conor McGregor  ",0,1,0,0,3,28,0.044532433,0.07223888,0.8832287,Neu,-0.027706444,keithmccullough
38,2018-03-28 13:26:03,"Yep, fun  ",0,0,0,0,0,4,0.19929041,0.029228922,0.7714806,Neu,0.17006148,keithmccullough
39,2018-03-28 12:18:05,"In today's Early Look ""Riding A Bear"", I start growling  ",0,1,0,3,1,5,0.04141627,0.04512191,0.91346186,Neu,-0.0037056394,keithmccullough
41,2018-03-28 10:29:01,5 Reasons Why the S&P 500 Is Making Lower Highs   via ,0,1,0,0,1,12,0.03505738,0.7954371,0.16950554,Neg,-0.76037973,keithmccullough
42,2018-03-28 10:26:01,The Old Wall (and its media)  ,0,0,0,0,0,1,0.04424008,0.027036035,0.92872393,Neu,0.017204044,keithmccullough
43,2018-03-28 10:23:04,Swiss 10yr Yield drops back to NEGATIVE -0.01% as EuropeSlowing manifests  ,0,0,0,0,0,0,0.012358066,0.9657033,0.021938542,Neg,-0.95334524,keithmccullough
46,2018-03-28 10:16:05,*Macro Tourist Note: not one of my macro calls this year has been based on US political views,1,1,0,3,2,10,0.035491116,0.042803977,0.92170495,Neu,-0.0073128603,keithmccullough
47,2018-03-28 10:15:04,COPPER: down another -0.6% looks a lot like our ChinaSlowing call  ,0,1,0,1,0,4,0.08264744,0.8203944,0.0969582,Neg,-0.73774695,keithmccullough
