,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-30 20:50:05, deflecting attention away from his mess at $TSLA...Chaikin Power Gauge remains bearish  ,0,1,0,0,0,1,0.06321278,0.75790226,0.17888498,Neg,-0.6946895,marcchaikin
1,2018-03-29 14:24:00,This webinar will look at the FANG sticks and bearish opportunities in TSLA  ,0,0,1,1,2,7,0.06703886,0.01928953,0.9136716,Neu,0.047749326,marcchaikin
2,2018-03-21 15:27:05,    Great to be with at Women’s wealth Conference in Boston where Sandy Chaikin is the honorary Chairperson,1,1,0,0,0,1,0.14741886,0.011371416,0.8412097,Neu,0.13604744,marcchaikin
3,2018-03-11 21:08:04,"$SPY $QQQ Man's best friend also knows markets . My niece Morgan's Lab, Jackson has no fear of a recession and neither do I.  ",0,1,0,1,1,7,0.06345035,0.022376606,0.914173,Neu,0.041073747,marcchaikin
4,2018-03-05 20:41:01,"Very sad to learn that my friend, mentor and attorney Steve Goodman  has died. No matter was too small and no crisis too large for Steve. When I talked to him in Paris I knew I had his complete attention. Janis we will miss him and ""All That Jazz""",1,1,1,1,0,2,0.044116043,0.06862578,0.8872582,Neu,-0.024509735,marcchaikin
5,2018-03-02 23:51:04,  You are so good on the air Jill..: here’s to the next year. Looking forward to the ringing the Opening Bell on 4/30,0,1,0,0,0,2,0.14145094,0.01590055,0.8426485,Neu,0.12555039,marcchaikin
6,2018-02-16 14:56:05,$SHAK thanks to  for shout out on our bearish call ahead of earnings...there appears to be a big hole in their growth story. Philadelphia location had 4 customers at 8:00 Wednesday night  ,1,1,0,12,2,12,0.04147526,0.85442346,0.10410132,Neg,-0.8129482,marcchaikin
7,2018-02-15 23:09:02, Gracias amigo,0,0,0,0,0,1,0.05101691,0.06086647,0.88811666,Neu,-0.009849563,marcchaikin
8,2018-02-15 13:05:02,Talking stocks with  on  premarket prep at 8:15 this morning...tune in,0,1,0,0,1,6,0.063536696,0.015093326,0.9213699,Neu,0.04844337,marcchaikin
9,2018-02-09 14:47:01,  Tim how's it going in Ct?,0,1,0,1,0,0,0.079687014,0.018749168,0.9015638,Neu,0.060937844,marcchaikin
10,2018-02-08 15:49:05,On Chaikin Analytics $FB page from our office Philadelphia We’re live streaming the Eagles Super Bowl Parade right now! GoEagles FlyEaglesFly 🦅,0,1,0,0,1,4,0.046667103,0.0288641,0.9244688,Neu,0.017803002,marcchaikin
11,2018-02-06 15:56:00,$KORS is a beast. Chaikin Power Gauge remains bullish and buyers come in on any weakness..stay long and buy dips  ,0,1,0,1,0,5,0.34257883,0.22843923,0.42898193,Neu,0.1141396,marcchaikin
12,2018-02-05 19:11:05,Cramer vs. Chaikin: You Can't Trade Allergan  ,0,1,0,0,0,2,0.042846944,0.11195317,0.8451999,Neu,-0.06910622,marcchaikin
13,2018-02-05 16:47:03,From Chaikin Analytics in Philadelphia where the Super Bowl Parade starts...EaglesNation  ,0,0,0,0,1,7,0.049418133,0.015151934,0.93542993,Neu,0.0342662,marcchaikin
14,2018-02-04 16:44:01,$HON an  fav has just turned Bullish in Chaikin Power Gauge model...flyeaglesfly  ,1,1,0,0,0,8,0.16604564,0.05984833,0.774106,Neu,0.106197305,marcchaikin
15,2018-02-02 19:16:02, I share Jim's bullish outlook on these key tech names  ,0,0,0,0,1,1,0.7516551,0.01165657,0.23668833,Pos,0.7399985,marcchaikin
17,2018-02-01 18:17:03,Alphabet's Business Model Pays the Bills and Allows for Investment in the Future  ,0,1,0,0,0,0,0.11546227,0.008755699,0.875782,Neu,0.106706575,marcchaikin
18,2018-01-31 21:15:00,This is what  and I discussed on live webcast from  tiday  ,1,1,0,0,1,1,0.050289877,0.01551848,0.9341917,Neu,0.034771398,marcchaikin
20,2018-01-31 11:55:00,$AAPL  let's talk about this on our one on one teach-in today at 11:30 a.m.  ,0,0,0,0,3,7,0.04026655,0.02323418,0.9364993,Neu,0.017032372,marcchaikin
21,2018-01-31 11:53:01,These guys rock and  is my son...very proud  ,0,1,0,0,1,3,0.17673388,0.016988724,0.80627745,Neu,0.15974516,marcchaikin
22,2018-01-30 13:42:02,$CNC $CAH weakness in response to health care triad announcement creates the buying opportunity we talked about on  s  last night,1,1,0,0,1,3,0.5166359,0.28448716,0.19887689,Pos,0.23214874,marcchaikin
23,2018-01-29 22:02:02,Tonight Watch  on  where I'll analyze the best stocks in the strongest sector,0,0,1,0,1,3,0.07279161,0.014318192,0.9128902,Neu,0.058473423,marcchaikin
24,2018-01-29 16:56:00,This is an event you will really enjoy as Jim Cramer and I go head to head about the stocks to own in 2018. Two different styles...lots of great ideas.  ,0,1,1,0,0,1,0.1478474,0.013467663,0.8386849,Neu,0.13437973,marcchaikin
25,2018-01-27 14:10:01,Be there for this exclusive event with  co-host of  and host of   ,0,0,0,0,6,11,0.1455874,0.008177668,0.8462349,Neu,0.13740973,marcchaikin
26,2018-01-27 14:07:03, Very Excited to talk stock ideas with legendary stock guru ,0,0,0,0,2,4,0.08878671,0.01249875,0.89871454,Neu,0.076287955,marcchaikin
27,2018-01-22 03:08:04,  It's Eagles time Jim... we will give them a big noisy send off on 1/31,0,1,1,0,0,1,0.10499389,0.019023824,0.8759823,Neu,0.08597006,marcchaikin
28,2018-01-21 20:26:00,Finally getting I'm more Bullish than Jeremy Siegel  ,0,1,0,1,0,7,0.20259066,0.06833114,0.72907823,Neu,0.13425952,marcchaikin
29,2018-01-19 11:55:02,  Ethereum feel Jim...lots of ups and downs but we win 😎,0,1,0,0,0,0,0.64841527,0.06905108,0.2825337,Pos,0.5793642,marcchaikin
30,2018-01-14 06:10:02, Jim we were cheering on Gaskill street ...fly eagles 🦅,1,1,0,0,0,1,0.14269772,0.027862154,0.8294402,Neu,0.11483557,marcchaikin
31,2018-01-02 23:57:03,Thanks Jim really good show...Power Gauge loves $BA  ,0,1,0,0,1,4,0.8196074,0.013642189,0.16675031,Pos,0.8059652,marcchaikin
32,2018-01-02 23:35:03, Chaikin Power Gauge rating Bullish  Bullish on auto retailers  ,0,0,0,1,0,1,0.38197547,0.21706578,0.40095878,Neu,0.16490969,marcchaikin
33,2017-12-25 15:49:05, Andrew send my best to your Dad,0,0,0,0,0,1,0.0922454,0.016369274,0.8913853,Neu,0.075876124,marcchaikin
34,2017-12-25 15:46:04, Doesn't make you a bad personal Doug😎,0,1,0,0,0,0,0.04790975,0.24853505,0.70355517,Neu,-0.2006253,marcchaikin
35,2017-12-25 04:21:05,"May the spirit of Christ live in our hearts and manifest itself in our daily lives. I'm thankful to live in the land of the free and the home of the  brave.  I'm grateful for separation of powers, an independent judiciary and God bless Robert Mueller.",0,1,0,0,2,15,0.19184168,0.020786805,0.7873715,Neu,0.17105487,marcchaikin
36,2017-12-20 22:51:01,I will be on the  PreMarket Prep show Thursday at 8:15 a.m. ET! Tune in here.  ,0,0,1,0,0,2,0.02996268,0.029180441,0.9408568,Neu,0.0007822383,marcchaikin
37,2017-12-20 14:41:02,Very proud father to have a puzzler in the family  ,0,0,0,0,0,1,0.6475384,0.015350799,0.3371108,Pos,0.6321876,marcchaikin
38,2017-12-07 13:47:01,$AVGO raises revenue guidance for Q1...money will start coming back into Tech $LRCX $MU $AMAT all up pre market,0,1,1,1,1,3,0.63531435,0.013846381,0.35083926,Pos,0.62146795,marcchaikin
39,2017-12-07 13:06:02,I'll be on Benzinga live at 8:15 talking tech stocks and Sector rotation  ,0,1,1,0,0,1,0.034668125,0.024302172,0.9410297,Neu,0.010365954,marcchaikin
40,2017-12-01 21:08:01,$XLF financials will lead further rallies...Eagles will lead us into January and beyond...  ,0,0,1,2,1,2,0.891544,0.024943104,0.08351285,Pos,0.8666009,marcchaikin
42,2017-12-01 16:39:05,$SPY Political upheaval in U.S. doesn't cause Bear markets...see Kennedy Assasination and Clinton Impeachment. Stay calm and wait a few days for buying opportunity,0,1,0,1,4,11,0.0402507,0.12958743,0.83016187,Neu,-0.08933672,marcchaikin
43,2017-11-30 15:14:01,$OSTK is a good liquid alt way to trade Bitcoin ....btw Jim I had the same haircutter as your dad  ,1,1,0,0,0,0,0.087225385,0.019764032,0.89301056,Neu,0.06746136,marcchaikin
44,2017-11-30 14:36:03,$SPY going higher into yearend,0,1,0,1,2,4,0.7902642,0.06548815,0.14424759,Pos,0.724776,marcchaikin
45,2017-11-22 18:53:01,To the best Twitter followers in the world...Happy Thanksgiving  ,0,0,0,0,0,8,0.5753213,0.013439731,0.4112389,Pos,0.5618816,marcchaikin
46,2017-11-21 13:02:05,I'll be on Benzinga Prep in a few minutes talking about stocks to own into a yearend rally and 2 favorite shorts  ,0,1,1,0,0,3,0.115465194,0.017790046,0.86674476,Neu,0.097675145,marcchaikin
47,2017-11-20 05:06:04,Yo  we're celebrating the Eagles at  tomorrow in Philly. Come on down and join us.  ,0,1,0,0,0,5,0.06535473,0.032937158,0.9017081,Neu,0.03241757,marcchaikin
