,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-01 22:53:04,GarageEffect  ,0,0,0,0,0,7,0.042902306,0.027507665,0.92959,Neu,0.015394641,markyusko
1,2018-04-01 22:52:00,DoddFrankenstein  ,0,0,0,4,23,53,0.07017987,0.03776989,0.8920502,Neu,0.03240998,markyusko
2,2018-04-01 22:50:00,GarageEffect  ,0,0,0,0,0,12,0.042902306,0.027507665,0.92959,Neu,0.015394641,markyusko
3,2018-04-01 22:48:02,FoolsRushIn  ,0,0,0,2,4,13,0.05878993,0.050209664,0.89100033,Neu,0.008580267,markyusko
4,2018-04-01 18:37:00,SpendWisely  ,0,0,0,2,7,22,0.05701529,0.027063543,0.9159212,Neu,0.029951746,markyusko
5,2018-04-01 03:05:01,SecondThatEmotion  ,0,0,0,1,2,8,0.059422623,0.024807146,0.91577023,Neu,0.03461548,markyusko
6,2018-04-01 03:01:00,TimeArbitrage  ,0,0,0,3,1,7,0.02970834,0.034690775,0.9356009,Neu,-0.004982434,markyusko
7,2018-04-01 02:49:02,Inspiration Focus = Edge  ,0,0,0,0,4,22,0.045955043,0.071718134,0.8823268,Neu,-0.02576309,markyusko
8,2018-04-01 02:20:03,TweetOfTheYearContender TeslarianTattooTrouble  ,0,0,0,1,0,3,0.049375422,0.024600424,0.92602414,Neu,0.024774998,markyusko
9,2018-04-01 02:06:00,Inspiration  ,0,0,0,0,0,14,0.11875473,0.052109536,0.8291357,Neu,0.06664519,markyusko
10,2018-04-01 02:01:01,JustGettingWarmedUp  ,0,0,0,0,0,4,0.0827112,0.026769258,0.89051956,Neu,0.05594194,markyusko
11,2018-04-01 01:57:04,DoWhatIsHard  ,0,0,0,0,0,0,0.03809683,0.034801044,0.9271021,Neu,0.0032957867,markyusko
12,2018-04-01 01:57:00,GoJayhawks  ,0,0,0,0,1,2,0.058009874,0.04002095,0.90196913,Neu,0.017988924,markyusko
13,2018-04-01 01:56:01,YardSale  ,0,0,0,0,0,6,0.07176883,0.05522687,0.8730044,Neu,0.016541958,markyusko
14,2018-04-01 01:55:01, This was entirely predictable in December ( I talked about it at length in Letter and on Twitter) when too many people were buying for wrong reasons at wrong prices... those weak hands are almost gone and Bitcoin will strengthen in 2H18...,1,1,1,1,0,0,0.22875404,0.44719723,0.3240488,Neg,-0.21844319,markyusko
15,2018-04-01 01:53:02, Data...,0,0,0,1,0,0,0.082675666,0.027785622,0.8895387,Neu,0.054890044,markyusko
16,2018-04-01 01:45:05,NoSkidMarks  ,0,0,0,1,1,13,0.024503905,0.04983493,0.92566115,Neu,-0.025331024,markyusko
17,2018-04-01 01:40:03,SITG = Edge  ,0,0,0,0,0,1,0.04446259,0.11208854,0.8434488,Neu,-0.06762595,markyusko
18,2018-04-01 01:39:05,SmartMoney  ,0,0,0,0,0,2,0.03267325,0.033257358,0.9340694,Neu,-0.0005841069,markyusko
19,2018-04-01 01:39:04,"Very interesting that WeakHands are selling to StrongHands in Bitcoin, but StrongHands selling to WeakHands in $SPX... Distribution  ",0,1,0,5,3,17,0.11284608,0.028377892,0.8587761,Neu,0.084468186,markyusko
20,2018-04-01 01:37:02,Why that would be DumbMoney naturally... 😂  ,0,0,1,0,0,1,0.029888729,0.08930889,0.8808024,Neu,-0.05942016,markyusko
21,2018-04-01 01:36:05,$TSLA is the epitome of EVD  ,0,1,0,2,0,5,0.058350883,0.02101792,0.9206312,Neu,0.037332963,markyusko
22,2018-04-01 01:35:05,😉 Equanimous = Edge  ,0,0,0,0,0,1,0.040813465,0.05666779,0.9025187,Neu,-0.015854325,markyusko
23,2018-04-01 01:33:00,🤦🏻‍♂️ ThinkInABox  ,0,0,0,0,0,2,0.037142668,0.04892532,0.913932,Neu,-0.011782654,markyusko
24,2018-04-01 01:30:00,DontJustDoSomethingSitThere  ,0,0,0,1,2,9,0.04416106,0.030763244,0.9250757,Neu,0.013397815,markyusko
25,2018-04-01 01:21:05,Positive &gt; Negative  ,0,0,0,1,2,5,0.18367665,0.08824843,0.72807497,Neu,0.09542821,markyusko
26,2018-04-01 01:20:04,NoRegrets  ,0,0,0,0,0,1,0.035620954,0.026763707,0.93761533,Neu,0.0088572465,markyusko
27,2018-04-01 01:18:02,Facts &gt; Opinions  ,0,0,0,0,2,6,0.023745004,0.02940363,0.9468514,Neu,-0.0056586266,markyusko
28,2018-04-01 01:16:05,More &gt; Less  ,0,0,0,0,1,3,0.037514865,0.02073709,0.9417481,Neu,0.016777776,markyusko
29,2018-04-01 01:07:00,$TSLA NoSkidMarks  ,0,0,0,0,0,2,0.03497168,0.039669838,0.9253585,Neu,-0.0046981573,markyusko
30,2018-03-31 21:56:02,   ShortSmorgasbord,0,0,0,0,0,1,0.067787096,0.028787194,0.90342575,Neu,0.0389999,markyusko
31,2018-03-31 21:53:03, 👍🏻🙏🏼,0,0,0,0,0,0,0.03719407,0.0575872,0.9052188,Neu,-0.02039313,markyusko
32,2018-03-31 21:51:04,SmartMoney has been selling consistently since 1/26... the Distribution will continue until morale declines... 😉  ,1,1,1,1,8,22,0.25574514,0.6236334,0.120621495,Neg,-0.36788824,markyusko
33,2018-03-31 21:50:01, Gracias Amigo!  Time to TokenizeTheWorld,0,0,0,0,0,1,0.06924271,0.029068558,0.90168875,Neu,0.04017415,markyusko
35,2018-03-31 21:46:01,BFFZ (ht GR)  ,0,0,0,0,0,1,0.051329557,0.024853855,0.9238166,Neu,0.026475701,markyusko
36,2018-03-31 21:38:04,WhatHeSaid  ,0,0,0,0,0,3,0.035715472,0.037299573,0.926985,Neu,-0.0015841015,markyusko
37,2018-03-31 21:38:01,👍🏻👊🏻💪🏻 Was kinda the idea of how it was designed to create “Workers”...  ,1,1,0,0,0,5,0.05243082,0.065158464,0.8824107,Neu,-0.012727644,markyusko
38,2018-03-31 21:21:00,Humility = Edge  ,0,0,0,0,1,10,0.14555812,0.052277863,0.802164,Neu,0.093280256,markyusko
39,2018-03-31 21:20:03,Discerning = Edge  ,0,1,0,0,0,4,0.034049097,0.075162336,0.8907886,Neu,-0.04111324,markyusko
41,2018-03-31 16:20:00,SmartMoney is selling...  ,0,1,0,3,7,18,0.42541236,0.03787942,0.5367083,Neu,0.38753295,markyusko
42,2018-03-31 16:19:01," 😉 but, he is WAY cooler... 😂",0,1,0,1,0,0,0.121345855,0.035699304,0.8429549,Neu,0.085646555,markyusko
43,2018-03-31 14:24:04,YearOfTheFrog JumpOut  ,0,0,0,0,1,5,0.096450955,0.028545488,0.8750035,Neu,0.06790547,markyusko
44,2018-03-30 23:19:05, $TSLA Meet Wall... NoSkidMarks  ,0,0,0,0,0,7,0.07241325,0.017922347,0.90966433,Neu,0.0544909,markyusko
46,2018-03-30 21:07:05,  😂😂😂,0,0,0,0,0,2,0.03719407,0.0575872,0.9052188,Neu,-0.02039313,markyusko
47,2018-03-30 20:50:05,  Great idea. Need to remove the ability of big banks to be chronically short Gold...,0,0,0,0,0,6,0.021611348,0.8301449,0.14824374,Neg,-0.80853355,markyusko
48,2018-03-30 20:50:02,Sunshine is the best disinfectant... InBlockchainWeTrust  ,0,1,0,0,0,9,0.2437939,0.008905687,0.74730045,Neu,0.23488821,markyusko
49,2018-03-30 20:49:02,"I agree that CEO/Mgmt pay (and Board complicity) is simply Kleptocracy and needs to be addressed, but firmly believe that minimum wage rules are not the solution as they are non-economic price fixing. Complex problem as those in power make the rules and don’t want them to change  ",1,1,0,1,0,16,0.023969501,0.5426495,0.43338102,Neg,-0.51868,markyusko
50,2018-03-30 20:45:03,ActionsBeatWords  ,0,0,0,2,6,14,0.036254764,0.031188026,0.9325572,Neu,0.0050667375,markyusko
51,2018-03-30 20:41:02,So clearly we should start a TradeWar... 🤦🏻‍♂️  ,0,0,1,1,0,9,0.13845405,0.021547068,0.83999884,Neu,0.116906986,markyusko
52,2018-03-30 20:32:01,DigitalAge  ,0,0,0,0,0,4,0.04971638,0.028443381,0.92184025,Neu,0.021272998,markyusko
53,2018-03-30 20:31:03,All great advances begin with Broken Precedent...  ,0,1,0,0,3,7,0.05076908,0.29812962,0.6511013,Neu,-0.24736054,markyusko
54,2018-03-30 20:27:02,NoSkidMarks  ,0,0,0,0,0,1,0.024503905,0.04983493,0.92566115,Neu,-0.025331024,markyusko
55,2018-03-30 20:23:04,NoSkidMarks  ,0,0,0,0,0,2,0.024503905,0.04983493,0.92566115,Neu,-0.025331024,markyusko
56,2018-03-30 20:22:00,WorryNow RiskHappensFast  ,0,0,0,0,5,5,0.064407945,0.48541713,0.4501749,Neg,-0.42100918,markyusko
57,2018-03-30 20:01:05,Not Knowing = Edge  ,0,0,0,0,0,1,0.029174875,0.11919192,0.8516332,Neu,-0.09001705,markyusko
58,2018-03-30 20:01:01,Courage = Edge JobsWisdom  ,0,0,0,0,0,2,0.07304338,0.075614154,0.8513425,Neu,-0.0025707707,markyusko
59,2018-03-30 20:00:01,"That said, price fixing is always a bad idea and minimum wages are just another form of price fixing... BringBackCapitalism",1,1,0,1,0,5,0.018346049,0.6489498,0.33270413,Neg,-0.63060373,markyusko
60,2018-03-30 19:58:05,Truth Kleptocracy  ,0,0,0,1,2,13,0.03540267,0.029470142,0.9351272,Neu,0.0059325285,markyusko
61,2018-03-30 19:56:04, Beyond ridiculous... 2018 will struggle to reach 2% real GDP just like last seven years... KillerDs  ,0,0,1,0,0,0,0.051293883,0.73654646,0.21215962,Neg,-0.68525255,markyusko
62,2018-03-30 19:54:01,Kleptocracy at its worst...  ,0,0,0,2,1,6,0.023499954,0.90603644,0.070463605,Neg,-0.8825365,markyusko
63,2018-03-30 19:53:02, GoodLuckWithThat BFFZ,0,0,0,0,0,0,0.25654498,0.02142805,0.722027,Neu,0.23511693,markyusko
64,2018-03-30 18:49:01,BeginnersMind  ,0,0,0,0,0,3,0.052859243,0.04259368,0.9045471,Neu,0.010265563,markyusko
65,2018-03-30 18:18:05, Happy Easter! Have a wonderful weekend with your family.,0,1,0,0,0,1,0.19184448,0.020201668,0.78795385,Neu,0.17164281,markyusko
67,2018-03-30 18:10:00, BeatMe 😂🕺🏻,0,0,0,0,0,1,0.059426606,0.030246174,0.9103272,Neu,0.029180432,markyusko
