,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 15:56:03,$TWNK at upper end of range with 13K April $12.5 calls still in OI,0,0,0,0,0,1,0.14401807,0.24495342,0.6110285,Neu,-0.100935355,optionshawk
1,2018-04-06 15:49:03,"$TLT bouncing back at breakout retest level this week, 26K Sep 122/128 call spreads in OI",0,1,0,1,1,4,0.84126896,0.09013471,0.0685964,Pos,0.7511343,optionshawk
2,2018-04-06 15:27:05,"$CHTR moving to morning highs, 3 separate bull risk reversals opened in the name into recent lows",1,1,0,0,0,2,0.5113414,0.4210019,0.067656666,Pos,0.09033948,optionshawk
3,2018-04-06 15:15:02,$SODA $STZ $EL impressive in consumer,0,0,0,0,0,5,0.3670991,0.14820822,0.48469272,Neu,0.21889089,optionshawk
4,2018-04-06 15:13:00,"$PF a strong consumer name this morning up 1.75% back over $55, lots of June risk reversals in OI",0,0,0,0,0,4,0.92433923,0.04527645,0.030384304,Pos,0.8790628,optionshawk
5,2018-04-06 14:38:05,This may have been last night after the close...a strong close today would go a long way...  ,1,0,1,1,3,5,0.35209182,0.11277712,0.5351311,Neu,0.2393147,optionshawk
6,2018-04-06 14:21:00,  59% career passer w/ record setting INT's & Fumbles...yea..real valuable lol,0,1,0,0,1,0,0.3447283,0.014736557,0.6405351,Neu,0.32999173,optionshawk
7,2018-04-06 14:18:00,"  Well I was quite right about that too...guy sucks, and like I said only non-football people hype him..what has he done, nothing...except turn the ball over constantly",1,1,0,1,1,0,0.029982777,0.34118536,0.62883186,Neu,-0.3112026,optionshawk
8,2018-04-06 14:15:01,  Here are some...  ,0,1,0,1,1,0,0.04458874,0.04987106,0.90554017,Neu,-0.00528232,optionshawk
9,2018-04-06 14:05:02," And by the way...Rosen/Darnold played in the biggest joke of a Conference, so that's not a great argument",1,1,0,1,1,0,0.071666725,0.43887174,0.48946157,Neu,-0.36720502,optionshawk
