,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-31 23:33:03," Yup, glad you caught that. Giving 100% is not enough.",1,1,0,1,0,11,0.03562282,0.18816485,0.77621233,Neu,-0.15254202,peterlbrandt
2,2018-03-31 23:33:00," It is different for everyone. As a classical chartist I have discovered what chart configurations produce the best trading outcomes for me. But ""knowing your trade"" is something all have to develop -- mostly through trail and error",1,1,0,1,0,17,0.047563635,0.030259743,0.9221766,Neu,0.017303891,peterlbrandt
3,2018-03-31 23:26:04,"In the opinion of this dinosaur, a traders edge is made up as follows.  ",1,1,0,27,309,941,0.050098274,0.03138701,0.91851467,Neu,0.018711265,peterlbrandt
4,2018-03-31 22:57:01,My advice to young traders is this: Learning techniques of technical analysis is wonderful and you must do it. But your trading edge will have little to do with how you select trades. This is something the systems sellers do not want you to know.,0,1,1,36,148,670,0.038396567,0.04198038,0.919623,Neu,-0.0035838112,peterlbrandt
6,2018-03-31 21:52:00,"  The best part of being a trader during my life has been being my own boss -- no meetings, no memos, just putting my net worth on the line every day.  ",1,1,0,3,1,13,0.036100857,0.060441546,0.9034576,Neu,-0.02434069,peterlbrandt
7,2018-03-31 19:57:00,  I completely agree that the Boomers and their complete selfishness has created a real debt mess for younger generations. I also completely understand how crytpos are seen as a new revolution to deal with the mess my generation has made.,1,1,0,3,2,61,0.10823842,0.20692053,0.6848411,Neu,-0.09868211,peterlbrandt
8,2018-03-31 19:51:03, Kept me sane through 43 years of trading,0,1,0,0,1,12,0.17858745,0.025122905,0.7962896,Neu,0.15346454,peterlbrandt
9,2018-03-31 17:09:03,I truly sincerely believe in the long-term prospects for Bitcoin -- it is just that I reserve my worship for a more sovereign entity than a computer code.,0,1,0,87,40,485,0.13785948,0.010187291,0.8519532,Neu,0.1276722,peterlbrandt
11,2018-03-31 16:56:02, Did not appreciate???? Ask my tax man if he agrees with you. Please know what you are talking about first.,0,1,0,2,0,5,0.03903867,0.05583233,0.905129,Neu,-0.01679366,peterlbrandt
12,2018-03-31 16:55:03," No, not at all. If BTC does a moon shot I plan to be on board. I am agnostic on cryptos.",0,1,0,3,1,25,0.04907627,0.035702664,0.9152211,Neu,0.013373606,peterlbrandt
13,2018-03-31 16:54:01, Not at all. You are misreading me if you think that. I have eaten too much humble pie for this. I am simply trying deal a little tough love to a generation that got trophies for participation.,1,1,0,7,0,50,0.04812371,0.3375478,0.6143285,Neu,-0.2894241,peterlbrandt
14,2018-03-31 16:52:04," You know, it was tough love dealt us youngsters in the 1970s that helps us succeed in trading. Maybe anything less than a ""trophy for participation"" is the same as rubbing it in their faces.",1,1,0,2,1,19,0.052527186,0.043266673,0.90420616,Neu,0.009260513,peterlbrandt
15,2018-03-31 16:50:01, I can accept this and hope it all turns out great for you. Thanks for your response.,0,1,1,2,0,47,0.5204454,0.016030155,0.4635244,Pos,0.5044153,peterlbrandt
16,2018-03-31 16:30:01, That is valid -- it is why I have some sympathy for the early buyers,0,1,0,2,0,31,0.30919963,0.04036935,0.65043104,Neu,0.26883027,peterlbrandt
17,2018-03-31 16:26:05,"  ""Investors"" are traders who are rationalizing a big drop in assets. Sorry, I do not buy it. Warren Buffet is an investors. Creators of BTC were investors. Buyers of BTC are traders whether they like it or not.",1,1,0,1,0,4,0.028882809,0.1743864,0.7967308,Neu,-0.14550358,peterlbrandt
18,2018-03-31 16:22:00,"I have unbelievable respect for those of you who recognized significance of BTC early. Kuddos. I also have sympathy with the early longs who have suffered through the decline. But to wear a 70% decline as a badge of honor, sorry, I don't get it.",1,1,0,144,98,956,0.15939578,0.32387146,0.5167327,Neu,-0.16447568,peterlbrandt
20,2018-03-31 16:01:01," Just a technicality, but your Os need to start one square lower than your Xs and Xs one square higher than the Os. That is proper way and will determine proper trendlines.",0,1,1,1,0,4,0.04969807,0.0408682,0.9094338,Neu,0.008829869,peterlbrandt
21,2018-03-31 15:59:00, That is sufficient as long as the predetermined stop does not risk more than 2% of your total capital.,0,1,0,0,0,2,0.05447983,0.018433273,0.92708695,Neu,0.036046557,peterlbrandt
22,2018-03-31 15:04:00,"  Futures trading - corn, Gold, Swiss Francs, Copper, Bonds et al. Crypto people act as it they invented market speculation. Ecclesiastes 1:9",1,1,0,2,1,9,0.022475626,0.04737987,0.93014455,Neu,-0.024904244,peterlbrandt
24,2018-03-31 14:59:04,   ,0,0,0,1,0,0,0.35916328,0.21665184,0.4241849,Neu,0.14251144,peterlbrandt
25,2018-03-31 14:57:02, Setups? Platforms? There were no setups. There were no platforms. One screen. I used the phone to call orders long-distance direct to trading floors around the world. Ran a phone bill of $800 per month.,1,1,0,1,0,21,0.041643217,0.038945545,0.91941124,Neu,0.0026976727,peterlbrandt
26,2018-03-31 14:54:02,Technology changed rapidly in early 1980s. This sat dish (circa 1983 roof left) connected with Commodity Quote Graphics  still a leader in trading technology and a firm I use for order placement.  ,1,1,0,16,10,120,0.102322824,0.010103194,0.88757396,Neu,0.09221963,peterlbrandt
27,2018-03-31 14:50:04, Frankly I hate the word Hodlers. Use English people over 40 can understand. Don't understand how a person who sat through a 70% price drop can take that as a sign of honor.,1,1,1,33,7,108,0.025418794,0.77891076,0.19567043,Neg,-0.75349194,peterlbrandt
28,2018-03-31 14:44:03, Eventually went to mini dishes. This one (roof on left) connected with Commodity Quote Graphics (CQG) a firm I still use for order placement.  ,1,1,0,2,0,12,0.046874743,0.023609953,0.9295153,Neu,0.02326479,peterlbrandt
29,2018-03-31 14:41:00, There were literally dozens of satellites in the sky. I need to go outside and physically rotate the dish. Drilled holes in a metal sliding pole to market different satellites.,1,1,0,0,1,7,0.048591424,0.04694817,0.90446043,Neu,0.0016432554,peterlbrandt
30,2018-03-31 14:37:01," We would just tape a new graph -- sometimes sideways, sometimes diagonally.",0,1,1,3,0,28,0.046554305,0.08456661,0.8688791,Neu,-0.038012303,peterlbrandt
31,2018-03-31 14:36:02,In the late 70's and early 80's we Dinosaurs finally could get price data via satellite dishes. Until then ATT long-time was the only way. With satellite dishes I could get almost instantaneous price reporting.  ,1,0,1,25,21,257,0.058417886,0.020431219,0.9211509,Neu,0.037986666,peterlbrandt
32,2018-03-31 14:29:03,Computers spitting out charts did not exist in 1975. This is a Copper P&F chart I kept by hand. We used graph paper to hand create price charts. $HG_F  ,1,1,0,121,215,1857,0.020819593,0.0584161,0.92076427,Neu,-0.037596505,peterlbrandt
33,2018-03-31 14:27:01,Dinosaur This is what the Chicago Board of Trade floor looked like when I entered the business. Note the prices were kept on clicker-boards and by hand on black-boards.  ,1,1,0,20,21,247,0.022810508,0.04551003,0.9316795,Neu,-0.022699524,peterlbrandt
34,2018-03-31 14:17:05,Back in the early days there was a saying that the worst thing that can happen to a young traders is for him/her to be profitable in first few trades.,1,1,1,48,187,1117,0.042360242,0.37444487,0.58319485,Neu,-0.33208463,peterlbrandt
35,2018-03-31 14:16:01,It is possible with perseverance and determination to exceed at market speculation. But it requires extreme risk managed to make sure you have capital remaining during a 3 to 5 year learning period.,1,1,0,9,26,219,0.08498587,0.015965363,0.8990488,Neu,0.0690205,peterlbrandt
36,2018-03-31 14:13:01,  For me it would be 10 basis points under water.,0,0,1,1,0,0,0.037731513,0.04238555,0.919883,Neu,-0.004654035,peterlbrandt
37,2018-03-31 05:35:05, very good. Congrats. You need to hold on,0,1,0,0,0,2,0.7528351,0.018568117,0.22859678,Pos,0.734267,peterlbrandt
38,2018-03-31 03:24:04," Yes, hard and fast rule. End the trade. Two dimensions to a trade -- timing and direction. Get one wrong and the trade is wrong.",0,1,0,4,0,7,0.038755093,0.093744695,0.8675002,Neu,-0.054989602,peterlbrandt
39,2018-03-31 03:23:02," Well, there you go. That is a good reason to stay with a loser forever I guess. 🙂",0,1,0,0,0,19,0.109912865,0.045332592,0.84475446,Neu,0.06458028,peterlbrandt
40,2018-03-31 03:22:03, In crypto I would say if I am a loser for more than a couple of days then my timing is wrong. There are two dimensions to a trade -- timing and direction. Get one wrong and the trade is wrong.,0,1,1,3,8,52,0.03979295,0.21214293,0.74806416,Neu,-0.17234997,peterlbrandt
41,2018-03-31 03:14:04,"Assad, this is so true. I am most comfortable when sitting on my hands without a position. I can think more clearly without the bias of a position.  ",0,1,1,7,29,174,0.08761413,0.02787945,0.88450646,Neu,0.059734676,peterlbrandt
42,2018-03-31 03:01:02,"As a newbie trader at the CBOT in the mid 1970s I was force fed two bits of precious advice: 1. Never ever carry a losing trade home on Friday. 2. No matter how sure I am about what a market is going to do, in reality I don't have a clue.",1,1,0,29,165,918,0.049267188,0.058796674,0.8919362,Neu,-0.009529486,peterlbrandt
43,2018-03-31 02:55:03, Duh. How about a trade that is under water?,0,1,0,2,0,7,0.058587924,0.03389412,0.90751797,Neu,0.024693802,peterlbrandt
44,2018-03-31 00:39:03,Congratulations to  who just nailed the short side of $ETHBTC -- having alerted me to this trade in early February as a proxy for being short alts he brilliantly covered shorts today. Well done Tuur.,1,1,0,11,19,208,0.38208708,0.02427312,0.59363985,Neu,0.35781395,peterlbrandt
45,2018-03-31 00:34:04,Just saying. $BTC  ,0,1,0,129,609,2220,0.048814867,0.02162846,0.9295567,Neu,0.027186407,peterlbrandt
46,2018-03-31 00:34:01,  Swing trading futures. I seldom trade inverse ETFs.,1,1,0,0,0,2,0.037894268,0.04508822,0.91701746,Neu,-0.007193953,peterlbrandt
47,2018-03-30 23:05:00,Becoming obsessed to reclaim lost money from the same market is a very bad trading practice.,1,1,0,26,147,861,0.012265106,0.841245,0.14648995,Neg,-0.8289799,peterlbrandt
48,2018-03-30 22:04:05,   I reckon that if this trendline does not hold you will find a lower one to use.,0,1,1,1,0,5,0.072730474,0.21448742,0.7127822,Neu,-0.14175695,peterlbrandt
49,2018-03-30 19:42:01,"A Premium Factormembers post was issued ""Factor Update, April 1, 2018"".   Please see here   for more details.",1,1,0,1,0,13,0.030659663,0.022298424,0.947042,Neu,0.008361239,peterlbrandt
50,2018-03-30 17:47:00,Significant long-term performance does not appear magically and suddenly. Long-term profitability is a process - involves trial-and-error.,0,1,0,13,63,357,0.03178152,0.11077213,0.8574463,Neu,-0.07899061,peterlbrandt
51,2018-03-30 17:18:03, Gartman expressing a short bias -- nothing new about that.,0,1,0,0,0,2,0.055033285,0.03579174,0.9091749,Neu,0.019241545,peterlbrandt
52,2018-03-30 14:39:00,Real trading with real money by real traders must be done in real time....and not in hindsight.,1,0,1,12,72,474,0.04420755,0.021611458,0.934181,Neu,0.022596093,peterlbrandt
53,2018-03-30 11:35:01, Did well on first big hard down three days.,0,0,0,1,0,3,0.8861042,0.053952936,0.05994284,Pos,0.8321513,peterlbrandt
54,2018-03-29 23:05:00,"I prefer to move stops as quickly as possible to reduce the initial risk by at least 50%, then to break-even.",0,1,0,6,44,332,0.1807477,0.021161698,0.7980906,Neu,0.15958601,peterlbrandt
55,2018-03-29 21:11:05, Read Schabacker,0,0,0,0,1,3,0.046528984,0.0615704,0.8919006,Neu,-0.015041415,peterlbrandt
