,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-01 23:35:00,"At work, pay attention to who quits or gets fired — especially new hires — because it can signal what leadership skills matter most.  ",1,1,1,0,13,75,0.028118202,0.5923571,0.37952474,Neg,-0.5642389,profgalloway
1,2018-04-01 19:40:00,The sun has passed mid day on traditional marketing —  keynote OMR18  ,1,1,0,4,16,82,0.24903941,0.06519566,0.685765,Neu,0.18384376,profgalloway
2,2018-04-01 18:08:05, There is a mess of genius at ,0,1,0,0,0,5,0.03976962,0.37595013,0.5842802,Neu,-0.3361805,profgalloway
3,2018-04-01 18:06:04,Zuck + genius + Sandberg + lack of regard for commonwealth + grow at all cost + over-coaching by comms consultants/lawyers + presidential ambitions + shareholder structure of African dictator + flaccid regulators + idolatry of innovators + delay + obfuscation = FB 2018,0,1,0,29,161,565,0.06162298,0.023546755,0.9148302,Neu,0.038076226,profgalloway
4,2018-04-01 17:55:05, fair point,0,0,0,0,0,0,0.14868142,0.024903381,0.82641524,Neu,0.12377804,profgalloway
5,2018-04-01 17:20:00,"Apple has been trying for a while to turn its more restrictive approach to user data into a differentiator, and Facebook’s discomfort has helped.  ",1,1,0,8,9,55,0.35290334,0.014690293,0.6324064,Neu,0.33821306,profgalloway
6,2018-04-01 15:15:01,"Zuck promised easier, better privacy controls ""in the coming weeks"" eight years ago.   ",1,1,0,17,131,285,0.29685536,0.013597502,0.6895471,Neu,0.28325787,profgalloway
7,2018-04-01 14:43:03,"Important to highlight one of the millions of good things that happen on Facebook, as I’ve been throwing a lot of shade at it recently. nomercynomalice  ",1,1,0,2,4,32,0.047667027,0.032221068,0.92011195,Neu,0.015445959,profgalloway
8,2018-04-01 01:40:00,The gospel according to Johnny Cash   via ,0,1,0,2,5,25,0.06464909,0.032125268,0.90322566,Neu,0.032523822,profgalloway
9,2018-03-31 23:35:00,A Facebook employee’s average age is 28.  Is it possible many lack the historical context on the importance of the fourth estate?  ,0,1,0,13,40,148,0.024233324,0.17934474,0.79642195,Neu,-0.15511142,profgalloway
11,2018-03-31 19:25:00,Crypto's wild ride — w/  Finance Chair David Yermack crypto cryptocurrency winnersandlosers    ,0,0,0,0,5,24,0.061656136,0.021039281,0.9173046,Neu,0.040616855,profgalloway
12,2018-03-31 18:57:00, so glad,0,0,0,0,0,0,0.20594126,0.027257437,0.76680124,Neu,0.17868382,profgalloway
13,2018-03-31 17:43:04,. taking on  is Mayweather/McGregor Redux--The redhead gets the crap kicked out of him.  White House has neither the muscle or IQ to take on Big Tech.,1,1,0,13,65,221,0.03155322,0.23670131,0.7317455,Neu,-0.20514809,profgalloway
14,2018-03-31 17:20:01,Change in stock prices after reports of Trump targeting Amazon  ,0,1,0,10,25,65,0.18342386,0.6830013,0.13357484,Neg,-0.4995774,profgalloway
16,2018-03-31 13:10:00,"40 years later, I’m 13 again with a generous man who makes me feel less invisible.    ",0,1,0,6,19,87,0.088563465,0.024913738,0.8865228,Neu,0.06364973,profgalloway
17,2018-03-31 05:50:03,"Hard to visualize ""progress,"" but this feels close.   ",0,1,0,8,26,125,0.17298564,0.013820168,0.8131942,Neu,0.15916547,profgalloway
19,2018-03-31 02:30:01,"Social media is broken, and it’s going to take radical ideas to fix it. by    ",1,1,0,6,30,61,0.021357542,0.79868466,0.17995778,Neg,-0.7773271,profgalloway
20,2018-03-31 00:25:02,"Since my 40s, I've been trying to fix my deficits  nomercynomalice    ",1,1,0,5,26,125,0.16878617,0.07763319,0.75358063,Neu,0.09115298,profgalloway
21,2018-03-30 20:22:05, Hope it's working.  Always welcome to sit in on a class.  S,0,1,0,1,0,1,0.17637843,0.014093738,0.8095279,Neu,0.16228469,profgalloway
22,2018-03-30 19:49:02,Crypto's wild ride — w/  Finance Chair David Yermack crypto cryptocurrency winnersandlosers     ,0,0,0,3,3,16,0.061656136,0.021039281,0.9173046,Neu,0.040616855,profgalloway
23,2018-03-30 18:57:02, Thx George,0,0,0,0,0,0,0.030530265,0.03825118,0.9312186,Neu,-0.0077209156,profgalloway
24,2018-03-30 17:32:02,In my 40s I became more aware of the deficits — where I had taken more than given  nomercynomalice  ,1,1,0,16,17,115,0.09983633,0.07266922,0.82749444,Neu,0.027167104,profgalloway
25,2018-03-30 16:57:05," thx for kind words.  appears things are changing.  however, believe media is more outraged than consumers.  still little evidence people are leaving the platform.",0,1,0,0,0,1,0.09827761,0.6399616,0.26176077,Neg,-0.541684,profgalloway
26,2018-03-30 16:23:04,FB lags behind every major tech company on the issue of trust  ,0,0,0,5,5,24,0.119588666,0.5148235,0.36558786,Neg,-0.39523482,profgalloway
28,2018-03-30 03:19:03,"OMR18 talk — big tech, predictions, and me fighting a blizzard     ",0,1,0,0,5,22,0.04458189,0.026857417,0.9285607,Neu,0.017724473,profgalloway
29,2018-03-30 02:57:03,"  Not just a prof, Chair of one of the most prestigious finance departments in academia—Nobel prize winners, etc.  Prof Yermack is the real deal...",0,1,0,1,0,1,0.081058644,0.015013675,0.9039277,Neu,0.06604497,profgalloway
30,2018-03-30 00:30:02,Zuckerberg is just doing what he'd have been forced to do GDPR  ,1,1,1,5,10,58,0.04100133,0.05787254,0.9011261,Neu,-0.01687121,profgalloway
31,2018-03-29 22:25:00,Crypto's wild ride winnersandlosers  ,0,0,0,0,1,17,0.076416,0.028626302,0.8949577,Neu,0.0477897,profgalloway
32,2018-03-29 20:31:02, Thanks Stuart!,0,0,0,0,0,0,0.3593866,0.040289704,0.60032374,Neu,0.3190969,profgalloway
33,2018-03-29 20:04:02,"Thousands of companies, including Equifax, are tracking you & selling your data.  ",0,1,0,6,50,88,0.046471775,0.060094196,0.893434,Neu,-0.013622422,profgalloway
34,2018-03-29 19:53:00,"   ok, she's a bad leader in a crisis.  yes, a pun...like saying you are where humor goes to die.",0,1,0,3,0,18,0.027115226,0.47720864,0.49567622,Neu,-0.45009342,profgalloway
35,2018-03-29 19:49:02," Thx Jorge, nice thing to say",0,0,0,0,0,1,0.17299554,0.018176226,0.8088283,Neu,0.15481931,profgalloway
36,2018-03-29 19:39:00,  fair point,0,0,0,1,0,8,0.14868142,0.024903381,0.82641524,Neu,0.12377804,profgalloway
37,2018-03-29 18:40:02,Tim Cook sit down w/ felt like dad coming home to find garage on fire and dog pregnant--Mark and Sheryl upstairs hiding under bed.  An adult among children of big tech.,1,1,0,17,85,450,0.022966947,0.20619406,0.770839,Neu,-0.1832271,profgalloway
38,2018-03-29 18:15:01,On the possible European backlash and Zuckerberg’s power  ,0,1,0,8,5,40,0.11882337,0.3888847,0.492292,Neu,-0.2700613,profgalloway
39,2018-03-29 16:13:04,"In 2015 the Belgian Privacy Commission criticized Facebook for tracking users who had logged out, as well as those who didn't even have an account. Facebook attributed the tracking to a bug.  ",1,1,0,3,38,49,0.007508737,0.9512949,0.041196313,Neg,-0.94378614,profgalloway
40,2018-03-29 13:10:01,Google users freak out after seeing how much Google knows about them  ,0,1,0,7,60,93,0.014768262,0.82661885,0.1586129,Neg,-0.8118506,profgalloway
41,2018-03-29 03:39:01,On with  re  and crisis management  (video)  ,0,0,0,3,2,22,0.04137032,0.029715324,0.9289144,Neu,0.011654997,profgalloway
43,2018-03-29 01:20:00,The 98 data points FB has on you & sells to willing parties   ,0,1,0,6,71,114,0.06489945,0.015214472,0.919886,Neu,0.04968498,profgalloway
44,2018-03-28 23:15:01,"Personal data are routinely sent, every time a page loads, to hundreds/thousands of companies, with no control over what happens to them.  ",1,1,0,2,50,102,0.018510308,0.22496365,0.75652605,Neu,-0.20645334,profgalloway
45,2018-03-28 21:10:01,"In the US, approximately one-third of the adult population has become impervious to new ideas, including demonstrable facts.  Such people are easy to manipulate — “brain hacking” — Roger McNamee    ",1,1,0,5,24,58,0.04029623,0.13484754,0.8248562,Neu,-0.09455131,profgalloway
46,2018-03-28 19:05:01,"If you want to know more about who’s tracking you, download Ghostery or Privacy Badger, browser extensions that track and can block third-party trackers.  ",0,1,1,10,66,166,0.026266342,0.06052811,0.9132056,Neu,-0.03426177,profgalloway
48,2018-03-28 16:10:02,"Trump more concerned w/ than  as he sees  as greater threat to him personally.  Big Tech and Trump share key feature: lack of regard for well-being of commonwealth.  Disappointing and unforgivable, respectively.",0,1,0,7,34,161,0.031989004,0.6643651,0.3036459,Neg,-0.63237613,profgalloway
49,2018-03-28 15:42:05, you first!,0,0,0,1,0,0,0.062229697,0.039898794,0.8978715,Neu,0.022330903,profgalloway
50,2018-03-28 14:55:02,Instagram is the most powerful social platform — users 10x more likely to engage than on FB  OMR18  ,0,1,0,0,21,54,0.34678388,0.013674419,0.6395416,Neu,0.33310947,profgalloway
51,2018-03-28 13:10:01,"If Ford announced they were no longer going to advertise on Facebook, the market would promptly cut 10%+ off their share price.    ",1,1,1,2,17,56,0.01033614,0.90391296,0.08575085,Neg,-0.8935768,profgalloway
52,2018-03-28 03:50:00,Facebook is on a hiring spree for Washington lobbyists  ,0,1,0,13,74,107,0.010033406,0.919131,0.0708356,Neg,-0.90909755,profgalloway
53,2018-03-28 01:45:00,We worship at the altar of innovation & the problems FB revealed will only get worse       ,1,1,1,7,7,17,0.06681923,0.09625378,0.836927,Neu,-0.029434554,profgalloway
54,2018-03-27 23:44:03,"As citizens, ""we must demand that legislators and regulators get tougher. They should go after Facebook on antitrust grounds."" by    ",0,1,1,2,2,28,0.049642492,0.11036221,0.8399953,Neu,-0.060719717,profgalloway
55,2018-03-27 21:40:01,"Most ad-supported websites track their users. You're tracked by hundreds, if not thousands of sites, at any one time.  ",1,1,0,23,64,137,0.024974018,0.105181545,0.8698445,Neu,-0.08020753,profgalloway
56,2018-03-27 19:36:02,Facebook—even as it apologizes for scandal—funds campaign to block a California data-privacy measure  ,0,1,0,1,27,49,0.09969254,0.8323394,0.06796804,Neg,-0.7326469,profgalloway
57,2018-03-27 17:30:05,Breaking up Facebook would mean smaller companies that still harvest data but do less harm w/ it  ,0,1,1,3,2,20,0.027916204,0.07592499,0.89615875,Neu,-0.04800879,profgalloway
58,2018-03-27 15:25:03,"Founder, controlling shareholder, Chairman, CEO.  When is the Zuck not ""the right person"" to testify?",0,1,0,18,44,226,0.027949259,0.09131141,0.88073933,Neu,-0.06336215,profgalloway
59,2018-03-27 15:19:00,"I'll pay taxes, raise my kids and obey the law...if I'm the right person.  fail",0,1,1,0,3,19,0.122577526,0.018827092,0.8585954,Neu,0.10375044,profgalloway
60,2018-03-27 13:10:00,Facebook lags behind every major tech company on the issue of trust —  via   ,0,1,0,0,7,31,0.05515066,0.78795844,0.15689093,Neg,-0.73280776,profgalloway
61,2018-03-27 13:03:02, I dis!,0,1,0,0,0,0,0.050886717,0.2119456,0.7371677,Neu,-0.16105887,profgalloway
62,2018-03-27 03:40:05," Hi David.  Don’t think Cheddar is much of a factor,,,yet.  Go Bruins",1,1,0,0,0,0,0.06731407,0.020521544,0.91216433,Neu,0.04679253,profgalloway
64,2018-03-26 23:45:01,Working long hours (behavior) is different than workaholism (mentality) — the latter leads to health issues   ,0,1,0,2,22,77,0.03597623,0.41274214,0.55128163,Neu,-0.3767659,profgalloway
65,2018-03-26 21:40:01,The EU's new privacy law treats personal data as owned by the individual    ,1,1,0,6,29,94,0.024380274,0.05864881,0.91697097,Neu,-0.034268536,profgalloway
66,2018-03-26 19:30:03,"Advertisers need Facebook much more than Facebook needs any one, or thousand, advertisers.    ",0,1,0,0,17,43,0.039362192,0.02538243,0.93525535,Neu,0.013979763,profgalloway
67,2018-03-26 17:24:02,Today's tech monopolies  ,0,0,0,2,5,23,0.036289502,0.017457409,0.94625306,Neu,0.018832093,profgalloway
68,2018-03-26 15:20:01,"Facebook has worked directly with presidential campaigns on ad targeting, once describing its services as “influencing voters.”   ",1,1,0,3,45,77,0.082876384,0.021472549,0.8956511,Neu,0.061403833,profgalloway
69,2018-03-26 13:15:01,Facebook needs a Contract with America nomercynomalice    ,0,1,0,2,8,34,0.25309485,0.010139111,0.7367661,Neu,0.24295574,profgalloway
70,2018-03-26 02:18:04,FB's targeting will only get more effective  ,0,0,1,2,20,67,0.13244288,0.015630003,0.85192716,Neu,0.11681287,profgalloway
71,2018-03-25 21:53:05,"Facebook & Google can't help publishers, because they're built to defeat publishers  ",1,1,1,4,31,83,0.031786457,0.31557438,0.6526392,Neu,-0.2837879,profgalloway
72,2018-03-25 16:18:03,Merely having your phone nearby interferes w/ your cognitive abilities  ,0,1,0,7,59,122,0.020885289,0.7474825,0.2316322,Neg,-0.7265972,profgalloway
73,2018-03-25 16:13:01, Interesting take,0,1,0,0,0,2,0.16228056,0.027534658,0.8101848,Neu,0.1347459,profgalloway
74,2018-03-25 13:15:00,"History anoints leaders based on the risks they take, not avoid.  nomercynomalice FB    ",1,1,0,6,26,72,0.034588926,0.058910325,0.9065008,Neu,-0.0243214,profgalloway
76,2018-03-24 20:23:02,What Facebook should do winnersandlosers    ,0,0,1,8,36,126,0.04038928,0.022478214,0.9371324,Neu,0.017911067,profgalloway
77,2018-03-24 17:37:03,"Imagine Castro, add the Southern Hemisphere, Europe and India, and we begin to understand the influence of a 33-year-old college dropout who’s had one job and got his start with a site asking people to rate women's physical appearance. nomercynomalice  ",1,1,0,6,18,51,0.051593054,0.021236088,0.9271709,Neu,0.030356966,profgalloway
79,2018-03-24 14:49:04," yep, your suggestion(s)?",0,0,0,1,0,0,0.054362807,0.025932193,0.919705,Neu,0.028430615,profgalloway
80,2018-03-24 12:15:00,Mark Zuckerberg is the most powerful person on the planet. Neither Putin nor Trump can (directly) change the mood and the views of a third of the world with tweaks to an algorithm.  ,0,1,1,12,47,122,0.0501425,0.027593879,0.92226356,Neu,0.022548622,profgalloway
81,2018-03-24 03:07:04,How the FB crisis will affect stock      ,0,0,1,7,13,37,0.022716494,0.082124785,0.89515865,Neu,-0.059408292,profgalloway
82,2018-03-23 23:25:00,What Facebook should do  winnersandlosers    ,0,0,1,20,63,223,0.04038928,0.022478214,0.9371324,Neu,0.017911067,profgalloway
83,2018-03-23 21:19:01,"History anoints leaders based on the risks they take, not avoid.  nomercynomalice FB     ",1,1,0,4,22,79,0.034588926,0.058910325,0.9065008,Neu,-0.0243214,profgalloway
84,2018-03-23 19:09:01,"Battled a blizzard trying to make it to   Blizzard - 1. Scott - 0.  See you next time, Hamburg! OMR18  ",1,1,0,5,9,95,0.052130487,0.045509342,0.90236014,Neu,0.0066211447,profgalloway
85,2018-03-23 16:59:01," that's a start,,,and I'll take it.  S",0,1,1,0,0,1,0.4600834,0.01334172,0.52657485,Neu,0.44674167,profgalloway
