,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-05 23:56:05,  you can’t beat me,0,0,1,0,0,0,0.0756321,0.071862295,0.85250556,Neu,0.0037698075,stockitchen
1,2018-04-05 20:15:00, old newz,0,0,0,0,0,0,0.09680518,0.055931285,0.8472635,Neu,0.040873893,stockitchen
2,2018-04-05 20:08:01, I’m rooting for Nicklaus’ caddy,0,1,0,0,0,0,0.054038867,0.03385967,0.91210145,Neu,0.020179197,stockitchen
3,2018-04-05 20:06:02,  show me your work behind determining your stated confidence interval,1,1,0,1,0,0,0.10069509,0.011326364,0.88797855,Neu,0.08936872,stockitchen
4,2018-04-05 20:04:02,Due to the limited sample size all we’ve determined is that 3 people like crack rock,1,1,0,0,0,2,0.038285002,0.020243013,0.94147205,Neu,0.018041989,stockitchen
5,2018-04-04 16:04:00,Crack Rock is the ____ Frank Ocean song,0,1,0,1,0,0,0.039481882,0.041550703,0.91896737,Neu,-0.0020688213,stockitchen
6,2018-04-03 02:14:00, No free ads,0,0,0,0,0,0,0.02127739,0.05237421,0.9263484,Neu,-0.03109682,stockitchen
7,2018-04-02 20:43:05, we were planning on taking a large stake in epic games but not with these matchmaking issues,1,1,0,0,0,1,0.047233626,0.013387475,0.93937886,Neu,0.03384615,stockitchen
8,2018-04-02 20:17:04,Best version of knockin on heaven’s door:,0,0,0,0,0,0,0.25466704,0.019303646,0.72602934,Neu,0.2353634,stockitchen
9,2018-04-02 16:53:01,Spotify ipo is about to be wild ride get ready folks,0,1,0,0,0,1,0.11271945,0.012414879,0.87486565,Neu,0.10030457,stockitchen
11,2018-03-17 03:34:00, Unbelievable really,0,0,0,0,0,0,0.060118392,0.07238593,0.8674956,Neu,-0.012267537,stockitchen
12,2018-03-16 17:06:05,  Shut the fuck up Jarrett,0,0,0,0,0,0,0.0760749,0.33235317,0.5915719,Neu,-0.25627828,stockitchen
13,2018-03-15 16:32:02, Don’t you mean gimme that content (unmade) babey,0,1,0,0,0,2,0.04296355,0.028500041,0.9285364,Neu,0.0144635085,stockitchen
14,2018-03-11 19:58:02, Celebration and amazing wildly under seeded in my opinion,1,1,0,0,0,0,0.3651183,0.020353658,0.61452806,Neu,0.34476465,stockitchen
