id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
980911129974190080,breakoutstocks,2018-04-02 21:53:32 BST,+0100,15897179,See which stocks are hot...Today's Biggest Breakouts  https://t.co/HcVmgpJpA5  1:53pm pst,[],['http://topbreakoutstocks.com/day'],0,0,0,[],False,
980869918282272768,breakoutstocks,2018-04-02 19:09:46 BST,+0100,15897179,"New breakout highs for $SLS, $VALE, $M  https://t.co/WHy8M8KjIc",[],['http://topbreakoutstocks.com/high'],1,1,0,[],False,
980838829794852864,breakoutstocks,2018-04-02 17:06:14 BST,+0100,15897179,Top Performing Breakout Stocks in the last 7 days  https://t.co/1sJuVsMcV1  9:06am pst,[],['http://topbreakoutstocks.com/week'],0,1,1,[],False,
980794990942068738,breakoutstocks,2018-04-02 14:12:02 BST,+0100,15897179,Don't get left behind...Stocks to Watch  https://t.co/KpMaQmb7gN   6:11am pst  #stocks,[],['http://topbreakoutstocks.com/watch'],0,1,0,['stocks'],False,
980599732979482624,breakoutstocks,2018-04-02 01:16:09 BST,+0100,15897179,Stocks Watch  https://t.co/KpMaQmb7gN   5:15pm pst  #stocks,[],['http://topbreakoutstocks.com/watch'],0,1,2,['stocks'],False,
980549846959403008,breakoutstocks,2018-04-01 21:57:55 BST,+0100,15897179,Monster Breakouts  https://t.co/tJ3nkKIZN0  $RKDA $NIHD $ECYT,[],['http://topbreakoutstocks.com/booming'],0,0,1,[],False,
980202013580382208,breakoutstocks,2018-03-31 22:55:45 BST,+0100,15897179,Top 5 Performing Breakout Stocks within the last Month   https://t.co/nZzl6gy3Rk $AMTX $SMRT $OMEX,[],['http://topbreakoutstocks.com/month'],0,3,5,[],False,
980160615309176832,breakoutstocks,2018-03-31 20:11:15 BST,+0100,15897179,Tired of market opinions? Get the facts  https://t.co/ReOGVz4xLV #stocks,[],['http://topbreakoutstocks.com'],0,0,1,['stocks'],False,
980091172293980161,breakoutstocks,2018-03-31 15:35:19 BST,+0100,15897179,Top Performing Breakout Stocks of the Week  https://t.co/1sJuVsMcV1  7:35am pst,[],['http://topbreakoutstocks.com/week'],0,0,2,[],False,
980058579368464384,breakoutstocks,2018-03-31 13:25:48 BST,+0100,15897179,Create a system or add on to an exisiting system using our data  https://t.co/ReOGVz4xLV,[],['http://topbreakoutstocks.com'],0,0,1,[],False,
979960636938452993,breakoutstocks,2018-03-31 06:56:37 BST,+0100,15897179,What are Breakout Stocks?  https://t.co/laHZpgO8cB,[],['http://topbreakoutstocks.com/help'],0,0,2,[],False,
979930428214624256,breakoutstocks,2018-03-31 04:56:34 BST,+0100,15897179,Biggest Breakouts within the last Month   https://t.co/nZzl6gy3Rk  8:56pm pst,[],['http://topbreakoutstocks.com/month'],0,0,0,[],False,
979882674335576065,breakoutstocks,2018-03-31 01:46:49 BST,+0100,15897179,What usually happens after Apple $AAPL breaks out?  https://t.co/YrOAPbLqkd,[],['http://topbreakoutstocks.com/aapl'],1,0,1,[],False,
979822562329821184,breakoutstocks,2018-03-30 21:47:57 BST,+0100,15897179,Stocks Close to Breaking Out  https://t.co/KpMaQmb7gN   1:47pm pst,[],['http://topbreakoutstocks.com/watch'],0,0,1,[],False,
979751324148408320,breakoutstocks,2018-03-30 17:04:53 BST,+0100,15897179,Mid-Day update:  Stocks to Watch  https://t.co/KpMaQmb7gN   9:04am pst,[],['http://topbreakoutstocks.com/watch'],0,1,2,[],False,
979741855611932672,breakoutstocks,2018-03-30 16:27:15 BST,+0100,15897179,Top breakout stocks since yesterday  https://t.co/c06FKxqM2i $ALDR $PVH $SMRT  at  8:27am pst,[],['http://topbreakoutstocks.com/gainers'],0,0,2,[],False,
979707586969677825,breakoutstocks,2018-03-30 14:11:05 BST,+0100,15897179,Could be the next big one...Stocks near breakout  https://t.co/KpMaQmb7gN   6:10am pst,[],['http://topbreakoutstocks.com/watch'],0,0,0,[],False,
979681258144915461,breakoutstocks,2018-03-30 12:26:28 BST,+0100,15897179,Breakout Trading Ideas  https://t.co/0Xh0LCCTlA   4:26am pst,[],['http://www.topbreakoutstocks.com/ideas'],0,0,0,[],False,
979598776103940098,breakoutstocks,2018-03-30 06:58:42 BST,+0100,15897179,5 Stocks that broke out today with a high average gain after previous breakouts  https://t.co/eJYSjxyscu  10:58pm pst,[],['http://topbreakoutstocks.com/top'],0,0,0,[],False,
979568548728090624,breakoutstocks,2018-03-30 04:58:36 BST,+0100,15897179,Breakout Watch  https://t.co/KpMaQmb7gN   8:58pm pst,[],['http://topbreakoutstocks.com/watch'],0,0,1,[],False,
979524226431336448,breakoutstocks,2018-03-30 02:02:28 BST,+0100,15897179,Active stocks breaking out  https://t.co/WHy8M8KjIc   6:02pm pst,[],['http://topbreakoutstocks.com/high'],0,2,1,[],False,
979461684086562816,breakoutstocks,2018-03-29 21:53:57 BST,+0100,15897179,High Frequency Breakouts  https://t.co/Z7h1lnUe2U  1:53pm pst,[],['http://topbreakoutstocks.com/frequent'],0,0,0,[],False,
979426050122825728,breakoutstocks,2018-03-29 19:32:21 BST,+0100,15897179,"186 new highs, 89 new lows   https://t.co/ReOGVz4xLV",[],['http://topbreakoutstocks.com'],0,0,1,[],False,
979387840516603905,breakoutstocks,2018-03-29 17:00:31 BST,+0100,15897179,Best breakout stocks of the day  https://t.co/HcVmgprObv $HELE $REED $RGR  at  9:00am pst,[],['http://topbreakoutstocks.com/day'],0,0,1,[],False,
979373746577293318,breakoutstocks,2018-03-29 16:04:31 BST,+0100,15897179,Breakout stocks up the most since yesterday  https://t.co/c06FKxqM2i  8:04am pst,[],['http://topbreakoutstocks.com/gainers'],0,0,0,[],False,
979344899525951488,breakoutstocks,2018-03-29 14:09:54 BST,+0100,15897179,6 Top Breakout Stocks to Watch  https://t.co/KpMaQmb7gN $$  6:09am pst  #stocks,[],['http://topbreakoutstocks.com/watch'],0,0,0,['stocks'],False,
979317493268234240,breakoutstocks,2018-03-29 12:20:59 BST,+0100,15897179,"""Believing your thoughts is the primary cause of all suffering"" - trading coach Van Tharp",[],[],0,0,0,[],False,
979234698323935234,breakoutstocks,2018-03-29 06:52:00 BST,+0100,15897179,High relative volume breakout stocks  https://t.co/nMliX17A5L 10:51pm pst,[],['http://topbreakoutstocks.com/highrv'],0,0,0,[],False,
979204474492223488,breakoutstocks,2018-03-29 04:51:54 BST,+0100,15897179,Top Breakout Stocks to Watch  https://t.co/KpMaQmb7gN $$  8:51pm pst,[],['http://topbreakoutstocks.com/watch'],0,0,1,[],False,
979158654325682177,breakoutstocks,2018-03-29 01:49:49 BST,+0100,15897179,Top stock performers today  https://t.co/HcVmgprObv  5:49pm pst,[],['http://topbreakoutstocks.com/day'],0,0,0,[],False,
979098835417903104,breakoutstocks,2018-03-28 21:52:07 BST,+0100,15897179,Monster Breakouts  https://t.co/tJ3nkKIZN0  $RKDA $NIHD $AMTX,[],['http://topbreakoutstocks.com/booming'],0,0,0,[],False,
979061153945960448,breakoutstocks,2018-03-28 19:22:23 BST,+0100,15897179,Top Performing Breakout Stocks within the last Week  https://t.co/1sJuVsMcV1 $OMEX $SHOS $CDNA,[],['http://topbreakoutstocks.com/week'],0,1,1,[],False,
979027137758818304,breakoutstocks,2018-03-28 17:07:13 BST,+0100,15897179,"94 new breakout highs, 420 new breakdown lows   https://t.co/ReOGVz4xLV",[],['http://topbreakoutstocks.com'],0,0,2,[],False,
979012273162280961,breakoutstocks,2018-03-28 16:08:09 BST,+0100,15897179,Top breakout stocks since yesterday  https://t.co/c06FKxqM2i $NSTG $SEAS $LSI  at  8:08am pst,[],['http://topbreakoutstocks.com/gainers'],0,0,0,[],False,
978982370949742592,breakoutstocks,2018-03-28 14:09:20 BST,+0100,15897179,5 Stocks to Watch - Breakdowns  https://t.co/gCTRBw6hDt   6:09am pst,[],['http://www.topbreakoutstocks.com/watchbd'],0,0,0,[],False,
978868778892234752,breakoutstocks,2018-03-28 06:37:58 BST,+0100,15897179,"$NSPR, $TVIX, $ASTC, $XLU, $USG hit new breakout highs   https://t.co/WHy8M91V6M",[],['http://topbreakoutstocks.com/high'],0,0,1,[],False,
978838560634585089,breakoutstocks,2018-03-28 04:37:53 BST,+0100,15897179,Breakout Trading Ideas  https://t.co/0Xh0LCCTlA $$  8:37pm pst,[],['http://www.topbreakoutstocks.com/ideas'],0,0,0,[],False,
978794459239362560,breakoutstocks,2018-03-28 01:42:38 BST,+0100,15897179,Stocks to Watch - Breakdowns  https://t.co/gCTRBw6hDt   5:42pm pst,[],['http://www.topbreakoutstocks.com/watchbd'],0,1,0,[],False,
978737104627757056,breakoutstocks,2018-03-27 21:54:44 BST,+0100,15897179,5 stocks getting crushed  https://t.co/PKlLlrgswi,[],['http://topbreakoutstocks.com/tanking'],0,1,0,[],False,
978691969860870144,breakoutstocks,2018-03-27 18:55:23 BST,+0100,15897179,"92 new breakouts, 62 new breakdowns   https://t.co/ReOGVz4xLV",[],['http://topbreakoutstocks.com'],0,0,0,[],False,
978662657367539712,breakoutstocks,2018-03-27 16:58:54 BST,+0100,15897179,Mid-Day update:  Stocks to Watch  https://t.co/KpMaQmb7gN   8:58am pst,[],['http://topbreakoutstocks.com/watch'],0,0,2,[],False,
978648719091380230,breakoutstocks,2018-03-27 16:03:31 BST,+0100,15897179,Top breakouts since yesterday  https://t.co/c06FKxqM2i  8:03am pst,[],['http://topbreakoutstocks.com/gainers'],0,0,0,[],False,
978620382499414016,breakoutstocks,2018-03-27 14:10:55 BST,+0100,15897179,Sort through the noise in the market with the Top 10 Stocks to Watch each day  https://t.co/KpMaQmb7gN   6:10am pst  #stocks,[],['http://topbreakoutstocks.com/watch'],0,0,0,['stocks'],False,
978604791176749056,breakoutstocks,2018-03-27 13:08:58 BST,+0100,15897179,Active stocks breaking out  https://t.co/WHy8M8KjIc   5:08am pst,[],['http://topbreakoutstocks.com/high'],0,0,1,[],False,
978522060832911361,breakoutstocks,2018-03-27 07:40:14 BST,+0100,15897179,"""It never was my thinking that made the big money for me. It always was my sitting...my sitting tight!"" - Jesse Livermore #stocks",[],[],0,1,2,['stocks'],False,
978491839283044354,breakoutstocks,2018-03-27 05:40:08 BST,+0100,15897179,Top Stocks to Watch  https://t.co/KpMaQmb7gN   9:39pm pst  #stocks,[],['http://topbreakoutstocks.com/watch'],0,0,0,['stocks'],False,
978440962224439297,breakoutstocks,2018-03-27 02:17:58 BST,+0100,15897179,5 stocks that breakout often  https://t.co/Z7h1lnUe2U  6:17pm pst,[],['http://topbreakoutstocks.com/frequent'],0,1,0,[],False,
978374095581560832,breakoutstocks,2018-03-26 21:52:16 BST,+0100,15897179,High Frequency Breakouts  https://t.co/Z7h1lnUe2U  1:52pm pst,[],['http://topbreakoutstocks.com/frequent'],0,0,0,[],False,
978335929407488000,breakoutstocks,2018-03-26 19:20:36 BST,+0100,15897179,Active stocks breaking out  https://t.co/WHy8M8KjIc  $PBR $LOW $FINL,[],['http://topbreakoutstocks.com/high'],0,1,0,[],False,
978301176436293632,breakoutstocks,2018-03-26 17:02:31 BST,+0100,15897179,Mid-Day update:  Stocks to Watch  https://t.co/KpMaQmb7gN   9:02am pst,[],['http://topbreakoutstocks.com/watch'],0,1,0,[],False,
978286593122254848,breakoutstocks,2018-03-26 16:04:34 BST,+0100,15897179,Breakout stocks up the most since yesterday  https://t.co/c06FKxqM2i  8:04am pst,[],['http://topbreakoutstocks.com/gainers'],0,1,1,[],False,
978257992649863168,breakoutstocks,2018-03-26 14:10:55 BST,+0100,15897179,Breakout Watch  https://t.co/KpMaQmb7gN   6:10am pst,[],['http://topbreakoutstocks.com/watch'],0,0,1,[],False,
978068671711989761,breakoutstocks,2018-03-26 01:38:37 BST,+0100,15897179,Top Stocks Close to Breaking Out  https://t.co/KpMaQmb7gN   5:38pm pst,[],['http://topbreakoutstocks.com/watch'],2,0,3,[],False,
978012802236338177,breakoutstocks,2018-03-25 21:56:37 BST,+0100,15897179,Booming Breakouts  https://t.co/tJ3nkKIZN0   $$,[],['http://topbreakoutstocks.com/booming'],0,0,2,[],False,
977969975208980481,breakoutstocks,2018-03-25 19:06:26 BST,+0100,15897179,Stocks that breakdown often  https://t.co/Mkdc06GC0k 11:06am pst,[],['http://topbreakoutstocks.com/frequentbd'],0,0,0,[],False,
977668992352464897,breakoutstocks,2018-03-24 22:10:26 GMT,+0100,15897179,Biggest Breakouts within the last Month   https://t.co/nZzl6gy3Rk $ABIL $RKDA $NIHD,[],['http://topbreakoutstocks.com/month'],0,0,3,[],False,
977614091249319936,breakoutstocks,2018-03-24 18:32:17 GMT,+0100,15897179,See which stocks do the best after breaking out  https://t.co/ReOGVz4xLV,[],['http://topbreakoutstocks.com'],0,0,1,[],False,
977555019506438146,breakoutstocks,2018-03-24 14:37:33 GMT,+0100,15897179,Top Performing Breakout Stocks of the Week  https://t.co/1sJuVsMcV1  7:37am pst,[],['http://topbreakoutstocks.com/week'],0,1,0,[],False,
977503845302419456,breakoutstocks,2018-03-24 11:14:12 GMT,+0100,15897179,Get the Top 10 each day  https://t.co/lomXsgrnFd  4:14am pst,[],['http://topbreakoutstocks.com/top10'],0,1,1,[],False,
977420198419431424,breakoutstocks,2018-03-24 05:41:49 GMT,+0100,15897179,"111 new highs, 859 new lows   https://t.co/ReOGVz4xLV",[],['http://topbreakoutstocks.com'],0,0,1,[],False,
977389968371826688,breakoutstocks,2018-03-24 03:41:42 GMT,+0100,15897179,Could be the next big drop...Stocks near breakdown  https://t.co/gCTRBw6hDt   8:41pm pst,[],['http://www.topbreakoutstocks.com/watchbd'],0,0,0,[],False,
977342786444845056,breakoutstocks,2018-03-24 00:34:13 GMT,+0100,15897179,Best performing breakout stocks of the day  https://t.co/HcVmgprObv  5:34pm pst,[],['http://topbreakoutstocks.com/day'],0,1,1,[],False,
977287630860664832,breakoutstocks,2018-03-23 20:55:02 GMT,+0100,15897179,Top breakout stocks since yesterday  https://t.co/c06FKxqM2i  1:54pm pst,[],['http://topbreakoutstocks.com/gainers'],0,0,0,[],False,
