id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
981980498242297856,burns277,2018-04-05 20:42:49 BST,+0100,394642779,@ricca_mark @Trader24Seven @ronbeatyjr @IngrahamAngle @Goliath Last I checked she is still on TV no? 😂😂😂😂,[],[],2,0,5,[],False,
981960717959131136,burns277,2018-04-05 19:24:13 BST,+0100,394642779,@ricca_mark @ronbeatyjr @IngrahamAngle @Goliath Lucky I don't need sponsors...😂😂😂 I just like calling out little libtards.,[],[],4,0,8,[],False,
981954695097970690,burns277,2018-04-05 19:00:17 BST,+0100,394642779,"@ronbeatyjr If the little twerp wants to get political &amp; and be an activist, better be able to take comments from others with opposing views.",[],[],9,1,10,[],False,
965942226432950272,burns277,2018-02-20 13:32:27 GMT,+0100,394642779,@steve_hanke A good idea for you to send him a proposal on this than Steve? He may listen.,[],[],0,0,0,[],False,
959056250855198725,burns277,2018-02-01 13:30:03 GMT,+0100,394642779,@DRUDGE_REPORT 😂😂😂,[],[],0,0,0,[],False,
958769879095697409,burns277,2018-01-31 18:32:06 GMT,+0100,394642779,Been watching this one for days..feeling good here on the entry long.,[],[],3,0,2,[],False,
958769085868904453,burns277,2018-01-31 18:28:57 GMT,+0100,394642779,Long ( $MARK ) this afternoon @ Mid $9's,[],[],1,0,2,[],False,
958687733819506689,burns277,2018-01-31 13:05:41 GMT,+0100,394642779,This is why I teach 😊 lovely gift from one of my students. Helping others is priceless! Changing…  https://t.co/MjHAinenZ3,[],['https://www.instagram.com/p/Bea76xrF0i6/'],4,1,4,[],False,
955814227725430784,burns277,2018-01-23 14:47:24 GMT,+0100,394642779,Page and Strzok Referenced FBI 'Secret Society' that Met the Day After the Election  https://t.co/PMgTUS09HD #Trending via @pjmedia_com,"[{'screen_name': 'pjmedia_com', 'name': 'pj media', 'id': '7597712'}]",['https://pjmedia.com/trending/page-strzok-referenced-fbi-secret-society-met-day-election/'],2,2,6,['trending'],False,
950759310023413761,burns277,2018-01-09 16:00:58 GMT,+0100,394642779,"Dimon thinks economists are dead wrong about GDP, predicts 4% U.S. growth   https://t.co/dRgQzy6UxM",[],['http://on.mktw.net/2AIEp5w'],0,2,6,[],False,
946080613810962432,burns277,2017-12-27 18:09:30 GMT,+0100,394642779,Why are Representatives &amp; Senators flying first class on taxpayers dime in the first case??  https://t.co/TRmmuKGCR8,[],['https://twitter.com/RealJamesWoods/status/945884496510910465'],6,2,9,[],False,
944205916664188928,burns277,2017-12-22 14:00:07 GMT,+0100,394642779,@jonnajarian @zerohedge +20k down to 12k? Did my prediction burst your bubble? Leave trading to the big boys buddy...,[],[],7,1300,27,[],False,
940596309869973504,burns277,2017-12-12 14:56:50 GMT,+0100,394642779,@zerohedge Biggest bubble ever.,[],[],6,1751,21,[],False,
937967142963687424,burns277,2017-12-05 08:49:28 GMT,+0100,394642779,Great fun at moxy rooftop bar in Times Square. . . . . . . . . . #nyse  #daytrading…  https://t.co/iIu2tIfkBe,[],['https://www.instagram.com/p/BcNjXtzFlIU/'],3,4,6,"['nyse', 'daytrading']",False,
933376821403488256,burns277,2017-11-22 16:49:10 GMT,+0100,394642779,Hope to hear @Kaepernick7 and @NFL Response to this? Seems like taking a knee to our National Anthem is the least of his problems now...Feel Terrible for this young lady   @POTUS @BreitbartTech @BreitbartNews @FOXTV @TheDailyCaller @prageru @foxnewsalert #BoycottTheNFL  https://t.co/GvWLCU8X5l,"[{'screen_name': 'kaepernick7', 'name': 'colin kaepernick', 'id': '45055696'}, {'screen_name': 'nfl', 'name': 'nfl', 'id': '19426551'}, {'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}, {'screen_name': 'breitbarttech', 'name': 'breitbart tech', 'id': '3390247768'}, {'screen_name': 'breitbartnews', 'name': 'breitbart news', 'id': '457984599'}, {'screen_name': 'foxtv', 'name': 'fox', 'id': '16537989'}, {'screen_name': 'thedailycaller', 'name': 'the daily caller', 'id': '167453294'}, {'screen_name': 'prageru', 'name': 'prageru', 'id': '41160276'}, {'screen_name': 'foxnewsalert', 'name': 'fox news alert', 'id': '31540671'}]",['https://twitter.com/J_Neese/status/849240130372161536'],8,469,294,['boycottthenfl'],False,
930464403459321858,burns277,2017-11-14 15:56:15 GMT,+0100,394642779,@Kaepernick7 @mahmudgh @GQMagazine Ur an idiot...Plain and simple. Plus a disgrace to @nfl and to America. @GQMagazine,"[{'screen_name': 'nfl', 'name': 'nfl', 'id': '19426551'}, {'screen_name': 'gqmagazine', 'name': 'gq magazine', 'id': '21701757'}]",[],45,494,74,[],False,
930431353623121920,burns277,2017-11-14 13:44:55 GMT,+0100,394642779,Missouri attorney general launches probe into Google’s business practices  https://t.co/bgSI0M71Y4 via @WSJ,"[{'screen_name': 'wsj', 'name': 'the wall street journal', 'id': '3108351'}]",['https://www.wsj.com/articles/missouri-attorney-general-launches-probe-into-googles-business-practices-1510592964'],3,3,5,[],False,
930141766279356417,burns277,2017-11-13 18:34:12 GMT,+0100,394642779,What a great day building a club house for the late Chef Shane Whiddon children. Doors to dream…  https://t.co/WWiGyeKB0H,[],['https://www.instagram.com/p/Bbal987lS1B/'],2,3,5,[],False,
922453379477057537,burns277,2017-10-23 14:23:18 BST,+0100,394642779,"Pelosi struggles to form sentences during TV interview, calls Robert Mueller ‘mother’  https://t.co/JEavizcvsr via @american_mirror",[],['http://www.theamericanmirror.com/pelosi-struggles-form-sentences-tv-interview-calls-robert-mueller-mother/'],1,4,1,[],False,
918505350201999360,burns277,2017-10-12 16:55:15 BST,+0100,394642779,@Forbes I guess just like Bill Clintons one with North Korea? 😂😂😂,[],[],1,0,1,[],False,
918504535697559552,burns277,2017-10-12 16:52:00 BST,+0100,394642779,@zerohedge Lmao! You kidding me right...what a joke,[],[],0,0,0,[],False,
918503610367004672,burns277,2017-10-12 16:48:20 BST,+0100,394642779,@xplosiveprofits @FINVIZ_com I have no postition...came up on scan,[],[],0,0,1,[],False,
918503118253494272,burns277,2017-10-12 16:46:23 BST,+0100,394642779,Nice chart $PMTS  https://t.co/gaRvFjOKpd via @FINVIZ_com,"[{'screen_name': 'finviz_com', 'name': 'finviz.com', 'id': '49319371'}]",['https://finviz.com/published_chart.ashx?t=PMTS&f=101217&i=c1dl1144'],2,1,5,[],False,
917754665357467650,burns277,2017-10-10 15:12:17 BST,+0100,394642779,"$Google,$fb &amp; $TWTR are scrambling to hold Washington at bay  https://t.co/7gfGbx361r via @technology","[{'screen_name': 'technology', 'name': 'bloomberg technology', 'id': '21272440'}]",['https://www.bloomberg.com/news/articles/2017-10-10/google-facebook-and-twitter-scramble-to-hold-washington-at-bay'],1,1,3,[],False,
917750959878664193,burns277,2017-10-10 14:57:34 BST,+0100,394642779,Big move on $ROKA this morning   https://t.co/NM0xRDfNGd via @FINVIZ_com,"[{'screen_name': 'finviz_com', 'name': 'finviz.com', 'id': '49319371'}]",['https://finviz.com/published_chart.ashx?t=ROKA&f=101017&i=c1dl0956'],2,1,5,[],False,
917431268303949831,burns277,2017-10-09 17:47:14 BST,+0100,394642779,Nice move on $QEP +4%,[],[],0,0,0,[],False,
917430862177808385,burns277,2017-10-09 17:45:37 BST,+0100,394642779,$QEP  https://t.co/PQIfxB1mF0 via @FINVIZ_com,"[{'screen_name': 'finviz_com', 'name': 'finviz.com', 'id': '49319371'}]",['https://finviz.com/published_chart.ashx?t=QEP&f=100917&i=c1dl1242'],0,0,1,[],False,
917416606338347014,burns277,2017-10-09 16:48:58 BST,+0100,394642779,@StockRipples I'm not a big Bio fan...Day trades on them suit me just fine...sometimes a swing or two on a small position 2% of port....,[],[],0,0,1,[],False,
917415839921594368,burns277,2017-10-09 16:45:55 BST,+0100,394642779,Very boring play $AMRN Out @ $3.51 small gain not worth the effort +$350,[],[],1,0,2,[],False,
916313356541288448,burns277,2017-10-06 15:45:03 BST,+0100,394642779,"Jobs fall by 33,000 in September as hurricanes hammer employment  https://t.co/wgUq3t9JVS",[],['http://cnb.cx/2ytnF5D'],0,3,1,[],False,
916294806850154497,burns277,2017-10-06 14:31:20 BST,+0100,394642779,@Rapid_Trader Was a fun play...,[],[],1,0,1,[],False,
915655510451527681,burns277,2017-10-04 20:11:00 BST,+0100,394642779,"Tropical Storm Nate, expected later today, could hit Gulf Coast as a hurricane  https://t.co/q2twaLUZCF",[],['http://www.miamiherald.com/news/weather/hurricane/article176926726.html'],0,3,2,[],False,
915628761885872128,burns277,2017-10-04 18:24:43 BST,+0100,394642779,CIA Official Predicts North Korean Provocation on Columbus Day | Politics | US News  https://t.co/3G6QvwKaXK,[],['https://www.usnews.com/news/politics/articles/2017-10-04/cia-official-predicts-north-korean-provocation-on-columbus-day?src=usn_tw'],0,3,2,[],False,
915628296859250694,burns277,2017-10-04 18:22:52 BST,+0100,394642779,@stock_movez @steve_hanke Take a look at #EU debt and tight regulations swamping Europe and stagnation..Will get worse. Nations are all stuck in it..Euro overpriced.,[],[],0,0,1,['eu'],False,
915627012710129667,burns277,2017-10-04 18:17:46 BST,+0100,394642779,@xplosiveprofits I'm not one to buy heavy on bios' but like the risk/reward on this one.,[],[],0,0,0,[],False,
915626389239422980,burns277,2017-10-04 18:15:17 BST,+0100,394642779,2% of Portfolio.,[],[],0,0,3,[],False,
915626334117822465,burns277,2017-10-04 18:15:04 BST,+0100,394642779,Added to my position long on $AMRN,[],[],3,2,4,[],False,
914489282819174401,burns277,2017-10-01 14:56:50 BST,+0100,394642779,@steve_hanke EU is following in the same footsteps..just early stages.,[],[],1,0,0,[],False,
913078517922795520,burns277,2017-09-27 17:30:57 BST,+0100,394642779,Marc Chagall Russian-French artist. 1887-1985. Saint Paul de France. Another one of my fave…  https://t.co/BYQHxNKhU0,[],['https://www.instagram.com/p/BZjRFZElwZi/'],1,1,3,[],False,
913057762917134336,burns277,2017-09-27 16:08:29 BST,+0100,394642779,$AMRN  https://t.co/fhIQmsXHBG,[],['https://finviz.com/chart.ashx?t=AMRN&ty=c&ta=1&p=d&s=l'],0,0,3,[],False,
