id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
979372216138764293,charliebilello,2018-03-29 15:58:26 BST,+0100,1413027896,"Top 20 Cryptocurrencies...  Market Cap, Dec 31, 2017: $512 billion  Market Cap, Today: $240 billion  $ Change: -$272 billion  % Change: -53%  https://t.co/i6gNraYhYE",[],[],7,76,88,[],False,
979356315603689472,charliebilello,2018-03-29 14:55:15 BST,+0100,1413027896,Jobless claims number much stronger than it looks... US Labor Force in 1973: 87 million. US Labor Force in 2018: 162 million.,[],[],1,13,21,[],False,
979355142125506560,charliebilello,2018-03-29 14:50:36 BST,+0100,1413027896,"US Initial Jobless claims hit their lowest level in 45 years: 215,000.  https://t.co/loJS2IS8Xv",[],[],5,65,74,[],False,
979132102909267974,charliebilello,2018-03-29 00:04:19 BST,+0100,1413027896,"1-Year US Treasury Yield closes at its highest level since September 8, 2008: 2.12%.  https://t.co/srYkPpCDfZ",[],[],8,89,96,[],False,
979131572753494018,charliebilello,2018-03-29 00:02:12 BST,+0100,1413027896,US Yield Curve at its flattest level of the expansion: 49 bps spread b/t 10-yr and 2-yr yields.  https://t.co/5Z8feQ3Gf6,[],[],6,76,110,[],False,
979005034250858498,charliebilello,2018-03-28 15:39:23 BST,+0100,1413027896,Global Equity Returns...  https://t.co/DtLSZo9YjM,[],[],1,42,54,[],False,
979001581969596416,charliebilello,2018-03-28 15:25:40 BST,+0100,1413027896,Largest/broadest equity correction since early 2016. Only 20% of sectors above their 50-day moving average.  https://t.co/y1k6bGRQbr,[],[],2,103,169,[],False,
978995625332236290,charliebilello,2018-03-28 15:02:00 BST,+0100,1413027896,"It would also bring the expansion to 105 months, 2 months shy of being the 2nd longest expansion in US history...  https://t.co/xMML7R4W7e",[],[],1,2,7,[],False,
978995107054661633,charliebilello,2018-03-28 14:59:57 BST,+0100,1413027896,Latest Atlanta Fed estimate is for 1.8% growth in Q1 2018. That would bring year-over-year number up to 2.7%.  https://t.co/DYPNJmNt87,[],[],2,4,6,[],False,
978994268571340800,charliebilello,2018-03-28 14:56:37 BST,+0100,1413027896,"Final Q4 GDP edges higher, growth now running at 2.6% year-over-year.  https://t.co/F9okmzITCT",[],[],1,2,7,[],False,
978992640053170176,charliebilello,2018-03-28 14:50:08 BST,+0100,1413027896,Spread b/t 10-year and 3-month Treasury Yields at narrowest level of the expansion: 101 bps.  https://t.co/1QPg82wnDM,[],[],0,2,7,[],False,
978989258332626944,charliebilello,2018-03-28 14:36:42 BST,+0100,1413027896,"Country ETF, Average Returns...  2017: +28%   2018 YTD: +0.1%  https://t.co/Ba3Mfwc8JH",[],[],0,10,19,[],False,
978987872509362176,charliebilello,2018-03-28 14:31:12 BST,+0100,1413027896,The Yen and the Euro are both up over 11% vs. the US Dollar in the past 3 years. These were the headlines 3 years ago...  https://t.co/Q4skYvhZ6O,[],[],0,7,18,[],False,
978985893519380482,charliebilello,2018-03-28 14:23:20 BST,+0100,1413027896,Japanese Yen leading all major currencies this year against the U.S. Dollar. Currency ETF Returns...      $FXY  https://t.co/3uRFiYSTCg,[],[],3,5,15,[],False,
978983718864998402,charliebilello,2018-03-28 14:14:41 BST,+0100,1413027896,Commodity Returns...  https://t.co/BcAOaW7TFw,[],[],1,40,64,[],False,
978659829807009793,charliebilello,2018-03-27 16:47:40 BST,+0100,1413027896,Bitcoin is down 42% thus far in 2018. It would need to go down another 88% from here to erase the gains from 2017. $BTC.X  https://t.co/EryANS5iaV,[],[],1,31,21,[],False,
978658426942296066,charliebilello,2018-03-27 16:42:06 BST,+0100,1413027896,Bitcoin: historical volatility and drawdowns. $BTC.X  https://t.co/U4L7SSbQpv,[],[],4,33,45,[],False,
