id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
981264765896011776,chitownba,2018-04-03 21:18:45 BST,+0100,385138826,#CL_F tough spot just above if we rally…blue area resistance.  https://t.co/WCqpQfEYS8,[],[],1,0,3,['cl_f'],False,
981250715401248768,chitownba,2018-04-03 20:22:55 BST,+0100,385138826,…messy ass day but 2600 now turning support and 2640 is in sight with ability to squeeze to 2700+ if bulls take hold #ES_F and press.,[],[],0,0,2,['es_f'],False,
981203445381246976,chitownba,2018-04-03 17:15:05 BST,+0100,385138826,@MSGCapital @snarkosaurous @KangCotton @SouthTradr @dalepitsfarm @MisterCommodity #winning,[],[],0,0,1,['winning'],False,
981189246491987970,chitownba,2018-04-03 16:18:40 BST,+0100,385138826,"@MarginalCall was just eying 50% of the dump from ~2638 to yest low. But I’ll check out 09s, thank u.",[],[],1,0,0,[],False,
981187094889541632,chitownba,2018-04-03 16:10:07 BST,+0100,385138826,"@MarginalCall 2595 was the 50% retrace, bulls let the bears have that but held just above that key 2570 level and pressed. Bears look in trouble short term here.",[],[],1,0,0,[],False,
981185994631282689,chitownba,2018-04-03 16:05:45 BST,+0100,385138826,&lt; Bears held 2590s and now bulls recaptured. Open to a move up to 2640+ up to 2710-20 zone #ES_F w/2570s key for bulls to defend now.,[],[],2,0,2,['es_f'],False,
980953298005094400,chitownba,2018-04-03 00:41:06 BST,+0100,385138826,"#ES_F Daily | buyers off the prev bear trap are defending 2530-50 zone, we lose that and stops trigger more supply down to the blue eclipse 2415-2460 range. Bulls need 2640+ to trigger large short squeeze imo. 2590s resistance for now.  https://t.co/95F5dEonvb",[],[],1,1,5,['es_f'],False,
980864342420844544,chitownba,2018-04-02 18:47:37 BST,+0100,385138826,#ES_F 2537-54 zone of interest below but if we lose that in coming days 2450 area likely on tap.  https://t.co/va8UfsJmW3,[],[],0,0,4,['es_f'],False,
980468373422297090,chitownba,2018-04-01 16:34:11 BST,+0100,385138826,@FutureFlow_ESG Great for after dinner!,[],[],0,0,0,[],False,
980272943560347649,chitownba,2018-04-01 03:37:36 BST,+0100,385138826,@IronFlies Next ones for u sir 🤮🤣  https://t.co/1uvehgWN2J,[],[],0,0,1,[],False,
980253621425188864,chitownba,2018-04-01 02:20:50 BST,+0100,385138826,@LongTplexTrader Looks “below his pay grade” 😂,[],[],0,0,0,[],False,
980226269513166849,chitownba,2018-04-01 00:32:09 BST,+0100,385138826,@MarcoMNYC @marchmadness Precisely why I became so passionate about it. Unreal.,[],[],0,0,1,[],False,
980221756416946177,chitownba,2018-04-01 00:14:13 BST,+0100,385138826,"This fucking bar is packed now, when u know what ur customers want...takes some risk out. When businesses close never surprises me as most can’t even execute “simple”.",[],[],0,0,1,[],False,
980215224031727616,chitownba,2018-03-31 23:48:15 BST,+0100,385138826,@dukeness I’m in moline 🙄,[],[],1,0,0,[],False,
980213101650948096,chitownba,2018-03-31 23:39:49 BST,+0100,385138826,"I asked 75% of the tables why they came to the bar, lazy ass manager never left the post smdh",[],[],2,0,0,[],False,
980212458609692674,chitownba,2018-03-31 23:37:16 BST,+0100,385138826,I just petitioned an entire bar to get @marchmadness audio put on and we won! Signatures and all...Fuck yea! The small wins in life.,"[{'screen_name': 'marchmadness', 'name': 'ncaa march madness', 'id': '202416362'}]",[],2,1,4,[],False,
980131726524592128,chitownba,2018-03-31 18:16:28 BST,+0100,385138826,@RudyHavenstein #ShartWithConfidence,[],[],0,0,0,['shartwithconfidence'],False,
980124544588550144,chitownba,2018-03-31 17:47:55 BST,+0100,385138826,@The_Only_Kee I’d be grabbing a few cold ones and a lawn chair for that show!,[],[],1,0,0,[],False,
980115068439457792,chitownba,2018-03-31 17:10:16 BST,+0100,385138826,@LongTplexTrader def how you’d respond...  https://t.co/vzEpz0eQAk,[],[],1,0,1,[],False,
980100160553439232,chitownba,2018-03-31 16:11:02 BST,+0100,385138826,What the...F  https://t.co/XATmcFPqY8,[],[],8,3,9,[],False,
979926659121008640,chitownba,2018-03-31 04:41:36 BST,+0100,385138826,@chigrl 🤮,[],[],0,0,2,[],False,
979925247871811585,chitownba,2018-03-31 04:35:59 BST,+0100,385138826,@IronFlies Buck up,[],[],0,0,2,[],False,
979918590483877893,chitownba,2018-03-31 04:09:32 BST,+0100,385138826,Cheers!  https://t.co/oWQYXmZmaL,[],[],2,0,6,[],False,
979442123815694337,chitownba,2018-03-29 20:36:14 BST,+0100,385138826,"@erwillia ES caught a few too many looking for 60+, incl myself but realized 3.27 breakdown area was the stopping point and got flat.",[],[],0,0,0,[],False,
979439455240097792,chitownba,2018-03-29 20:25:37 BST,+0100,385138826,"@reabelgk thx got flat 54s, Cheers!",[],[],0,0,0,[],False,
979434790469414914,chitownba,2018-03-29 20:07:05 BST,+0100,385138826,@reabelgk ES yes but down to a runner,[],[],0,0,0,[],False,
979431323453546496,chitownba,2018-03-29 19:53:19 BST,+0100,385138826,@reabelgk 2667s are my daily level which is just below Jan lows so def interesting spot to close out the Q1,[],[],0,0,0,[],False,
979430663219830785,chitownba,2018-03-29 19:50:41 BST,+0100,385138826,@reabelgk 6700 is a daily # so those are always a stretch for intraday in my book unless its a monster FU then I’m just aware that its possible 1-3 days out.,[],[],0,0,0,[],False,
979429925986996224,chitownba,2018-03-29 19:47:45 BST,+0100,385138826,#ES_F 54/55 zone was 3/27 breakdown area so watch this spot.,[],[],0,0,2,['es_f'],False,
979429302814040066,chitownba,2018-03-29 19:45:17 BST,+0100,385138826,6700 target just opened up #NQ_F 😳,[],[],0,0,0,['nq_f'],False,
979416899363721216,chitownba,2018-03-29 18:56:00 BST,+0100,385138826,Have a daily tgt @ 2667 so hmmmm…  https://t.co/VxOtupVAMj,[],[],0,0,0,[],False,
