id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
979364909162160128,danzanger,2018-03-29 15:29:24 BST,+0100,49663664,You can afford to be wrong when your winners are 10 times the size of a small losing trade.,[],[],0,12,53,[],False,
979363387456020480,danzanger,2018-03-29 15:23:21 BST,+0100,49663664,Your job as a trader is to wait for the best opportunities. Money is made stalking and sitting not being active &amp; forcing a new trade each day.,[],[],8,47,194,[],False,
978662125949407234,danzanger,2018-03-27 16:56:48 BST,+0100,49663664,Select stocks continue to do well $SGH $NVDA $AMZN $ADBE $NFLX $NOC and more,[],[],2,2,7,[],False,
978660196510785537,danzanger,2018-03-27 16:49:08 BST,+0100,49663664,Get my free Market Insight email updates once per week.  https://t.co/sU0Gdj9Jen  Don't miss the next big winners!,[],['http://get.chartpattern.com/zangerupdates/'],0,1,2,[],False,
978333650600235008,danzanger,2018-03-26 19:11:33 BST,+0100,49663664,"For those who can't handle small losses on a regular basis, find another interest!  Papercuts are a necessary part of the game.",[],[],1,14,70,[],False,
978290784997912577,danzanger,2018-03-26 16:21:13 BST,+0100,49663664,These Golden Rules &amp; Trading Tips helped me to make a fortune &amp; keep it!   https://t.co/b0nIK2XoMG,[],['http://www.chartpattern.com/golden-rules.cfm'],0,3,8,[],False,
977933338638999552,danzanger,2018-03-25 16:40:51 BST,+0100,49663664,Want to understand my method? Here is a starting point  https://t.co/bVkUyuYSUr,[],['https://youtu.be/Syr8hz7yk6A'],0,3,20,[],False,
977200558682632192,danzanger,2018-03-23 15:09:03 GMT,+0100,49663664,We catch these huge winning moves live on my site. Use 2 free weeks to see proof for yourself.   https://t.co/st1uKs2tId,[],['http://www.chartpattern.com/membership.cfm'],0,1,7,[],False,
976158707401752578,danzanger,2018-03-20 18:09:06 GMT,+0100,49663664,"HUGE losses taught me what was needed to run that $10,775 into $18,000,000 in less than 2 years and have provided me fortunes since!",[],[],4,11,76,[],False,
976123523214336001,danzanger,2018-03-20 15:49:18 GMT,+0100,49663664,Get my free Market Insight email updates once per week.  https://t.co/sU0Gdj9Jen  Don't miss the next big winners!,[],['http://get.chartpattern.com/zangerupdates/'],0,1,2,[],False,
976053110669037569,danzanger,2018-03-20 11:09:30 GMT,+0100,49663664,$TWLO - Working well but the market is struggling.  https://t.co/6A52z88cUr,[],[],0,0,10,[],False,
976052820255412225,danzanger,2018-03-20 11:08:21 GMT,+0100,49663664,$SQ Working well from the last 2 buy areas.  https://t.co/TEWRQWdsfl,[],[],1,4,11,[],False,
976052596896038912,danzanger,2018-03-20 11:07:27 GMT,+0100,49663664,$ALNY - Working well from the buy area  https://t.co/CNwyCgD2NH,[],[],0,0,10,[],False,
976052372106563584,danzanger,2018-03-20 11:06:34 GMT,+0100,49663664,$FB - Still avoiding  https://t.co/fB2DNIAOm1,[],[],0,3,7,[],False,
976052252787068929,danzanger,2018-03-20 11:06:05 GMT,+0100,49663664,$AMZN - Reduced  https://t.co/xdagWFkH0n,[],[],0,1,8,[],False,
975801325152821249,danzanger,2018-03-19 18:29:00 GMT,+0100,49663664,Some people still believe the largest factor in trading success is being correct. Funny as my largest gains came on less than 30% of trades,[],[],1,7,43,[],False,
975760813897240576,danzanger,2018-03-19 15:48:01 GMT,+0100,49663664,"Never believe in your stocks, only your stops .....",[],[],1,38,124,[],False,
974259043027050496,danzanger,2018-03-15 12:20:31 GMT,+0100,49663664,Buy the rumor and sell the news is working well on this short on $X  https://t.co/B3YIG15r60,[],[],0,0,10,[],False,
974258869600968710,danzanger,2018-03-15 12:19:50 GMT,+0100,49663664,$TWLO - Grinding higher which is good for this position  https://t.co/iDy6mvLQkp,[],[],0,0,5,[],False,
974258697647083520,danzanger,2018-03-15 12:19:09 GMT,+0100,49663664,$SQ - Super action from my last buy area  https://t.co/1sxGRIQLjv,[],[],0,2,5,[],False,
974258584442810368,danzanger,2018-03-15 12:18:42 GMT,+0100,49663664,$SHOP still working higher  https://t.co/gv7Tu9Gs2G,[],[],0,2,5,[],False,
974258495783690240,danzanger,2018-03-15 12:18:20 GMT,+0100,49663664,$NFLX - Attacked by Citron Research but holding up  https://t.co/O9kLeVIrgE,[],[],0,2,3,[],False,
974258220339531776,danzanger,2018-03-15 12:17:15 GMT,+0100,49663664,Gene editing stocks are on the move $CRSP  https://t.co/Bbbl1DGmzF,[],[],0,0,2,[],False,
974258082120421376,danzanger,2018-03-15 12:16:42 GMT,+0100,49663664,$BA breaking the 50-day line on volume  https://t.co/SHoQ9Ege0J,[],[],0,0,3,[],False,
974257928239767552,danzanger,2018-03-15 12:16:05 GMT,+0100,49663664,$ANAB  https://t.co/m9dx4e30uS,[],[],0,0,5,[],False,
974257748916523008,danzanger,2018-03-15 12:15:22 GMT,+0100,49663664,Let's start with charts with the $SPX $SPY $ES_F  https://t.co/ThARIevg1o,[],[],0,1,6,[],False,
973600432470810624,danzanger,2018-03-13 16:43:26 GMT,+0100,49663664,My live training seminar is coming up next month and it is filling up fast. Don't miss it.    https://t.co/D1FyF2R67A,[],['https://goo.gl/aR7N79'],1,1,3,[],False,
973586751330619392,danzanger,2018-03-13 15:49:04 GMT,+0100,49663664,Get my free Market Insight email updates once per week.  https://t.co/sU0Gdj9Jen  Don't miss the next big winners!,[],['http://get.chartpattern.com/zangerupdates/'],0,1,1,[],False,
973581058426986496,danzanger,2018-03-13 15:26:27 GMT,+0100,49663664,A very good week for $ALNY and looks like more to come.,[],[],0,0,9,[],False,
973579761007112194,danzanger,2018-03-13 15:21:17 GMT,+0100,49663664,These Golden Rules &amp; Trading Tips helped me to make a fortune &amp; keep it!   https://t.co/b0nIK2XoMG,[],['http://www.chartpattern.com/golden-rules.cfm'],0,4,11,[],False,
973222289218170880,danzanger,2018-03-12 15:40:50 GMT,+0100,49663664,Want to understand my method? Here is a starting point  https://t.co/bVkUyuYSUr,[],['https://youtu.be/Syr8hz7yk6A'],0,4,24,[],False,
971768294557585410,danzanger,2018-03-08 15:23:10 GMT,+0100,49663664,Your job as a trader is to wait for the best opportunities. Money is made stalking and sitting not being active &amp; forcing a new trade each day.,[],[],6,62,228,[],False,
