id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
981663630109302784,mark_dow,2018-04-04 23:43:42 BST,+0100,286654612,@IvanTheK Yes. It has a very good batting average.,[],[],1,0,1,[],False,
981662825285263360,mark_dow,2018-04-04 23:40:30 BST,+0100,286654612,AKA GTFO  https://t.co/n3d6OWxaLi,[],['https://twitter.com/NeerajKA/status/981533384643108864'],0,0,3,[],False,
981662574734225408,mark_dow,2018-04-04 23:39:30 BST,+0100,286654612,"@sschweibold They think about asset prices in the context of financial conditions--and think abt the stock market much less (and differently) than we think they do. Read @AngelUbide's book ""Paradox of Risk"" if you want a deeper understanding of the reaction function of the major CBs","[{'screen_name': 'angelubide', 'name': 'angel ubide', 'id': '546068444'}]",[],0,0,2,[],False,
981628384433197062,mark_dow,2018-04-04 21:23:39 BST,+0100,286654612,Duuuude  https://t.co/NNPFrVmc9q,[],['https://twitter.com/wsl/status/981624634972938240'],1,0,1,[],False,
981627802892959744,mark_dow,2018-04-04 21:21:20 BST,+0100,286654612,If she does this again I'm going to strap her to the top of the car. #GIK,[],[],0,0,6,['gik'],False,
981626769609441281,mark_dow,2018-04-04 21:17:14 BST,+0100,286654612,Still blaming the pup for my poor tactical execution yesterday and this overnight. Behold the face of zero conscience:  https://t.co/5MJrmbMaCw,[],[],4,0,50,[],False,
981618547284631553,mark_dow,2018-04-04 20:44:33 BST,+0100,286654612,@SabaCapital13 Bo.,[],[],0,0,0,[],False,
981617905467969537,mark_dow,2018-04-04 20:42:00 BST,+0100,286654612,"Go ahead, ask me what it feels like to be short $TSLA today ;)",[],[],4,0,26,[],False,
981613561330810881,mark_dow,2018-04-04 20:24:45 BST,+0100,286654612,@mbusigin True,[],[],0,0,0,[],False,
981604907424792576,mark_dow,2018-04-04 19:50:21 BST,+0100,286654612,@todd_harrison &lt;==Old enough to remember the Contra Rebels ;),[],[],0,0,2,[],False,
981599070153093120,mark_dow,2018-04-04 19:27:10 BST,+0100,286654612,$TSLA: feeeeel the squeeze,[],[],1,0,10,[],False,
981598728791343104,mark_dow,2018-04-04 19:25:48 BST,+0100,286654612,Market summary: Sneakiest flush ever,[],[],0,2,5,[],False,
981598565372850176,mark_dow,2018-04-04 19:25:09 BST,+0100,286654612,"@fullylawful Ah, ok. Gotcha.",[],[],0,0,1,[],False,
981598233188220928,mark_dow,2018-04-04 19:23:50 BST,+0100,286654612,@jimiuorio @wtf_trading @JustinMorasch Haha. #truestory,[],[],0,0,1,['truestory'],False,
981597979483107328,mark_dow,2018-04-04 19:22:50 BST,+0100,286654612,"@fullylawful Fortunately, it is. Not very likely at all. Recession? Sure. Bear market? Sure. Those things will eventually happen. But the bar is really, really high for another meltdown of our financial system.",[],[],1,0,1,[],False,
