id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
981288226672476163,modestproposal1,2018-04-03 22:51:59 BST,+0100,355866075,@ballmatthew you didn't read the hashtag it's not an opinion I just report the news,[],[],0,0,1,[],False,
981286832750067712,modestproposal1,2018-04-03 22:46:27 BST,+0100,355866075,bicycle kicks are overrated #confessanunpopularfact,[],[],4,0,4,['confessanunpopularfact'],False,
981253796788625408,modestproposal1,2018-04-03 20:35:10 BST,+0100,355866075,@MikeIsaac you're fact checking a hybrid ad tech / hilllary to wisconsin joke while on book leave!,[],[],0,0,3,[],False,
981253057274052609,modestproposal1,2018-04-03 20:32:14 BST,+0100,355866075,"@MikeIsaac ""The paper, obtained by Bloomberg and discussed here for the first time, describes in granular detail the difference between Trump’s campaign, which was focused on finding new donors, and Clinton’s campaign, which concentrated on ensuring Clinton had broad appeal.""",[],[],0,0,1,[],False,
981251557466476546,modestproposal1,2018-04-03 20:26:16 BST,+0100,355866075,"*FACEBOOK MEMO OUTLINES TRUMP CAMPAIGN'S SUCCESS OVER CLINTON *TRUMP RAN 5.9 MILLION VERSIONS OF ADS VS. 66,000 FOR CLINTON  wow can't believe Hillary didn't retarget Wisconsin",[],[],0,2,23,[],False,
981189137935028231,modestproposal1,2018-04-03 16:18:14 BST,+0100,355866075,@daveambrose this is like Podletter but real  https://t.co/GPXxQBQfWa,[],['https://twitter.com/modestproposal1/status/819987795431292934'],0,0,1,[],False,
981185870941376514,modestproposal1,2018-04-03 16:05:15 BST,+0100,355866075,"Love me some Al Czervik, but Peter Venkman is 🐐 and Ghostbusters is pantheon level rewatchable  https://t.co/kcfWMf8jCa",[],['https://twitter.com/JasonCooper22/status/981167164223733760'],0,0,5,[],False,
981138252156538880,modestproposal1,2018-04-03 12:56:02 BST,+0100,355866075,What a legend  https://t.co/ZTT26ekLzm,[],['https://twitter.com/keachhagey/status/981128317922414595'],1,11,81,[],False,
980967989540474880,modestproposal1,2018-04-03 01:39:28 BST,+0100,355866075,#NeverForget  https://t.co/evEBcLVd60,[],['https://twitter.com/floydmayweather/status/909911035263328256'],1,3,15,['neverforget'],False,
980967436269780992,modestproposal1,2018-04-03 01:37:16 BST,+0100,355866075,Shockingly the 2 guys who were profiled in an NY Times story perpetrating fraud via an ICO were charged with fraud and arrested  https://t.co/cf15vA3m8h  https://t.co/mA7AuxSZWE,[],['https://www.sec.gov/news/press-release/2018-53'],1,5,15,[],False,
980899909867069440,modestproposal1,2018-04-02 21:08:57 BST,+0100,355866075,"we can all agree that the most important part of today's hate read is that in the end, she name drops Tinder  https://t.co/KGjz30ZWDR",[],['https://www.washingtonpost.com/news/soloish/wp/2018/03/29/i-am-tired-of-being-a-jewish-mans-rebellion/?utm_term=.d02e775536bf'],5,0,5,[],False,
980806558450962437,modestproposal1,2018-04-02 14:58:00 BST,+0100,355866075,This chart is trolling everyone from wage / price aficionados to fans of the line  https://t.co/O548eUo2uo,[],[],0,2,11,[],False,
980797240825602049,modestproposal1,2018-04-02 14:20:59 BST,+0100,355866075,I voted for a xenophobic wall builder and all I got was an insecure society wannabe   https://t.co/vzmC8C7Rwe  https://t.co/jUtDWwVeei,[],['https://www.nytimes.com/2018/03/30/opinion/ann-coulter-trump-former-trumpers.html'],1,2,7,[],False,
980509700692246528,modestproposal1,2018-04-01 19:18:24 BST,+0100,355866075,"I'd be curious if the dollar weighted returns in BTC and ETH are now negative, given the magnitude of flows last year  https://t.co/XfPEBlyCPb",[],[],1,3,22,[],False,
980507923465023495,modestproposal1,2018-04-01 19:11:20 BST,+0100,355866075,"I still think there will probably be a meaningful long term impact, but I hope people will look back at mid to late 2017 with some level of contrition. Although the ones that should won't.   https://t.co/Rz4OIT1KUk",[],['https://twitter.com/modestproposal1/status/900356780580118528'],2,0,17,[],False,
980507573257494528,modestproposal1,2018-04-01 19:09:57 BST,+0100,355866075,"The last 10 months have been incredible to watch from a behavioral standpoint. I have no idea what happens going forward, but just seeing how rising prices captivated the human mind was worth the price of admission.",[],[],1,3,35,[],False,
980506311015137282,modestproposal1,2018-04-01 19:04:56 BST,+0100,355866075,The thing the crypto world did faster and with more gusto than any previous mania I've watched is create supply.  https://t.co/dAprkqnPZd,[],['https://twitter.com/modestproposal1/status/950457096335691776'],1,1,16,[],False,
980505790472744961,modestproposal1,2018-04-01 19:02:52 BST,+0100,355866075,Bitcoin is up 160% since I made this joke. Ethereum is up about 10%. And they are both down 70% or so from the highs.  https://t.co/QR7OLHPnZm,[],['https://twitter.com/modestproposal1/status/875759361729212419'],1,2,6,[],False,
980505385177108480,modestproposal1,2018-04-01 19:01:15 BST,+0100,355866075,Katy Perry missed calling the top in Bitcoin by 19 days. It went up 85% in that time.  Ethereum didn't peak for another 6 weeks. It went up 200%.  https://t.co/Qra1BUtx1O,[],['https://twitter.com/modestproposal1/status/935843041516113921'],1,0,16,[],False,
980176854257668096,modestproposal1,2018-03-31 21:15:47 BST,+0100,355866075,@LadyFOHF   https://t.co/xBCKU4M8NO,[],[],0,0,8,[],False,
980176585989947392,modestproposal1,2018-03-31 21:14:43 BST,+0100,355866075,Long OTAs / short TWTR is the trade. Please subscribe to my newsletter.,[],[],0,0,5,[],False,
980175687595290624,modestproposal1,2018-03-31 21:11:09 BST,+0100,355866075,@talktoskirt That crazy woman is taking a week “vacation” from Fox because of a bad tweet. I’m assuming she won’t be tweeting much either.,[],[],1,0,1,[],False,
980174722783678465,modestproposal1,2018-03-31 21:07:19 BST,+0100,355866075,If people are gonna start taking a week off cause of bad tweets it’s gonna get real quiet real quick around here,[],[],3,8,52,[],False,
980165232944467968,modestproposal1,2018-03-31 20:29:36 BST,+0100,355866075,@zatapatique Fair. That would be mixing like three different jokes but in retrospect was teed up nicely.,[],[],1,0,2,[],False,
980162820036800513,modestproposal1,2018-03-31 20:20:01 BST,+0100,355866075,@ComfortablySmug Congrats on becoming an anarcho-capitalist,[],[],1,1,12,[],False,
980162686511124480,modestproposal1,2018-03-31 20:19:29 BST,+0100,355866075,this is the future libertarians want  https://t.co/yOgM1aMX9i,[],['https://twitter.com/comfortablysmug/status/980156871402229761'],1,0,16,[],False,
979808405299912704,modestproposal1,2018-03-30 20:51:42 BST,+0100,355866075,My avatar and the presidents porn star side piece in a headline together is 2018 af  https://t.co/ntM28eZbSj,[],['https://on.wsj.com/2uvdnke'],0,2,23,[],False,
979808048045875200,modestproposal1,2018-03-30 20:50:17 BST,+0100,355866075,Yessss  https://t.co/ieqnrFOlEr,[],[],1,3,22,[],False,
979741845981982720,modestproposal1,2018-03-30 16:27:13 BST,+0100,355866075,Just saw a child on a leash and a dog in a stroller cross paths. Dog looked pretty smug.,[],[],1,8,133,[],False,
979467230579699714,modestproposal1,2018-03-29 22:16:00 BST,+0100,355866075,QQQs only outperformed SPY by 380bps this quarter. That's basically a bear market for tech.,[],[],0,0,31,[],False,
979455170445750272,modestproposal1,2018-03-29 21:28:04 BST,+0100,355866075,"Oh hey look, Comcast testified that yes of course they'd done a drop analysis of Turner, just as they'd done with every other network, because that's real life. So DOJ called a witness who discredited 2 of their previous witnesses. JFC.  https://t.co/3wdXOWZPER",[],[],0,1,5,[],False,
979451213749084160,modestproposal1,2018-03-29 21:12:21 BST,+0100,355866075,The DOJ is a day or two away from making this argument  https://t.co/oX6K0h8Snf,[],['https://twitter.com/modestproposal1/status/841800233847783424'],0,3,8,[],False,
979450746814025739,modestproposal1,2018-03-29 21:10:30 BST,+0100,355866075,Thread on the expert testimony  https://t.co/D8IlfVAynF,[],['https://twitter.com/CapitalObserver/status/979444597180035075'],0,0,2,[],False,
979450449450487808,modestproposal1,2018-03-29 21:09:19 BST,+0100,355866075,@CapitalObserver amazing,[],[],0,0,0,[],False,
979440112428822528,modestproposal1,2018-03-29 20:28:14 BST,+0100,355866075,@mariocibelli how much did you buy?,[],[],1,0,0,[],False,
979427297085227009,modestproposal1,2018-03-29 19:37:19 BST,+0100,355866075,🚨 Must read thread here from Brad on the China shock 🚨  https://t.co/8eUJmi7zYg,[],['https://twitter.com/Brad_Setser/status/979412355992797184'],0,1,5,[],False,
979426166237990913,modestproposal1,2018-03-29 19:32:49 BST,+0100,355866075,"@MicroFundy ""we made up a ludicrously high number that is still not high enough to economically justify the presupposed behavior""",[],[],1,0,0,[],False,
979425946544607238,modestproposal1,2018-03-29 19:31:57 BST,+0100,355866075,"@MicroFundy My favorite part tho is that even using this completely absurd methodology, the departure rate is below the capture rate AT&amp;T would need to make it economically worthwhile AND below the loss rate to make it economically damaging to the MSO.",[],[],1,0,0,[],False,
979425678671179781,modestproposal1,2018-03-29 19:30:53 BST,+0100,355866075,"@MicroFundy yes, and surveys of media consumption are notoriously inaccurate. Discovery is often cited as the channel people could least do without and yet they aren't in most of the skinny bundles that are getting traction. Idea he wouldn't look to real world examples is just preposterous.",[],[],1,0,0,[],False,
979424259645825025,modestproposal1,2018-03-29 19:25:14 BST,+0100,355866075,"""I believe my numbers are accurate"" #thingsyoushouldnthavetosay  https://t.co/XCytKIM8M1",[],[],2,0,3,['thingsyoushouldnthavetosay'],False,
979422566518542337,modestproposal1,2018-03-29 19:18:31 BST,+0100,355866075,This is the basis of the DOJs lawsuit? AYFKM?!  https://t.co/SR48v3w1ka,[],[],2,1,7,[],False,
979422222426271745,modestproposal1,2018-03-29 19:17:09 BST,+0100,355866075,"This is just embarrassing. The DOJs assumed departure rate is based on a survey of 1600 people and didn't benchmark stated preference against revealed preference, i.e. against what's happened in actual blackouts?  https://t.co/GXPjT6rQwy",[],[],1,2,8,[],False,
979416378208899072,modestproposal1,2018-03-29 18:53:55 BST,+0100,355866075,There needs to be a nocoiner equivalent for FANG.   NeverFANGer?   Toothless?   What's the right pejorative term.,[],[],11,3,20,[],False,
979416036645769219,modestproposal1,2018-03-29 18:52:34 BST,+0100,355866075,gotta buy FANG back today to prove to your LPs you didn't chicken out,[],[],1,2,37,[],False,
979327665021882368,modestproposal1,2018-03-29 13:01:25 BST,+0100,355866075,@Birdyword Fair enough. I think many believe FB is responsible for degrading the value of content.,[],[],0,0,0,[],False,
979325610102280193,modestproposal1,2018-03-29 12:53:15 BST,+0100,355866075,😎  https://t.co/9VfbyMWYeo,[],['https://twitter.com/danprimack/status/979319612755136512'],0,0,5,[],False,
979325399149764608,modestproposal1,2018-03-29 12:52:24 BST,+0100,355866075,🤔  https://t.co/HUERRNVNy4,[],['https://twitter.com/axios/status/979321522107150337'],1,1,4,[],False,
979137956450656257,modestproposal1,2018-03-29 00:27:34 BST,+0100,355866075,@FatTailCapital btfd and chill...  i figured 20x or higher ebitda mult deserved a highlighter for the disaster fetishists.,[],[],0,0,1,[],False,
979137586299056128,modestproposal1,2018-03-29 00:26:06 BST,+0100,355866075,@JeffCNYC And they are growing 27% with 33% margins and a 4% free cash flow yield to equity and 4.5% to EV because all but AMZN have net cash,[],[],2,4,16,[],False,
