id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
982252402244968454,ritholtzwealth,2018-04-06 14:43:16 BST,+0100,2579225425,"""The S&amp;P 500 just posted its first down quarter since the third quarter of 2015.""  Ben @awealthofcs on Situational Awareness   https://t.co/j6hhi45Ndh","[{'screen_name': 'awealthofcs', 'name': 'ben carlson', 'id': '97530284'}]",['http://awealthofcommonsense.com/2018/04/situational-awareness/'],1,9,24,[],False,
981929887840788480,ritholtzwealth,2018-04-05 17:21:43 BST,+0100,2579225425,"An eighteen year old wins the million-dollar jackpot and opts for $1000 per week rather than the lump sum.  She makes the wrong mathematical decision, but maybe makes the best real-world decision...  Michael explains why - do you agree or not?   https://t.co/N6GgBcImpS",[],['http://theirrelevantinvestor.com/2018/04/04/the-limits-to-data/'],6,2,31,[],False,
981870849044242434,ritholtzwealth,2018-04-05 13:27:07 BST,+0100,2579225425,"Today in market history, 2007:  The Dow closed at an all-time high, after jitters subsided.  https://t.co/nhMuFWJxju",[],[],1,1,4,[],False,
981679877857431553,ritholtzwealth,2018-04-05 00:48:16 BST,+0100,2579225425,"Congress, Not Amazon, Messed Up the Post Office.   https://t.co/nYEVn6fixf  by @ritholtz","[{'screen_name': 'ritholtz', 'name': 'barry ritholtz', 'id': '49753604'}]",['https://www.bloomberg.com/view/articles/2018-04-04/congress-not-amazon-messed-up-the-u-s-postal-service?utm_content=view&cmpid%3D=socialflow-twitter-view&utm_source=twitter&utm_medium=social&utm_campaign=socialflow-organic'],2,11,30,[],False,
981554493610430465,ritholtzwealth,2018-04-04 16:30:02 BST,+0100,2579225425,"""Measure what you can, evaluate what you measure, and appreciate that you cannot measure the vast majority of what you do.""  -Ed Catmull",[],[],2,22,71,[],False,
981510452831277056,ritholtzwealth,2018-04-04 13:35:02 BST,+0100,2579225425,"If They Cry, They Buy   https://t.co/5rlZbAErX4  by @ATeachMoment","[{'screen_name': 'ateachmoment', 'name': 'anthony isola', 'id': '42103891'}]",['http://tonyisola.com/2018/04/if-they-cry-they-buy/'],0,2,7,[],False,
981503441318146048,ritholtzwealth,2018-04-04 13:07:10 BST,+0100,2579225425,"Today in market history, 1994:   Jim Clark founds Mosaic, later renamed Netscape, with Marc Andreesen.  https://t.co/S4QOiXfVpe",[],[],1,10,24,[],False,
981267596598116352,ritholtzwealth,2018-04-03 21:30:00 BST,+0100,2579225425,The Break.    https://t.co/4rNXta96HU  by @michaelbatnick,"[{'screen_name': 'michaelbatnick', 'name': 'michael batnick', 'id': '93529573'}]",['http://theirrelevantinvestor.com/2018/04/02/the-break/'],0,1,4,[],False,
981237403514937344,ritholtzwealth,2018-04-03 19:30:02 BST,+0100,2579225425,"Markets Drive News, Not Vice Versa   https://t.co/rjfFzCLeeB  by @ritholtz","[{'screen_name': 'ritholtz', 'name': 'barry ritholtz', 'id': '49753604'}]",['https://www.bloomberg.com/view/articles/2018-04-02/a-good-story-doesn-t-make-a-great-investment-idea'],0,1,8,[],False,
981188324453994497,ritholtzwealth,2018-04-03 16:15:00 BST,+0100,2579225425,"Less Money, More Problems.    https://t.co/YaUYpYJG1K  by @ATeachMoment","[{'screen_name': 'ateachmoment', 'name': 'anthony isola', 'id': '42103891'}]",['http://tonyisola.com/2018/04/less-money-more-problems/'],1,1,9,[],False,
981158125209300994,ritholtzwealth,2018-04-03 14:15:00 BST,+0100,2579225425,How to build trust.    https://t.co/aIgGY6MgOO  by @awealthofcs,"[{'screen_name': 'awealthofcs', 'name': 'ben carlson', 'id': '97530284'}]",['http://awealthofcommonsense.com/2018/04/how-to-build-trust/'],0,0,7,[],False,
981143786289057792,ritholtzwealth,2018-04-03 13:18:02 BST,+0100,2579225425,"Today in market history, 2010:  Apple releases the iPad.  https://t.co/YCcFmyveqf",[],[],1,4,13,[],False,
980776443830591490,ritholtzwealth,2018-04-02 12:58:20 BST,+0100,2579225425,"Today in market history, 2013:  Eurozone unemployment hits a record high of 12%.  https://t.co/WmCAOls6r0",[],[],0,0,6,[],False,
979739493346537472,ritholtzwealth,2018-03-30 16:17:52 BST,+0100,2579225425,Josh has a new favorite CEO book    https://t.co/9rMBCbgJfo,[],['http://thereformedbroker.com/2018/03/30/the-best-ceo-book-ive-ever-read/'],0,3,13,[],False,
979724310905606146,ritholtzwealth,2018-03-30 15:17:32 BST,+0100,2579225425,Barry’s interview with tennis champion Serena Williams hits the web!    https://t.co/jgyB4nbbME,[],['http://ritholtz.com/2018/03/mib-serena-williams-tennis-great/?utm_source=dlvr.it&utm_medium=twitter'],0,2,10,[],False,
979682150051020800,ritholtzwealth,2018-03-30 12:30:00 BST,+0100,2579225425,"Today in market history, 1867:    US Secretary of State William H. Seward signs an agreement with Russia to purchase the territory of Alaska for $7.2 million, or two cents an acre.",[],[],1,21,58,[],False,
979342429366071297,ritholtzwealth,2018-03-29 14:00:05 BST,+0100,2579225425,Ring Life’s Bell    https://t.co/x2vE4JSyoe   by @ATeachMoment,"[{'screen_name': 'ateachmoment', 'name': 'anthony isola', 'id': '42103891'}]",['http://tonyisola.com/2018/03/ring-lifes-bell/'],0,1,9,[],False,
979319761346711553,ritholtzwealth,2018-03-29 12:30:00 BST,+0100,2579225425,"Today in market history, 1999:   The Dow Jones Industrial Average crosses 10,000 for the first time ever.  https://t.co/iLEdDbONYg",[],[],5,34,74,[],False,
979087468879405063,ritholtzwealth,2018-03-28 21:06:57 BST,+0100,2579225425,Q1 client-only conference call gets underway   @billsweet @ritholtz  https://t.co/oZ0nIX6RXo,"[{'screen_name': 'billsweet', 'name': '𝗕𝗜𝗟𝗟 𝗦𝗪𝗘𝗘𝗧', 'id': '43104553'}, {'screen_name': 'ritholtz', 'name': 'barry ritholtz', 'id': '49753604'}]",[],4,1,31,[],False,
979064327553650688,ritholtzwealth,2018-03-28 19:35:00 BST,+0100,2579225425,Transition    https://t.co/9z7pQGrVSa   by @ReformedBroker,"[{'screen_name': 'reformedbroker', 'name': 'downtown josh brown', 'id': '22522178'}]",['http://thereformedbroker.com/2018/03/28/transition/'],0,0,1,[],False,
979018508569804800,ritholtzwealth,2018-03-28 16:32:56 BST,+0100,2579225425,⬇️⬇️⬇️  https://t.co/EMnJGA9olJ,[],['https://twitter.com/awealthofcs/status/978756613518610432'],0,0,10,[],False,
978990758492590080,ritholtzwealth,2018-03-28 14:42:40 BST,+0100,2579225425,Lawmakers Don't Understand How Stock Buybacks Work   https://t.co/ur9drV4a8U  By @awealthofcs,"[{'screen_name': 'awealthofcs', 'name': 'ben carlson', 'id': '97530284'}]",['https://www.bloomberg.com/view/articles/2018-03-27/congress-would-make-a-mistake-by-banning-share-buybacks'],2,5,25,[],False,
978977539967381505,ritholtzwealth,2018-03-28 13:50:08 BST,+0100,2579225425,"“Should you find yourself in a chronically leaking boat, energy devoted to changing vessels is likely to be more productive than energy devoted to patching leaks.”  - Warren Buffett in 1985, on the day he shuttered Berkshire Hathaway’s textile business for good.",[],[],0,13,33,[],False,
978708239016542208,ritholtzwealth,2018-03-27 20:00:02 BST,+0100,2579225425,"""The reading of all good books is like conversation with the finest minds of past centuries.”  - Rene Descartes",[],[],0,34,144,[],False,
978678040883494912,ritholtzwealth,2018-03-27 18:00:02 BST,+0100,2579225425,Actual Facts    https://t.co/OPRCgmBNKS   by @ReformedBroker,"[{'screen_name': 'reformedbroker', 'name': 'downtown josh brown', 'id': '22522178'}]",['http://thereformedbroker.com/2018/03/27/actual-facts/'],0,0,8,[],False,
978651609264803846,ritholtzwealth,2018-03-27 16:15:00 BST,+0100,2579225425,Sometimes This Sucks    https://t.co/BbfAJqUDI1   by @michaelbatnick,"[{'screen_name': 'michaelbatnick', 'name': 'michael batnick', 'id': '93529573'}]",['http://theirrelevantinvestor.com/2018/03/27/sometimes-this-sucks/'],0,1,6,[],False,
978640294152372225,ritholtzwealth,2018-03-27 15:30:03 BST,+0100,2579225425,No Nothing    https://t.co/cZ72YNoYKB   by @michaelbatnick,"[{'screen_name': 'michaelbatnick', 'name': 'michael batnick', 'id': '93529573'}]",['http://theirrelevantinvestor.com/2018/03/26/no-nothing/'],1,1,13,[],False,
