id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
983119462911107073,soberlook,2018-04-09 00:08:40 BST,+0100,423769635,Iran's rial hits new lows on Trump worries  https://t.co/Gakhty92DD  https://t.co/w4Haba7pmV,[],['https://reut.rs/2Euq6nc'],6,30,28,[],False,
983109504077312000,soberlook,2018-04-08 23:29:05 BST,+0100,423769635,Chart: China quietly easing monetary policy -  https://t.co/GDMcypG6fn,[],[],1,22,27,[],False,
983083424578760704,soberlook,2018-04-08 21:45:27 BST,+0100,423769635,"@Copernicus2013 This is incorrect. China can easily roll longer-term debt into bills, steepening the Treasury curve and boosting US mortgage rates.",[],[],3,1,6,[],False,
983001912021782528,soberlook,2018-04-08 16:21:33 BST,+0100,423769635,@DriehausCapital It was the right decision because it will finally allow small management firms to compete for CLO business with the dominant players.,[],[],0,0,1,[],False,
982079070241460224,soberlook,2018-04-06 03:14:31 BST,+0100,423769635,Chart: Record US trade deficit with China for the month of February -  https://t.co/x10bydfyk1,[],[],1,21,10,[],False,
982071266709528576,soberlook,2018-04-06 02:43:30 BST,+0100,423769635,Chart: US gross crude oil exports hit a new high -  https://t.co/pIAuTG4HKV,[],[],3,38,23,[],False,
981749267441377280,soberlook,2018-04-05 05:24:00 BST,+0100,423769635,Chart: Citi Economic Surprise Index for the Eurozone -  https://t.co/SN0N1tDVbo,[],[],3,34,61,[],False,
981727613566758912,soberlook,2018-04-05 03:57:57 BST,+0100,423769635,@stlouisfed @LoganMohtashami I think your core and ex-wireless CPI labels are inverted.,[],[],0,0,0,[],False,
981720900272828416,soberlook,2018-04-05 03:31:16 BST,+0100,423769635,Chart: The UK construction sector is shrinking again (PMI &lt; 50) -  https://t.co/R8336TEibZ,[],[],0,9,5,[],False,
981688185548890112,soberlook,2018-04-05 01:21:16 BST,+0100,423769635,Chart: So much for rising rates. Portugal's 5yr bond yield below 0.3% -  https://t.co/hG1XwAdpG8,[],[],1,20,19,[],False,
981411712300707841,soberlook,2018-04-04 07:02:40 BST,+0100,423769635,"Instead of inflation, Japan’s extremely tight labor markets are translating into reduced-quality services for consumers. The US is starting to experience this trend as well.   Source: @DeutscheBank  https://t.co/ZZYdosmIHW","[{'screen_name': 'deutschebank', 'name': 'deutsche bank', 'id': '41330603'}]",[],1,17,18,[],False,
980939418679873536,soberlook,2018-04-02 23:45:57 BST,+0100,423769635,Chart: Bloomberg's US financial conditions index -  https://t.co/FQvjPjXZcR,[],[],0,27,23,[],False,
980928137679777797,soberlook,2018-04-02 23:01:07 BST,+0100,423769635,Chart: Hog futures in Chicago. Welcome to trade war ...  https://t.co/C5uZ7rJPPs,[],[],0,9,9,[],False,
980926533098491905,soberlook,2018-04-02 22:54:44 BST,+0100,423769635,Chart (@TheTerminal): The S&amp;P 500 valuations are back to the early-2016 levels. Are earnings projections way off?  https://t.co/DfeLIAkibZ,"[{'screen_name': 'theterminal', 'name': 'bloomberg terminal', 'id': '3236381990'}]",[],4,26,33,[],False,
