,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 10:00:04,AMAZON-BACKED ELECTRIC VEHICLE MAKER RIVIAN IN TALKS WITH MINISTERS OVER UK FACTORY - SKY NEWS$AMZN,0,0,0,1,2,18,0.16715533,0.022182483,0.81066215,Neu,0.14497285,breakingmkts
1,2021-07-30 21:02:03,"FOR THE MONTH, THE S&amp;P UNOFFICIALLY ROSE 2.28%, THE DOW UNOFFICIALLY ADDED 1.26%, THE NASDAQ UNOFFICIALLY GAINED 1.16%",0,0,0,0,0,0,0.932086,0.023323622,0.04459044,Pos,0.9087624,breakingmkts
2,2021-07-30 21:02:01,"S&amp;P 500 RISES FOR SIXTH MONTH, LONGEST STREAK SINCE 2018",0,0,0,0,0,2,0.7457464,0.19861001,0.05564359,Pos,0.54713637,breakingmkts
3,2021-07-30 21:01:04,"DOW JONES UNOFFICIALLY CLOSES DOWN 149.80 POINTS, OR 0.43%, AT 34,934.73NASDAQ UNOFFICIALLY CLOSES DOWN 112.02 PO...  ",0,0,0,0,0,1,0.008377187,0.9682795,0.023343341,Neg,-0.9599023,breakingmkts
4,2021-07-30 15:44:05,S&amp;P 500 REAL ESTATE INDEX HITS RECORD HIGH,0,0,0,1,6,11,0.89251703,0.03192852,0.075554505,Pos,0.8605885,breakingmkts
5,2021-07-30 14:31:03,"S&amp;P 500 DOWN 26.34 POINTS, OR 0.60 PERCENT, AT 4,392.81 AFTER MARKET OPENNASDAQ DOWN 154.03 POINTS, OR 1.04 PERCE...  ",0,0,0,0,0,0,0.00923489,0.9702794,0.02048565,Neg,-0.9610445,breakingmkts
6,2021-07-30 11:10:05,"APPLE INC - FILING TERM SHEET RELATED TO OFFERING $1 BLN 1.7% NOTES DUE AUGUST 5, 2031APPLE INC FILES PRICING TER...  ",0,0,0,0,1,1,0.04568418,0.16789174,0.7864241,Neu,-0.12220756,breakingmkts
7,2021-07-30 11:10:04,APPLE INC - FILING TERM SHEET RELATED TO OFFERING OF $1.8 BLN 2.700% NOTES DUE 2051APPLE INC FILES PRICING TERM S...  ,0,0,0,0,0,0,0.024627922,0.11499729,0.8603748,Neu,-0.090369366,breakingmkts
8,2021-07-30 10:24:00,AMAZON SHARES DOWN 6.1% PREMARKET AFTER CO SAYS SALES GROWTH WOULD SLOW IN THE NEXT FEW QUARTERS$AMZN,0,0,0,2,5,4,0.0088797845,0.96837497,0.022745188,Neg,-0.9594952,breakingmkts
9,2021-07-30 10:17:01,"NASDAQ FUTURES DOWN 1.1%, S&amp;P 500 E-MINI FUTURES DOWN 0.7%, DOW FUTURES DOWN 0.3%",0,0,0,0,2,3,0.0083382465,0.9686558,0.023005923,Neg,-0.96031755,breakingmkts
10,2021-07-29 21:03:03,"*AMAZON 2Q NET SALES $113.1B, EST. $115.06B*AMAZON 2Q EPS $15.12, EST. $12.28*AMAZON SEES 3Q NET SALES $106.0B TO...  ",0,0,0,1,1,4,0.3876179,0.039046086,0.57333606,Neu,0.3485718,breakingmkts
11,2021-07-29 21:03:01,*AMAZON FALLS 4% POSTMARKET AS SALES FORECAST FALLS SHORT$AMZN,0,0,0,0,8,13,0.012694159,0.9630021,0.024303772,Neg,-0.9503079,breakingmkts
12,2021-07-29 21:01:04,"DOW JONES UNOFFICIALLY CLOSES UP 153.44 POINTS, OR 0.44% , AT 35,084.37S&amp;P 500 UNOFFICIALLY CLOSES UP 18.58 POINT...  ",0,0,0,0,0,1,0.76070094,0.089172274,0.15012677,Pos,0.6715287,breakingmkts
13,2021-07-29 19:27:05,*APPLE TO SELL $6.5 BILLION OF BONDS IN FOUR-PART DEAL,0,0,0,1,0,5,0.1319565,0.014110209,0.8539332,Neu,0.117846295,breakingmkts
