,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-29 12:41:00,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
1,2021-07-26 22:07:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,1,2,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
2,2021-07-21 22:22:04,Facebook $FB breakout stats  ,0,0,0,0,0,2,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
3,2021-07-09 13:39:02,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
4,2021-07-02 07:56:02,Facebook $FB breakout stats  ,0,0,0,0,0,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
5,2021-07-01 13:45:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,1,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
6,2021-06-29 13:26:01,Facebook $FB breakout stats  ,0,0,0,0,0,2,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
7,2021-06-24 07:17:04,Apple $AAPL breakout stats  ,0,0,0,0,1,1,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
9,2021-06-22 22:09:02,Apple $AAPL breakout stats  ,0,0,0,0,0,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
10,2021-06-18 07:27:05,Facebook $FB breakout stats  ,0,0,0,0,0,2,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
11,2021-06-18 02:21:03,Apple $AAPL breakout stats  ,0,0,0,1,0,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
12,2021-06-16 08:10:01,Facebook $FB breakout stats  ,0,0,0,0,0,1,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
13,2021-06-10 22:20:02,Facebook $FB breakout stats  ,0,0,0,1,0,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
14,2021-06-07 22:09:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
15,2021-06-05 13:04:01,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
16,2021-06-03 01:56:01,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,1,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
17,2021-06-02 13:24:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
18,2021-05-29 02:18:01,Facebook $FB breakout stats  ,0,0,0,0,0,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
19,2021-05-28 22:09:00,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
20,2021-05-27 13:57:04,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
21,2021-05-22 03:28:04,Facebook $FB breakout stats  ,0,0,0,0,0,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
22,2021-05-19 22:06:02,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
23,2021-05-15 08:12:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
24,2021-05-13 05:25:00,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
25,2021-05-07 08:16:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
26,2021-05-04 08:11:04,Facebook $FB breakout stats  ,0,0,0,0,0,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
27,2021-04-30 07:26:04,Facebook $FB breakout stats  ,0,0,0,0,1,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
28,2021-04-29 02:35:05,Apple $AAPL breakout stats  ,0,0,0,0,1,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
29,2021-04-23 22:10:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
30,2021-04-20 22:10:04,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,1,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
31,2021-04-20 02:39:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
32,2021-04-19 20:01:01,Big volume breakouts   $MANU $AAPL,0,1,0,0,1,1,0.14563005,0.019850101,0.83451986,Neu,0.12577994,breakoutstocks
33,2021-04-14 13:04:00,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
34,2021-04-10 07:44:00,Facebook $FB breakout stats  ,0,0,0,0,0,1,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
35,2021-04-05 22:07:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
36,2021-03-30 12:11:03,Apple $AAPL breakout stats  ,0,0,0,0,0,1,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
37,2021-03-26 04:18:03,Apple $AAPL breakout stats  ,0,0,0,0,0,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
38,2021-03-24 21:24:01,Facebook $FB breakout stats  ,0,0,0,0,0,1,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
39,2021-03-23 21:10:03,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
40,2021-03-23 06:28:02,Facebook $FB breakout stats  ,0,0,0,0,0,4,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
41,2021-03-17 11:30:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
42,2021-03-12 22:11:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
43,2021-03-09 22:31:00,Apple $AAPL breakout stats  ,0,0,0,0,0,3,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
44,2021-03-09 07:49:00,Apple $AAPL breakout stats  ,0,0,0,0,0,1,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
45,2021-03-04 13:02:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
46,2021-03-04 01:48:00,Facebook $FB breakout stats  ,0,0,0,0,1,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
47,2021-02-25 22:05:02,"$VZ, $CLF, $EEM, $MSFT, $AUY breaking down to new lows  ",0,1,0,0,0,0,0.026246572,0.92609066,0.04766274,Neg,-0.8998441,breakoutstocks
48,2021-02-24 14:25:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,2,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
49,2021-02-22 22:03:04,"$VALE, $QQQ, $NNDM, $AAPL, $PBR breaking down to new lows  ",0,1,0,1,0,2,0.07413947,0.84642786,0.07943267,Neg,-0.7722884,breakoutstocks
50,2021-02-19 04:51:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,2,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
51,2021-02-18 07:47:03,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
52,2021-02-17 12:35:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,2,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
53,2021-02-12 13:21:03,Facebook $FB breakout stats  ,0,0,0,0,0,2,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
54,2021-02-09 12:56:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
55,2021-02-06 02:27:04,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
56,2021-01-23 02:11:03,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
57,2021-01-21 22:04:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
58,2021-01-16 07:24:04,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
59,2021-01-15 06:10:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,3,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
60,2021-01-14 07:16:04,Facebook $FB breakout stats  ,0,0,0,0,0,1,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
61,2021-01-09 07:26:02,Apple $AAPL breakout stats  ,0,0,0,0,0,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
62,2021-01-08 12:24:04,Apple $AAPL breakout stats  ,0,0,0,0,0,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
63,2021-01-06 20:00:03,"New breakout highs for $SPY, $SNDL, $ACB, $OGI, $GILD  ",0,0,0,0,0,1,0.8630836,0.026248217,0.11066819,Pos,0.8368354,breakoutstocks
64,2021-01-05 02:09:04,"$AAPL, $IWM, $FUBO, $F, $GNW breaking down to new lows  ",0,1,0,0,0,3,0.024827994,0.92953694,0.045635093,Neg,-0.9047089,breakoutstocks
65,2021-01-01 07:25:02,"$MSFT, $CRM, $DKNG, $PFE, $SPXS, $CMCM breaking down to new lows  ",0,1,0,0,0,4,0.02490368,0.93175364,0.043342628,Neg,-0.90685,breakoutstocks
66,2020-12-31 13:30:05,Facebook $FB breakout stats  ,0,0,0,0,0,1,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
67,2020-12-23 22:05:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
68,2020-12-23 07:42:01,Apple $AAPL breakout stats  ,0,0,0,0,0,4,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
69,2020-12-16 18:04:01,"New breakout highs for $AEMD, $MDXG, $MSFT, $SLV, $DT, $PHUN  ",0,0,0,0,0,1,0.7992581,0.026616907,0.17412496,Pos,0.7726412,breakoutstocks
70,2020-12-12 07:33:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
71,2020-12-04 22:06:03,What usually happens after Facebook $FB breaks out?  ,0,1,0,1,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
72,2020-12-02 02:28:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,1,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
73,2020-12-01 07:07:04,Apple $AAPL breakout stats  ,0,0,0,0,0,1,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
74,2020-11-28 04:41:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
75,2020-11-26 08:15:05,Facebook $FB breakout stats  ,0,0,0,0,0,1,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
76,2020-11-18 22:05:03,"$MSFT, $YY breaking down to new lows  ",0,1,0,0,0,1,0.072191425,0.8741246,0.05368406,Neg,-0.80193317,breakoutstocks
77,2020-11-14 12:50:04,Apple $AAPL breakout stats  ,0,0,0,0,2,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
78,2020-11-10 12:49:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
79,2020-11-06 07:28:00,Apple $AAPL breakout stats  ,0,0,0,0,0,1,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
81,2020-11-04 20:00:02,"New breakout highs for $SPY, $UBER, $LYFT, $ZNGA  ",0,0,0,0,1,2,0.79976034,0.016268292,0.18397132,Pos,0.783492,breakoutstocks
82,2020-11-04 08:44:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
83,2020-10-29 11:52:02,Apple $AAPL breakout stats  ,0,0,0,0,0,1,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
84,2020-10-24 07:58:03,Facebook $FB breakout stats  ,0,0,0,0,0,2,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
86,2020-10-05 22:06:05,Facebook $FB breakout stats  ,0,0,0,0,0,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
87,2020-10-02 22:05:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
88,2020-10-01 20:01:00,"New breakout highs for $JWN, $SPY, $AMD, $AMAG, $SLDB  ",0,0,0,0,0,1,0.7788513,0.025323607,0.19582514,Pos,0.75352764,breakoutstocks
90,2020-09-30 12:56:02,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
91,2020-09-29 07:15:03,Apple $AAPL breakout stats  ,0,0,0,0,0,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
92,2020-09-24 04:50:01,Apple $AAPL breakout stats  ,0,0,0,0,0,1,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
93,2020-09-17 22:03:00,Apple $AAPL breakout stats  ,0,0,0,0,1,0,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
94,2020-09-14 22:03:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
95,2020-09-11 13:03:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
96,2020-09-10 02:23:02,Facebook $FB breakout stats  ,0,0,0,0,0,0,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
97,2020-09-09 07:00:03,Apple $AAPL breakout stats  ,0,0,0,0,2,2,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
98,2020-09-08 22:05:03,"$XLF, $CRBP, $QQQ, $MSFT, $NOK breaking down to new lows  ",0,1,0,0,0,2,0.030392522,0.9238551,0.04575241,Neg,-0.8934626,breakoutstocks
99,2020-09-05 12:55:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
100,2020-08-21 04:54:01,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,3,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
101,2020-08-19 13:01:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
102,2020-08-19 05:22:04,Apple $AAPL breakout stats  ,0,0,0,0,0,4,0.14057982,0.030626088,0.8287941,Neu,0.10995373,breakoutstocks
103,2020-08-08 07:19:01,Facebook $FB breakout stats  ,0,0,0,0,1,1,0.13357757,0.03233723,0.83408517,Neu,0.10124034,breakoutstocks
104,2020-08-06 18:03:05,"New breakout highs for $FB, $JAGX, $LEDS, $ZNGA, $OUT, $COMM  ",0,0,0,0,0,1,0.88004863,0.022204839,0.09774649,Pos,0.8578438,breakoutstocks
105,2020-08-06 07:53:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
