,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-27 14:01:00,S&P CORELOGIC CASE-SHILLER INDEX REPORTS  RECORD HIGH ANNUAL HOME PRICE GAIN OF  16.6% IN MAY  ,0,0,0,1,4,16,0.9362681,0.033496656,0.030235361,Pos,0.9027714,calculatedrisk
1,2021-07-13 15:53:03,  Lets get together!,0,1,0,1,0,3,0.11781932,0.01945729,0.8627234,Neu,0.09836203,calculatedrisk
2,2021-06-29 14:01:01,S&P CORELOGIC CASE-SHILLER INDEX SHOWS  ANNUAL HOME PRICE GAINS SURGED TO 14.6% IN APRIL  ,0,0,0,0,4,7,0.94441545,0.034697406,0.020887103,Pos,0.90971804,calculatedrisk
3,2021-05-25 14:01:03,S&P CORELOGIC CASE-SHILLER INDEX SHOWS  ANNUAL HOME PRICE GAINS CLIMBED TO 13.2% IN MARCH  ,0,0,0,0,3,11,0.94879687,0.028700067,0.022503095,Pos,0.9200968,calculatedrisk
4,2021-04-27 14:00:05,S&P CORELOGIC CASE-SHILLER INDEX REPORTS  12.0% ANNUAL HOME PRICE GAIN IN FEBRUARY  2021  ,0,0,0,0,2,13,0.934994,0.0360018,0.029004276,Pos,0.8989922,calculatedrisk
5,2021-04-24 22:00:04," ""It doesn't matter how beautiful your theory is, it doesn't matter how smart you are. If it doesn't agree with experiment, it's wrong."" Richard P. Feynman  Maybe, economics, like Physics, advances one funeral at a time.  Max Planck.",0,1,0,3,3,25,0.026437452,0.112692915,0.86086965,Neu,-0.08625546,calculatedrisk
6,2021-03-30 14:01:05,S&P Corelogic Case-Shiller Index Reports 11.2% Annual Home Price Gain to Start 2021  ,0,0,0,0,4,11,0.9322772,0.035267346,0.032455385,Pos,0.89700985,calculatedrisk
7,2021-02-23 14:03:01,S&P CORELOGIC CASE-SHILLER INDEX REPORTS 10.4% ANNUAL HOME PRICE GAIN TO END 2020,0,0,0,2,5,19,0.93766856,0.03165649,0.030674912,Pos,0.90601206,calculatedrisk
8,2020-12-29 14:03:04,"""The S&P CoreLogic Case-Shiller U.S. National Home Price NSA Index, covering all nine U.S. census divisions, reported an 8.4% annual gain in October, up from 7.0% in the previous month.""",1,1,0,3,2,11,0.9452743,0.033329025,0.021396669,Pos,0.9119453,calculatedrisk
9,2020-11-24 14:01:04,S&P CORELOGIC CASE-SHILLER INDEX SHOWS ANNUAL HOME PRICE GAINS SOARED TO 7% IN SEPTEMBER,0,0,0,3,4,10,0.94854903,0.0220136,0.029437387,Pos,0.9265354,calculatedrisk
10,2020-10-26 18:13:00, no smoke?  it is bad here,0,1,0,1,0,1,0.024620162,0.79068404,0.1846958,Neg,-0.76606387,calculatedrisk
11,2020-10-23 14:28:00,"This is cool from Google Search.  Top 3 issues: Unemployment, Health Care, Wages.  2020 Presidential & VP Debates, Realtime issue tracker, last 2 hours, US -  ",0,1,0,1,3,9,0.034571163,0.023216158,0.9422127,Neu,0.011355005,calculatedrisk
12,2020-09-30 18:34:01,"   Kudos to Logan for his forecasts on a quick housing rebound.  I felt housing would be fine, but I've been more concerned about the longer term impacts of COVID.",1,1,1,1,0,6,0.57296413,0.18714528,0.23989059,Pos,0.38581884,calculatedrisk
13,2020-09-02 13:08:03,   I posted graphs on the unemployment rate and GDP here.   The unemployment rate is a function of the length of an economic expansion - and just the continuation of a trend.   I left out 2020!  ,1,1,0,1,6,16,0.035274096,0.4203409,0.5443851,Neu,-0.3850668,calculatedrisk
