,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2020-12-18 19:04:00,"Getting emails about shorting $VUZI.    NO WAY we would short this flyer.  Small market cap with story that is tied to 5G, $AMZN and $PLUG and Covid.   There has to be easier pickings...still doing research.  Risk/Reward easier on other high flyers.",1,1,1,78,46,300,0.088034675,0.025138196,0.8868272,Neu,0.062896475,citronresearch
1,2020-11-06 18:44:04,"$JMIA Today kicks of Black Friday, let there be no confusion that there is no e-com competition in the fastest growing country on the planet according to Google downloads. Good luck to $JMIA and Nigeria this month.  Citron back next week with some long overdue short opportunities  ",0,1,0,36,29,181,0.71399546,0.011800946,0.27420357,Pos,0.7021945,citronresearch
2,2020-10-29 15:07:02,"$PTON, hell of a run, great product at the right time but don't count out $AAPL.  THIS WEEK Apple patents are compelling..Machine learn and AI for customized workout with a ""burn bar"" on your watch.    Diagram from $appl chart from Citron. Pic from MLB  ",1,1,0,45,41,207,0.23923308,0.009489366,0.7512776,Neu,0.2297437,citronresearch
3,2020-07-28 16:56:02,"$RST the most compelling of all EdTech company and it is up for sale.  We should see anywhere between $50-60.  Hybrid learning, literacy, subscription, best in class and helping those who need it most.  Either PE or Google acquires",0,1,1,34,22,84,0.16255182,0.008578025,0.8288702,Neu,0.15397379,citronresearch
4,2020-06-25 14:51:03,$SONO app now 4 music download on App Annie.  Compare to $PTON which is 58 in health and fitness.  Cost savings and DTC flying with Move and Arc backordered.  More reason $AAPL must buy.  $30 by end of 2020.  People are staying at home and listening.   ,1,1,1,23,17,49,0.16749147,0.014860995,0.8176476,Neu,0.15263048,citronresearch
5,2020-05-13 12:46:03,$GSX only large cap stock in 20 yrs that has allegedly grown rev over 350% a year and profitable during growth  No other co has accomp this feat. since early Google.  Are numbers to be trusted or fraud ? Btw with no media attention in China,1,1,0,135,31,188,0.06329772,0.028880842,0.9078215,Neu,0.034416877,citronresearch
6,2020-03-13 17:10:05,"$PTON road to $5 just got faster.  $AAPL to enter home digital fitness, including cycling classes. Read full Citron Report.    ",1,1,0,40,43,138,0.1484354,0.009685958,0.8418786,Neu,0.13874944,citronresearch
7,2019-01-08 18:20:03,"To clarify, we are watching $ROKU from the side  After successfully shorting ROKU as it traded as high as $50 in late 2017, we reversed our position at $35 last year. With Apple teaming up with Sams, LG, and Vizio investors must consider the risk to the bigger story.",1,1,1,83,37,130,0.1561054,0.11317738,0.7307173,Neu,0.042928018,citronresearch
8,2018-12-26 14:51:05,$FB Backing up the sleigh.  $160 tgt.  Citron presents the only information that counts on $FB looking past the rhetoric. Would you rather have your kids addicted to Nicotine or Instagram?  Wall St answer will amaze you  ,1,1,1,61,64,256,0.028709738,0.05442855,0.9168617,Neu,-0.025718814,citronresearch
9,2018-08-28 17:51:04,"Andrew Left from Citron is on Bloomberg TV at 2:40pm ET to explain why new research proves that Wayfair $W has become the anti-Amazon.  While the stock price has gone up, estimates have gone down.",1,1,0,21,16,59,0.03455743,0.9236823,0.041760374,Neg,-0.8891249,citronresearch
10,2018-08-02 19:10:01,"The Real Story:  Behind $AAPL and the word ‘trillion’ was a man who left us too soon. As we recognize this milestone, the real lesson today may be for all of us to take a moment to appreciate life. Steve Jobs would trade his every share to be with us today.",1,1,1,62,313,1251,0.1298513,0.013585359,0.8565634,Neu,0.11626594,citronresearch
11,2018-07-19 14:47:01,"$ABBV the next great drug short. TGT price $60  Gottlieb's comments for biosimilars and the removal of safe harbor is a DIRECT hit on Abbvie's abuse of Humira. Citron to release a series of reports detailing the Dirty Money. POTUS, AMZN, and now FDA on the case $60 in 12 months",0,1,0,43,47,112,0.034979273,0.612923,0.35209766,Neg,-0.57794374,citronresearch
12,2018-06-11 16:48:02,"""$FIT  IS IN GOOD SHAPE""-tgt $15. The future of wearables is undeniable. $FIT transformation from consumer products to med-tech is real. FDA/Google/Dexcom know it.  Andrew Left on Bloomberg TV 2:30 est to discuss   ",1,1,0,21,51,107,0.096621506,0.011045835,0.8923327,Neu,0.08557567,citronresearch
13,2018-05-21 15:40:05,"$SHOP Citron loves when the WSJ validates our research.   How long will $FB tolerate this BS?? $SHOP hyper growth built on ""get rich"" affinity scam marketing that HURTS consumers.  ",1,1,1,27,18,52,0.054447524,0.2854955,0.660057,Neu,-0.23104796,citronresearch
14,2018-05-08 19:05:02,Not a story of shorts vs $NVDA it is $NVDA vs $GOOG  TPU 3.0 announced today is 8x faster than 2.0 and liq cooled. This happens when customer competes. We expect the press to write soon.  Shorting into earnings.     Good company dangerous stock price.,1,1,0,44,42,71,0.10398185,0.062416647,0.83360153,Neu,0.041565206,citronresearch
15,2018-04-30 18:53:02,"$SQ Short term tgt $30  started as innovative pymt co. - now just another processor. 15x rev growing slower than $FB. Collection of yawn businesses.  WallSt drunk on Bitcoin nonsense, SQ-Cash to BTC trading has been insignificant. Even w/ hyper growth still 40% too rich",1,1,0,112,61,150,0.04563664,0.7319411,0.22242227,Neg,-0.68630445,citronresearch
