,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-15 16:53:05,$FB - Done today  ,0,0,0,0,3,33,0.08500934,0.017420007,0.8975706,Neu,0.06758933,danzanger
1,2021-07-15 16:52:00,$AMZN 1  ,0,0,0,0,2,34,0.04418137,0.03475367,0.9210649,Neu,0.0094277,danzanger
2,2021-07-01 14:11:03,$FB - Slow but working  ,0,1,0,1,2,19,0.73317623,0.036383674,0.23044011,Pos,0.69679254,danzanger
3,2021-06-28 12:36:02,$FB Slower moving but working higher  ,0,1,0,0,0,18,0.73191404,0.08296794,0.18511797,Pos,0.6489461,danzanger
4,2021-06-17 20:43:01,You can see that my Advanced Trading Group gave the low of this move in the $SPX $SPY $ES_F before the Fed news yesterday. The market is holding it for now.  ,1,1,1,1,1,20,0.08616201,0.056338944,0.85749906,Neu,0.029823065,danzanger
5,2021-06-16 16:55:03,My Advanced Trading Group is getting ready for the FOMC news this afternoon and here is a chart of the key reaction levels. $SPX $SPY $ES_F    ,0,1,0,0,7,42,0.025424598,0.04660354,0.9279719,Neu,-0.021178944,danzanger
6,2021-06-04 14:21:03,The $SPX $SPY $ES_F are holding the $417 $SPY level noted and time stamped from yesterday pre-market which is positive for the market so far.  ,1,1,0,0,2,25,0.8997427,0.035892997,0.06436426,Pos,0.8638497,danzanger
7,2021-06-03 13:45:03,The $417 $SPY level noted in my Advanced Trading Group post below is holding for now and the market remains positive if this level is holding.  ,1,1,0,0,3,29,0.28661227,0.02117506,0.69221264,Neu,0.26543722,danzanger
8,2021-06-03 12:42:03,$SPX $SPY $ES_F - Market Update from my advanced  group  ,0,0,0,2,4,37,0.06221767,0.016516441,0.9212659,Neu,0.045701228,danzanger
9,2021-06-01 17:14:03,$SPX $SPY $ES_F - An update from my futures team    ,0,0,0,1,5,51,0.040195264,0.024838218,0.93496644,Neu,0.015357045,danzanger
10,2021-06-01 13:07:01,$FB - Grinding higher  ,0,1,0,0,3,54,0.7933091,0.053990893,0.15270007,Pos,0.7393182,danzanger
11,2021-04-06 12:47:00,$GOOGL - A very strong move from my buy area last week.  ,0,0,0,7,12,151,0.94364023,0.02470106,0.031658653,Pos,0.9189392,danzanger
12,2021-03-08 13:58:05,$SPX $SPY $ES_F  ,0,0,0,7,13,68,0.046630792,0.030966965,0.9224022,Neu,0.015663827,danzanger
13,2021-02-11 10:55:01,$SPY $SPX $ES_F - Still trending in the channel  ,0,1,0,0,11,43,0.63959426,0.18322563,0.17718017,Pos,0.45636863,danzanger
14,2021-02-04 13:01:04,$AMZN - Avoiding for now  ,0,1,0,0,11,64,0.060840514,0.07666513,0.86249435,Neu,-0.01582462,danzanger
15,2021-02-01 13:40:03,$SPX $SPY $ES_F - Holding the 50-day for now.  ,0,1,0,1,15,37,0.07303013,0.02577899,0.9011909,Neu,0.04725114,danzanger
16,2020-12-28 12:17:00,$AAPL - Moving slower but still good gains.  ,0,1,0,0,8,55,0.36635026,0.5812376,0.052412156,Neg,-0.21488735,danzanger
17,2020-12-07 13:22:02,$SPX $SPY $ES_F  ,0,0,0,1,5,29,0.046630792,0.030966965,0.9224022,Neu,0.015663827,danzanger
18,2020-11-30 13:14:02,Moving up from the Pennant pattern $SPX $SPY $ES_F  ,0,1,0,0,6,27,0.8894636,0.034043904,0.07649243,Pos,0.8554197,danzanger
19,2020-11-23 11:57:01,A nice Pennant on the $SPX $SPY $ES_F  ,0,0,0,2,16,77,0.32971057,0.029756445,0.64053303,Neu,0.29995412,danzanger
20,2020-11-19 12:52:04,$SPX $SPY $ES_F  ,0,0,0,0,7,50,0.046630792,0.030966965,0.9224022,Neu,0.015663827,danzanger
21,2020-11-12 11:45:05,$SPX $SPY $ES_F  ,0,0,0,1,16,64,0.046630792,0.030966965,0.9224022,Neu,0.015663827,danzanger
22,2020-11-05 10:56:00,$SPX $SPY $ES_F  ,0,0,0,2,15,56,0.046630792,0.030966965,0.9224022,Neu,0.015663827,danzanger
