,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-28 15:55:04,One would think $V commentary that e-commerce spending holding steady despite reopening is pretty bullish for secular trends,0,1,1,1,1,21,0.713585,0.052710272,0.23370467,Pos,0.6608747,davidschawel
1,2021-07-27 21:14:01,$GOOGL is a monster,0,1,0,4,6,34,0.049654152,0.039957598,0.9103883,Neu,0.009696554,davidschawel
2,2021-07-09 03:02:01, also Amazon prime,0,0,0,2,0,1,0.030829787,0.023576304,0.94559383,Neu,0.007253483,davidschawel
3,2021-07-08 20:30:05,"$AAPL is just off of an all-time high, but it still sports a free cash flow yield above the high yield index YTW  ",0,1,0,1,3,10,0.9325182,0.030556722,0.036925025,Pos,0.90196145,davidschawel
4,2021-07-07 00:19:03,Pentagon should just award JEDI to Google and piss everyone off,0,0,1,4,4,16,0.017356362,0.8540596,0.1285841,Neg,-0.83670324,davidschawel
5,2021-07-06 18:32:02,What would $AMZN trade at tomorrow if this were announced after the bell?,1,0,1,7,1,11,0.022370702,0.036329236,0.94130003,Neu,-0.013958534,davidschawel
6,2021-07-02 14:12:03, Point taken. What your saying assumes people are able to assess “bad” investments. I remember in January 2020 seeing tweets thinking Shopify’s P/E was ludicrous without any understanding of the business/trends/traction.,1,1,0,1,0,1,0.046329595,0.28366682,0.6700036,Neu,-0.23733723,davidschawel
7,2021-06-28 16:16:04,There’s 728 private companies currently valued at $1bil or more.  You have an opportunity to invest in the S&P 500 for 10 years or a valuation weighted basket of the below companies. Which would you pick?  ,1,1,1,15,14,85,0.03942024,0.01976203,0.9408178,Neu,0.01965821,davidschawel
8,2021-06-25 15:18:04,Unbelievable. In the last 2yrs $AMZN has built as much logistics capability as $WMT in the last 50yrs. h/t   ,1,1,0,3,32,103,0.748341,0.008415015,0.24324392,Pos,0.739926,davidschawel
10,2021-06-03 23:56:00, is it weird to name this after the nickname of Facebook’s worst unit?,1,1,0,2,0,0,0.026721837,0.2996692,0.6736089,Neu,-0.27294737,davidschawel
11,2021-05-19 22:29:05, even Google cloud is nothing to sneeze at! Would be a huge standalone company.,0,1,1,1,0,4,0.026318805,0.04585314,0.927828,Neu,-0.019534336,davidschawel
12,2021-05-19 20:31:02, Looking for a: FED THINKS Z1/Z3 AT 85BPS IS “REASONABLE”,0,1,0,2,0,1,0.15112807,0.03672896,0.8121429,Neu,0.114399105,davidschawel
13,2021-05-10 23:37:02,Hard for $AMZN shareholders to not like the company selling 40y debt at +95bps to buy-back stock.,0,1,0,16,16,427,0.03836827,0.3398876,0.62174416,Neu,-0.30151933,davidschawel
14,2021-04-28 22:38:00, I suppose eventually we will understand it based on Apple’s marketing campaign,1,1,1,0,0,0,0.18104604,0.009249129,0.80970484,Neu,0.1717969,davidschawel
