,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-05 11:30:00,"Apple exec says she was placed on leave after raising sexism concerns, other workplace issues  ",1,1,0,24,27,84,0.007878619,0.9433862,0.048735198,Neg,-0.9355076,foxnews
1,2021-08-04 15:38:03,Filmmaker Ken Burns calls Facebook’s Mark Zuckerberg ‘an enemy of the state’ who belongs in jail  ,1,1,0,237,377,2090,0.030781731,0.698802,0.2704163,Neg,-0.66802025,foxnews
3,2021-08-02 13:15:00,"Belarus Olympian Krystsina Tsimanouskaya gets humanitarian visa from Poland, official says  ",0,1,0,17,31,198,0.29492027,0.0801158,0.6249639,Neu,0.21480447,foxnews
4,2021-08-02 00:20:01,Former Facebook employee pulls back curtain on Big Tech after rejecting big payday to speak out  ,0,1,0,84,145,465,0.017398937,0.8766901,0.10591097,Neg,-0.85929114,foxnews
5,2021-08-01 11:30:00,Facebook rejects Illinois police group's ‘officer of the year’ post over ‘sensitive social issues’: report  ,0,1,0,132,136,254,0.017538298,0.899176,0.08328562,Neg,-0.8816377,foxnews
6,2021-07-22 01:50:00,"Former Google consultant: Government can help combat misinformation, but not the way Biden is doing it  ",0,1,1,71,35,129,0.10524094,0.01992415,0.8748349,Neu,0.08531679,foxnews
7,2021-07-22 01:40:00,Doctor's viral Facebook plea for people to get vaccinated hit with criticisms and questions  ,0,0,0,61,16,71,0.01601339,0.93405324,0.049933344,Neg,-0.91803986,foxnews
8,2021-07-20 15:30:00,Parler scolds Biden for ‘overstepping’ First Amendment boundaries with Facebook misinformation rhetoric  ,0,1,0,86,40,230,0.015745638,0.9300782,0.05417614,Neg,-0.91433257,foxnews
9,2021-07-19 16:10:00,US blames Microsoft Exchange hack on affiliates of Chinese government  ,0,1,0,46,35,116,0.01575197,0.8909064,0.09334155,Neg,-0.87515444,foxnews
10,2021-07-19 15:00:00,"Blackburn slams Biden on Facebook censorship, suggests First Amendment violation  ",0,1,0,138,68,531,0.031993523,0.29426,0.6737464,Neu,-0.26226646,foxnews
11,2021-07-17 23:31:00,DISLIKE BUTTON: WH and Facebook's 'it's complicated' status just took new turn for the worse as Biden admin doubles down  ,1,1,0,252,88,312,0.014481022,0.9163768,0.06914209,Neg,-0.9018958,foxnews
12,2021-07-17 17:00:05,"Levin slams Biden admin's relationship with Facebook, calls Trump's Big Tech lawsuit 'slam dunk'   ",0,1,0,128,76,497,0.015542617,0.89534444,0.089113005,Neg,-0.8798018,foxnews
13,2021-07-16 23:15:00,Joe Biden accuses Facebook of 'killing people' with vaccine misinformation  ,0,1,0,1103,231,992,0.017180726,0.81749976,0.16531947,Neg,-0.800319,foxnews
14,2021-07-16 02:40:00,Hawley hammers White House as ‘really scary’ for pushing Facebook to 'censor' COVID posts  ,0,1,0,300,165,728,0.017239105,0.90860987,0.07415101,Neg,-0.8913708,foxnews
15,2021-07-15 23:40:00,Critics slam the White House after Psaki reveals it's consulting with Facebook to 'flag misinformation'  ,0,1,0,819,380,1448,0.015243462,0.9126622,0.07209428,Neg,-0.89741874,foxnews
16,2021-07-14 13:31:04,Nicolas Cage says Joe Exotic role in Amazon series isn't happening: 'No longer relevant'   ,0,1,0,50,22,137,0.031192558,0.061932623,0.9068748,Neu,-0.030740066,foxnews
17,2021-07-07 21:30:00,"READ IT: Trump lawsuits against Twitter, Facebook, Google over alleged big tech censorship  ",0,0,0,352,177,1213,0.013791828,0.90656495,0.07964322,Neg,-0.89277315,foxnews
18,2021-07-07 19:25:04,"READ IT: Trump lawsuits against Twitter, Facebook, Google over alleged big tech censorship  ",0,0,0,79,70,439,0.013791828,0.90656495,0.07964322,Neg,-0.89277315,foxnews
19,2021-07-07 16:03:05,"Trump to sue Facebook, Twitter, Google over alleged censorship  ",0,0,0,712,480,3611,0.014843257,0.8774192,0.10773757,Neg,-0.8625759,foxnews
20,2021-07-03 22:50:04,"Egyptian man charged in Boston rabbi stabbing overstayed student visa, was in US illegally: ICE  ",1,1,0,220,613,1363,0.03359843,0.54802704,0.41837448,Neg,-0.5144286,foxnews
21,2021-07-02 22:40:00,"The best patriotic films on Netflix, Amazon Prime, Hulu to stream July 4  ",0,0,0,40,30,180,0.05856666,0.019288816,0.9221446,Neu,0.039277844,foxnews
