,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-30 11:25:05,About that Amazon-to-accept-bitcoin story    | opinion,0,0,0,4,14,50,0.055092834,0.018944323,0.92596287,Neu,0.03614851,ft
1,2021-07-29 21:46:02,Amazon shares fall as revenue misses Wall Street target  ,0,1,0,7,9,25,0.007848186,0.9687197,0.02343212,Neg,-0.9608715,ft
3,2021-07-28 21:53:01,Facebook warns of ‘significant’ slowdown in revenue growth  ,0,0,0,15,17,41,0.008531758,0.972001,0.01946723,Neg,-0.96346927,ft
4,2021-07-28 18:57:01,Google to require Covid vaccines for workers returning to the office  ,0,1,0,6,17,57,0.07413459,0.07117967,0.8546857,Neu,0.0029549152,ft
5,2021-07-27 22:03:04,Tech blowout: Apple profit nearly doubles as iPhone sales surge  ,0,0,0,2,14,44,0.30420655,0.64525646,0.05053705,Neg,-0.3410499,ft
6,2021-07-22 18:43:03,Brussels appeals against €250m Amazon tax defeat  ,0,0,0,1,17,31,0.12231393,0.71265525,0.16503079,Neg,-0.5903413,ft
7,2021-07-21 00:04:03,Google and Jio seek to convert 450m Indians into smartphone users  ,0,1,0,3,6,14,0.20347555,0.0072707715,0.78925365,Neu,0.19620478,ft
8,2021-07-19 21:33:03,"Drought puts Amazon at risk of ‘large-scale dieback’, researchers warn  ",0,1,0,5,18,34,0.036205303,0.90789604,0.055898614,Neg,-0.87169075,ft
9,2021-07-19 19:00:02,Apple under pressure over iPhone security after NSO spyware claims  ,0,0,0,5,25,39,0.012185509,0.9524498,0.035364684,Neg,-0.9402643,ft
10,2021-07-15 18:09:04,Facebook accuses Iranian hackers of using platform to spy on US military  ,0,1,0,5,2,22,0.016678356,0.76037705,0.22294463,Neg,-0.7436987,ft
11,2021-07-15 05:53:02,Visa and Mastercard stick with Binance as regulatory scrutiny rises  ,0,0,0,7,9,62,0.09925326,0.01772195,0.88302475,Neu,0.08153131,ft
12,2021-07-14 16:03:00,Facebook says FTC chair should step back from antitrust case  ,0,1,1,3,2,11,0.052880697,0.20011993,0.7469994,Neu,-0.14723924,ft
13,2021-07-14 15:31:04,"Fintech: Apple may squash the buy now, pay later party    | opinion",0,0,1,1,4,12,0.057102285,0.01589559,0.92700213,Neu,0.041206695,ft
14,2021-07-13 15:20:01,MSCI ultimate index: fascinating but futile exercise    | opinion,0,0,0,2,3,16,0.048668858,0.31752014,0.633811,Neu,-0.26885128,ft
15,2021-07-07 17:28:02,"Trump sues Facebook, YouTube and Twitter over ‘censorship’  ",0,0,0,20,22,46,0.016139206,0.871604,0.11225679,Neg,-0.8554648,ft
16,2021-07-07 14:28:05,Microsoft: Jedi reveals the dark side of public sector customers    | opinion,0,1,0,2,6,10,0.046132013,0.13481803,0.81904995,Neu,-0.08868602,ft
18,2021-07-05 00:05:04,Apple wins privacy battle in China  ,0,1,0,4,26,70,0.19434604,0.20794746,0.59770656,Neu,-0.013601422,ft
19,2021-07-03 01:04:00,Andy Jassy to net $214m in Amazon stock on taking over from Jeff Bezos  ,0,1,0,7,5,16,0.06136053,0.013854663,0.9247848,Neu,0.047505867,ft
20,2021-07-01 16:40:02,Amazon: Khan should probe conflict-prone marketplace    | opinion,0,0,1,2,5,18,0.17073971,0.014173795,0.81508654,Neu,0.15656592,ft
21,2021-06-30 18:02:04,Amazon seeks to force FTC chair Lina Khan to step aside from investigations  ,0,1,0,5,15,24,0.026692353,0.377669,0.59563863,Neu,-0.35097665,ft
22,2021-06-30 14:15:02,German official calls for government bodies to close Facebook pages  ,0,0,0,1,21,32,0.010876793,0.8649989,0.124124326,Neg,-0.8541221,ft
23,2021-06-29 18:25:02,Facebook wins an antitrust reprieve    | opinion,0,1,0,3,11,9,0.38078067,0.33777142,0.28144795,Pos,0.04300925,ft
24,2021-06-29 17:53:02,Facebook rulings spark bipartisan calls for US competition law change  ,0,1,0,5,7,26,0.258109,0.42473957,0.3171514,Neg,-0.16663057,ft
25,2021-06-29 08:33:02,Facebook/antitrust: legacy standards no match for big tech    | opinion,0,0,0,2,7,12,0.032784224,0.11735753,0.8498582,Neu,-0.084573306,ft
26,2021-06-28 21:06:05,US judge dismisses antitrust lawsuits against Facebook  ,0,1,0,2,7,19,0.015940255,0.8957522,0.08830767,Neg,-0.87981194,ft
27,2021-06-26 07:33:02,Apple Daily’s death leaves a shadow over free press in Hong Kong  ,1,1,0,45,305,353,0.014691891,0.846305,0.1390031,Neg,-0.8316131,ft
28,2021-06-25 19:03:01,Apple Daily’s fate speaks to Asia’s authoritarian resurgence    | opinion,0,0,0,4,3,18,0.07384292,0.2846081,0.64154893,Neu,-0.21076518,ft
29,2021-06-25 08:31:03,UK competition watchdog to probe Google and Amazon over fake reviews  ,0,0,0,6,14,25,0.019031862,0.7215508,0.25941727,Neg,-0.70251894,ft
