,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-27 22:40:01,$FB and $GOOG 2 Yr. growth rates for their advertising businesses.  ,0,0,0,0,1,8,0.9011203,0.010543294,0.088336475,Pos,0.890577,fundiescapital
1,2021-07-27 21:51:01,"OK everyone, you've had enough data points, where does $FB come in for top-line?  Bberg Consensus showing $27.86B.",1,1,0,0,1,0,0.12038326,0.021744898,0.85787183,Neu,0.09863836,fundiescapital
2,2021-07-24 14:51:01,"Pure Play Internet Advertising Market: Absolute $ growth in Q vs. 2 Yr. Prior Q.    The two behemoths march on.  GOOG consistent % share bleeder while still capturing the most incremental $s.  $FB gaining ground.  Q2 2021:  $TWTR and $SNAP actuals. $PINS, $GOOG, $FB estimates.  ",0,1,0,0,1,7,0.9235886,0.03139769,0.04501374,Pos,0.8921909,fundiescapital
3,2021-07-19 20:53:00,"$W rallying with a bunch of other 💩💩.  May be fluke but this turd has reversion to the mean in front of it.    Purchase frequency at $W is very low. It’s not $AMZN - they have to fight for every ‘next order’, since it was 3+ months since you ordered from there last time.",1,1,0,4,2,17,0.041371766,0.49705055,0.46157762,Neg,-0.4556788,fundiescapital
4,2021-07-03 21:49:01,"Would love to see the boomers vs. millennials breakout on this poll.  Boomers: Back in my day the market went down every third year.  Millennials: Since the S&P 500 is a riskless asset, you have to choose that +9%.  Not even close.",1,1,1,1,1,8,0.04023535,0.45570382,0.50406086,Neu,-0.41546848,fundiescapital
5,2021-06-30 21:01:00,Surprised $CRWD and $FB down on window dressing day.    aside: is window-dressing day based on settlement or trade day?,1,1,0,2,0,4,0.025254881,0.5934837,0.38126138,Neg,-0.5682288,fundiescapital
6,2021-05-25 23:43:03,"Great book: not what you’d think (not aliens and Roswell related). More about its role in development of Oxcart (blackbird spy plane), espionage, nuclear testing and related declassified history.  If you like military history or $LMT, great read/listen.   ",1,1,0,2,0,12,0.03198897,0.03228514,0.9357258,Neu,-0.00029616803,fundiescapital
7,2021-05-25 14:33:01, Those are included.  All GOOG parent ad revs in that figure.,1,1,0,1,0,0,0.020717937,0.0462419,0.9330402,Neu,-0.025523964,fundiescapital
8,2021-05-25 14:28:00," If you make the grossly simplifying assumption that these are the only ad players, $GOOG consistent share donor.  $FB most consistent share gainer.    Likely worse if you included all the other players, incl. $AMZN.  ",1,1,0,1,0,1,0.07838301,0.19857642,0.7230405,Neu,-0.12019341,fundiescapital
9,2021-05-25 14:24:05," $FB consistently growing faster, taking share in online ad market.  Of note, $GOOG shrunk Q2 2020, $FB still grew.  relative growth likely part of the reason.",1,1,0,1,0,1,0.93418336,0.017604772,0.04821187,Pos,0.9165786,fundiescapital
10,2021-05-15 15:34:01," Not saying wrong but how do you get to 4X in 5 years? Revs (most AWS?), margins, capex ⬇️, payables and accrued exp ⬆️?   On retail side AMZN is approaching NFLX problem where fully saturated in US. There aren’t many more non-customers to capture. Growth becoming harder (in US).",1,1,0,2,0,0,0.095597245,0.54591906,0.3584837,Neg,-0.45032182,fundiescapital
11,2021-05-12 05:21:04,The Spy on Netflix is well done.  Distressing.  But very well done.,1,1,0,2,0,9,0.20881568,0.49215242,0.29903185,Neg,-0.28333676,fundiescapital
13,2021-04-29 00:41:00,  $AAPL sells the needle and $FB sells the heroin.  Sad but true.,0,1,0,1,1,4,0.05085215,0.13955578,0.8095921,Neu,-0.08870363,fundiescapital
15,2021-04-27 21:30:01,FD:  i am long $FB.,0,1,0,0,0,1,0.049571823,0.03519945,0.9152288,Neu,0.014372375,fundiescapital
16,2021-04-27 21:26:00,"amongst friends that's close to $1.2B beat on top-line at a minimum.  but, who knows.  $27B is a stretch but based on $GOOG s it's not totally absurd.",1,1,0,1,0,1,0.06749382,0.04366729,0.8888389,Neu,0.023826528,fundiescapital
17,2021-04-27 21:22:01,"Triangulating on comps' results out so far, really hard to see $FB beat by anything less than 5% on top line tomorrow.",0,1,0,1,0,11,0.3520606,0.034848258,0.6130912,Neu,0.31721234,fundiescapital
19,2021-03-05 14:12:05,"  Yes, I had spent all of 3 minutes on it looking when holders list struck me.  Reading up it’s more of a tool for buyers (via agency) to access certain inventory than some exchange-type model hoovering up volumes of connectedTV $s. No big switching costs & no access to GOOG &...",1,1,0,1,0,0,0.050297167,0.020211749,0.9294911,Neu,0.030085418,fundiescapital
20,2021-02-24 12:32:05,$CRWD CEO very publicly laying some of the blame on $MSFT for extent of SolarWinds hack.  ,0,1,0,2,1,19,0.017718723,0.88906485,0.093216434,Neg,-0.8713461,fundiescapital
21,2021-02-23 20:01:02," good business in a great category = never make money.    One element of that formula must be off.    What if the category value actually just gets extracted by FB, GOOG, PINS, SNAP, etc.?",1,1,1,0,0,1,0.023801038,0.39354187,0.58265716,Neu,-0.36974084,fundiescapital
22,2021-02-22 04:15:02,"  Funny, this just popped up on google new tab.  This place is always empty, right on the gondola...   ",1,1,0,0,0,1,0.033536594,0.110646255,0.8558171,Neu,-0.077109665,fundiescapital
23,2021-02-19 19:46:00,Just how widely owned is $AAPL stock on fintwit?,1,1,0,0,0,0,0.029949209,0.028030302,0.94202054,Neu,0.0019189063,fundiescapital
24,2021-02-19 19:45:01,Just how widely owned is $MSFT on fintwit?,1,1,0,0,0,0,0.036273748,0.024003513,0.9397227,Neu,0.0122702345,fundiescapital
25,2021-02-19 19:44:03,Just how widely owned is $AMZN on fintwit?,1,1,0,0,0,0,0.036083564,0.023548093,0.9403683,Neu,0.0125354715,fundiescapital
26,2021-02-19 19:44:01,Just how widely owned is $GOOG on fintwit?,1,1,0,0,0,0,0.03400062,0.031892657,0.9341067,Neu,0.002107963,fundiescapital
27,2021-02-19 18:54:05,Just how widely owned is $FB on fintwit?,1,1,0,1,0,1,0.034145348,0.026120653,0.939734,Neu,0.008024694,fundiescapital
28,2021-02-11 13:14:01, why the leak now on $PINS / $MSFT? Any thoughts?,0,0,0,2,0,11,0.032386113,0.08313788,0.88447607,Neu,-0.050751764,fundiescapital
29,2021-02-05 01:13:04," Market extrapolating these share trajectories.  Purchase intent on platforms is very different.  (market is GOOG, FB, PINS, TWTR, SNAP)  ",0,1,0,2,0,24,0.027851528,0.027666185,0.94448227,Neu,0.0001853425,fundiescapital
30,2021-02-03 23:33:02, Personally don’t think Tesla software is what made it successful.  No margin of safety in engineering is what made performance seem so outlandish.  Others (VW) have figured out the propulsion and battery management.  UI may be different ballgame. Apple has advantages.,1,1,1,0,0,0,0.120491624,0.017842347,0.861666,Neu,0.10264928,fundiescapital
31,2021-01-27 21:20:01,Just a friendly reminder that $FB has a lower market cap than $TSLA.  $FB did $32.7B in EBIT in 2020.  TSLA did $2B b/c their competitors had to pay them $1.6B for EV credits.,1,1,0,8,23,152,0.104078785,0.16863355,0.7272876,Neu,-0.064554766,fundiescapital
32,2021-01-13 17:19:01,  so $FB ad rates up huge YoY in Q4 is the 20K foot takeaway?,0,1,0,1,0,3,0.306114,0.058705688,0.6351803,Neu,0.2474083,fundiescapital
33,2021-01-11 18:45:01, Who is 11 if we remove the double GOOG?,0,1,0,1,0,0,0.029676776,0.07900861,0.8913147,Neu,-0.049331833,fundiescapital
34,2021-01-07 15:45:02,To the crux of my thesis: this clearly delineates who the winners & losers are likely to be over next 3-5 years.  These growth rates of mkt share don't change much. $GOOG share donor but total mkt growth saves them. Seems clear where advertisers are going on the margin. $TWTR 😬  ,0,1,0,1,0,0,0.07882236,0.026436886,0.89474076,Neu,0.05238547,fundiescapital
