,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-06-18 15:40:03,MindGeek Execs and Owners — Along With Visa and Colbeck Capital — Hit With U.S. Lawsuit    ,0,0,0,0,0,3,0.011548347,0.9630228,0.025428804,Neg,-0.9514745,iimag
2,2021-04-15 18:00:00,"Data – good data, accurate data, consistent data – is the key to unlocking the potential of sustainable investing.   Sponsored by Microsoft  ",1,1,0,0,0,3,0.1234467,0.009965324,0.866588,Neu,0.11348138,iimag
3,2021-03-08 22:11:05,"After Merger, Apollo and Athene Could Be Eligible for S&P 500 Inclusion    ",0,0,0,0,0,2,0.10994311,0.007999122,0.8820577,Neu,0.101943985,iimag
4,2021-02-23 15:33:03,Google Plans to Invest Half a Billion Dollars in JPMorgan’s Racial Equity Push    ,1,1,0,0,1,3,0.09906708,0.008870972,0.89206195,Neu,0.0901961,iimag
5,2021-02-12 22:10:05,Going Green May Hurt at First — But Fighting Climate Change Will Boost the S&P 500    ,0,1,0,0,1,2,0.9227141,0.013875932,0.063409984,Pos,0.90883815,iimag
6,2021-02-10 18:43:04,"How to Beat the S&P 500 With Emerging Markets, According to Dan Rasmussen    ",0,1,0,0,3,10,0.6176218,0.01148463,0.37089354,Pos,0.60613716,iimag
7,2020-11-30 21:13:05,Why S&P’s Tie-Up With IHS Surprised Analysts — And Why More Deals Will Follow    ,1,0,1,0,1,1,0.1502619,0.012793286,0.83694476,Neu,0.1374686,iimag
8,2020-10-26 21:46:02,"A University Endowment Got Sued for Lagging the S&P 500. Now, It's Fighting Back.    ",0,1,0,0,0,4,0.023757864,0.90715027,0.069091834,Neg,-0.8833924,iimag
9,2020-08-31 21:42:02,Why the Dow Reshuffle Matters    ,0,0,0,1,0,0,0.027136812,0.11153547,0.86132777,Neu,-0.08439866,iimag
10,2020-07-20 21:31:04,University Endowment Sued for Underperforming the S&P 500    ,0,1,0,1,6,11,0.03242246,0.93734646,0.030230986,Neg,-0.904924,iimag
11,2020-06-24 16:13:04,The New Climate Investor on the Block? Amazon.    ,0,0,0,2,0,1,0.033037357,0.016942624,0.95001996,Neu,0.016094733,iimag
12,2020-06-23 21:22:02,The New Climate Investor on the Block? Amazon.    ,0,0,0,0,2,2,0.033037357,0.016942624,0.95001996,Neu,0.016094733,iimag
13,2020-03-22 17:01:01,S&P Warns Defaults Will Surge as World Enters Recession    ,0,0,0,1,6,9,0.092299335,0.8893064,0.018394241,Neg,-0.7970071,iimag
