,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2021-07-30 19:29:03,I'd be more concerned that $AMZN may take down the entire market into close if it can't find a bid.,0,0,1,3,0,6,0.013042124,0.9317827,0.055175085,Neg,-0.9187406,investorslive
2,2021-07-30 19:26:00,$AMZN decent pressure last 30 minutes.,0,0,0,2,0,3,0.08734376,0.5622763,0.3503799,Neg,-0.47493255,investorslive
3,2021-07-30 15:03:02,$TQQQ straight moon shot so far with $AMZN reversal I started in but steady highs -- waiting for scale opportunity should be GREAT set up later.,1,1,1,2,1,7,0.5398689,0.026311517,0.43381962,Pos,0.5135574,investorslive
4,2021-07-30 02:20:04,"""We take these request seriously"" LOL   $FB what a f'king joke.  ",0,1,0,6,0,24,0.040918652,0.4034018,0.55567956,Neu,-0.36248314,investorslive
5,2021-07-29 20:45:04,Heads up. Keep an eye on markets. Debating coming back to desk to trade this headline 🤔 $SPY $VXX,0,1,0,7,0,32,0.044571947,0.027732695,0.92769533,Neu,0.016839253,investorslive
6,2021-07-27 16:41:00,$FB nice fades today   $TQQQ oh ... my,0,0,0,0,1,4,0.15404586,0.05375972,0.7921944,Neu,0.10028614,investorslive
7,2021-07-26 20:59:03,$AMZN AMAZON DENIES CITY A.M. REPORT IT WILL ACCEPT BITCOIN THIS YEAR  There goes $BTC $RIOT $MARA etc nice timing before bell,0,1,0,10,14,105,0.17494294,0.0141873285,0.81086975,Neu,0.1607556,investorslive
8,2021-07-22 17:23:01,Hmmmmm $SPY,0,0,0,4,0,11,0.060856935,0.038729552,0.9004135,Neu,0.022127382,investorslive
9,2021-07-21 20:55:00,$SPY next $NURO ??,0,0,0,7,2,45,0.05595545,0.057660565,0.8863839,Neu,-0.0017051138,investorslive
10,2021-07-21 18:15:03,  That wasn't the actual issue it just froze for whatever reason and did those during that time. Happened yesterday I need to figure it out.,1,1,0,1,0,1,0.03488216,0.1741218,0.7909961,Neu,-0.13923964,investorslive
11,2021-07-21 18:11:05,  lol,0,0,0,0,0,2,0.044016626,0.029844426,0.92613894,Neu,0.0141722,investorslive
12,2021-07-21 18:08:03,Nice 👌  😡  ,0,0,0,8,0,32,0.05924162,0.042953704,0.89780474,Neu,0.016287915,investorslive
13,2021-07-20 20:40:05,Always get nervous w/ markets like this - bounce easy w/ no gut check. Does bounce continue or was this all just short cover rally & more pressure rest of the week after gap down tomorrow?  No real read this time around - will take whatever comes but food for thought.   $SPY $VXX,1,1,1,7,3,72,0.046169356,0.074517116,0.8793135,Neu,-0.02834776,investorslive
14,2021-07-20 14:24:03,Now that  is back to earth he can sell another $100 billion of $AMZN to propel the stock to $4000.,0,1,1,3,3,58,0.60374194,0.010862298,0.38539574,Pos,0.59287965,investorslive
15,2021-07-20 12:00:02,Now that this move has come -- this week is the big week - do we consolidate and stay heavy or snap back as usual?  Hopeful of the first considering I'm never loading enough on the first dip lol.  $SPY $VXX,1,1,0,0,0,13,0.12927961,0.09090684,0.7798135,Neu,0.03837277,investorslive
16,2021-07-19 21:05:00,$VXX $SPY nice when they work to a tee ✔  ,0,1,0,0,0,1,0.086867295,0.035066687,0.878066,Neu,0.05180061,investorslive
18,2021-07-15 02:24:03,Serious unwinds on charts lately SPAC's most notably -- time to make list again for the relief rally post flush out.  Also noticing lots of false moves followed by major unwinds ie: $OSTK $UPST $RBLX  Steady melts: $PLTR $NIO etc.  Meanwhile $SPY is honey badger not givin' a fuk.,1,1,0,5,0,111,0.044891674,0.5977717,0.35733658,Neg,-0.55288005,investorslive
20,2021-07-06 20:23:00,The more Jeff Bezos sells the more $AMZN goes up. Smart man.,0,1,0,5,1,46,0.13127157,0.022852661,0.8458758,Neu,0.10841891,investorslive
22,2021-07-03 02:31:01,   OoOoOo 👀  Been a quick minute. Need to go pick up the Amazon packages at home 🤣  I'll see.,0,0,1,0,0,1,0.050367948,0.03342292,0.9162091,Neu,0.016945027,investorslive
24,2021-06-24 18:10:02,"$NBY if you PR'd this with the words ""On Amazon"" in it -- learn from your peers $DBGI lol  🤫",0,1,1,1,2,2,0.061629813,0.015835838,0.9225343,Neu,0.045793973,investorslive
25,2021-06-24 17:53:01,Can't wait to hand key those fukin' levels in.  Prob up there with trying to trade $AMZN which is unreal difficult to key in.,1,1,0,3,2,7,0.089924194,0.07546496,0.8346108,Neu,0.014459237,investorslive
26,2021-06-17 18:43:04,$SPY lol never a doubt.,0,0,0,4,0,19,0.06369018,0.02022199,0.9160878,Neu,0.04346819,investorslive
27,2021-06-17 08:00:02,   His data is prob broken or he can't read/listen to video scan when I went over why I was swinging from sub $3 (avg just higher because I added to winner then scaled out some last move).    Stop using Google finance quotes 🤣,1,1,1,0,0,1,0.034496963,0.41950533,0.54599774,Neu,-0.38500836,investorslive
28,2021-06-16 16:50:04, Google it. Plenty of videos of me discussing it.,0,1,0,1,0,1,0.051699724,0.023943821,0.92435646,Neu,0.027755903,investorslive
29,2021-06-16 15:43:05,"$VINO watch if it builds today later on into close   Gaucho Group Holdings, Inc. Launches $AMZN Storefront   ",0,1,0,2,0,3,0.3442404,0.0199261,0.63583344,Neu,0.3243143,investorslive
30,2021-06-16 03:26:01,Pretty $AMZN'ing,0,1,0,3,1,26,0.05520874,0.022510234,0.922281,Neu,0.032698505,investorslive
31,2021-06-14 20:55:04,is $SPY /WSB  target into close?,0,1,0,4,3,40,0.062821835,0.15567023,0.78150797,Neu,-0.09284839,investorslive
32,2021-06-07 19:26:00,$NBY product is on $AMZN if it wasn't clear by their tweet.,1,1,0,0,0,4,0.017094579,0.36699295,0.61591244,Neu,-0.34989837,investorslive
33,2021-06-02 18:25:01,$AMC pulling $SPY down. Go figure.,0,1,0,10,6,96,0.06017142,0.37800947,0.5618191,Neu,-0.31783804,investorslive
34,2021-06-01 19:49:01,"Speaking of ""very interesting"" - interesting use of $AMZN van in the $AYRO tweet 🤔",0,0,0,1,2,12,0.1216611,0.011187471,0.86715144,Neu,0.110473625,investorslive
35,2021-06-01 15:34:02,"$AMC cash flow, leverage profile unchanged, s&p says in email - $AMC, Mudrick deal not enough to alter view on co.: s&p analyst",0,1,0,1,2,13,0.11136468,0.4920254,0.39660987,Neg,-0.3806607,investorslive
36,2021-05-28 15:38:04,Best thing in times of $AMC type action or $GME -- sympathy trades stuff like $BB $BBBY etc. Use $AMC as your $SPY for the other meme names.,0,1,0,9,8,102,0.026458222,0.028821073,0.94472075,Neu,-0.002362851,investorslive
37,2021-05-27 20:00:00,$CLOV CLOVER HEALTH being added to the MSCI small cap Index tonight,1,1,0,10,10,97,0.4109685,0.010405264,0.5786262,Neu,0.40056324,investorslive
38,2021-05-21 17:09:04,$SPY red,0,0,0,4,0,8,0.053192966,0.0513389,0.8954682,Neu,0.0018540658,investorslive
39,2021-05-20 17:37:00,One thing we haven't seen recently is the $SPY rally this much and close red.,1,1,0,4,0,20,0.09645479,0.3052198,0.59832543,Neu,-0.208765,investorslive
40,2021-05-20 16:48:05,Note to self - every time you think $380 $SPY it's a buy.,0,1,0,2,0,28,0.053190656,0.03225081,0.91455853,Neu,0.020939846,investorslive
41,2021-05-19 19:22:01,Looks like $SPY found one of  wet wipes he keeps in his golf bag.,1,1,0,2,0,12,0.03701894,0.06142055,0.90156054,Neu,-0.024401609,investorslive
43,2021-05-19 14:24:03, That's what you call someone who doesn't suggest before as you know $38K was the goal. So wrong use of terminology. Use google to understand what that means.,1,1,0,0,0,0,0.03238715,0.099101365,0.8685115,Neu,-0.06671421,investorslive
44,2021-05-19 03:24:03,"In other words     doesn't give a flying fuk. Facebook continues to enable fraud by having fake ""report"" submission tools. As you know, not the first time.  ",0,1,0,3,0,16,0.040412057,0.08858198,0.87100595,Neu,-0.048169922,investorslive
45,2021-05-19 01:27:02,Like we were talking about on Sunday video re: $SPY looking like a disaster being the best buy & $SPY looking like break out towards $420 again this week = best sell   I still think we see some longer term consolidation $380s w/o that immediate snap back and highs we are used to.,1,1,0,5,1,14,0.731224,0.07198592,0.1967901,Pos,0.6592381,investorslive
46,2021-05-18 20:51:05,$SPY bullish downticks into close 😏,0,0,0,9,0,25,0.29118785,0.44712287,0.2616893,Neg,-0.15593502,investorslive
47,2021-05-16 23:05:05,"💥 FREE SCAN + VIDEO 💥   👉 Check out my watch list & game plan for tomorrow    ✅ TOPICS: $SPY & $VXX, Market Correction vs. Recovery, Trading in This Market + more.  📈 TICKERS: $AMC $NIO $PLUG $MOSY $PTON $PLBY $VTNR $CELC $PLTR $DKNG $UBER + more  ",0,0,0,3,4,46,0.06322553,0.021173215,0.91560125,Neu,0.042052314,investorslive
48,2021-05-13 19:08:04,$SPY $VXX ✅    👇  ,0,0,0,1,1,8,0.07475222,0.025612654,0.89963514,Neu,0.049139567,investorslive
49,2021-05-13 18:01:03,$SPY $VXX   Just in case we need it in the next few days -- here is the link to bookmark:   ,0,1,0,4,2,19,0.030538766,0.02664782,0.94281346,Neu,0.0038909465,investorslive
50,2021-05-13 17:12:00,$SPY -- if we grind back now after this nice gut check that premium should shave off volatility products.,0,1,1,2,0,7,0.31585193,0.061273362,0.62287474,Neu,0.25457856,investorslive
51,2021-05-13 16:48:05,$SPY thank you for behaving so nicely - you da best ✅,0,1,0,4,0,7,0.317952,0.023001088,0.65904695,Neu,0.29495093,investorslive
53,2021-05-13 15:43:03,$SPY please behave and give us some fantastic trades!  ,0,0,0,2,0,6,0.13948569,0.021130603,0.8393837,Neu,0.11835508,investorslive
54,2021-05-13 03:48:00,"Just 4 of 25+ daily DMs as    knowingly, willingly and recklessly enables impersonation account fraud.   removes the accounts they do not.  ",0,1,0,3,2,13,0.016731404,0.6392292,0.34403953,Neg,-0.6224978,investorslive
55,2021-05-12 20:28:03,Here you go  no need to make a new graphic $SPY $VXX 👊  ,0,1,0,2,4,34,0.049001705,0.018299619,0.93269867,Neu,0.030702086,investorslive
56,2021-05-12 19:59:02,🔮🤷‍♂️ $SPY $VXX   15 minutes before it happens just ask for it to happen 👊  ,0,1,0,4,2,20,0.0456684,0.02537559,0.928956,Neu,0.020292811,investorslive
57,2021-05-12 17:19:02,"Personally I think $SPY chills for bit -- rest of the day most of the ""panic"" relaxes some but curious more so $380 first before $420 - what is the consensus there essentially.",0,1,0,3,1,6,0.05239446,0.06952129,0.8780842,Neu,-0.017126832,investorslive
58,2021-05-12 17:16:03,$380 for correction spot or what on $SPY? Where's your head at?,0,0,0,28,1,16,0.037317947,0.121016316,0.84166574,Neu,-0.08369837,investorslive
59,2021-05-12 11:36:04,      Of course.    actually has people review it when you send it in.     still blames COVID as their excuse and just lets everything go and pretends they review it.,0,1,0,1,0,0,0.021307506,0.4929649,0.48572758,Neg,-0.4716574,investorslive
60,2021-05-12 11:32:05,"Proof  &  review process is fake and enables fraud.    You're right $FB - this isn't pretending to be me.   I'm sure it's just a twin somewhere else with same name, same profile pic and same profile page.   My mistake.  cc:     ",0,1,0,7,1,24,0.027512163,0.29291743,0.6795704,Neu,-0.26540527,investorslive
61,2021-05-10 19:41:02,Panic setting in on Wall Street $SPY is down 0.63%,0,1,0,8,6,64,0.009677632,0.9656194,0.024702955,Neg,-0.95594174,investorslive
62,2021-05-06 18:59:02, Your internet works for Twitter but not for Google?,0,0,0,1,1,1,0.027010173,0.051342443,0.9216474,Neu,-0.02433227,investorslive
63,2021-05-05 15:09:02,$PRPO This doesn't read well.  Precipio: COVID-19 Testing At Amazon Is An Impressive Yet Transitory Fluke   ,0,1,0,1,1,6,0.71849453,0.020894144,0.26061141,Pos,0.69760036,investorslive
64,2021-05-04 12:41:01,$SPY $TQQQ yank,0,0,0,3,0,11,0.05877335,0.031952247,0.9092744,Neu,0.026821103,investorslive
65,2021-05-02 18:24:05,Once again   ✅ &gt;   who continues to use COVID19 as a scapegoat / excuse ... meanwhile Twitter does the right thing.  ,0,1,0,1,1,10,0.28476653,0.035147604,0.6800859,Neu,0.24961892,investorslive
66,2021-04-30 20:22:02,For the record $AMZN is still green on e/r 😏  ,0,1,0,2,0,5,0.037288804,0.049186014,0.9135252,Neu,-0.01189721,investorslive
