,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-29 21:51:05,AMZN dragging GOOGL and AAPL down in after-hours is something to behold.  Solidarity,0,1,0,4,0,19,0.041758813,0.6384075,0.31983367,Neg,-0.5966487,ivanthek
1,2021-07-29 21:41:03,"Amazon is not only wetting the bed, they're going for 2.",0,1,0,2,1,16,0.082229555,0.01726338,0.9005071,Neu,0.06496617,ivanthek
2,2021-07-29 21:33:02,Amazon investors are not interested in BUY IT NOW.  $AMZN,0,1,0,1,0,3,0.031392727,0.029254377,0.93935287,Neu,0.0021383502,ivanthek
3,2021-07-29 21:15:01,"If you have nothing nice to say, save it for Facebook.",0,1,0,1,1,26,0.030620491,0.09822263,0.8711569,Neu,-0.067602135,ivanthek
4,2021-07-29 21:03:00,$AMZN  ,0,0,0,0,1,20,0.039157916,0.04464395,0.9161982,Neu,-0.005486034,ivanthek
5,2021-07-28 21:09:05,Facebook sucks.,0,0,0,11,2,58,0.0198499,0.75929034,0.22085975,Neg,-0.73944044,ivanthek
6,2021-07-27 22:35:01, APPLE: EXPECTING SUPPLY CONSTRAINTS FOR IPHONE AND IPAD IN Q4,0,0,0,1,0,0,0.021132018,0.9072047,0.071663305,Neg,-0.8860727,ivanthek
7,2021-07-27 22:33:02,Is Apple sandbagging the second half on the conference call? $AAPL,0,1,0,3,0,1,0.047967184,0.027065454,0.9249674,Neu,0.02090173,ivanthek
8,2021-07-27 19:43:01,  That’s a WOPR of a question.,0,1,0,4,0,4,0.06811867,0.18575074,0.74613065,Neu,-0.11763207,ivanthek
9,2021-07-26 21:44:02,AMAZON AFFIRMS FIAT CURRENCY AT AAA,0,0,0,2,0,15,0.089143366,0.016887879,0.8939688,Neu,0.072255485,ivanthek
11,2021-07-20 21:12:03,"If I could pick two companies that would take me through their internal financial analyses, they would be $NFLX and $AMZN.",0,0,1,0,0,8,0.045404308,0.01526396,0.9393317,Neu,0.030140348,ivanthek
12,2021-07-20 14:28:02," Sorry, I have a drinking problem.  ",0,1,0,1,0,4,0.027909542,0.7903847,0.18170574,Neg,-0.7624752,ivanthek
13,2021-07-20 14:26:04," It was the highest altitude in the mission, but that's not important right now.  ",1,1,0,2,0,18,0.035839036,0.13234411,0.8318169,Neu,-0.096505076,ivanthek
14,2021-07-20 14:12:05,"Where's my rocket, Amazon?  ",0,0,0,0,4,10,0.03449347,0.08608477,0.8794218,Neu,-0.0515913,ivanthek
15,2021-07-20 13:53:05,"If you ever wanted to know what your Amazon Prime membership fee pays for, today you have your answer.",1,1,0,7,13,115,0.0363641,0.030689638,0.93294626,Neu,0.0056744628,ivanthek
16,2021-07-20 11:59:00,There are no pilots or flight controls on Bezos' vehicle? So it's basically like one big-ass Disney ride.  $DIS $AMZN,0,1,0,6,0,21,0.02806112,0.04360656,0.9283324,Neu,-0.015545441,ivanthek
17,2021-07-19 01:16:02,    First time I've ever gotten the back-to-back pup/bonobo reply.  ,1,1,0,1,0,8,0.076814055,0.023532176,0.89965373,Neu,0.05328188,ivanthek
18,2021-07-17 01:23:01,Facebook sucks.,0,0,0,17,8,137,0.0198499,0.75929034,0.22085975,Neg,-0.73944044,ivanthek
20,2021-07-16 16:39:05," The stop-in shows up institutionally, as well.  ",0,1,0,1,0,7,0.37248883,0.01444932,0.61306185,Neu,0.3580395,ivanthek
23,2021-07-13 19:09:00, At least Maria doesn't have kids who could grow up to be ashamed of her in the future.,1,1,1,1,0,9,0.0661905,0.21229988,0.7215096,Neu,-0.14610937,ivanthek
24,2021-07-12 18:21:02,"   Sit down, Mr. Dow. This Q is for Mr. Adami.",0,1,0,1,0,2,0.028181475,0.04350585,0.92831266,Neu,-0.0153243765,ivanthek
25,2021-07-08 21:48:03, Too much liquidity as it is.,0,1,0,0,0,3,0.012815636,0.8777828,0.10940153,Neg,-0.86496717,ivanthek
26,2021-07-08 15:42:02,    ,0,0,0,1,0,3,0.35916328,0.21665184,0.4241849,Neu,0.14251144,ivanthek
27,2021-07-07 17:45:00,  FTFY  ,0,0,0,2,0,8,0.09913518,0.032503594,0.8683612,Neu,0.066631585,ivanthek
28,2021-07-07 15:20:02,"SO YOU'RE SAYING IF I SUE TWITTER AND FACEBOOK, IT'LL TAKE ATTENTION AWAY FROM THE CRIMINAL INDICTMENT?  ",0,1,0,0,4,49,0.021680031,0.70519066,0.27312934,Neg,-0.6835106,ivanthek
29,2021-07-04 14:14:03,"“Some might even argue that barbecue, not apple pie, best symbolizes our nation’s pride. What’s more, few foods rival barbecue’s ability to bring people together.” —Costco Connection magazine, 2021  cc: Grilling haters",1,1,1,3,3,32,0.05693868,0.032509316,0.910552,Neu,0.024429366,ivanthek
30,2021-07-02 19:08:04,"  +1, +1",0,0,0,0,0,2,0.047887776,0.026061924,0.9260503,Neu,0.021825852,ivanthek
31,2021-07-02 11:12:00,$MSFT,0,0,0,0,1,8,0.041631017,0.03502322,0.92334574,Neu,0.006607797,ivanthek
32,2021-06-30 15:25:01,"  No, it was never called manipulation, that I can recall.",1,0,1,1,0,0,0.034321304,0.07436952,0.8913092,Neu,-0.040048216,ivanthek
33,2021-06-29 16:15:00,Is that guy still on the $FB payroll?,0,1,0,2,0,1,0.025248094,0.54752165,0.4272303,Neg,-0.52227354,ivanthek
34,2021-06-29 16:13:03,"CNBC guest (former $FB counsel): ""We have 100 years of antitrust enforcement, and that can't just be simply overturned by an act of Congress.""  Wut?  ",1,1,1,2,1,9,0.055569287,0.11401479,0.83041596,Neu,-0.058445502,ivanthek
35,2021-06-28 20:17:01,This doesn't look like a victory for Facebook--just a reprieve.  (via      ,0,1,0,2,1,7,0.058169045,0.033284243,0.9085467,Neu,0.024884801,ivanthek
37,2021-06-26 01:18:05,Cool dolphin 🐬 action on  fleet.,0,0,0,0,1,7,0.24792854,0.014346275,0.7377252,Neu,0.23358227,ivanthek
38,2021-06-25 21:40:00, The tweet wasn't sarcastic. They get a certain amount from the retailer for each subscription sold. Amazon is selling it at a big discount to its regular price. Is that coming out of Amazon's pocket or Microsoft's?,1,1,0,0,0,2,0.03338205,0.055836316,0.9107817,Neu,-0.022454266,ivanthek
39,2021-06-25 21:25:03,"Who funds this discount? Is it all Amazon, or does Microsoft also contribute?  ",0,1,0,2,0,1,0.036753733,0.035011858,0.92823434,Neu,0.001741875,ivanthek
40,2021-06-24 20:42:04, LOOOL,0,0,0,1,0,0,0.05326904,0.038189977,0.90854096,Neu,0.015079062,ivanthek
41,2021-06-22 18:51:02,With purchase of a Prime Day $25 Amazon 4K Fire Stick with voice remote and TV controls.  ,0,0,0,2,0,2,0.162347,0.0075818547,0.83007115,Neu,0.15476514,ivanthek
42,2021-06-22 15:29:00,"  Think about what you're ""spending"" it on. Would you say the same if we were talking about ""spending"" it on Apple stock?",1,1,1,1,0,0,0.033821806,0.03233425,0.9338439,Neu,0.0014875568,ivanthek
43,2021-06-21 13:19:02,"Amazon Prime Day always seems to be about buying things I didn't know I needed, and probably didn't really need.",1,1,0,1,0,10,0.034431506,0.046815563,0.91875297,Neu,-0.012384057,ivanthek
44,2021-06-21 10:19:02,FT Alphaville disappears during Amazon Prime Day. Coincidence?,0,1,0,1,0,1,0.02648667,0.27279174,0.7007216,Neu,-0.24630508,ivanthek
45,2021-06-20 21:55:03," Sure, but Amazon could have provided that feature without broadcasting the most popular highlights.",1,1,1,1,0,0,0.03726131,0.07557238,0.8871663,Neu,-0.038311068,ivanthek
46,2021-06-20 21:39:01,Do people highlight certain types of passages in Kindle novels because they know Amazon is tracking them? It seems like some weird kind of virtue signaling.,0,1,0,3,0,7,0.033573475,0.09462083,0.8718056,Neu,-0.061047357,ivanthek
47,2021-06-19 22:55:02,"“I argue that we need a Dow Jones of Happiness that tells us how our nation is doing in terms of engagement at work, trust in our neighbors, life satisfaction and positive emotions.”  We’re in a bear market.   ",0,1,0,0,0,8,0.11093445,0.08609748,0.802968,Neu,0.024836972,ivanthek
48,2021-06-18 23:57:00,"I wonder what Louis Rukeyser would say about the current stock market.   (Google it, kids.)",0,1,1,13,1,38,0.020852657,0.07600203,0.9031453,Neu,-0.055149376,ivanthek
49,2021-06-17 21:59:05,Someone should tell Facebook users about this.,0,0,1,0,2,12,0.03494569,0.04195827,0.92309606,Neu,-0.0070125796,ivanthek
50,2021-06-16 20:52:02, I haven't got a Clue.,1,1,0,0,0,5,0.04013645,0.08649659,0.873367,Neu,-0.046360143,ivanthek
51,2021-06-16 18:52:02, and the vega gods.,0,0,0,1,0,0,0.03539314,0.045006603,0.91960025,Neu,-0.009613462,ivanthek
52,2021-06-15 16:00:03,"""The Dow is down triple digits now.""  ",0,1,0,0,0,11,0.011185022,0.95920527,0.029609673,Neg,-0.9480202,ivanthek
53,2021-06-15 14:00:05,  ,0,0,0,1,0,6,0.35916328,0.21665184,0.4241849,Neu,0.14251144,ivanthek
54,2021-06-14 18:14:05,   Bonds at lows; SPX at lows; Naz near highs. Discuss.,0,0,0,1,0,1,0.030814882,0.8853793,0.08380582,Neg,-0.8545644,ivanthek
55,2021-06-10 20:58:02,*AMC NOW HAS `PATH TO A SUSTAINABLE CAPITAL STRUCTURE': S&P  Return To Planet Of The Apes,0,0,0,3,2,25,0.59329003,0.010221938,0.39648804,Pos,0.5830681,ivanthek
56,2021-06-09 11:24:05,S&P futures overnight trading range was under 10 handles.  ,1,1,0,2,0,4,0.035438295,0.7291078,0.23545393,Neg,-0.6936695,ivanthek
57,2021-06-07 20:43:05,  ,0,0,0,1,0,5,0.35916328,0.21665184,0.4241849,Neu,0.14251144,ivanthek
58,2021-06-04 22:16:04, !,0,0,0,0,0,2,0.06602014,0.06326414,0.87071574,Neu,0.0027559996,ivanthek
59,2021-06-04 22:02:00,Catch  leaping feline Fleet before it disappears.,0,1,0,2,1,7,0.026639672,0.0516439,0.92171645,Neu,-0.025004229,ivanthek
60,2021-06-04 17:47:05,BREAKING: Facebook Permits Trump To Express Himself Publicly Via Other Means     ,0,1,0,2,2,12,0.033927515,0.024587091,0.94148535,Neu,0.009340424,ivanthek
61,2021-06-02 22:43:03,Amazon pitching Amazon Music through direct (snail) mail solicitations seems...weird.,0,1,0,2,0,9,0.026391666,0.5229445,0.4506638,Neg,-0.49655285,ivanthek
62,2021-05-29 11:14:05,Cancel Facebook.  ,0,0,0,1,1,18,0.01818044,0.59614265,0.38567686,Neg,-0.5779622,ivanthek
63,2021-05-27 21:41:04, That's what I'm referring to. MSCI Mo.,0,1,0,1,0,0,0.03148286,0.02887886,0.9396383,Neu,0.0026040003,ivanthek
64,2021-05-27 21:00:03,MSCI wackiness,0,0,0,0,0,3,0.07689839,0.024124054,0.8989776,Neu,0.052774332,ivanthek
65,2021-05-27 15:33:01,  ,0,0,0,1,0,3,0.35916328,0.21665184,0.4241849,Neu,0.14251144,ivanthek
66,2021-05-27 13:27:02, Today's numbers or tomorrow's?,0,0,0,2,0,1,0.02881793,0.10344976,0.86773235,Neu,-0.07463183,ivanthek
67,2021-05-26 14:48:03,Get ready for robot-administered vaccinations.  AMAZON MULLS LAUNCH OF PHYSICAL PHARMACIES: INSIDER,0,0,0,1,1,0,0.14488125,0.0100251585,0.84509355,Neu,0.13485609,ivanthek
68,2021-05-26 13:56:05,Amazon keeps building up a Prime bundle that would make any moves to break them up on antitrust grounds very unpopular. $AMZN,0,1,1,4,1,19,0.06104465,0.7051668,0.23378861,Neg,-0.6441222,ivanthek
69,2021-05-26 13:34:03,AMAZON AND MGM HAVE SIGNED AN AGREEMENT FOR AMAZON TO ACQUIRE MGM|| AMAZON WILL ACQUIRE MGM FOR A PURCHASE PRICE OF $8.45 BLN  ,0,0,0,3,7,26,0.7721434,0.011169257,0.21668729,Pos,0.76097417,ivanthek
70,2021-05-26 11:01:01,Cancel Facebook,0,0,0,1,0,7,0.021236097,0.41075623,0.56800765,Neu,-0.38952014,ivanthek
71,2021-05-25 15:20:01,  One thing it does do that's integrated into their eco-system is gives me heads-ups about my Amazon orders and Subscribe and Save stuff.,1,1,0,0,0,0,0.046663295,0.025889607,0.92744714,Neu,0.020773688,ivanthek
72,2021-05-25 15:17:03,  I don't even use Amazon Music with it. I just plug my Spotify and SiriusXM subscriptions into it.,0,1,0,1,0,0,0.031039773,0.033980228,0.93498003,Neu,-0.0029404555,ivanthek
73,2021-05-24 20:00:00,AMAZON NEARS DEAL TO BUY HOLLYWOOD STUDIO MGM  ,0,0,0,2,2,11,0.4300478,0.013508069,0.55644405,Neu,0.41653973,ivanthek
74,2021-05-24 13:45:05, Brrrring Down The House,0,1,0,2,0,11,0.17185822,0.23948222,0.5886595,Neu,-0.067624,ivanthek
76,2021-05-20 23:34:01," Often, yes.",0,0,0,1,0,2,0.13356467,0.022671381,0.8437639,Neu,0.11089329,ivanthek
78,2021-05-10 13:20:01,  ,0,0,0,1,0,10,0.35916328,0.21665184,0.4241849,Neu,0.14251144,ivanthek
80,2021-05-09 22:59:04,  ,0,0,0,1,0,1,0.35916328,0.21665184,0.4241849,Neu,0.14251144,ivanthek
81,2021-05-07 21:51:00, Fixed that for you.  ,0,0,0,3,2,27,0.117408454,0.039875526,0.84271604,Neu,0.07753293,ivanthek
82,2021-05-07 14:43:05,DOW HITS RECORD HIGH  ,0,0,0,1,6,23,0.32098144,0.14430816,0.53471035,Neu,0.17667328,ivanthek
83,2021-05-06 13:08:04,Facebook users are about to find out that Trump isn't coming back onto the platform anytime soon.,0,1,0,1,0,18,0.019615524,0.64336646,0.33701807,Neg,-0.6237509,ivanthek
84,2021-05-05 16:20:00,"The REAL oversight of Facebook is done by regulators, advertisers and employees.",1,1,0,1,0,8,0.023969648,0.054393753,0.9216366,Neu,-0.030424105,ivanthek
