,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 17:45:01,"The “Tinder for anti-vaxxers"" is getting no love from the Google or Apple app stores  ",0,1,0,3,7,14,0.05221548,0.35447675,0.5933078,Neu,-0.30226126,markets
1,2021-07-31 15:34:04,"Rivian Automotive, the electric truck startup backed by Amazon and Ford, is reportedly in talks with the U.K. on building its first manufacturing plant outside the U.S.  ",1,1,0,4,8,28,0.56496465,0.009845897,0.42518944,Pos,0.55511874,markets
3,2021-07-30 19:34:01,"Individual investors are piling into the likes of Apple and Microsoft, showing a new appetite for megacap stocks after a rush of earnings sent some of the biggest tech names slumping  ",1,1,0,2,5,12,0.08313992,0.8759113,0.040948667,Neg,-0.7927714,markets
4,2021-07-30 19:21:04,Elon Musk denies a report from an upcoming book that he spoke with Tim Cook about Apple potentially buying Tesla  ,1,1,0,4,5,43,0.03555421,0.09213258,0.8723132,Neu,-0.05657837,markets
5,2021-07-30 19:09:04,"Shares of other online retailers fell along with Amazon on Friday, with several seeing their steepest declines in months  ",1,1,0,2,5,18,0.006819922,0.9734886,0.019691385,Neg,-0.9666687,markets
6,2021-07-30 16:55:00,Visa is considering requiring employees to get Covid-19 vaccines ahead of asking them to return to offices in the fall  ,0,1,0,2,8,14,0.027403688,0.4312392,0.5413571,Neu,-0.4038355,markets
7,2021-07-30 12:22:00,Dissecting this week's Amazon-Bitcoin speculation  ,0,1,0,4,5,21,0.03826752,0.027963124,0.9337693,Neu,0.010304395,markets
8,2021-07-30 11:21:03,"""Buy now, pay later"" installment plans are having a moment again, and Apple, PayPal, and other tech giants want in  ",0,1,0,2,6,16,0.10585796,0.0162539,0.8778882,Neu,0.089604065,markets
11,2021-07-29 16:53:05,"Index investing has collectively saved traders $357 billion over the past 25 years, according to one estimate from S&P Dow Jones Indices  ",1,1,0,3,5,15,0.675552,0.03493826,0.28950974,Pos,0.64061373,markets
12,2021-07-29 15:57:00,Apple Back in Bond Market With Shareholder Returns in Focus  ,0,0,0,1,4,15,0.87295264,0.04380365,0.08324364,Pos,0.829149,markets
13,2021-07-28 22:59:00,Apple plans to restore a mask requirement at most of its U.S. retail stores for both customers and staff  ,0,1,0,2,2,13,0.49794492,0.26048836,0.24156676,Pos,0.23745656,markets
15,2021-07-28 19:41:02,S&P 500 unchanged 📉📈 on the day after Federal Reserve holds rates steady    ,0,1,0,6,13,22,0.0697708,0.83689076,0.09333852,Neg,-0.76711994,markets
16,2021-07-28 01:59:00,5things: The slump in U.S.-listed Chinese shares accelerates. Apple warns of slowing sales growth. Phuket’s quarantine-free reopening to tourists is under threat. Here’s what you need to know at the start of Asia's day  ,1,1,0,0,3,12,0.041124202,0.5603636,0.3985122,Neg,-0.51923937,markets
17,2021-07-27 21:58:00,Workday shares fell after Amazon stopped using its human resources software  ,1,1,0,2,7,14,0.0071610045,0.96669143,0.026147543,Neg,-0.9595304,markets
19,2021-07-27 19:30:01,Amazon shares trade on a Canadian exchange for the first time after CIBC launches a new product for investors who want to own U.S. stocks while hedging their currency risk  ,0,1,0,2,7,15,0.34775355,0.015830511,0.63641596,Neu,0.33192304,markets
21,2021-07-27 07:30:01,"Bitcoin falls after briefly rallying past $40,000, as Amazon pushes back against speculation it will accept the token for payments this year  ",0,1,1,2,8,21,0.56976324,0.3889376,0.041299228,Pos,0.18082565,markets
22,2021-07-27 07:28:00,"Bitcoin falls after briefly rallying past $40,000, as Amazon pushes back against speculation it will accept the token for payments this year  ",0,1,1,4,5,21,0.56976324,0.3889376,0.041299228,Pos,0.18082565,markets
23,2021-07-27 04:35:03,"Bitcoin falls below $38,000 after briefly surpassing $40,000 following Amazon’s denial that its job posting for a digital currency executive meant that it will accept the token for payments this year  ",1,1,1,14,27,58,0.016201172,0.9576804,0.0261184,Neg,-0.9414792,markets
26,2021-07-26 09:00:04,"Boeing has lost scores of workers to Amazon and SpaceX, which are pushing technological advances at breakneck speed  ",1,1,0,0,5,17,0.007955477,0.971823,0.02022151,Neg,-0.9638675,markets
29,2021-07-22 18:32:03,YouTube has some of Facebook's same problems with Covid-19 conspiracies. So how has it avoided Democrats' wrath?  ,1,1,0,2,0,8,0.04408192,0.60141283,0.35450524,Neg,-0.5573309,markets
32,2021-07-20 20:34:04,France is looking into a news report that the phone of French President Emmanuel Macron was tapped by surveillance spy ware on behalf of Morocco  ,1,1,0,7,8,15,0.032732785,0.47927594,0.48799133,Neu,-0.44654316,markets
33,2021-07-20 17:07:05,The S&P 500 Index rises more than 1.5% to recover yesterday's selloff    ,0,1,0,11,62,157,0.88797665,0.07454438,0.037478946,Pos,0.8134323,markets
34,2021-07-20 15:16:02,S&P 500 Index stabilizes as investors buy the dip  ,1,1,0,4,7,28,0.64304066,0.2837601,0.07319918,Pos,0.35928056,markets
35,2021-07-20 10:07:00,Facebook tells the Biden administration not to blame the social network for spreading vaccine lies. But it fails to give the data that could prove its case.  ,0,1,1,7,6,18,0.029348215,0.54490167,0.4257501,Neg,-0.5155535,markets
37,2021-07-20 09:09:00,Apple is pushing back its return to office deadline by at least a month as Covid variants surge  ,0,1,0,1,3,24,0.06230751,0.28603902,0.65165347,Neu,-0.22373152,markets
38,2021-07-20 05:03:01,"EXCLUSIVE: Apple is delaying its return-to-office deadline by at least a month, to October at the earliest, as Covid variants surge across many countries    ",0,1,0,1,25,61,0.039626915,0.42881417,0.5315589,Neu,-0.38918725,markets
39,2021-07-20 03:12:04,"The U.S., U.K. and their allies formally attribute Microsoft Exchange hack to actors affiliated with the Chinese government and accuse Beijing of a broad array of “malicious cyber activities”  ",1,1,0,5,8,24,0.024147091,0.75768626,0.21816671,Neg,-0.73353916,markets
40,2021-07-20 01:13:04,"-The U.S., U.K. and allies accuse China of the Microsoft Exchange hack -Stocks tumble as the delta variant spooks investors -Major Chinese cities face power blackouts  Here are some of the things to know at the start of your day  ",0,1,0,3,4,15,0.026231151,0.31933105,0.6544378,Neu,-0.2930999,markets
41,2021-07-19 21:32:04,"U.S. stocks sank Monday with the Dow falling 2.1% and the S&P 500 down 1.6%, while Treasury yields hit their lowest since February  ",1,1,0,5,10,22,0.006904964,0.97213227,0.020962866,Neg,-0.9652273,markets
42,2021-07-19 21:04:05,S&P 500 declined 📉 1.6% on Monday amid fears the delta coronavirus variant may stall the economic recovery    ,1,0,1,3,18,42,0.009375416,0.9745172,0.016107367,Neg,-0.96514183,markets
43,2021-07-19 16:04:02,The S&P 500 fell the most since May as investors grow increasingly concerned the delta variant will weigh on the global economic recovery  ,1,1,1,3,21,32,0.009022055,0.9715802,0.019397784,Neg,-0.96255815,markets
44,2021-07-19 13:26:03,"Ingersoll Rand offers to buy SPX Flow for $3.59 billion, making public an offer that the rival flow-control manufacturer had rejected  ",1,1,0,0,1,7,0.34136343,0.10705943,0.55157715,Neu,0.23430401,markets
47,2021-07-15 23:20:05,That announcement that vaccine maker Moderna will be added the S&P 500 Index sent share up more than 6% in extended trading Thursday  ,1,0,1,5,13,41,0.94857055,0.025306916,0.026122522,Pos,0.9232636,markets
49,2021-07-15 19:27:03,Facebook said it took down a network of accounts connected to a group of Iranian hackers who were targeting employees of defense companies in the U.S. and Europe  ,1,1,0,0,4,7,0.015349522,0.8319716,0.15267892,Neg,-0.8166221,markets
50,2021-07-15 09:52:01,Facebook's controversial use of WhatsApp customer data is set for further scrutiny in the European Union after regulators raised doubts about the social media giant’s updated policy  ,1,1,0,0,7,15,0.018068466,0.89246947,0.08946205,Neg,-0.874401,markets
53,2021-07-13 20:33:05,"Apple is working on a new “buy now, pay later” service that will let consumers pay for any Apple Pay purchase in installments, rivaling offerings from Affirm and PayPal  ",0,1,1,0,5,31,0.29577723,0.011110163,0.6931126,Neu,0.28466707,markets
54,2021-07-13 20:00:05,U.S. antitrust officials said Berkshire Hathaway’s scrapped deal to buy pipeline assets from Dominion Energy would have threatened competition and never should have been pursued by the companies  ,1,0,1,0,2,7,0.015348832,0.89538175,0.08926941,Neg,-0.8800329,markets
55,2021-07-13 08:18:00,"Google fined almost $600 million in France for failing to follow an order to thrash out a fair deal with publishers to use their news content on its platform, a source says  ",1,1,0,5,40,55,0.017026665,0.9500321,0.032941207,Neg,-0.93300545,markets
56,2021-07-12 21:08:05,S&P 500 extends record climb on Monday with 📈 0.4% gain    ,0,1,0,6,20,64,0.91834325,0.04441563,0.037241124,Pos,0.8739276,markets
57,2021-07-12 15:36:00,A bevy of small businesses selling their wares on Amazon’s marketplace are being snapped up by Wall Street-backed startups looking to find the next hit product  ,1,1,0,0,3,15,0.022815784,0.8378224,0.13936175,Neg,-0.8150066,markets
58,2021-07-12 09:16:00,Facebook’s WhatsApp messaging app faces a European complaint after its allegedly “aggressive” roll out of new terms and services sparked outrage among consumer-rights campaigners  ,1,1,0,0,13,30,0.016623529,0.9347651,0.048611403,Neg,-0.91814154,markets
59,2021-07-10 08:14:03,Former U.S. Treasury Secretary Lawrence Summers told governments that spending now to prepare for fighting future pandemics was the equivalent of buying stock in Amazon in its early years  ,1,1,0,5,2,19,0.08712898,0.022363646,0.8905074,Neu,0.064765334,markets
60,2021-07-09 22:19:01,"Airlines will soon be charged more for polluting in Europe, but private jets and Amazon packages are set to escape the tougher rules  ",1,1,1,1,14,15,0.4161546,0.049248766,0.5345967,Neu,0.36690584,markets
62,2021-07-08 21:28:01,U.S. enforcers are relying on an odd victim to make their case against Google: Amazon  ,0,1,0,0,2,5,0.041298926,0.13646573,0.82223535,Neu,-0.0951668,markets
64,2021-07-08 02:36:03,-The Fed sees elevated uncertainty -Haiti plunges into chaos after president’s assassination -Apple surges to a record close  Here are some of the things to know at the start of Asia's trading day  ,0,1,0,1,5,15,0.03246201,0.063250944,0.90428704,Neu,-0.030788936,markets
65,2021-07-07 23:59:02,"British Columbia lost its top credit rating from S&P Global Ratings, which said provincial debt will rise sharply over the next few years because of the economic shock of Covid-19  ",1,0,1,1,7,8,0.015217554,0.96453553,0.02024684,Neg,-0.949318,markets
66,2021-07-07 22:09:01,"Apple closed at record high Wednesday, smashing its January peak as some on Wall Street forecast a stronger rally over the next six months  ",1,1,0,1,4,15,0.9182711,0.049248777,0.03248015,Pos,0.86902237,markets
68,2021-07-07 16:30:03,"“We’re sort of at a knife’s edge.” Goldman's Abby Joseph Cohen says investors should assess their appetite for stocks “carefully, very carefully” with the S&P 500 nearing fair trade value  ",0,1,1,15,16,43,0.16329715,0.06514987,0.771553,Neu,0.09814727,markets
69,2021-07-07 08:14:00,Andy Jassy can celebrate at least one win in his first week as Amazon CEO: the Pentagon said it would scrap the $10 billion cloud contract it awarded to Microsoft  ,1,0,1,0,0,15,0.046550777,0.8285762,0.12487304,Neg,-0.78202546,markets
71,2021-07-06 19:59:00,"The Pentagon has scrapped the $10 billion JEDI cloud-computing contract originally awarded to Microsoft in 2019, indicating it plans to divide the work between Microsoft and Amazon  ",1,1,0,7,10,17,0.0074874023,0.94801134,0.04450136,Neg,-0.9405239,markets
73,2021-07-01 10:12:00,Microsoft lost millions of dollars’ worth of Xbox gift cards in an online scheme. Turns out it was an inside job    ,1,1,0,0,4,17,0.020996531,0.76675534,0.21224815,Neg,-0.74575883,markets
75,2021-06-30 10:01:03,"To revive their landmark lawsuit against Facebook Inc., U.S. antitrust enforcers will need to present stronger evidence to support their argument that the world’s biggest social network is a monopoly  ",0,1,1,0,4,9,0.51083255,0.21113594,0.27803156,Pos,0.29969662,markets
76,2021-06-30 02:42:03,"Microsoft and Google's five-year truce has expired and isn't likely to be renewed after a year of public and private tussling over ad tech, content and cloud. Are the companies giving ammunition to regulators and lawmakers targeting tech?  ",1,1,0,2,6,14,0.012783088,0.8842456,0.10297132,Neg,-0.87146246,markets
78,2021-06-29 20:30:01,"Mark Zuckerberg unveiled plans for Facebook's subscription newsletter product called Bulletin, including paid licensing deals with a number of writers  ",1,1,0,11,5,21,0.32815728,0.008777855,0.66306484,Neu,0.31937942,markets
79,2021-06-29 17:21:00,"Amazon is buying exclusive rights to “SmartLess,” the podcast hosted by actors Will Arnett, Jason Bateman and Sean Hayes, in a deal worth between $60 million and $80 million  ",1,1,0,6,5,27,0.2702352,0.010167043,0.71959776,Neu,0.26006818,markets
80,2021-06-29 02:25:02,-Wall Street banks funnel cash back to investors -Fear grips Hong Kong media after China crushes Apple Daily -Hedge funds turn to Japanese startups  Here are some of the things to know at the start of Asia's trading day  ,0,1,0,0,8,17,0.027204925,0.08276448,0.8900306,Neu,-0.055559553,markets
81,2021-06-28 23:00:00,Antitrust investigators at the Justice Department have stepped up scrutiny of Google’s digital ad market practices in recent months  ,1,1,0,1,3,9,0.23558877,0.17164665,0.5927646,Neu,0.06394212,markets
82,2021-06-28 22:34:00,Facebook wins the dismissal of two antitrust cases filed by the federal government and a coalition of states  ,1,1,0,1,2,12,0.54779327,0.39767066,0.05453608,Pos,0.15012261,markets
83,2021-06-28 21:35:00,"Facebook shares on Monday saw their largest gain in nearly two months, pushing its market value above $1 trillion for the first time  ",1,1,0,6,10,38,0.94400334,0.020711614,0.035285063,Pos,0.92329174,markets
84,2021-06-28 21:18:03,"Facebook shares posted their biggest intraday gain in two months after it won a dismissal of two antitrust cases, pushing its market value above $1 trillion for the first time    ",1,1,0,2,10,26,0.9397521,0.026008822,0.034239065,Pos,0.91374326,markets
85,2021-06-28 21:08:02,"S&P 500 rose 0.2% on Monday, notching another all-time high for the index    ",1,1,0,4,22,60,0.94459724,0.028957358,0.026445413,Pos,0.9156399,markets
86,2021-06-28 18:36:02,A sign that the optimists are in control: S&P 500-gold ratio nears 15-year high  ,0,1,0,5,10,30,0.81799084,0.1551316,0.026877543,Pos,0.66285926,markets
87,2021-06-28 18:21:00,Bigger iPads and changes to the Apple Car team? Mark Gurman  dives into what big tech is exploring in his new newsletter    Sign up here to get Power On in your inbox each Sunday ➡️    ,0,1,0,4,1,8,0.04704806,0.017751679,0.9352003,Neu,0.02929638,markets
88,2021-06-28 16:59:00,Bigger iPads and changes to the Apple Car team? Mark Gurman  dives into what big tech is exploring in his new newsletter    Sign up here to get Power On in your inbox each Sunday ➡️    ,0,1,0,0,0,5,0.04704806,0.017751679,0.9352003,Neu,0.02929638,markets
89,2021-06-28 14:55:02,Tesla has been a disappointment to many since going into the S&P 500 Index. But not to Rob Arnott  ,1,1,0,3,7,26,0.028385144,0.67851573,0.29309914,Neg,-0.65013057,markets
90,2021-06-28 14:21:00,Bigger iPads and changes to the Apple Car team? Mark Gurman  dives into what big tech is exploring in his new newsletter    Sign up here to get Power On in your inbox each Sunday ➡️    ,0,1,0,0,3,15,0.04704806,0.017751679,0.9352003,Neu,0.02929638,markets
91,2021-06-28 13:12:04,"Computers are hiring, rating and firing millions of Amazon workers. Guess who's losing out?  ",0,1,0,1,14,29,0.03119249,0.6027831,0.36602443,Neg,-0.5715906,markets
92,2021-06-28 10:28:00,Bigger iPads and changes to the Apple Car team? Mark Gurman  dives into what big tech is exploring in his new newsletter    Sign up here to get Power On in your inbox each Sunday ➡️    ,0,1,0,0,0,6,0.04704806,0.017751679,0.9352003,Neu,0.02929638,markets
93,2021-06-26 08:14:04,"Indian states’ weaknesses outweigh their strengths as they battle the pandemic and they need financial support from the federal government, according to S&P Global Ratings.  ",0,1,0,1,1,10,0.43478775,0.5106491,0.05456314,Neg,-0.075861335,markets
94,2021-06-25 22:23:05,Haters are circling everywhere in the stock market after the S&P 500’s big first half  ,0,1,0,0,4,16,0.020885965,0.82231677,0.15679717,Neg,-0.8014308,markets
96,2021-06-25 08:49:03,Amazon and Google are facing formal probes into possible violations of U.K. consumer protection rules over a failure to shield their users from an onslaught of fake reviews  ,0,1,0,0,2,18,0.010530929,0.95376766,0.035701375,Neg,-0.9432367,markets
97,2021-06-25 05:26:00,The shuttering of Apple Daily begs the question of whether the chill of Hong Kong's national security law will spread to its other media  ,0,1,1,1,2,6,0.039524328,0.6292782,0.33119753,Neg,-0.58975387,markets
98,2021-06-24 22:46:02,"Argentine stocks were cut from emerging market status to ""standalone"" status by index provider MSCI Inc on the country’s continued capital controls.  ",1,1,0,4,24,45,0.007251268,0.9679147,0.024834067,Neg,-0.96066344,markets
101,2021-06-24 19:43:02,Shares of ad tech companies soared on Thursday after Google delayed the planned phaseout of tracking cookies in its Chrome browser  ,1,1,0,0,4,22,0.4024214,0.50895476,0.08862387,Neg,-0.10653335,markets
102,2021-06-24 11:31:05,Billionaire Mukesh Ambani unveiled the much-awaited JioPhone Next co-developed by Reliance and Google targeting India’s hundreds of millions of first-time smartphone users  ,1,1,0,0,4,12,0.4839483,0.0123748835,0.50367683,Neu,0.4715734,markets
103,2021-06-23 23:20:03,"Even as Microsoft hovers around a $2 trillion valuation, it may avoid being included in the House’s antitrust bills aimed at big tech companies  ",1,1,1,1,4,18,0.078363925,0.19885881,0.72277725,Neu,-0.12049489,markets
105,2021-06-23 11:18:00,"Walmart and Amazon have killed small retailers around the world. But in India, the giants rely on mom-and-pop shops   via ",1,1,0,2,4,24,0.010380757,0.90157896,0.088040255,Neg,-0.8911982,markets
106,2021-06-23 02:27:05,-Stocks rise after Fed Chair Jerome Powell reassures on inflation -Microsoft reaches a $2 trillion valuation -Justin Trudeau rips into China  Here are some of the things to know at the start of Asia's trading day  ,0,1,0,4,16,46,0.03381205,0.04220224,0.9239858,Neu,-0.008390192,markets
107,2021-06-22 21:46:04,Microsoft becomes just the second U.S. public company to reach a $2 trillion market value  ,0,1,0,1,15,68,0.42870682,0.015180787,0.55611235,Neu,0.41352603,markets
109,2021-06-22 19:54:05,"Investors seeking to capitalize on economic reopening should look north of the border for a cheaper alternative to the “frothy” S&P 500, according to Bank of America  ",0,1,1,1,7,14,0.7958225,0.053077362,0.15110014,Pos,0.74274516,markets
110,2021-06-22 19:37:04,Amazon shoppers in the U.S. are spending less per order during the annual Prime Day sale than the previous two years  ,0,1,0,0,4,18,0.044619497,0.8848618,0.07051863,Neg,-0.8402423,markets
111,2021-06-22 19:16:03,The global supply crunch is claiming another victim: Amazon Prime Day deals  ,0,1,0,1,1,6,0.02195285,0.84320617,0.134841,Neg,-0.8212533,markets
112,2021-06-22 10:40:01,"Chicken producer Sanderson Farms is exploring a sale, Dow Jones reported  ",1,1,0,1,1,9,0.06936659,0.012528486,0.9181049,Neu,0.056838103,markets
113,2021-06-22 07:08:01,"Startups are looking to advertise on TV instead of Facebook and Google, offering media companies a shot at a big payday  ",0,1,0,1,4,12,0.25765714,0.016805917,0.72553694,Neu,0.24085122,markets
114,2021-06-22 05:37:01,"Microsoft reported progress in hiring and promoting Black leaders and slower gains among Latinx leaders, a year after promising to double the number of managers and executives from both groups by 2025  ",1,1,0,4,2,12,0.6151769,0.3564477,0.02837535,Pos,0.25872922,markets
116,2021-06-21 15:17:05,Google to shut its seven-story hub devoted to helping startups in London and replace it with virtual services following the shift to home-working  ,1,1,0,1,5,12,0.0204814,0.6187146,0.36080408,Neg,-0.59823316,markets
117,2021-06-18 21:06:01,"S&P 500 fell 📉 1.3% on Friday, recording the index's worst weekly rout since February    ",1,1,0,11,44,110,0.0074330126,0.9746464,0.017920567,Neg,-0.9672134,markets
