,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-06-14 15:00:05,"  obviously we do that in partnerships but in many cases that's intuitive, e.g. law-firm partners have ownership of their capital accounts in a way that Apple shareholders do not have ownership of Apple's income.",0,1,0,1,0,3,0.027225941,0.05959208,0.91318196,Neu,-0.032366138,matt_levine
1,2021-06-03 17:35:04,Have you even looked at this newsletter? Did you even Google me before you came in here?  ,1,1,0,8,10,107,0.037849493,0.112906106,0.8492444,Neu,-0.07505661,matt_levine
2,2021-05-19 13:33:05,"    if you're like jane street and you see an inverse VIX ETF trading at 29 when its NAV is 4, you sell tons of it and create. and you have the underlying feed, you do the math, etc.  you're a check on the S&P calculations.",0,1,0,1,0,1,0.037726186,0.057592724,0.904681,Neu,-0.019866537,matt_levine
3,2021-02-17 15:45:04,"   like i understand why this *feels like* the facebook you're-not-the-customer-you're-the-product dynamic, but the actual facts of the situation are pretty different.",0,1,0,4,0,33,0.060992684,0.08095324,0.8580541,Neu,-0.019960556,matt_levine
4,2021-02-12 00:09:05,  that's p much the pitch yeah,0,1,0,1,0,2,0.06031616,0.044697057,0.89498675,Neu,0.015619103,matt_levine
5,2021-02-10 14:38:02,   no if 0.1 shares of AAPL moves against you by 100% you lose $13. you're not dead. no market maker is ever going to blow up from selling a fractional share at the wrong price.,0,1,0,2,0,3,0.03931935,0.27336013,0.68732053,Neu,-0.23404078,matt_levine
6,2021-02-10 14:36:04,"   but there are various flavors of retail, and the flavor that is like ""buys 0.1 shares of AAPL"" is particularly harmless; that person is just not going to move the price at all. so if you sell AAPL to that person at $136.40, you collect the half-spread with very little risk.",0,1,0,0,0,0,0.03088178,0.06336111,0.9057571,Neu,-0.03247933,matt_levine
7,2021-02-10 14:34:02,"   the market makers/wholesalers who fill RH's orders are in the business of buying at the bid and selling at the offer. if AAPL trades at $136.37/$136.40, the MMs bid to buy it at $136.37 and offer to sell it at $136.40.",0,1,0,1,0,0,0.029684262,0.03459783,0.9357179,Neu,-0.0049135666,matt_levine
8,2021-02-10 13:21:04," in general these stats seem to be much lower for weird small stocks than for S&P 500s so maybe it does make sense for RH to be worse: if a lot of people are buying 1,000 shares of $0.10 stocks maybe they're getting a lot of non-nbbo fills.",0,1,0,4,0,21,0.062490463,0.6539887,0.28352085,Neg,-0.59149826,matt_levine
9,2020-08-04 20:39:00,"   i don't understand these claims at all, why not just let tiktok's owners sell it to whatever american company they want, at auction, for whatever value they can obtain? why is there an assumption that msft gets it for cheap?",0,1,1,1,0,1,0.037621487,0.09739819,0.86498034,Neu,-0.059776705,matt_levine
10,2020-07-31 18:11:04, sure but why would *apple* care,0,0,1,1,0,0,0.04748015,0.059260633,0.8932592,Neu,-0.011780482,matt_levine
11,2020-07-24 11:46:03,more spy movies should feature automatic phone software updates    ,0,0,1,0,18,109,0.0734028,0.010871873,0.9157253,Neu,0.06253093,matt_levine
12,2020-06-14 02:04:02," right, like the classic reason to like retail order is that it's small and random. someone wants to buy 100 AAPL, someone wants to sell 100 GOOG, it is all just noise.",0,1,0,1,0,1,0.030120282,0.18381542,0.7860643,Neu,-0.15369514,matt_levine
13,2019-10-21 23:13:05,i also enjoyed the shots at people who love to tell you how much they love Spy  ,1,1,0,2,0,19,0.065302454,0.036045592,0.89865196,Neu,0.029256862,matt_levine
14,2019-10-17 18:52:00,i bet the people in the facebook murder moderation mines have more complex views on believing in people  ,1,1,0,1,10,53,0.042432174,0.058723815,0.898844,Neu,-0.01629164,matt_levine
15,2019-10-17 18:49:01,"""people have never let me down, over here on facebook,"" okay",0,1,0,1,3,18,0.06801437,0.052797206,0.8791885,Neu,0.015217163,matt_levine
16,2019-10-17 18:48:02,"imagine spending your whole life working on facebook and taking away from that experience, ""i believe in people""  ",0,1,0,3,17,97,0.047676586,0.03741992,0.91490346,Neu,0.010256667,matt_levine
17,2019-09-16 17:30:00,"  it's immediately the best social network, facebook will be copying it by friday",0,1,1,0,0,6,0.15590338,0.010857163,0.83323944,Neu,0.14504622,matt_levine
18,2019-08-29 21:12:03," when i google that i get mostly hooey, but there is an *ECB* paper finding ""that more successful auctions of euro area public debt, as captured by higher bid-to-cover ratios, lead to lower secondary-market yields following the auctions.""  ",1,1,0,3,2,13,0.13226208,0.70384115,0.16389684,Neg,-0.5715791,matt_levine
19,2019-08-29 21:11:03," i am not the expert here but ordinarily the answer to questions like this is, like, you google ""do bid-to-cover ratios predict treasury price moves"" and there's a paper with a regression",0,1,0,2,2,22,0.04004613,0.059042633,0.9009113,Neu,-0.018996503,matt_levine
20,2019-08-22 19:52:00,"patrick byrne resigned from his company to make sure that everyone knew he dated a russian spy, do i have this right",1,1,0,32,37,337,0.03601663,0.26050735,0.7034761,Neu,-0.22449072,matt_levine
