,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-30 16:06:05,every time $SPX crosses 4400 an investment advisor on TikTok gets a new sub,0,1,0,5,4,77,0.035146087,0.0741543,0.8906996,Neu,-0.039008215,stockcats
2,2021-07-27 21:02:05,get ready for some $AAPL has more cash than the GDP of &lt;insert country&gt; Tweets,0,1,0,12,18,228,0.061234888,0.016271248,0.92249393,Neu,0.04496364,stockcats
3,2021-07-26 20:10:03, I never joined FB and so far I've been very happy with that decision,1,1,0,0,0,0,0.6680944,0.0145222675,0.31738335,Pos,0.65357214,stockcats
4,2021-07-23 14:41:04,$SPX seems to be encountering some resistance at the all-time high in the history of the world,0,1,0,26,13,202,0.9064099,0.053255178,0.040334858,Pos,0.8531547,stockcats
5,2021-07-19 15:11:01,"$SPX crosses 4250  on the way up - ""Bull Market Unstoppable""  on the way down - ""Fear Grips Wall Street""",0,1,0,4,7,115,0.1023959,0.06790331,0.8297007,Neu,0.03449259,stockcats
6,2021-06-25 16:40:03, this chart shows that $SPX has been essentially flat since 2008  ,1,1,0,8,5,146,0.050931614,0.8816223,0.067446,Neg,-0.8306907,stockcats
7,2021-06-17 16:11:00, I still don't understand why the Chinese military wants to spy on your cat,0,1,0,2,0,12,0.037446573,0.23492377,0.72762966,Neu,-0.19747719,stockcats
8,2021-05-26 17:03:01,$SPX &gt; 4200 = Bullish $SPX &lt; 4200 = Bearish  $SPX subsequently zig-zags above and below 4200 too many times to count,0,0,0,8,6,62,0.017621184,0.8192619,0.16311687,Neg,-0.80164075,stockcats
9,2021-05-25 20:14:02,  it's a scientific fact that having a cat in the office improves your results,0,1,0,2,0,9,0.7562876,0.017350402,0.226362,Pos,0.7389372,stockcats
10,2021-05-25 14:28:01, so I guess the gist is that India wants to be able to censor content? I'm surprised to see Netflix and Amazon Prime included,1,1,0,1,0,2,0.15549596,0.021473885,0.8230302,Neu,0.13402207,stockcats
11,2021-05-19 17:58:02," doesn't seem like we've seen any type of ""capitulation"" yet, even though there's high drama with this -3% plunge from the S&P highs",1,1,0,2,0,14,0.052993942,0.9228412,0.024164809,Neg,-0.86984724,stockcats
12,2021-05-18 01:57:03,last time  got banned the S&P make an all-time high  before tanking -35% a few weeks later  ,1,1,0,60,160,1207,0.53685194,0.14020571,0.32294232,Pos,0.39664623,stockcats
13,2021-05-10 15:42:04,seems strange the Dow is at an all-time high but the stocks my Financial Advisor recommended on TikTok are all down,1,1,0,29,147,1631,0.055857584,0.040050868,0.90409154,Neu,0.015806716,stockcats
14,2021-05-04 15:10:04,Breaking: S&P 500 dips one percent - stocks crushed,1,1,0,18,22,287,0.02157289,0.9382434,0.040183768,Neg,-0.9166705,stockcats
15,2021-05-04 15:03:04, it's still true even though the S&P has doubled since then,1,1,0,2,0,5,0.8631231,0.030059244,0.106817625,Pos,0.8330639,stockcats
16,2021-05-04 14:46:03, $SPX is a mere -1.3% below the all-time high just 3 sessions back and it already feels like a correction,0,1,0,5,2,60,0.02661812,0.94005597,0.03332602,Neg,-0.91343784,stockcats
17,2021-05-03 14:22:01," ""In February 2008, Microsoft made an unsolicited bid to acquire Yahoo! for $44.6 billion. Yahoo rejected the bid, claiming that it ""substantially undervalues"" the company""",1,1,0,1,1,14,0.036210947,0.81948113,0.14430788,Neg,-0.7832702,stockcats
18,2021-04-29 17:05:01,"""So how does today's intraday weakness in the S&P fit into your long-term macro economic outlook for the global economy?"" - CNBC",0,1,0,13,2,84,0.07006876,0.5009385,0.42899278,Neg,-0.4308697,stockcats
19,2021-04-29 16:45:03, seemed like a good time to revisit it since the S&P has officially doubled since that call,1,1,0,0,0,2,0.29199782,0.030210804,0.6777914,Neu,0.26178703,stockcats
20,2021-04-29 16:35:00,"""S&P 500 Could Hit 4,300 Within Nine Years""  ",0,0,0,16,1,54,0.5402567,0.019014604,0.44072866,Pos,0.5212421,stockcats
23,2021-04-20 15:47:01,ever wonder how the S&P 500 can be only -1% off the all-time high at the same time your stocks are getting crushed?,1,1,1,142,181,3019,0.030413313,0.7650793,0.2045073,Neg,-0.734666,stockcats
24,2021-04-14 20:44:00,gonna wake up my cat to tell him fair value for $SPX is 3635  ,0,1,0,24,12,307,0.04622247,0.028309673,0.92546785,Neu,0.017912798,stockcats
25,2021-04-07 14:21:05,  I don't have an Apple watch because I'm certain my blood pressure spikes every time I log on to Twitter and I prefer not to know about it,0,1,0,2,0,10,0.023793858,0.49175233,0.48445377,Neg,-0.46795848,stockcats
