,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-27 04:07:03,US Margin Debt reaches new all time high...  Notes on margin debt:   $SPX $SPY  ,0,1,0,6,74,162,0.85021853,0.017977647,0.13180377,Pos,0.8322409,topdowncharts
1,2021-07-26 01:34:03,"Macro/Fundamental (combined surveys) sentiment rebounded this week, but the recent trend is still fairly clear and intact.  $MACRO $SPX $TNX  ",1,1,0,0,0,8,0.8426157,0.05869833,0.098685876,Pos,0.78391737,topdowncharts
2,2021-07-01 07:19:00,"Quite the dispersion of return experiences during June -strong: MLPs, frontier, S&P500, US duration -weak: infrastructure, global duration, global ex-US equities -middling: small caps, TIPS, EM, (and cash)    Chart source:    ",0,1,0,1,16,20,0.03163337,0.16344054,0.8049261,Neu,-0.13180718,topdowncharts
3,2021-06-28 23:04:01,"The ""Euphoriameter"" has surged to risk warning levels  details:    $SPX $SPY  ",1,1,0,11,30,129,0.2055262,0.028222049,0.7662517,Neu,0.17730415,topdowncharts
4,2021-06-27 23:43:04,Charts from the weekly surveys by  -- sharp bounce back in technicals as the S&P500 breaks out to a new all time high...  ,0,1,0,1,3,22,0.8176407,0.14751412,0.03484515,Pos,0.6701266,topdowncharts
5,2021-06-24 20:20:04,BLOG: S&P500 Corporate Capex Comeback    $MACRO $SPX $SPY,0,0,0,1,4,19,0.05946119,0.03457714,0.9059617,Neu,0.024884053,topdowncharts
6,2021-06-23 01:43:00,S&P500 Sticking to the Seasonality Script:    ,0,0,0,0,6,25,0.055783577,0.124302134,0.8199143,Neu,-0.06851856,topdowncharts
7,2021-06-20 22:24:01,"Charts from the weekly surveys by  -- ""Technicals"" sentiment moved over to net-bearish territory.  Fundamentals sentiment tapering off  $MACRO $SPX $SPY  ",1,1,0,1,6,23,0.12504762,0.8493864,0.025566032,Neg,-0.72433877,topdowncharts
8,2021-06-16 21:02:03,Bank lending standards are slowly starting to loosen up again (after a big tightening during the previous peaks of pandemic uncertainty).  This should be helpful for CAPEX growth:    $MACRO $SPX  ,0,1,1,0,2,19,0.80955195,0.014598745,0.17584927,Pos,0.7949532,topdowncharts
9,2021-06-15 22:07:01,S&P500 Corporate Capex weightings: -Commodity capex at a record low -Tech capex at a record high  Seems familiar...  Source:    ,0,0,0,1,23,69,0.081953146,0.02158678,0.89646006,Neu,0.060366366,topdowncharts
11,2021-06-13 22:12:00,"Charts from the weekly surveys by  -- ""Fundamentals"" sentiment is clearly tapering off...  $MACRO $SPX $SPY  ",0,1,0,1,8,23,0.015722621,0.9647057,0.019571751,Neg,-0.9489831,topdowncharts
12,2021-06-09 00:55:01,Tax Talk: as the G7 push for a global minimum corporate tax rate of 15% it's interesting to note that across US listed companies the effective tax rate has been trending lower for the past couple of decades.  Source:   $SPX $SPY  ,1,1,0,3,12,35,0.029346738,0.80585575,0.1647975,Neg,-0.776509,topdowncharts
13,2021-06-02 20:49:01,"Here's a video outlining the process and the reason for such an extreme number for the ""Outrageous"" expected return figure for US equities:    $SPX $SPY",1,1,0,0,5,10,0.044918202,0.17826582,0.77681595,Neu,-0.13334763,topdowncharts
14,2021-05-30 22:59:05,Charts from the weekly surveys by  -- both technicals + fundamentals sentiment ticking higher this week: interestingly fundamentals sentiment avoided making a new low.  $SPX $SPY  ,1,1,0,2,3,21,0.86203176,0.10386661,0.034101646,Pos,0.7581651,topdowncharts
15,2021-05-23 22:34:02,"Combined surveys Macro/Fundamentals indicator still elevated, tracking fairly closely with the global manufacturing PMI...  $MACRO $BONDS $TNX $SPX  ",1,1,0,1,0,4,0.84744465,0.03313894,0.119416416,Pos,0.8143057,topdowncharts
16,2021-05-23 22:30:01,"Charts from the weekly surveys by  -- Technicals sentiment still quite muted, but even Fundamentals sentiment starting to see enthusiasm taper off...  $SPX $SPY  ",1,1,0,1,6,22,0.056432083,0.8939356,0.04963229,Neg,-0.83750355,topdowncharts
19,2021-05-09 22:53:02,"Charts from the weekly surveys by  -- fundamentals sentiment virtually unchanged, but a notable rebound in technicals sentiment  $SPX $SPY  ",0,1,0,1,4,4,0.910797,0.06408043,0.02512256,Pos,0.8467166,topdowncharts
