prediction_day,5_min_macro,abc,abnormalreturns,activistshorts,activiststocks,advisorhubinc,alderlaneeggs,allstarcharts,barbariancap,bbcbreaking,benzinga,bespokeinvest,bluegrasscap,breakingviews,breakoutstocks,brunicharting,business,calculatedrisk,callum_thomas,charliebilello,chicagostock,chitownba,cnbc,cnbcnow,cnnbrk,danzanger,davidschawel,dcdaytrader,dealbook,deitaone,dkellercmt,fainvestors,fattailcapital,financialnews,firstadopter,footnoted,foxnews,ft,ftfinancenews,fundiescapital,fundylongshort,gfmag,grantspub,greatquarter,harmongreg,hedgefundinvest,herbgreenberg,hmeisler,ianbremmer,ibdinvestors,iimag,incredibletrade,investorslive,ivanthek,jasonleavitt,jimcramer,joelkruger,john_hempton,johnscharts,justinwolfers,keithmccullough,kerrisdalecap,lizannsonders,lmt978,manualofideas,mark_dow,markarbeter,marketclub,marketfolly,markets,marketwatch,markflowchatter,markyusko,matt_levine,michaelbatnick,mjmauboussin,modestproposal1,muddywatersre,newsquawk,noahpinion,nypostbiz,nytimesbusiness,optionshawk,paulkrugman,peterlbrandt,peterschiff,profgalloway,qtrresearch,reddogt3,reutersbiz,ritholtz,ritholtzwealth,robintheblack,ryandetrick,schuldensuehner,sjd10304,sjosephburns,skynews,soberlook,spdjindices,steve_hanke,stlouisfed,stockcats,stockitchen,stocktwits,stockwinnerscom,super_trades,the_real_fly,thebubblebubble,thesquaremile,thestalwart,timmerfidelity,tmfjmo,tmtanalyst,topdowncharts,truthgundlach,tylercowen,usatoday,usatodaymoney,valuewalk,wallstcynic,worldfinance,wsj,wsjmarkets,wu_tang_finance,zerohedge,y
2018-04-02,,,,,,,,,,,,-0.012378525000000001,,,,,,,,,,,-0.1638351902764706,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94729906,,,,,,,,,,,,,,,,,,,,-0.27064382066666665,,,,,0.031387553,,,,,,,-0.1031153359857143,,,,,,,,,0.061480723,,,,,,0.13258558833333334,,,,,,,,0.16521934,,,,,,,,,,,,,,,,,,,,,,0.0
2018-04-03,,,,,,,,-0.0010740099999999933,,,0.5041962400000001,-0.9422010200000001,,,,,,,,,,,-0.1777245587777778,-0.831820165,,,,,,,,,,,,,,,,,,,,,,,,-0.0386993765,,,,,,,,,,,,,-0.76037973,,-0.40771396625,0.67949384,,,,,,-0.32574354363636365,,,,,0.34507328,,,,,,,-0.18158614875,,,,,-0.03203065879999999,,,,-0.439319352,,,,,,-0.396875077,,,,,,-0.12723470075,,-0.5739825032,,,,-0.64624435,,,,,,,,,,,,,,,,,,1.0
2018-04-04,,,,,,,,-0.34517208,,,-0.27594968914285717,-0.17244966499999997,,,,-0.05872777233333332,,,,,,,-0.19153708038709677,-0.39801877,,,,,,,,,,,,,,-0.43375139500000004,,,,,,,,,,0.039629414,,-0.0006241020000000153,,-0.1989159582,,-0.08210732145,,-0.14890458,,,,,,,0.026620962,-0.31352586935,,,0.0615833115,,,-0.04600365000000001,,,-0.8609168,,-0.025140965,,,,,,-0.9188954,0.2035283272,,,,,-0.008541705,,,,0.051122402,,0.0185654295,,,,0.032221641999999995,,,,,,-0.008022562,,-0.246289545,,,,-0.037247498,,,,-0.42477334,,-0.17197734,,,,0.02706699140000001,,,,-0.81408256,,,,1.0
2018-04-05,,,,,,,,-0.007859679,,,0.077435225,0.11183542333333331,,,,,-0.015300987999999993,,,,,,-0.08030553149705882,0.586975486,,,,,,,,,,,,,,-0.13990270249999998,,,,,,,,,,-0.15056232860000002,,0.21456700675,,0.443833214,,-0.15382073100000002,,-0.16208346236363635,,,,,,,0.057414323,,,,,,,0.1349099255,,,-0.6942105,,,,,,,,-0.33679606,-0.401689365,,,0.042293973,,-0.05758877833333332,,,,-0.3336067985,,0.0059047416,,,,0.93270373,,,0.037213380000000004,,,-0.9124437,,-0.22381934016666669,,,,-0.03062914,0.099568896,,,,,,,,,-0.0015243730000000025,,,,0.2193621114,,,,1.0
2018-04-06,,0.0656371,,,,,,,,,-0.2617073375,0.2443577025,,,-0.27101085,,-0.10223013382000001,,,,,,-0.18261159429428572,-0.410400457,-0.68936056,,,,,,,,,,,,-0.526570665,-0.7405077125,,,,0.91893595,,,,,,,,0.4759187266666666,,-0.9540084,,0.097188756,,0.05715472585714286,,,,,-0.6232683766666667,,-0.9382279,0.110611167,,,-0.5635662,,,-0.06837518925,,,0.48724045000000005,,-0.9616107,,,,,,-0.75522727,-0.0046828166,,,,,0.018697187,,,,-0.39219466,,0.019318298,,,,,,,,,,,,-0.19691302640000002,,,,,,,,,,,,,,-0.16610692059999999,,,,-0.25736581799999997,,,,0.0
2018-04-09,,-0.4438404727142857,,,,,,-0.4155880246666666,,,-0.4669208266666667,-0.551970415,-0.13256125500000002,,,,-0.12817501813421053,,0.36199188075,,,,-0.16325209469859156,-0.7090428175,-0.4059474125,,,,,,,,,,,,-0.26519948283636363,-0.46397114999999994,,,,,,,,,,-0.10691177,,-0.21722148333333333,,-0.450921715,,0.039444875000000004,,-0.0013368770000000002,,,-0.002792187,,,,-0.021416329,0.116040668,,-0.5254383,-0.3945683896,-0.7749631,,-0.43625107820000003,-0.18288275666666667,,-0.7861703,,,,-0.32846358,,,,-0.5838338083333333,-0.13410108486666666,0.034448322,,-0.5790636,,0.17264469859999998,,0.30107794,-0.273407118,0.04695985999999999,,0.058112085,,,0.13568714266666668,0.07472385883333334,-0.646019787375,,,-0.378247605,,-0.05648580115,,-0.18995039555555557,0.38575979833333335,,0.8222236,,,,,,,,,,-0.407617454125,-0.3144726095714286,,,,-0.27414189273529416,-0.32723484916666673,,0.07469630499999996,0.0
2018-04-10,,-0.34526439417142857,,,-0.91702074,,,-0.03515255533333333,,-0.59636885,0.0718634,-0.3178279866666667,,0.029670022,,,-0.11242657784000001,,,,,,-0.04591204729722223,0.32885179605,-0.7651911333333333,,0.033537373,,-0.19384090780000002,,,,,,,,-0.234334397,-0.60893937,,,,,,,,,,-0.21943953200000002,,0.1602162515,,0.0063550898500000005,,,,-0.14946015083333333,,,,,,,,0.049714796,,,,,,-0.17870612,-0.0964206720909091,,,,,,0.07000582,,-0.460968751,,-0.42747003,-0.34052030129411764,0.05336674,,-0.8948659,,-0.397057282125,-0.1480662,0.017155528,-0.0099665864,-0.02873438,,,-0.77812401,0.89989237,-0.19217702550000001,-0.10862289149999999,0.18917443650000001,,0.0479413365,-0.51288724,,-0.0005346149999999987,,-0.020590672249999997,,,-0.10386181,,,0.2974322282,-0.501446701,-0.0004610915,,,,,-0.0771082826,-0.196318145,,,,-0.12609286291666666,-0.46570318499999996,,-0.2063246197,1.0
2018-04-11,,-0.2883041018133333,,,-0.007669419,,,-0.8966689,0.11662888,,0.016495515,-0.317704455,0.92883927,,,-0.4847058,-0.11893508304166667,,,,,,0.05119104551967213,0.26704668571428575,-0.3196429475,,,,0.022718564,,,0.07030013,,,,,-0.19570792177826088,-0.002575241,,,,,,,-0.065482885,,,-0.21794471124999998,0.11777578459999999,0.23554337,,0.255174962,-0.30975297,-0.06795369750000001,,-0.11434178144444446,,-0.0224738129,,,,,,0.339919535,,0.52718115,,,,0.3624956316666667,-0.17740082659599998,0.92956203,0.06876394,,-0.019407341,,,,-0.19800568799999999,,-0.50809187,-0.2910196692,,,,0.91921055,-0.013176756333333333,,-0.1359790024,-0.037988490071428564,,0.075641744,-0.0496694935,-0.5495735,-0.017363347,-0.18926479,-0.83723485,-0.36606129703,,-0.002433315000000002,-0.324970681,,-0.19021461076666668,,-0.028358769,,-0.8501421,,-0.09947991,-0.7597289,0.024824011,-0.899198815,-0.30469984,,,,,-0.30480548820526315,0.009707511840000007,0.071448356,,,-0.023722234623076925,0.52444321,-0.3276758115,0.0392590415888889,0.0
2018-04-12,,-0.3985794055,-0.05668449,,,,,0.038264148,,,0.29048496,,,-0.59009214,,-0.027544554,-0.07349889522631578,,,,,-0.037435724999999996,-0.12480350316086956,-0.02917698,0.000356365,,,,0.045007445,,-0.05481553,,,,,,-0.1562811331,-0.03659495850000001,-0.92469776,,,,,,,,,0.120309815,,-0.472657735,,-0.13745558,,-0.6378788,,-0.03213506714285714,,,0.046655633,,,,,,,,,-0.43567553,,-0.495149525,-0.0590248726,,0.18888334999999998,,,,,,-0.32857777499999996,,-0.7561860499999999,-0.09029563394074075,0.6197731,,,,0.006888408,,0.33426693,-0.10731129616666667,-0.5657513,,0.13787542,,-0.07226144,-0.2610163385,,-0.45293423099999996,,,,,-0.038850205,,-0.29611043333333337,,,,,,-0.2334133133333333,0.9368354,,,,,0.060139259,-0.1832404142857143,-0.09164217416666665,,,,-0.22084379466666662,-0.8842051,,0.06020847793999999,1.0
2018-04-13,,0.0005394350000000325,,,,,,,,,0.53622294,-0.8845912,,,-0.27101085,,-0.05710214325,,,,,0.002010513,-0.012833482371428579,0.793948,,,,,-0.20517104,,,,,,0.47979647000000003,,-0.23932861333333333,-0.77092568,-0.89641637,,,,,,-0.08353282000000001,,0.035230063,-0.3276446,,0.355841848,,,,,,-0.10604399846153845,,,-0.01676959,,,,,-0.02484038854,,-0.05073329,-0.16795966,,,0.032295574,0.26986914777777776,,,,-0.099911952,,,,0.5384879,,-0.089688551,-0.1391466268,0.509075975,,,,-0.019801707799999995,,0.388352635,0.007802881400000006,,-0.15768906,0.03697922,0.93605244,0.83532906,-0.12651851333333333,0.12434724,-0.049148962,,0.031550936,,,,,0.07082623,,,,,,-0.3075029008,,,,,,,-0.17880057800000002,0.044235624,0.13745524,,0.015282892,-0.07932085666666665,-0.79051614,,-0.008553238749999997,0.0
2018-04-16,,-0.785182466,0.084750024,,,,,,,,-0.9495728,-0.637690661,0.05006288,,,,-0.22793627937931032,,-0.2364459075,,,,-0.11927575302631578,-0.4545039025,-0.93398035,-0.10477579,0.9384333,,0.21553845,,,,,,,,-0.029180385,,,,,-0.8979183,,,0.024830459,,,-0.37129402499999997,-0.42361328,,,-0.13399562,,,,-0.3641553565,,-0.0050102435,,,,,,0.18409844,,-0.21509135,,,,-0.32456511,-0.5012710756714286,,-0.13453113,,,,,,,-0.014146816,-0.68543616,0.095183296,,,,-0.02149766,-0.0376651772875,-0.1976347,0.09111655,-0.72007664,-0.28693012,,0.028739396666666667,0.62990487,-0.35013211000000005,-0.17812316587500002,-0.21532193,0.45318666,,,,,,,0.28746095726666665,,,,,,-0.4595298,,,,,,,-0.37447922087999996,-0.03591362735000001,-0.814437,,,-0.22842924490909092,-0.6218184883333333,,-0.4184058353999999,1.0
