,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2021-08-05 00:42:02,Alabama Amazon workers may see a union election rerun after NLRB official's recommendation.  ,0,1,1,28,24,96,0.011632946,0.90969944,0.07866756,Neg,-0.8980665,abc
5,2021-07-28 23:34:04,"Hours after Google's announcement, Facebook said it will require anyone working at its U.S. campuses to get the COVID-19 vaccine.  ",1,1,1,26,55,260,0.032840557,0.42045772,0.5467017,Neu,-0.38761717,abc
16,2021-07-20 13:40:01,"MEET THE HISTORY-MAKING CREW: Amazon founder Jeff Bezos will be accompanied on the historic BlueOrigin journey by his brother, Mark Bezos, as well as the oldest and youngest people ever to go to space, Wally Funk, 82 years old, and Oliver Daemon, 18.    ",1,0,1,192,257,1123,0.05719387,0.015939726,0.9268664,Neu,0.041254148,abc
36,2021-07-16 22:52:01,"Pres. Biden said today that Facebook and other social media platforms are ""killing people"" when it comes to COVID-19 misinformation.  The social media giant fired back, saying, “We will not be distracted by accusations which aren’t supported by the facts.""    ",1,1,1,195,105,325,0.020500325,0.86761963,0.11188003,Neg,-0.84711933,abc
50,2021-07-06 18:20:05,"MORE: Instead, the Pentagon will now offer deals to Microsoft and Amazon for individual contracts for specific needs.  ",0,0,1,9,34,79,0.56359804,0.009422648,0.4269793,Pos,0.5541754,abc
51,2021-07-06 18:18:04,"JUST IN: The Department of Defense cancels its cloud-computing contract with Microsoft that could have been worth $10 billion, citing tech advances and different needs than when the contract was first offered.  ",1,1,1,22,84,174,0.008946394,0.95585454,0.03519901,Neg,-0.9469081,abc
53,2021-07-02 07:09:05,"Wally Funk, a pioneering female pilot who dreamed of being an astronaut in the 1960s, will fly to space later this month with Amazon CEO Jeff Bezos on the first crewed flight for his space-faring firm Blue Origin.  ",1,1,1,9,32,126,0.077008925,0.013852127,0.909139,Neu,0.0631568,abc
54,2021-07-01 16:28:00,"Wally Funk, a pioneering female pilot who dreamed of being an astronaut in the 1960s, will fly to space later this month with Amazon CEO Jeff Bezos on the first crewed flight for his space-faring firm Blue Origin.  ",1,1,1,9,33,152,0.077008925,0.013852127,0.909139,Neu,0.0631568,abc
59,2021-06-26 10:41:05,"Groundbreaking legislation is advancing in Congress that would curb the market power of tech giants Facebook, Google, Amazon and Apple.  ",0,1,1,18,21,80,0.08329202,0.51596785,0.40074015,Neg,-0.43267584,abc
64,2021-06-23 11:26:00,Hong Kong’s pro-democracy Apple Daily newspaper will close no later than Saturday after police arrested five editors and executives and froze $2.3 million in assets linked to the paper.  ,1,0,1,52,190,246,0.014006703,0.8878292,0.098164044,Neg,-0.8738225,abc
68,2021-06-21 23:53:05,Hong Kong’s last remaining opposition paper Apple Daily may be forced to shutter its operations and publish its last edition as soon as this Friday if it is unable to get the approval of the government to unfreeze its assets to pay staff.  ,1,1,1,35,188,202,0.0070442157,0.9545023,0.03845343,Neg,-0.9474581,abc
70,2021-06-21 15:49:02,Hong Kong’s last remaining opposition paper Apple Daily may be forced to shutter its operations and publish its last edition as soon as this Friday if it is unable to get government approval to unfreeze assets to pay staff.    ,1,1,1,37,251,263,0.006948585,0.9533104,0.039740987,Neg,-0.9463618,abc
