,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 18:14:01,• Since 2003 the Fine Wine 50 and Fine Wine 1000 have performed in line with the S&P 500. • Equities tend to outperform fine wine in the short term… • …but one can’t drink the performance of the S&P 500.     ,1,1,1,2,3,17,0.7674445,0.07157477,0.16098079,Pos,0.69586974,allstarcharts
7,2021-07-28 15:31:03,"It's interesting people are wondering if weakening breadth will lead to a correction. Meanwhile the breadth IS evidence of the correction we've been in since February. The Average drawdown in S&P500 is 8.2%, for Mid-caps it's 13%, 18% for small-caps, and 17% for NYSE Composite",1,1,1,12,11,137,0.020419883,0.94119453,0.038385548,Neg,-0.92077464,allstarcharts
22,2021-06-05 16:52:03, I’m not looking down on anyone. My point is other people’s p&l are not our concern. Go get yours. That’s all.,0,1,1,0,0,1,0.03144857,0.10044625,0.8681052,Neu,-0.06899768,allstarcharts
28,2021-06-01 23:04:05,$AAPL down 5 weeks in a row. Momentum and Relative Strength rolling over hard. I still like it short. It's working. No evidence yet that it will stop working  ,0,1,1,10,21,142,0.021851413,0.95384455,0.024303986,Neg,-0.9319931,allstarcharts
31,2021-05-20 14:54:03, I would agree with that. But so what. You have your Amazon’s. But plenty of other big winners too. I think this will be the same,0,1,1,0,0,1,0.24673532,0.009506419,0.74375826,Neu,0.2372289,allstarcharts
38,2021-05-14 18:53:01,do I hear 15 consecutive weeks of gains for the Dow Jones Transportation Average? Or will it fall short? Cutting it close.... $TRAN $IYT,0,1,1,0,0,20,0.19463591,0.0725423,0.73282176,Neu,0.12209361,allstarcharts
42,2021-05-12 17:58:04,"my understanding is that Cathy Wood uses Apple as a cash equivalent. That would scare the shit out of me if I owned growth stocks. For us, we're short, so that's exactly what we're hoping for. An AAPL a day won't keep the margin calls away ;)",1,1,1,8,6,73,0.05989902,0.098159626,0.84194136,Neu,-0.038260605,allstarcharts
48,2021-04-30 13:24:01,"The S&P500 doesn't tell the whole story about how the US Stock Market has performed since Mid-February. You can see it in the new highs list (or lack thereof) but here's a quick snapshot of the ""2021 is NOT 2020 environment"". Chop Chop Chop....  ",1,1,1,2,19,53,0.04714678,0.051769804,0.9010834,Neu,-0.0046230257,allstarcharts
49,2021-04-29 18:20:05,   it's a market of stocks. the S&P500 is a nice index. but it only tells you so much. Ping your boy  he'll tell ya,0,1,1,0,0,1,0.038083307,0.032076016,0.9298407,Neu,0.0060072914,allstarcharts
60,2021-04-10 13:56:00,New all-time highs in the S&P500 yesterday. The new 52-week high lists and NYSE Advance-Decline line must have not gotten the memo,1,0,1,6,3,42,0.20369326,0.38711253,0.40919423,Neu,-0.18341927,allstarcharts
67,2021-03-18 20:06:01,"if this is in fact what some might call a, ""Diamond Reversal"", that would not be consistent with higher stock prices. That would be more in line with lower ones $XLP / $SPY Call it a diamond or call it anything you want. A breakout would not be bullish for stocks heading into Q2  ",0,1,1,7,11,63,0.12511556,0.285358,0.5895264,Neu,-0.16024245,allstarcharts
77,2021-03-05 14:12:01, i really think a lot of investors have been trained to think this way. regency bias right? SPY & QQQ have been the only party on the block. I think it will take most investors too long to realize it's become the opposite. wouldn't you agree?,1,1,1,1,0,0,0.05640226,0.10636624,0.83723146,Neu,-0.04996398,allstarcharts
79,2021-03-04 15:09:04,"Credit spreads are worth watching if you have any exposure to stocks. If there is real pain, you'll see it in credit, like last year, for example. That hasn't occurred, yet. $HYG $TLT $SPX  ",1,1,1,7,25,107,0.03842399,0.2022797,0.7592963,Neu,-0.16385572,allstarcharts
81,2021-03-03 16:26:01,it's not the advance decline line's fault that the S&P500 can't keep up,0,1,1,1,4,21,0.048661668,0.504307,0.4470314,Neg,-0.4556453,allstarcharts
82,2021-03-02 18:06:01,"stocks and gold miners can rally at the same time. May I remind you, early 2016 was incredible for both $SPX $GDX",1,1,1,10,7,50,0.87520903,0.019422203,0.10536876,Pos,0.8557868,allstarcharts
89,2021-02-24 15:56:00,"question, can we blame the generals for their armies being so strong? $AAPL $MSFT $TSLA $AMZN $GOOG $FB",0,1,1,0,5,26,0.078262314,0.19239058,0.7293471,Neu,-0.11412826,allstarcharts
92,2021-02-18 19:43:02,"gold can go to 10,000 or it can go to zero. I don't care. Make it a million. What's the difference? Same with the S&P500, or Bitcoin or tesla. I just don't care. The implications aren't my problem, nor do I have any control over it. Go obsess over them. IDC. That's your problem!",0,1,1,13,4,90,0.027731419,0.36779818,0.6044704,Neu,-0.34006676,allstarcharts
96,2021-02-09 19:22:04, i'm not even sure what I'll be eating 4 hours from now,0,1,1,1,0,0,0.031128583,0.082583465,0.8862879,Neu,-0.05145488,allstarcharts
97,2021-02-09 15:31:03,"Here's the clip of my TV hit last week   If the tv anchors think I’m making a ""bold call"" by suggesting that stocks in uptrends will go higher, then we’re probably not near a top. $SPY $QQQ $CL_F $CRB $AAPL $AMZN $GOOG $FB $MSFT  ",1,1,1,8,8,62,0.26404756,0.06733548,0.668617,Neu,0.19671208,allstarcharts
101,2021-01-29 17:41:05,can't own Apple if it's below 138 imo $AAPL  ,0,1,1,6,7,62,0.03235332,0.1236717,0.84397495,Neu,-0.091318384,allstarcharts
113,2021-01-23 14:03:05,a fresh breakout to new all-time highs in the world's largest company. This comes after the stock consolidated and did nothing since August. You want a correction? There you go. You got it. Now we can move on... $AAPL  ,1,1,1,7,46,312,0.6273349,0.1095072,0.26315796,Pos,0.5178277,allstarcharts
116,2021-01-18 19:34:03,I'd say the direction of the resolutions from these consolidations are pretty important   $NVDA $GOOG $FB $AMZN $AAPL $MSFT  ,0,1,1,38,127,580,0.13407408,0.014234382,0.85169154,Neu,0.1198397,allstarcharts
123,2021-01-08 20:01:04,"For you Dow Theory aficionados, it appears that both the Dow Jones Industrial Avg and Dow Jones Transportation Avg will make new all-time weekly closing highs. Historically, these things happen in market environments that reward investors for owning stocks, not for shorting them",0,1,1,0,7,78,0.103291795,0.03328334,0.8634249,Neu,0.07000846,allstarcharts
131,2021-01-03 14:59:05,Gold still dribbling down near lows after breaking down relative to both stocks and the rest of commodities. Gold can't keep up with either $GC_F $GLD $SPX $CRB  ,0,1,1,10,6,34,0.0091927,0.96247715,0.028330183,Neg,-0.95328444,allstarcharts
134,2020-12-30 20:17:02,the bond market continues to agree that stocks should be making new highs. so that makes it really hard for me to disagree $HYG $TLT $SPX  ,0,1,1,5,16,100,0.2262963,0.123432174,0.65027153,Neu,0.10286413,allstarcharts
161,2020-12-11 16:24:00,"You can call the market anything you want. Call it a bubble. Call it unsustainable. Call it Aunt Jemima for all I care.   But if you're 'one of those', then this is the chart for you.    4 Signs of a Market Correction in 1 Chart  $TLT $SPY $XLP $GLD $AUDJPY  ",0,1,1,9,19,107,0.046953678,0.46923363,0.48381266,Neu,-0.42227995,allstarcharts
164,2020-12-04 16:56:03, I don’t feel bad for people who purposely ignore price trends. I can’t...,0,1,1,1,0,5,0.034089014,0.521977,0.44393396,Neg,-0.48788798,allstarcharts
169,2020-11-29 14:37:00,you can add The Global Dow to your list of charts breaking out of multi-year bases to new all-time highs $GDOW  ,0,1,1,9,22,133,0.39963847,0.015803136,0.58455837,Neu,0.38383535,allstarcharts
176,2020-11-22 15:30:00,"There should be a picture of Semiconductors in the Technical Analysis Encyclopedia under ""Relative Strength"" $SOX $SMH $XLK $SPX $SPY  ",0,0,1,4,6,99,0.06548207,0.016121436,0.91839653,Neu,0.049360637,allstarcharts
184,2020-11-10 21:49:02,"As the Notorious BIG would say… “and another one!”    We’ve been pointing out historic breadth readings since June, the kind that regularly occur near the beginning cyclical bull markets, not near the end of them. You can now add this one to that list $SPY  ",1,1,1,12,39,183,0.044084463,0.049931675,0.90598387,Neu,-0.005847212,allstarcharts
193,2020-11-02 17:16:04,a breakout in the black one would be constructive for US stocks heading into final 2 months of the year $XLP $SPY  ,0,1,1,2,7,32,0.5813575,0.37357798,0.045064557,Pos,0.2077795,allstarcharts
194,2020-11-02 13:19:05,We got some great feedback this weekend on the podcast with  who shares his thoughts on  You can listen to our entire episode here where Mark explains how the stock market is NOT being artificially pumped up by the Fed  ,1,1,1,4,3,30,0.18715368,0.013137456,0.7997089,Neu,0.17401622,allstarcharts
198,2020-10-30 02:16:01," Well for me analyzing the vix in any way is technical analysis because the information is the behavior of the options market for s&p500 right? So yes. BUT I think  would agree, trend lines & classic patterns and stuff like that are no good. Do i have that right AT?",0,1,1,3,0,9,0.03351816,0.07231341,0.89416844,Neu,-0.03879525,allstarcharts
204,2020-10-19 19:06:02,"""No matter how we slice it, a lot of these market-cap ratios are at key long-term levels which could end up being potential inflection points in the primary trends"" -        $IWM $IWC $MDY $SPX $SPY $QQQ $DJIA $IWF $IWD  ",0,1,1,1,19,31,0.124212906,0.040657893,0.8351292,Neu,0.08355501,allstarcharts
206,2020-10-19 13:17:03,A breakout in the black line would be supportive of higher stock prices as an asset class. It would mean a breakdown in Consumer Staples relative to the S&P500 $XLP $SPY  ,0,1,1,0,9,25,0.066886574,0.91066206,0.0224514,Neg,-0.8437755,allstarcharts
213,2020-10-06 13:42:04,"As the S&P500 corrected in September, Homebuilders broke out of a twelve and a half year base relative to the broader market. It seems logical the S&P500 will follow Homebuilders and the entire Consumer Discretionary sector to make new highs   $ITB $XHB $SPY  ",1,1,1,3,11,45,0.86811185,0.017685715,0.1142024,Pos,0.85042614,allstarcharts
217,2020-09-29 14:23:02,"What's the one Monthly Candlestick you're looking forward to the most tomorrow night?   For me going in, I think it's the Dow Jones Transportation Avg. But I'm always surprised by one I didn't expect! So we'll see....",1,1,1,2,0,17,0.056726333,0.027322542,0.9159511,Neu,0.02940379,allstarcharts
230,2020-09-09 18:04:04,"I had a fun conversation today about sector rotation. I asked, ""What would you tell the gloom & doomer who is shorting stocks and thinks we're due for a market crash?"". He says, ""Show them the Equally-weighted Industrials vs Equally-weighted S&P500 breaking out"" $RGI / $RSP  ",1,1,1,2,8,47,0.060656466,0.08267225,0.85667133,Neu,-0.022015788,allstarcharts
231,2020-09-09 11:39:03,will the relative strength we've seen in Financials so far in September continue into next quarter? $XLF $SPY $KRE $IAI $IAK  ,1,1,1,1,7,34,0.70769924,0.026327562,0.26597318,Pos,0.6813717,allstarcharts
236,2020-09-03 18:48:03,rotation into energy stocks the week after Exxon gets kicked out of the Dow would be hilarious,1,1,1,14,14,166,0.060109977,0.17316785,0.7667222,Neu,-0.11305788,allstarcharts
239,2020-09-01 13:04:02,[New Video] Check out how a friendly conversation w/  can turn into a new valuable tool in a matter of weeks!   $STNE $PAGS $QQQ $SPY $DJIA  ,0,0,1,3,4,32,0.10580253,0.012823053,0.8813744,Neu,0.092979476,allstarcharts
250,2020-08-25 19:37:04,  The Global Dow might be the best index of all time,0,0,1,0,0,1,0.304482,0.0098669045,0.6856511,Neu,0.29461512,allstarcharts
253,2020-08-24 20:24:05,this would be a logical place for Broker Dealers to start to outperform for the first time since early 2018 $IAI / $SPY  ,0,0,1,1,6,17,0.90562797,0.014722471,0.07964955,Pos,0.8909055,allstarcharts
255,2020-08-24 16:01:02,NEW POST: Rotation INTO The Dow Stocks After 30 Months of No Progress?   $DJIA Maybe the rest of the world will break out too? Or no? Give it a read and let me know what you think!  ,0,1,1,1,9,26,0.06326918,0.029643929,0.9070869,Neu,0.033625253,allstarcharts
289,2020-07-15 13:07:00,New Podcast Episode:  says the pair trade of the decade could very well be: Long  $PZZA and Short  $GPS - do you agree?   $AMZN $CVS $WBA $DPZ $MCD  ,0,1,1,2,2,8,0.06224981,0.01710459,0.9206456,Neu,0.04514522,allstarcharts
290,2020-07-13 14:46:03,NEW POST: Did you think it would be a historic stock market crash and a devastating global pandemic that would finally spark the rotation into emerging market stocks?  Yea me neither. Let's discuss   $EEM $FXI $EWZ $SPY  ,0,1,1,1,4,40,0.06590263,0.02999767,0.9040997,Neu,0.03590496,allstarcharts
304,2020-06-21 13:30:05, I use a cheap plastic one from amazon that will never break,0,1,1,1,0,0,0.045120638,0.018558174,0.93632114,Neu,0.026562463,allstarcharts
308,2020-06-17 19:51:05,"Do you think these charts are more representative of today's delivery methods for goods & services than Charles Dow's Railroads? I think Charlie would agree, yes. $QQQ $SOX $SMH $TRAN $IYT $DJTA h/t   ",0,1,1,4,10,62,0.05507109,0.017066903,0.927862,Neu,0.038004186,allstarcharts
311,2020-06-14 14:13:01,"NEW POST: Which would you rather own this summer? Stocks, Bonds or Gold?   $GLD $SPY $TLT  ",0,0,1,38,14,80,0.03131952,0.023969071,0.9447114,Neu,0.0073504504,allstarcharts
326,2020-05-15 13:18:04,  Nope. That couldn’t be more wrong. The “S&P500” might be the electoral college. But “the market” doesn’t care what the S&P500 is doing. And the market is down over the past month,1,1,1,1,0,5,0.009925882,0.9559179,0.034156255,Neg,-0.945992,allstarcharts
328,2020-05-11 13:55:00,"The way we see it, there are 2 major uptrends in place that are hard to ignore   This might seem quite obvious to some of us, but an important reminder regardless $SPX $DJIA $QQQ $DWC $IOO $STOXX STOXX   ",0,1,1,4,7,36,0.058492478,0.053749014,0.88775855,Neu,0.0047434643,allstarcharts
338,2020-04-28 23:39:02,"Hey guys new Podcast Episode is out! This is a really good one with special guest  talking about the current stock market environment, interest rates and market breadth. This is a can't miss episode!    $SPX $TLT $TNX $DJIA $QQQ  ",1,1,1,10,10,80,0.09396991,0.012718573,0.89331156,Neu,0.08125134,allstarcharts
350,2020-04-17 17:18:01," And communications. And consumer discretionary. (Or GOOG & AMZN, if you will)",0,0,1,1,0,3,0.025548154,0.025789227,0.94866264,Neu,-0.00024107285,allstarcharts
351,2020-04-17 16:45:05,"to me, if you think buying the US Stock Indexes here is a good idea, then you also think these charts will go down. I do not think that happens $GLD $SPY $TLT  ",0,1,1,8,18,73,0.0212677,0.84290886,0.13582341,Neg,-0.82164115,allstarcharts
370,2020-04-04 12:40:01,"new multi-year highs for Consumer Staples Relative to S&Ps. Is this the type of leadership we should see at the beginning of ""a new bull market""? $XLP $SPY  ",0,1,1,14,19,109,0.44132385,0.013995197,0.544681,Neu,0.42732865,allstarcharts
377,2020-03-31 13:48:02,"'Dead-Cat Bounce' comes from the old Wall St. phrase that, ""Even a dead cat will bounce if it falls from a great height...""   I dare you to find me any evidence whatsoever that this isn't that $DJIA $SPY $QQQ $IWM  ",0,1,1,32,89,348,0.05265801,0.07213694,0.8752051,Neu,-0.019478928,allstarcharts
384,2020-03-29 14:59:03,Do you guys trust that this bullish momentum divergence will turn into a major reversal in price? Seems a little tight to me. See Q4 2018 $SPX  ,0,1,1,55,30,180,0.1702186,0.2793795,0.55040187,Neu,-0.109160885,allstarcharts
