,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2021-07-23 23:05:00,Google is advertising search.  Sadly for most people search is Google and Ctrl-F. It should be $ESTC  and  (FD:  I own shares in both)  ,0,1,1,0,0,3,0.031005558,0.017440734,0.9515537,Neu,0.013564823,barbariancap
5,2021-07-21 02:34:03,You will never guess which CA-based electric car company's stock peaked with the peak in Google searches for gamma squeeze   ,1,0,1,3,0,30,0.1629389,0.022650441,0.8144106,Neu,0.14028846,barbariancap
12,2021-07-08 17:17:05,  or google finance for that matter. A quarter of the fintech industry would not exist cc  (I had ~1000 RSS feeds in Reader).,1,0,1,0,0,6,0.028387927,0.031401224,0.9402108,Neu,-0.003013298,barbariancap
40,2021-04-07 01:10:01,"regular $SPY, eq wtd SPY $RSP, value SPY $SPYV, growth SPY $IVW, div aristocrats SPY $NOBL, SPY quality $SPHQ, SPY ""Catholic Values"" $CATH, SPY covered calls $XYLD, vol wtd SPY $CFA new ATHs today.   The S&P 500 might be the most sliced and diced index ever.",1,1,1,1,0,5,0.031224325,0.11045671,0.858319,Neu,-0.07923239,barbariancap
43,2021-03-30 00:40:02,"  100% in agreement. Under Bberg, declining crime+ decent schools = you could do an extra 10 yrs as a fam w kids in the city. No longer the case: crime up triple digits, and the screened schools are under attack.",0,1,1,1,1,9,0.12983553,0.1372993,0.7328652,Neu,-0.007463768,barbariancap
47,2021-03-09 21:16:05,"going to call them celebspacs, and they continue...   frankly, if I had that level of fame, I'd just run an aggressive product promo schedule in the off season, and dump everything in MSCI World  ",1,1,1,0,1,5,0.02748799,0.4982231,0.47428885,Neg,-0.4707351,barbariancap
50,2021-03-06 13:10:01,"  will google search images but just add horns, and you are all set",0,1,1,0,0,2,0.05575712,0.016037192,0.9282057,Neu,0.039719928,barbariancap
54,2021-02-27 14:00:04,"""Berkshire Hathaway's annual meeting this year will be held in Los Angeles""",1,0,1,2,0,7,0.038971867,0.022237299,0.93879086,Neu,0.016734568,barbariancap
72,2021-01-25 02:37:02, Don't remind me that I am subsidizing your asset class in so many ways incl. the ridic 30-yr mortgages. That said (not advice) one could borrow against their house equity to get in SPY. You can get 4-to-1 but floating rate at IBKR.,1,1,1,0,0,7,0.044208277,0.02327318,0.9325186,Neu,0.020935098,barbariancap
85,2020-12-15 00:04:00," this is the thumbs up in Slack... maybe given the % share in email bn google and msft, they can collaborate on a thumbs-up ""reply""",1,1,1,0,0,1,0.21013933,0.012191508,0.77766913,Neu,0.19794783,barbariancap
88,2020-12-06 02:54:02,2/n this was a fintwit debate recently... should $BLK trade above the $SPY.. no arguments against here  ,1,0,1,1,1,0,0.10068047,0.059021007,0.84029853,Neu,0.041659463,barbariancap
97,2020-11-14 02:51:04,2/n you can prob buy SPY vol in trad option trades  ,0,0,1,1,0,2,0.078844704,0.01373905,0.9074163,Neu,0.065105654,barbariancap
104,2020-10-28 03:52:00," agree with the overall sentiment that anti-trust stepping up will chill the M&A market/valuations for non-self-funding companies... but if the polls are right, Big Tech is free (GOOG was the number one visitor in BHO's White House, I think)",1,1,1,0,0,0,0.1745974,0.28276944,0.5426331,Neu,-0.108172044,barbariancap
108,2020-10-08 01:02:05," at the basic level, your first name could signal class, age, parental politicla leanings, and race; in the age of the interweb, having a more ""anon"" name could well be a benefit (imagine sth you did at 16 always the first google hit) + more.",1,1,1,1,0,1,0.052173976,0.020672534,0.9271535,Neu,0.031501442,barbariancap
