,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-29 22:00:00,"Just like Apple $AAPL, Amazon $AMZN is now set to trade lower on each of its last 4 earnings reaction days.  Would also be its 5th move lower on its last 6 earnings reports.  Stock is up ~38% over this time frame...  ",1,1,1,0,24,75,0.20187947,0.76230586,0.035814688,Neg,-0.56042635,bespokeinvest
7,2021-07-27 14:00:02,"After the close, we'll get reports from Alphabet ($GOOGL), Apple ($AAPL), and Microsoft ($MSFT).  On a combined basis, these three companies alone are expected to report combined revenues of about $175 billion!  ",1,1,1,0,2,12,0.1869454,0.008854489,0.8042001,Neu,0.1780909,bespokeinvest
10,2021-07-22 21:25:03,Facebook will be back in the trillion dollar club tomorrow. $FB,0,0,1,1,5,20,0.047332328,0.021885067,0.9307827,Neu,0.02544726,bespokeinvest
12,2021-07-20 14:28:01,How long can the S&P 500 keep bouncing at its 50-DMA?     ,0,0,1,2,14,41,0.033917118,0.54975927,0.4163236,Neg,-0.51584214,bespokeinvest
44,2021-06-16 12:46:04,"You can see the recent strength in large-cap Tech and weakness in Industrials, Financials through charts of the major index ETFs.  $QQQ and $SPY at new highs while $DIA has been faded.  ",1,1,1,1,3,10,0.14795262,0.72606665,0.1259807,Neg,-0.57811403,bespokeinvest
50,2021-06-15 13:37:03,"If the current pace of record closing highs for the S&P 500 continues, 2021 would ranks as the third most on record.    ",0,1,1,0,3,7,0.15918782,0.5928247,0.2479875,Neg,-0.43363687,bespokeinvest
60,2021-06-10 13:57:02,"Will today be the fifth straight day that the S&P 500 trades within 0.25% of a record high, but doesn't get there?    ",0,1,1,0,5,15,0.060452614,0.40794733,0.5316001,Neu,-0.34749472,bespokeinvest
65,2021-06-09 13:12:02,"Goldman Sachs $GS is currently the best performing stock in the Dow 30 this year with a gain of 46.9%.  If Exxon $XOM were still in the Dow, it would be up the most with a YTD gain of 55.5%.  Here's the list:  ",1,1,1,2,23,49,0.19576871,0.015653433,0.78857785,Neu,0.18011528,bespokeinvest
67,2021-06-04 22:33:00,"Since the 3/23/20 low, you'd be up 68.9% on $SPY if you bought at the close every day and sold at the next open.  You'd be up just 12% if you bought at every open and sold at the close.  Read more in this week's Bespoke Report:    ",1,0,1,10,68,237,0.690974,0.03524135,0.27378467,Pos,0.65573263,bespokeinvest
84,2021-05-11 18:58:00,"While not even 1% of S&P 500 stocks have reached a 52-week high today, yesterday a net of 44.55% of stocks did so. That was a record high in the net percentage of stocks at 52-week highs. The same could be said for Materials, Industrials, and Financials:    ",1,1,1,0,4,25,0.10183454,0.029465381,0.86870015,Neu,0.07236916,bespokeinvest
103,2021-04-30 13:57:02,"Amazon $AMZN is trading ~$7 below its all-time high of  $3,552.25 in pre-market trading.  Was well above that level last night but has been drifting lower.  Will be watching to see if the stock can finally break above its 8-month sideways range today.     ",1,1,1,3,6,21,0.13639271,0.67757666,0.18603057,Neg,-0.54118395,bespokeinvest
106,2021-04-29 13:45:02,People hate Facebook so much that they can't get enough of it.  Today is the 14th time since its IPO that the stock has gapped up over 5% in reaction to earnings. $FB  ,1,1,1,0,3,13,0.3392749,0.61498594,0.04573915,Neg,-0.27571103,bespokeinvest
112,2021-04-28 14:06:00,Market has been responding positively to Alphabet earnings lately. This will be the fourth quarter in the last 5 that the stock gaps up more than 4% in reaction to earnings. $GOOGL  ,1,1,1,0,7,20,0.946488,0.016938364,0.03657354,Pos,0.92954963,bespokeinvest
114,2021-04-27 19:20:02,"If Amazon $AMZN meets its Q1 sales estimates of ~$105 billion, it will be $30 billion higher than Q1 2020's sales of $75 billion.  ",0,1,1,2,4,9,0.9461278,0.012846736,0.04102552,Pos,0.93328106,bespokeinvest
133,2021-04-13 19:37:02,"The most important number is 91,991. At that price one bitcoin would be enough to buy one share of every company in the S&P 500.",0,1,1,1,5,21,0.05331186,0.015747821,0.9309403,Neu,0.03756404,bespokeinvest
