,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
4,2021-07-06 16:58:04,"without $AMZN today, the market would really be in shambles",0,0,1,2,0,17,0.011665114,0.9300249,0.05830989,Neg,-0.9183598,bostonchaahhts
6,2021-06-17 12:49:01,"one of the concerns with the S&P 500 and Nasdaq 100 are the bearish RSI divergences on both the daily and weekly time frames...could end up meaning nothing, but something to watch",0,1,1,0,0,5,0.024870692,0.7217407,0.25338846,Neg,-0.69687,bostonchaahhts
20,2021-02-26 13:16:02,remember this $AAPL chart from over a month ago?   I would love to see a 10-20% pullback in all these high fliers to get a nice long entry,0,0,1,3,1,9,0.42522836,0.13305414,0.44171748,Neu,0.29217422,bostonchaahhts
25,2021-01-21 12:48:05,"$SPY weekly - has been rising in a very consistent trend for the last decade+ and still within the trend bounds. don't know how you can say this is bubbly - maybe short term extended, but the long term trend is lovely  ",1,1,1,3,1,29,0.791167,0.021753494,0.1870794,Pos,0.76941353,bostonchaahhts
27,2021-01-20 13:04:04,"$AAPL weekly  let me first say that I would NEVER short apple or bet against them, but price way up here just doesn't offer a good R/R IMO. price always mean reverts through time or price eventually, sooo  ",0,1,1,4,0,10,0.03170335,0.10964947,0.8586472,Neu,-0.07794613,bostonchaahhts
34,2021-01-08 14:27:05,"I think about my time in high school 20 years ago when we had nokia phones that could call, text, and play snake. we didn't use them much. now teens have a phone with: - snapchat - tiktok - facebook - instagram - twitter - youtube - live tv - games, etc  this can't be healthy",1,1,1,3,1,13,0.02197321,0.23300742,0.7450194,Neu,-0.21103421,bostonchaahhts
41,2020-12-11 17:11:02,here's a $SPY weekly look - the trend is obviously up but working on a weekly reversal candle and well extended above the mean (moving average)  we'll see next week if the reversal candle is confirmed. key support near ~$350  ,1,1,1,1,2,11,0.80250674,0.035666946,0.16182624,Pos,0.7668398,bostonchaahhts
42,2020-12-09 13:03:02,"you want to talk about being extended above a multi-year trend, check out the $AAPL weekly. what a run - if you have no position up here, I'd be pretty neutral  ",1,1,1,3,2,16,0.09311186,0.22250362,0.6843845,Neu,-0.12939176,bostonchaahhts
43,2020-12-09 13:01:02,man that $AMZN weekly is tight. my only hesitation is that price is still pretty extended up here...guess we'll see  ,1,1,1,1,0,7,0.22433805,0.08551102,0.69015086,Neu,0.13882703,bostonchaahhts
53,2020-11-10 12:54:02,$SPX at a very interesting spot here - the bears have the ingredients they need to take this lower. today's candle will be informative  ,0,1,1,5,1,17,0.077389635,0.017001282,0.9056091,Neu,0.060388353,bostonchaahhts
58,2020-11-03 18:04:03,tomorrow's $SPY straddle trading for around $9...might be time to sell vol here. hmmm,0,0,1,3,0,8,0.08865856,0.020465547,0.89087594,Neu,0.06819301,bostonchaahhts
76,2020-10-08 18:24:03,"$SPY broke out of this inverse H&S pattern and is consolidating. price looks a little stretched to me, but as long as we're above ~$343 green light  bear case would be a failed breakout  ",1,1,1,2,2,29,0.24988194,0.12697874,0.6231394,Neu,0.1229032,bostonchaahhts
79,2020-09-30 20:15:05,closing below ~$335 would not be the best outcome here $SPY,0,0,1,1,1,8,0.044479094,0.7856944,0.16982651,Neg,-0.74121535,bostonchaahhts
82,2020-09-29 12:32:02,"this is $SPY relative to $XLF  it looks like it wants to mean revert lower (good for financials), but I just can't put money on financials outperforming....I just can't",0,1,1,2,0,9,0.017695608,0.91057354,0.071730785,Neg,-0.89287794,bostonchaahhts
83,2020-09-28 18:50:01,this $SPY ~$333 - $335 level important short term. can we get back above this week?  ,0,0,1,1,0,5,0.18792318,0.027504869,0.78457195,Neu,0.1604183,bostonchaahhts
91,2020-09-11 15:34:04,"If I had to guess, I'd say we close below $333 on $SPY, but I'm taking the day off so I don't really care haha",1,1,1,2,0,16,0.06735886,0.46233305,0.47030815,Neu,-0.3949742,bostonchaahhts
