,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
50,2021-07-21 04:04:03,APPLE WILL NOT INTRODUCE ANY NEW 4G MODELS NEXT YEAR; ALSO NOT INTRODUCE AN UPDATED VERSION OF THE IPHONE MINI - NIKKEI,0,0,1,0,6,4,0.038107924,0.018060919,0.94383115,Neu,0.020047005,breakingmkts
84,2021-07-14 16:07:04,"FACEBOOK SAYS STARTING AUG, BUSINESSES IN U.S. WHO USE PARTICIPATING PLATFORMS WILL HAVE ABILITY TO ENABLE FACEBOOK...  ",0,0,1,0,0,3,0.45126957,0.008111817,0.54061866,Neu,0.44315776,breakingmkts
122,2021-07-06 17:44:02,BREAKING: The Pentagon said it has canceled a cloud-computing contract with Microsoft that could eventually have be...  ,1,1,1,0,2,3,0.01168759,0.96471554,0.023596771,Neg,-0.95302796,breakingmkts
132,2021-07-03 17:22:00,"EXCLUSIVE-AMAZON, TATA SONS TELL INDIAN GOVT OFFICIALS NEW E-COMMERCE CONSUMER RULES WILL HIT BUSINESSES-SOURCES$AMZN",0,0,1,0,1,5,0.021706797,0.6071004,0.37119278,Neg,-0.5853936,breakingmkts
182,2021-06-24 15:59:00,MICROSOFT CORP SAYS NEXT GENERATION OF WINDOWS OPERATING SYSTEM WILL BE RELEASED TO GENERAL PUBLIC BY 'HOLIDAY' SEASON OF 2021 - EVENT$MSFT,1,0,1,0,2,9,0.06113601,0.011626985,0.927237,Neu,0.049509026,breakingmkts
183,2021-06-24 15:59:00,MICROSOFT CORP SAYS NEXT GENERATION OF WINDOWS OPERATING SYSTEM WILL BE RELEASED TO GENERAL PUBLIC BY 'HOLIDAY' SEASON OF 2021 - EVENT,1,0,1,0,1,3,0.06810093,0.010568576,0.92133045,Neu,0.057532355,breakingmkts
197,2021-06-23 08:25:02,"BREAKING: Pro-democracy Apple Daily newspaper, under financial pressure from Hong Kong authorities, says it will close by Saturday.",0,1,1,0,1,2,0.009763233,0.9138423,0.07639448,Neg,-0.9040791,breakingmkts
382,2021-05-11 13:37:04,"GOOGLE - GOOGLE PAY USERS IN U.S. WILL BE ABLE TO SEND MONEY TO GOOGLE PAY USERS IN INDIA &amp; SINGAPORE, DUE TO INTEG...  ",0,0,1,0,0,2,0.37257895,0.0099689085,0.6174522,Neu,0.36261004,breakingmkts
397,2021-05-05 14:14:03,"BREAKING: Donald Trump will remain off Facebook after ruling from Oversight Board, but the quasi-independent board...  ",0,1,1,0,0,5,0.02394453,0.32541743,0.650638,Neu,-0.3014729,breakingmkts
461,2021-04-20 18:11:03,"APPLE SAYS AIRTAG WILL COST $29, 4 PACKS WILL COST $99 APRIL 30",0,0,1,0,3,7,0.06409878,0.011705434,0.92419577,Neu,0.052393347,breakingmkts
463,2021-04-20 18:08:00,"APPLE INC - IPHONE 12 AND IPHONE 12 MINI IN PURPLE WILL BE AVAILABLE FOR PRE-ORDER BEGINNING APRIL 23, WITH AVAILABILITY BEGINNING APRIL 30",0,0,1,0,0,2,0.06740132,0.01396397,0.91863465,Neu,0.05343735,breakingmkts
647,2021-03-03 14:02:05,ALPHABET INC'S GOOGLE SAYS WILL NOT BUILD OR USE TOOLS TO TRACK WEB BROWSING TRAFFIC AFTER PHASING OUT CHROME COOKIES -BLOG POST,0,0,1,0,2,9,0.027474202,0.038221657,0.9343042,Neu,-0.010747455,breakingmkts
721,2021-02-17 18:33:05,FACEBOOK INC - WILL RESTRICT PUBLISHERS AND PEOPLE IN AUSTRALIA FROM SHARING OR VIEWING AUSTRALIAN AND INTERNATIONAL NEWS CONTENT,0,0,1,1,0,2,0.019055007,0.2817368,0.6992082,Neu,-0.26268178,breakingmkts
