,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
5,2021-08-04 12:52:00,Visa will open an office in Sudan as more local banks start issuing payment cards  ,0,1,1,0,9,23,0.42808464,0.008037981,0.5638774,Neu,0.42004666,business
12,2021-08-03 19:23:00,Microsoft said it will require employees to show proof of Covid-19 vaccinations before they can enter any U.S. office and won’t fully reopen work sites until October  ,1,0,1,8,54,104,0.0146183735,0.7474211,0.23796053,Neg,-0.7328027,business
21,2021-08-02 16:43:00,Facebook's Kustomer deal will get an in-depth competition probe by the European Union  ,0,0,1,2,8,17,0.022915961,0.770745,0.20633906,Neg,-0.747829,business
55,2021-07-29 03:43:00,Facebook reported higher second-quarter sales and profit but says growth could stall as Apple’s new rules pinch data collection  ,1,1,1,2,5,24,0.03541655,0.9518329,0.01275056,Neg,-0.91641635,business
56,2021-07-29 03:28:00,"The chip-shortage recovery will be rocky, as Apple can attest  ",0,0,1,0,4,13,0.07578893,0.8375028,0.08670832,Neg,-0.76171386,business
61,2021-07-28 23:48:00,Google will require returning workers to be vaccinated and is pushing back the date for bringing employees back to its offices  ,1,1,1,6,36,80,0.016676502,0.8646189,0.11870455,Neg,-0.8479424,business
62,2021-07-28 23:32:00,Facebook told employees it will require them to be vaccinated for Covid-19 in order to return to the company’s U.S. offices  ,1,0,1,12,26,100,0.041310895,0.2817665,0.67692256,Neu,-0.24045561,business
64,2021-07-28 05:33:00,"Apple slips as much as 2.9% in late trading after warning that sales growth may be slowing and supplies are getting tight, putting a damper on investor excitement following a record-setting third quarter  ",0,1,1,2,13,35,0.012638939,0.96776074,0.019600295,Neg,-0.9551218,business
76,2021-07-27 07:18:00,"Bitcoin falls after briefly rallying past $40,000, as Amazon pushes back against speculation it will accept the token for payments this year  ",0,1,1,11,16,44,0.56976324,0.3889376,0.041299228,Pos,0.18082565,business
77,2021-07-27 04:34:05,"Bitcoin falls below $38,000 after briefly surpassing $40,000 following Amazon’s denial that its job posting for a digital currency executive meant that it will accept the token for payments this year  ",1,1,1,10,13,33,0.016201172,0.9576804,0.0261184,Neg,-0.9414792,business
85,2021-07-26 17:15:00,Graduates of top global universities will no longer need a job offer in order to secure a visa to work in the U.K. under a government plan to boost innovation    ,0,0,1,6,23,83,0.42975202,0.016323205,0.5539248,Neu,0.4134288,business
93,2021-07-24 00:26:03,Prime Minister Pedro Sanchez said he’s expecting Apple to ramp up investments in Spain after meeting with CEO Tim Cook at the company’s headquarters on Friday  ,1,1,1,2,16,33,0.90232795,0.009898062,0.08777395,Pos,0.8924299,business
95,2021-07-23 19:51:00,"Graduates of top global universities will no longer need a job offer in order to secure a visa to work in the U.K., under a government plan to boost innovation  ",0,0,1,5,36,104,0.54473454,0.017596174,0.4376693,Pos,0.52713835,business
106,2021-07-20 19:23:00,New plans to build a robust 5G zone around Amazon HQ2 are a preview of what the Virginia neighborhood could become.   via ,0,1,1,4,16,33,0.15012588,0.009808205,0.84006596,Neu,0.14031768,business
108,2021-07-20 17:53:00,Google Cloud tools will help governments be in compliance with Biden's order on cybersecurity  ,0,0,1,4,10,34,0.52797127,0.009569076,0.4624597,Pos,0.5184022,business
112,2021-07-20 14:40:01,"Facebook tells the Biden administration not to blame the social network for spreading vaccine lies, but fails to give the data that could prove its case  ",0,1,1,12,24,68,0.035875067,0.20871833,0.75540656,Neu,-0.17284326,business
117,2021-07-20 10:40:00,"Facebook tells the Biden administration not to blame the social network for spreading vaccine lies, but fails to give the data that could prove its case  ",0,1,1,16,37,72,0.035875067,0.20871833,0.75540656,Neu,-0.17284326,business
119,2021-07-20 10:07:00,"This week’s Power On: Apple should improve its Apple Card amid its larger push into financial technology, Netflix plans to add video games to its service, details on the next iPhones, and Apple launches a MagSafe battery pack. Read here and subscribe!  ",1,1,1,0,10,13,0.37758288,0.00948078,0.61293626,Neu,0.3681021,business
128,2021-07-19 21:40:00,"This week’s Power On: Apple should improve its Apple Card amid its larger push into financial technology, Netflix plans to add video games to its service, details on the next iPhones, and Apple launches a MagSafe battery pack. Read here and subscribe!  ",1,1,1,1,13,33,0.37758288,0.00948078,0.61293626,Neu,0.3681021,business
132,2021-07-19 15:54:01,The S&P 500 fell the most since May as investors grow increasingly concerned the delta variant will weigh on the global economic recovery  ,1,1,1,7,14,32,0.009022055,0.9715802,0.019397784,Neg,-0.96255815,business
135,2021-07-19 14:07:00,"This week’s Power On: Apple should improve its Apple Card amid its larger push into financial technology, Netflix plans to add video games to its service, details on the next iPhones, and Apple launches a MagSafe battery pack. Read here and subscribe!  ",1,1,1,2,14,22,0.37758288,0.00948078,0.61293626,Neu,0.3681021,business
138,2021-07-19 08:03:01,"This week’s Power On: Apple should improve its Apple Card amid its larger push into financial technology, Netflix plans to add video games to its service, details on the next iPhones, and Apple launches a MagSafe battery pack. Read here and subscribe!  ",1,1,1,6,5,19,0.37758288,0.00948078,0.61293626,Neu,0.3681021,business
145,2021-07-16 12:30:00,"Berkshire Hathaway-backed digital-payments pioneer Paytm has filed its prospectus for a $2.2 billion IPO, which could be India's biggest listing ever  ",1,1,1,0,5,24,0.55109745,0.0131842755,0.4357183,Pos,0.5379132,business
146,2021-07-16 08:29:00,"Berkshire Hathaway-backed digital-payments pioneer Paytm has filed its prospectus for a $2.2 billion IPO, which could be India's biggest listing ever  ",1,1,1,3,20,37,0.55109745,0.0131842755,0.4357183,Pos,0.5379132,business
148,2021-07-16 03:21:00,That announcement that vaccine maker Moderna will be added the S&P 500 Index sent share up more than 6% in extended trading Thursday  ,1,0,1,2,13,30,0.94857055,0.025306916,0.026122522,Pos,0.9232636,business
160,2021-07-14 12:02:00,He defended Microsoft against charges of anticompetitive behavior. Now he’s going after Apple as Spotify’s top lawyer   via ,1,1,1,1,8,22,0.061553214,0.027524652,0.9109221,Neu,0.03402856,business
164,2021-07-13 23:49:02,"Apple is working on a new “buy now, pay later” service that will let consumers pay for any Apple Pay purchase in installments, rivaling offerings from Affirm and PayPal  ",0,1,1,11,35,77,0.29577723,0.011110163,0.6931126,Neu,0.28466707,business
165,2021-07-13 22:10:00,U.S. antitrust officials said Berkshire Hathaway’s scrapped deal to buy pipeline assets from Dominion Energy would have threatened competition and never should have been pursued by the companies  ,1,0,1,3,11,26,0.015348832,0.89538175,0.08926941,Neg,-0.8800329,business
