,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
9,2021-07-31 23:31:05,3. Here is the election cycle by itself  I guess you could call it that phase where all the nice promises of the election campaigns start to bump up against the political realities   h/t  $SPX $SPY  ,0,1,1,2,8,21,0.05404294,0.056926735,0.8890304,Neu,-0.0028837956,callum_thomas
17,2021-07-24 22:19:03,8. Higher earnings yield ahead?  (can happen from either or a combination of rising EPS  vs  falling prices &gt;&gt; earnings eruption or price plunge?)  h/t   $SPX $SPY  ,1,1,1,3,13,50,0.51356477,0.25943568,0.22699963,Pos,0.25412908,callum_thomas
40,2021-07-11 01:31:00,Just sent out the latest Weekly S&P500 ChartStorm WriteUp -- you can read it (free) here:  ,1,0,1,2,16,56,0.032839287,0.029621061,0.93753964,Neu,0.0032182261,callum_thomas
42,2021-07-10 19:55:04,9. All is as it should be?  h/t   $SPX $SPY  ,0,1,1,2,6,35,0.05602597,0.022582848,0.9213912,Neu,0.033443123,callum_thomas
47,2021-07-10 19:37:04,4. Man I can't wait for Fed Taper so I can BTFD!  $FED $MACRO $SPX $SPY  ,0,0,1,16,33,217,0.08357992,0.026277483,0.8901426,Neu,0.057302438,callum_thomas
65,2021-06-27 23:31:01,  what I was referring to is that people can easily disseminate false and misleading information through mediums like facebook by clicking like  they fail to check what the research says,1,1,1,0,0,2,0.026450953,0.4485402,0.52500886,Neu,-0.42208925,callum_thomas
68,2021-06-26 22:48:02,  yeah S&P should do better long term for a number of good reasons...,0,0,1,0,0,1,0.8358987,0.009942411,0.1541589,Pos,0.8259563,callum_thomas
75,2021-06-26 22:17:04,"3. New ATH for the S&P 500 and for the $SKEW  The CBOE SKEW Index is often described as a measure of demand for tail-risk hedging.    There is debate that it actually does that, but I wouldn't be surprised to see increased tail hedging demand...   $SPX $SPY  ",1,1,1,3,23,54,0.32983825,0.030096268,0.64006555,Neu,0.29974198,callum_thomas
76,2021-06-26 22:06:02,"2. Seasonal Map for $SPX + $VIX   As you might expect, on average, the two move inversely.   Seasonal tendency for the next few months is poorer returns and higher volatility...     ",0,1,1,6,34,101,0.016237915,0.9448171,0.03894493,Neg,-0.9285792,callum_thomas
86,2021-06-19 20:32:04,"2. That trendline is done and dusted.  50-day breadth now starting to look oversold...    The cautionary of course is that ""oversold"" markets can easily get MORE oversold.    patience $SPX $SPY  ",1,1,1,7,40,169,0.046044156,0.57762337,0.3763325,Neg,-0.5315792,callum_thomas
104,2021-06-05 21:09:00,3. Inflation rate + P/E ratio...  Should we be concerned?  h/t   $SPX $MACRO  ,1,0,1,26,43,168,0.0855227,0.032396127,0.8820812,Neu,0.05312657,callum_thomas
124,2021-05-22 21:35:01,"6. Another Bloomberg chart this time via  -- ""Real Earnings Yield"" ...can't be sure what exactly it is, looks like 1/PE-CPI YoY   Mildly interesting...  $SPX $SPY  ",0,1,1,9,12,71,0.13230076,0.030341716,0.8373575,Neu,0.10195905,callum_thomas
134,2021-05-15 20:03:04,"  tech was in an uptrend vs S&P500, now it is in a downtrend  would you agree?    (albeit still early days)",1,1,1,1,0,5,0.1431376,0.46746287,0.38939953,Neg,-0.32432526,callum_thomas
140,2021-05-13 02:30:03,"Should be some interesting charts for the S&P500 ChartStorm this weekend...  (p.s. don't forget to subscribe, see below for last week)  ",0,1,1,0,1,5,0.06496436,0.016058924,0.9189767,Neu,0.04890544,callum_thomas
215,2021-03-21 20:32:04,"On the radar this week: -flash PMIs for March -Fed speak (lots... ) -CBanks: SNB + ~dozen EM CBs -Belgian NBB, German Ifo  And heading towards quarter end.  Still 8 trading days to go... will the quarter end with a bang or a whimper?  $MACRO $BONDS $TNX $SPX",0,1,1,0,4,14,0.049088594,0.1004003,0.8505111,Neu,-0.051311705,callum_thomas
220,2021-03-20 19:19:05,"5. (but) in terms of the duration side, it is still worth noting: should bond yields head materially higher we will head down the slip-n-slide...  h/t  $SPX $TNX  ",1,1,1,3,14,38,0.061168224,0.7810891,0.15774268,Neg,-0.7199209,callum_thomas
227,2021-03-13 20:22:02,9. S&P 500 dividend payout ratio history  (wonder what it would look like with buybacks)  h/t  $SPX $SPY  ,0,1,1,4,7,24,0.04932177,0.041073963,0.90960425,Neu,0.008247808,callum_thomas
228,2021-03-13 20:18:02,"8. Stockmarket says *US* reopening is a dd.   as a side note, I would say UK is significantly underpriced here (both in terms of this chart but also the broader picture)  h/t  $SPX $SPY $EWU  ",1,1,1,8,11,92,0.05335441,0.8844295,0.06221611,Neg,-0.83107513,callum_thomas
231,2021-03-13 20:07:01,"4. Similarly, Hulbert Nasdaq Newsletter Sentiment took a sharp dive. Problem is: sentiment moves like this during corrections AND turning points.  This might not be *it*, but we are late in the cycle...  h/t  $NDX $SPX  ",1,1,1,1,15,42,0.016470164,0.9451123,0.03841748,Neg,-0.92864215,callum_thomas
240,2021-03-06 19:06:04,"7. Retail exposure fairly all-in also...  (albeit, still not at the very top of the range, so could argue there is room to move all-inner)   $SPX $SPY  ",0,1,1,0,9,28,0.38794196,0.041470677,0.5705874,Neu,0.34647128,callum_thomas
253,2021-02-27 18:58:04,"7. CS ""Bubble Index""   ...so you're saying it can go higher?  h/t  $SPX $SPY  ",0,1,1,6,23,82,0.14066094,0.021327643,0.8380114,Neu,0.1193333,callum_thomas
254,2021-02-27 18:50:00,5. Bearish breadth divergence (bit of a running feature): would we say this has been resolved now?  Might need to see 50dma breadth get a little more oversold first...  $SPX $SPY  ,1,1,1,1,11,60,0.07586749,0.58093655,0.34319592,Neg,-0.5050691,callum_thomas
257,2021-02-27 18:38:05,"2. In absolute terms, US equities are extreme expensive.  Up until the last couple of weeks they were cheap vs bonds.   That is starting to change: another 50-100bps up in UST yields will make them expensive on all angles:   $SPX $TNX  ",1,1,1,11,40,114,0.2708975,0.39902833,0.33007425,Neg,-0.12813082,callum_thomas
258,2021-02-27 18:33:05,"1. ""UST 10yr yield now above S&P500 dividend yield""  oh no, what ever will we do?  $SPX $TNX  ",0,1,1,14,65,191,0.0818015,0.038421698,0.8797768,Neu,0.0433798,callum_thomas
262,2021-02-20 20:21:03,"10. Old chart, but interesting to note performance of wine vs the S&P500 (would imagine wine would have caught a decent bid the last year or so too)  h/t  $SPX $SPY  ",1,1,1,5,12,50,0.8724641,0.024706038,0.102829784,Pos,0.84775805,callum_thomas
271,2021-02-13 19:14:02,"4. Another angle on US equity valuations: ""Price to Integrated Earnings"" ratio...  same conclusion, but somewhat different historical ranges than what you might be used to seeing.  h/t  $SPX $SPY  ",1,1,1,2,4,23,0.09280064,0.029128797,0.8780706,Neu,0.06367184,callum_thomas
277,2021-02-06 19:34:05,"7. ""Risk Control Funds"" i.e. funds that increase/decrease exposure to equities based on realized volatility: still lightly allocated vs history -- may be forced buyers in coming months...  h/t  $SPX $SPY  ",1,0,1,1,9,30,0.070068285,0.7128589,0.21707277,Neg,-0.6427906,callum_thomas
292,2021-01-30 19:39:04,"2. As previously highlighted, the bearish breadth divergence showed the market was technically ready for a selloff.  Starting to look oversold, but could go a little further...  $SPX $SPY  ",1,1,1,12,37,148,0.39308187,0.51735467,0.08956354,Neg,-0.12427279,callum_thomas
296,2021-01-23 20:26:03,"9. On valuation headwinds:  extrapolating past relationships suggests ""this decade into 2030 will produce a -4% p.a.""  h/t   $SPX $SPY  ",0,1,1,10,36,165,0.6114045,0.07192936,0.31666613,Pos,0.53947514,callum_thomas
300,2021-01-23 19:53:05,"1. Bearish breadth divergence.  Still not quite your textbook example, and again; these things can resolve to the upside.  But one to be mindful of...  $SPX $SPY  ",0,0,1,10,49,202,0.05171354,0.10719677,0.84108967,Neu,-0.05548323,callum_thomas
327,2020-12-29 23:32:05,Fans of the Weekly S&P500 ChartStorm might like this...   (thread)  The 10 Most Popular charts/tweets of 2020 from the weekly chart storms  *based on combined Likes+Retweets,1,1,1,1,3,18,0.07871075,0.014871238,0.906418,Neu,0.06383951,callum_thomas
345,2020-12-19 19:43:01,3. Full inclusion of Tesla will push valuations slightly higher.  h/t  $TSLA $SPX $SPY  ,0,0,1,2,6,31,0.94446725,0.019141227,0.03639159,Pos,0.925326,callum_thomas
346,2020-12-19 19:41:05,2. From Monday Tesla will be about 1.5% of the S&P500  h/t    $TSLA $SPX  ,0,1,1,5,15,43,0.04786617,0.015819015,0.93631476,Neu,0.032047153,callum_thomas
348,2020-12-19 19:36:05,"Weekly S&P500 ChartStorm time!  (I'm officially on vacation, but will never take a vacation from this!)  $SPX $SPY $ES_F $VIX $STUDY",0,1,1,1,1,13,0.07533598,0.029209828,0.8954542,Neu,0.04612615,callum_thomas
357,2020-12-12 20:50:01,3. Will Santa empty his sack on us?   h/t  $SPX $SPY  ,0,0,1,19,7,61,0.055630397,0.041301772,0.9030678,Neu,0.014328625,callum_thomas
362,2020-12-05 20:10:04,"9. Weird/wacky indicator...  S&P500 vs avg hourly wages  ""The average US worker must now work 141 hours to buy 1 share of S&P 500""  (was 20 hours backintheday)  h/t   $SPX $MACRO  ",1,0,1,16,56,188,0.13229357,0.5110732,0.35663328,Neg,-0.3787796,callum_thomas
