,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
46,2021-05-15 14:00:00,"The V-shaped recovery in corporate earnings is complete...  With 89% of companies reported, S&P 500 earnings will hit a new high in Q1, blowing past the prior high from Q3 2018. $SPX  ",1,1,1,12,98,357,0.9450861,0.029851144,0.025062645,Pos,0.915235,charliebilello
59,2021-05-04 14:43:02,Here are the top 30 stocks in the S&P 500 over the past 30 years. You'll never guess 1...  Data via   ,0,1,1,23,106,357,0.033255164,0.052227512,0.91451734,Neu,-0.018972348,charliebilello
91,2021-04-10 15:29:01,"Wall Street Week... S&P 500: All-Time High Dow: All-Time High Wilshire 5000: All-Time High Producer Prices: +4.2% YoY, highest in 10 yrs Fed Minutes: ""inflationary pressures remain subdued,"" must keep rates at 0% for a few more years to pump up asset prices & increase inflation.  ",0,1,1,6,44,114,0.83810943,0.03020337,0.13168724,Pos,0.8079061,charliebilello
117,2021-03-04 19:22:02,"S&P 500 is down 5.7% from its Feb 16 high, the 28th correction &gt; 5% since the March 2009 low.   Bearing the risk of short-term loss is the price of admission for long-term investors, without which there would be no reward.  Post:    ",0,1,1,11,103,311,0.00798941,0.9720038,0.020006802,Neg,-0.9640144,charliebilello
118,2021-03-01 20:10:03,Here are the top 30 stocks in the S&P 500 over the past 30 years. You'll never guess 1...  Data via   ,0,1,1,62,422,1819,0.033255164,0.052227512,0.91451734,Neu,-0.018972348,charliebilello
138,2021-02-02 22:16:02,"41% annualized revenue growth under Jeff Bezos since Amazon went public in 1997. One for the record books, will be hard for anyone to top.  $AMZN",1,0,1,4,79,335,0.08011601,0.031035189,0.8888488,Neu,0.049080823,charliebilello
154,2021-01-28 13:23:00,"The smallest company in the S&P 500 today is Xerox with a market cap of $4.1 billion.  A week ago GameStop had a market cap of $3 billion.  In pre-market trading this morning its market cap hit $35 billion, which would make it the 187th largest company in the S&P 500.  $GME",1,1,1,9,39,198,0.033080883,0.30801243,0.65890664,Neu,-0.27493155,charliebilello
193,2020-12-18 22:19:03,"When Tesla joins the S&P 500 next Monday it will have the 6th largest market cap ($642 billion), trailing only Apple/Microsoft/Amazon/Google/Facebook.  Its Net Income of $556 million will rank 319th.  Its Price to Sales Ratio of 24x will be 4th highest.  $TSLA  Chart via   ",0,1,1,24,115,390,0.19089396,0.011010111,0.798096,Neu,0.17988385,charliebilello
195,2020-12-12 03:41:04,"Yes, the denominator is depressed from the pandemic shutdowns and earnings are expected to recover and hit new highs in 2021.  But the S&P 500 is trading at 22x expected earnings for 2021, which would still be the highest year-end P/E multiple since 2001.",1,1,1,22,25,176,0.4881619,0.48195666,0.02988146,Pos,0.006205231,charliebilello
202,2020-12-03 16:32:05,"If Snowflake were in the S&P 500, it would rank 75th in terms of market cap at $93 billion today.   Its sales rank would be 500, lower than all existing companies in the index.  $SNOW",1,1,1,6,13,109,0.035029687,0.7681331,0.19683729,Neg,-0.7331034,charliebilello
