,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2021-02-16 21:10:01,"Gap down would not surprise me tomorrow, much needed sentiment check in to Opex especially with all this insane call buying…not gonna let em cash all those tickets. Big dog stocks looking a bit tired too $ES_F $AAPL $MSFT $AMZN $TSLA",1,1,1,1,0,15,0.091148585,0.640186,0.2686654,Neg,-0.54903746,chitownba
6,2020-02-27 21:10:03,"Who will be the hero buying on Friday tomorrow as Corona spreads to the USA over the weekend, the 409ks will need your patriotism! ES_F $SPY",0,1,1,2,0,3,0.24345894,0.009722669,0.7468184,Neu,0.23373628,chitownba
7,2020-02-26 22:22:01,ES_F if the 200dma $SPX is upon us then the 3040-50 zone will likely be of interest to many…will watch but be open to the idea my Monthly chart may be “in play” with the ~2983 zone shaking out early buyers. We’ll see...  ,1,1,1,1,1,3,0.22863002,0.018408695,0.75296134,Neu,0.21022132,chitownba
9,2020-02-04 02:23:05,   Not sure but I suspect Apple would not like to make that easy as Apple Music is a competitor.,0,1,1,0,0,1,0.07385931,0.03073381,0.8954069,Neu,0.043125503,chitownba
13,2020-01-14 18:23:04,"For the long term $ that likes to buy the 200DMA, $SPX is 10% above that right now…so if we do get a pullback of that magnitude, just some perspective. I’ve seen a number of compelling charts/data for the “overbought” argument. Would be normal and welcomed battleground.",1,1,1,0,0,2,0.31885204,0.020455739,0.6606923,Neu,0.2983963,chitownba
18,2018-12-19 23:26:02,"ES_F $SPX Monthly chart is downright ugly. Sure we will have huge rips higher but if you’re investing for the next 1-5 years better start paying attn. or have your $ with someone very nimble Thankfully everyone is in those cheap, liquid and super nimble ETFs (sarc).",0,1,1,1,0,12,0.042129144,0.35714075,0.6007302,Neu,-0.31501162,chitownba
24,2018-07-31 20:12:01, Think $AAPL has the cover of other FANGs to “disappoint” too some degree. $ Mgr’s prob need more excuses anyway to trim more from FAANGs. Expectations seem meh sentiment-wise but again heavy longs need an excuse to lighten so that could shift fast.,0,1,1,1,0,1,0.39711052,0.1153911,0.48749834,Neu,0.28171942,chitownba
27,2018-04-11 22:07:05,"  ton of products on there that have claims that would never fly at retail, lawyers would be all over the manufacturer to substantiate.",0,1,1,0,0,1,0.037217718,0.18098214,0.7818001,Neu,-0.14376442,chitownba
28,2018-04-11 19:58:01," Recapturing 2725+ would be the best outcome for longer term bulls imo. Until then, they are on the clock to support prices. $SPX",0,1,1,1,0,1,0.62693244,0.017083613,0.35598388,Pos,0.60984886,chitownba
30,2018-04-11 19:38:03,If Weekly/Monthly timeframe players in charge of Equities here which is very likely then zoom out to those Weekly charts and things don’t look so great for follow thru on cont’d strength. We shall find out soon enough. ES_F $SPY $QQQ $DIA,0,1,1,2,0,1,0.05071014,0.018833423,0.9304564,Neu,0.03187672,chitownba
