,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
16,2021-07-30 14:33:04,New for subscribers: Wall Street analysts think these Dow stocks can jump the most over the next 12 months. Check out  today.  ,0,1,1,8,4,15,0.117846474,0.019561257,0.8625923,Neu,0.09828521,cnbc
28,2021-07-30 00:59:00,"Here's how Zuckerberg thinks Facebook will profit by building a ""metaverse.""  explains.  ",0,1,1,2,1,11,0.06705162,0.016613029,0.9163354,Neu,0.05043859,cnbc
41,2021-07-29 14:56:03,Here's how Zuckerberg thinks Facebook will profit by building a 'metaverse'  ,0,1,1,3,10,28,0.19002697,0.009182406,0.80079067,Neu,0.18084456,cnbc
51,2021-07-28 21:33:00,Apple will require masks in many U.S. stores regardless of vaccination status  ,0,0,1,17,28,105,0.07134882,0.02977383,0.8988773,Neu,0.041574992,cnbc
61,2021-07-28 18:08:00,"Google postpones return-to-work until October, will require vaccinations  ",0,1,1,21,57,160,0.018133085,0.56275046,0.41911644,Neg,-0.54461735,cnbc
72,2021-07-28 14:37:00,New for subscribers: Here are three key factors to watch in Facebook’s earnings report that could propel the stock. Check out  today.  ,0,1,1,8,3,14,0.11960201,0.01990095,0.86049706,Neu,0.09970106,cnbc
80,2021-07-27 22:34:04,"Apple warns supply constraints will impact iPhone and iPad, shares fall   ",0,1,1,2,19,50,0.008376626,0.9624737,0.02914967,Neg,-0.9540971,cnbc
128,2021-07-22 12:55:00,"Apple's recent privacy changes likely won't affect Q2 earnings for Snap, Twitter, Facebook and other ad-supported companies  ",0,0,1,3,5,15,0.03244046,0.4044793,0.5630802,Neu,-0.37203884,cnbc
137,2021-07-21 16:13:03,New for subscribers: A key stat hidden in Verizon's report could spell good news for Apple. Check out  today.  ,1,0,1,0,4,13,0.30729708,0.019168165,0.67353475,Neu,0.2881289,cnbc
139,2021-07-21 14:32:01,Google Maps will show you how crowded your train is so you can avoid crowds on your commute  ,1,1,1,5,17,40,0.046814978,0.01794447,0.9352405,Neu,0.028870508,cnbc
159,2021-07-19 19:40:00,U.S. stocks fell aggressively Monday on concern a rebound in Covid-19 cases would slow global economic growth. The selling picked up as the session continued and the Dow Jones Industrial Average was currently headed for its biggest drop of the year.    ,1,0,1,203,38,98,0.017847061,0.96513623,0.017016692,Neg,-0.94728917,cnbc
165,2021-07-19 14:54:05,"Nike could run out of sneakers made in Vietnam as Covid crisis worsens, S&P Global warns  ",1,1,1,12,18,25,0.012849919,0.925579,0.061571002,Neg,-0.9127291,cnbc
167,2021-07-19 14:30:02,WATCH: Stocks slide on concerns that a rebound in Covid-19 cases could slow global economic growth. Watch the Dow trade live.  ,0,0,1,222,180,230,0.00937462,0.950793,0.03983238,Neg,-0.9414184,cnbc
174,2021-07-17 02:47:00,"The Amazon rainforest is now releasing more carbon than it can absorb, study finds  ",0,1,1,10,27,56,0.08990475,0.017942317,0.8921529,Neu,0.07196243,cnbc
191,2021-07-15 20:16:02,Google's iPhone app can delete the last 15 minutes of search history in just two taps — here's how  ,0,1,1,2,4,13,0.025262022,0.048491575,0.9262464,Neu,-0.023229552,cnbc
195,2021-07-15 16:17:00,"The Amazon rainforest is now releasing more carbon than it can absorb, study finds  ",0,1,1,16,25,60,0.08990475,0.017942317,0.8921529,Neu,0.07196243,cnbc
208,2021-07-14 23:46:04,"Delta, Apple, Best Buy are some stocks that will benefit from consumer spending rebound, Cramer says  ",0,1,1,2,9,27,0.9019004,0.01300822,0.08509138,Pos,0.8888922,cnbc
220,2021-07-14 12:25:05,"New for subscribers: JPMorgan adds Apple to its focus list, says stock can jump 20% by end of the year. Check out  today.  ",0,1,1,9,11,42,0.39956093,0.02394253,0.5764966,Neu,0.3756184,cnbc
239,2021-07-11 23:39:05,"Microsoft will give employees a $1,500 bonus for their efforts during the pandemic  ",0,0,1,19,23,124,0.5635356,0.042156156,0.3943083,Pos,0.5213794,cnbc
250,2021-07-09 17:41:00,IAC CEO says Apple is ‘worse’ than Google and will be next target in U.S. antitrust crackdown  ,0,1,1,11,13,41,0.0125544965,0.95448804,0.03295754,Neg,-0.9419335,cnbc
251,2021-07-09 14:54:05,"Microsoft will give employees a $1,500 bonus for their efforts during the pandemic  ",0,0,1,20,49,271,0.5635356,0.042156156,0.3943083,Pos,0.5213794,cnbc
255,2021-07-08 19:59:02,"Microsoft will give employees a $1,500 bonus for their efforts during the pandemic  ",0,0,1,21,37,133,0.5635356,0.042156156,0.3943083,Pos,0.5213794,cnbc
288,2021-07-06 14:34:00,"New for subscribers: Apple shares typically beat the market from July to September and will again, JPMorgan says. Check out  today.  ",0,1,1,4,2,19,0.15631768,0.02571168,0.81797063,Neu,0.130606,cnbc
295,2021-07-05 13:02:04,"Amazon gets a new leader today, but the company won't change much  ",0,1,1,10,18,60,0.17217004,0.01086692,0.816963,Neu,0.16130312,cnbc
298,2021-07-04 11:17:01,Microsoft and OpenAI have a new A.I. tool that will give coding suggestions to software developers.  reports.  ,0,1,1,3,7,38,0.08010206,0.010912995,0.9089849,Neu,0.06918907,cnbc
303,2021-07-02 18:39:00,Here's what you can expect from incoming Amazon CEO Andy Jassy —  explains.    ,0,1,1,1,4,15,0.043386515,0.024846928,0.93176657,Neu,0.018539587,cnbc
312,2021-07-02 03:45:00,Apple is going to build a huge new corporate campus in North Carolina —  has the details.   America's Top States for Business 2021 will be revealed on July 13.    ,1,1,1,2,3,27,0.036936827,0.017019514,0.94604367,Neu,0.019917313,cnbc
315,2021-07-01 18:50:00,Apple is going to build a huge new corporate campus in North Carolina —  has the details.   America's Top States for Business 2021 will be revealed on July 13.    ,1,1,1,2,9,22,0.036936827,0.017019514,0.94604367,Neu,0.019917313,cnbc
319,2021-07-01 00:50:00,Microsoft and OpenAI have a new A.I. tool that will give coding suggestions to software developers.  reports.  ,0,1,1,6,8,30,0.08010206,0.010912995,0.9089849,Neu,0.06918907,cnbc
342,2021-06-29 14:03:05,Microsoft and OpenAI have a new A.I. tool that will give coding suggestions to software developers  ,0,1,1,4,6,31,0.14327793,0.008802068,0.84792,Neu,0.13447586,cnbc
358,2021-06-28 17:17:02,New for subscribers: Goldman goes through second-half scenarios that could lead to a 17% S&P drop or continued rally. Check out  today.  ,1,1,1,9,4,12,0.013443139,0.9510417,0.035515223,Neg,-0.9375986,cnbc
374,2021-06-26 11:22:01,Google Earth can now show you how much the planet has changed in 37 years. Take a look.    ,1,1,1,39,196,653,0.060205817,0.016100667,0.92369354,Neu,0.04410515,cnbc
394,2021-06-24 16:43:03,Microsoft Windows 11 will support Android apps  ,0,0,1,3,28,78,0.09198839,0.010254506,0.89775705,Neu,0.08173388,cnbc
430,2021-06-22 16:17:05,Amazon Prime Day is on. These are the deals you can skip  ,0,1,1,2,3,21,0.03613847,0.024535116,0.93932647,Neu,0.011603355,cnbc
436,2021-06-22 02:30:01,Amazon Prime Day is on. These are the deals you can skip  ,0,1,1,13,10,31,0.03613847,0.024535116,0.93932647,Neu,0.011603355,cnbc
438,2021-06-22 00:19:03,Amazon Prime Day is on. These are the deals you can skip  ,0,1,1,1,6,17,0.03613847,0.024535116,0.93932647,Neu,0.011603355,cnbc
439,2021-06-21 23:52:00,"Will Amazon be able to deliver on its Prime Day promises? Follow the link to listen to CNBC’s ""Fast Money"" podcast. Listen to the  podcast here    ",0,1,1,5,4,11,0.10211627,0.011274238,0.8866095,Neu,0.09084203,cnbc
444,2021-06-21 19:37:05,An estimated 19% of Prime deliveries were late last month. How will delivery challenges impact this year’s Amazon Prime Day?  reports.    ,1,1,1,8,6,20,0.021679144,0.09020505,0.88811576,Neu,-0.06852591,cnbc
447,2021-06-21 16:23:00,Amazon Prime Day is on. These are the deals you can skip  ,0,1,1,18,6,33,0.03613847,0.024535116,0.93932647,Neu,0.011603355,cnbc
454,2021-06-21 14:35:02,Supply chain snafus could affect what's available to you on Amazon Prime Day  ,0,1,1,2,5,12,0.01207675,0.8505098,0.13741346,Neg,-0.8384331,cnbc
456,2021-06-21 13:55:03,"These Dow stocks could bounce after index's worst week since October, traders say (via   ",0,1,1,6,3,15,0.01892953,0.92418784,0.056882728,Neg,-0.9052583,cnbc
472,2021-06-20 13:43:00,Supply chain snafus could affect what's available to you on Amazon Prime Day  ,0,1,1,5,8,17,0.01207675,0.8505098,0.13741346,Neg,-0.8384331,cnbc
486,2021-06-19 13:24:04,Google Earth can now show you how much the planet has changed in 37 years. Take a look.    ,1,1,1,69,319,1170,0.060205817,0.016100667,0.92369354,Neu,0.04410515,cnbc
521,2021-06-16 23:29:03,Microsoft CEO Satya Nadella will also become chairman of the board  ,0,0,1,1,7,28,0.023689723,0.02576138,0.9505489,Neu,-0.0020716581,cnbc
526,2021-06-16 17:40:04,Apple CEO Tim Cook criticizes European law that would break App Store hold  ,0,1,1,7,6,18,0.011392706,0.9373275,0.05127978,Neg,-0.9259348,cnbc
