,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-28 20:35:00,Google is one of the first major Silicon Valley firms to say it will require employees to be vaccinated when they return to the company's campuses  ,1,1,1,167,552,4019,0.051117584,0.053887762,0.8949947,Neu,-0.002770178,cnnbrk
12,2021-06-07 11:57:05,"Jeff Bezos will fly on a rocket launched by his company Blue Origin in July, two weeks after he steps down as Amazon CEO  ",1,1,1,297,350,1701,0.02560091,0.033253133,0.94114596,Neu,-0.007652223,cnnbrk
14,2021-06-04 13:57:05,"Facebook plans to announce new rules for world leaders who use its platform, a source familiar with the plan tells CNN. The move could limit what politicians can get away with posting.   ",0,1,1,120,179,961,0.033057433,0.2225756,0.744367,Neu,-0.18951817,cnnbrk
16,2021-05-26 21:09:04,Amazon founder Jeff Bezos announced he will officially step down from his role as chief executive on July 5  ,1,0,1,203,463,1489,0.016870469,0.46884468,0.5142848,Neu,-0.4519742,cnnbrk
20,2021-05-05 14:08:02,"Facebook can continue to block former President Trump but must review the penalty, the company's independent Oversight Board ruled  ",1,0,1,366,286,2532,0.046069857,0.32995033,0.6239798,Neu,-0.28388047,cnnbrk
25,2021-02-23 05:56:05,Facebook says it will restore news pages in Australia after a breakthrough in talks with the government.  ,0,1,1,56,77,293,0.7036119,0.0307968,0.2655913,Pos,0.6728151,cnnbrk
26,2021-02-17 20:49:03,Facebook has announced that people and publishers in Australia cannot share and view news from local and international outlets. It is a response to proposed legislation in Australia that would force tech platforms to pay news publishers for content.  ,1,1,1,212,358,688,0.019844506,0.74819714,0.23195837,Neg,-0.7283526,cnnbrk
28,2021-02-02 21:20:00,"Amazon CEO Jeff Bezos is stepping down later this year, and will transition to the role of executive chair  ",0,1,1,190,622,1936,0.018789908,0.19216108,0.789049,Neu,-0.17337118,cnnbrk
40,2020-12-16 20:31:00,"Texas Attorney General Ken Paxton has announced that he will soon file a multistate antitrust lawsuit against Google and its advertising business, alleging that the company has stifled competition and enjoys ""monopolistic power""  ",1,1,1,177,110,548,0.015611002,0.92005146,0.06433754,Neg,-0.90444046,cnnbrk
55,2020-10-20 14:06:00,The Trump administration will sue Google in what is the largest antitrust case against a tech company in more than two decades  ,0,1,1,202,196,744,0.05189255,0.764747,0.18336047,Neg,-0.7128545,cnnbrk
57,2020-10-12 13:39:03,"Microsoft says it has taken down the servers behind Trickbot, an enormous malware network that it says could have indirectly affected election infrastructure  ",1,1,1,110,441,1620,0.009694198,0.9452138,0.045092013,Neg,-0.9355196,cnnbrk
58,2020-10-10 00:38:02,"A federal judge has ruled that Apple can continue to block the hit video game Fortnite from its app store as the iPhone maker defends a landmark antitrust lawsuit by the game's publisher, Epic Games  ",1,1,1,59,119,407,0.03479083,0.8919664,0.07324266,Neg,-0.8571756,cnnbrk
59,2020-10-07 23:03:05,"Facebook says it will remove content that urges Americans to report to the polls as unauthorized poll watchers if that content uses ""militarized language"" or when the intent is to intimidate voters  ",0,1,1,78,206,854,0.015183491,0.74682504,0.23799145,Neg,-0.73164153,cnnbrk
61,2020-10-06 22:42:05,"Facebook says it will ban any pages, groups and Instagram accounts representing the conspiracy theory QAnon from its platform  ",0,1,1,292,474,3337,0.017130971,0.61429673,0.36857224,Neg,-0.59716576,cnnbrk
