,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2021-08-05 00:54:04,"Enjoyed talking charts today with   with a deep dive on the ""stealth correction"" for $SPX and $NDX, continued breadth deterioration and why $AAPL may be the most important chart to watch.     ",1,1,1,1,3,9,0.08478471,0.2326204,0.6825949,Neu,-0.1478357,dkellercmt
2,2021-08-04 17:46:03,"The Bullish Percent Index is a market breadth indicator based on point & figure charts. Here we'll provide a quick primer on point & figure charts, and discuss what the weakening Bullish Percent Index suggests about deteriorating conditions for the $SPX.     ",1,1,1,2,6,16,0.045604326,0.08743557,0.8669601,Neu,-0.041831248,dkellercmt
3,2021-08-04 15:43:00,"$AAPL may have the most important chart to watch here.  Do we a) resolve this short-term pennant pattern to the upside, following through on the July breakout, or b) fail here pushing the stock back into the Feb-Jun range?  That may tell us all we need to know about $SPX.  ",0,1,1,4,11,48,0.16891673,0.05633093,0.7747524,Neu,0.1125858,dkellercmt
7,2021-08-02 16:38:04,"For yet another example of bullish trend exhaustion I present $PYPL failing at 310.  Charts like this (and $AAPL, $AMZN, etc) show a stalled uptrend... and could also signal an ""all clear"" with a return to new highs!  ",0,1,1,3,4,24,0.09409343,0.8683952,0.03751137,Neg,-0.77430177,dkellercmt
8,2021-07-30 16:50:00,"I have zero statistical rigor to back up this statement... but it sure feels like this is what a market top could look like from $AMZN's perspective.  In all seriousness, failed breakouts abound when buying power is near exhaustion.  ",1,1,1,14,8,66,0.08318054,0.18659437,0.7302251,Neu,-0.10341383,dkellercmt
10,2021-07-29 16:50:00,I can't be too bearish when the $SPX continues to make new all-time highs. I can't be too bullish when there are glaring divergences in breadth and momentum.  ,0,1,1,15,20,128,0.14725287,0.3433664,0.5093807,Neu,-0.19611354,dkellercmt
14,2021-07-27 15:43:00,"Charts like $AMZN with a big base breakout then retest of the breakout level are classic bull market breakout patterns, and should work..... but if charts like this fail to continue their breakout, and instead fall back into the previous range?  Bearish.  ",0,1,1,3,6,48,0.102132335,0.55510944,0.3427582,Neg,-0.45297712,dkellercmt
18,2021-07-23 15:43:00,"Here we'll consider four potential outcomes for $SPX 500 in the next six weeks: the bullish scenario, the rangebound scenario, the minor correction scenario and the dreaded doomsday scenario. Choose your own adventure!       ",0,0,1,13,12,53,0.040948853,0.033539508,0.92551166,Neu,0.0074093454,dkellercmt
25,2021-07-20 15:43:00,Market bouncing this morning but only one of the six FANMAG stocks trading above their open so far.  Take a step back and I see a key index that has failed to breakout.  Could be the chart to watch.  $FB $AMZN $NFLX $MSFT $AAPL $GOOG  ,1,1,1,1,3,17,0.11254231,0.19234303,0.6951147,Neu,-0.07980072,dkellercmt
28,2021-07-17 15:24:00,"As the $SPX and $NDX have pounded away at new all-time highs, investors are left to wonder when a correction may actually be coming. Here we discuss the three types of market corrections, and what a further pullback may look like!  $SPHB $SPLV    ",1,1,1,1,2,18,0.038895503,0.16364077,0.7974637,Neu,-0.124745265,dkellercmt
31,2021-07-15 15:43:00,"What does it mean that 91% of $SPX members are above their 200-day MA, but only 50% are above their 50-day MA?  For most stocks, the 200-day is still pretty far away.  $JPM is already 7% off ATH and would need to drop another 12% to hit the 200-day.  Long-term uptrend!  ",0,1,1,2,10,43,0.013123297,0.9461132,0.040763468,Neg,-0.93298995,dkellercmt
33,2021-07-14 16:21:03,Small over large?  Not since Q1.  Can the market continue higher without small caps?  Absolutely.  Would I feel more optimistic about materially higher $SPX if small caps participated?  Absolutely.  ,1,0,1,1,6,29,0.382897,0.020449521,0.5966535,Neu,0.36244747,dkellercmt
43,2021-07-02 16:50:00,If you're looking for bullish evidence (and I can't imagine you're struggling to do so) check out the offense/defense ratio within consumer.  Investors clearly leaning risk-on and it's not just $AMZN... $XLY $XLP $RCD $RHS  ,0,1,1,2,2,15,0.11333118,0.040434066,0.84623474,Neu,0.07289711,dkellercmt
46,2021-07-01 18:29:00,Struck this morning by the rotation in US vs. global stocks.  Underperformance of US on weaker dollar through year end 2020.  Then 2021 has been all about US outperformance and feels like the dollar may be just getting started? $DXY $USD $SPY $ACWI  ,1,1,1,0,2,19,0.090090916,0.7818987,0.12801044,Neg,-0.69180775,dkellercmt
