,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2021-06-22 15:01:01,  Not valuations..sanity! How anyone can tweet with a straight face that a tiny unprofitable company is the next $BRKA or $AMZN amazes me.,0,1,1,2,0,3,0.033609618,0.3083292,0.6580612,Neu,-0.27471957,footnoted
6,2021-05-20 18:57:01,"For those interested in seeing the S&P filing presentation I tweeted about yesterday, you can see if this link works (you probably have to register).  ",1,1,1,0,0,0,0.050778996,0.019487226,0.9297337,Neu,0.031291768,footnoted
10,2021-05-12 19:47:02,"    Didn't know that, but isn't that just annual? I think if you're selling a product to kids and there's a monthly fee, it shouldn't be automatic.",0,1,1,0,0,0,0.04620216,0.11151527,0.8422826,Neu,-0.06531311,footnoted
11,2021-05-12 19:44:02,"If  can send an email to remind me about my recurring subscriptions and whether I want to renew, why can't  Seems like a simple coding fix!",0,1,1,2,0,4,0.04108269,0.02940085,0.92951643,Neu,0.011681842,footnoted
15,2021-04-23 21:40:05,"Security costs for $GOOG CEO were $5.4m last year. That may seem like a lot, but $FB was about 5 times that for Zuck, just to put into perspective. fridaynightdump  ",1,0,1,0,4,8,0.035845432,0.037833612,0.92632097,Neu,-0.00198818,footnoted
18,2021-03-27 21:11:03,"On $MRK pay disparity, if a Dow 30 company can't provide pay parity for a top executive woman with 30 years of experience at the company, what hope do the rest of us have?",0,1,1,0,0,2,0.05850825,0.17721537,0.7642764,Neu,-0.11870712,footnoted
21,2021-01-11 21:37:02,$TWTR and $FB haven’t filed anything with the SEC since 11/2 and 10/30 respectively. Will be interesting to see if they wind up filing 8Ks about banning Trump.,1,1,1,2,6,21,0.036791064,0.04258082,0.92062813,Neu,-0.005789757,footnoted
22,2021-01-08 22:35:02," Just not understanding the disconnect. If things are really bad, it seems there’s additional steps that can be taken like closing malls and national chains that can withstand it more than mom and pop outlets. Apple closed its stores nearly 3 weeks ago. Why not others?",1,1,1,0,0,0,0.021481233,0.7268678,0.25165093,Neg,-0.7053866,footnoted
28,2020-10-24 03:34:02,"   They started doing this in 3Q19. As best I can tell, nobody picked up on this change since. Other companies submit scans to SEC, but the text is usually available elsewhere. As  pointed out earlier, $V also does this, but text is available on their site. SEC is aware.",1,1,1,1,1,2,0.022117712,0.03804367,0.93983865,Neu,-0.015925959,footnoted
29,2020-10-23 17:28:03,"  So I just went back and looked at Visa’s 3rdQ filing. While the SEC filing to EDGAR is a PPT scan that you can’t grab, you can get the disclosures by looking at the filings on their site.",1,1,1,0,0,1,0.032778136,0.04185522,0.92536664,Neu,-0.009077083,footnoted
