,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
12,2021-07-14 16:03:00,Facebook says FTC chair should step back from antitrust case  ,0,1,1,3,2,11,0.052880697,0.20011993,0.7469994,Neu,-0.14723924,ft
13,2021-07-14 15:31:04,"Fintech: Apple may squash the buy now, pay later party    | opinion",0,0,1,1,4,12,0.057102285,0.01589559,0.92700213,Neu,0.041206695,ft
20,2021-07-01 16:40:02,Amazon: Khan should probe conflict-prone marketplace    | opinion,0,0,1,2,5,18,0.17073971,0.014173795,0.81508654,Neu,0.15656592,ft
50,2021-05-26 18:50:02,Facebook/classified ads: EU must pick its battles carefully    | opinion,1,0,1,0,6,12,0.035372954,0.033110518,0.9315165,Neu,0.0022624359,ft
51,2021-05-26 16:32:04,Will MGM be Amazon’s ticket to Hollywood’s big leagues?  ,1,0,1,4,8,35,0.0817903,0.015123365,0.9030863,Neu,0.06666693,ft
53,2021-05-25 06:51:04,Epic vs Apple: what we learnt from the trial that could change the iPhone  ,0,1,1,2,14,48,0.19797152,0.010255463,0.791773,Neu,0.18771607,ft
68,2021-05-05 05:51:04,Facebook oversight board to announce decision on Trump ban  ,0,0,1,11,14,28,0.02314187,0.13167761,0.84518045,Neu,-0.108535744,ft
90,2021-04-19 22:52:01,Apple says Parler can return to App Store  ,0,1,1,4,12,22,0.052660037,0.014552561,0.9327875,Neu,0.038107477,ft
128,2021-03-05 22:13:00,"New UK fintech visa will struggle to attract specialists, experts warn  ",0,1,1,7,16,29,0.060769875,0.86466885,0.07456122,Neg,-0.803899,ft
139,2021-02-24 16:04:04,"After Google drama, Big Tech must fight against bias    | opinion",0,0,1,1,5,19,0.08863231,0.053644042,0.8577237,Neu,0.034988265,ft
167,2021-02-03 09:59:01,Amazon/Jeff Bezos: Jassy must offer even more of everything    | opinion,0,0,1,2,3,13,0.1456283,0.010202204,0.84416956,Neu,0.1354261,ft
197,2020-12-23 05:26:03,‘Regulation can get it wrong’: Google’s Sundar Pichai on AI and antitrust  ,1,0,1,5,13,37,0.04878782,0.093767956,0.85744417,Neu,-0.044980135,ft
218,2020-11-26 06:57:02,Why Slack might sell: Microsoft is running rampant  ,0,1,1,3,12,44,0.049773484,0.17160666,0.7786198,Neu,-0.121833175,ft
228,2020-11-16 09:02:02,Will 5G era make it third-time lucky for Microsoft in telecoms?  ,0,1,1,6,11,44,0.28940496,0.010180624,0.7004144,Neu,0.27922434,ft
260,2020-09-24 09:15:03,Facebook launches oversight board ahead of US election  ,0,1,1,2,8,27,0.029919468,0.047702245,0.9223783,Neu,-0.017782778,ft
285,2020-08-20 21:10:02,TikTok sale saga may play into Facebook’s hands  ,1,0,1,2,12,23,0.025382677,0.04549432,0.929123,Neu,-0.020111645,ft
