,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
29,2021-07-19 15:02:00,How many SPX /50 dma tweets will we see today?,0,0,1,0,1,30,0.02623874,0.035059426,0.93870187,Neu,-0.0088206865,hmeisler
31,2021-07-17 15:45:05,I should note that I took the S&P off the chart (to  make it cleaner) and forgot to adjust the scales so ignore the left scales),1,0,1,3,0,30,0.04116204,0.60064846,0.35818952,Neg,-0.55948645,hmeisler
36,2021-07-16 20:00:05,"SPX working on 2 straight red days, would be first in five weeks.",0,1,1,1,3,39,0.13751967,0.026436869,0.8360435,Neu,0.11108281,hmeisler
56,2021-07-13 14:34:02, wonder if you put IWM up there instead of SPY if you'd see a reaction,0,1,1,1,0,2,0.042012777,0.025519077,0.9324681,Neu,0.0164937,hmeisler
82,2021-07-01 20:18:03,So  stopped carrying the best plastic wrap ever. Sad. You can buy it from AMZN at 2x the price.  ,0,1,1,20,0,16,0.05506028,0.0150561845,0.92988354,Neu,0.040004093,hmeisler
92,2021-06-28 20:00:01,  I was told there would be no math on Twitter.,1,0,1,1,0,2,0.030534547,0.054609824,0.91485566,Neu,-0.024075277,hmeisler
127,2021-06-02 17:20:05,Why is it that everyone does that thing with ...if you had bought AMZN in 1998 it would be worth blah blah blah now but when it comes to AMC I see snark?,1,1,1,10,6,64,0.029873246,0.16678706,0.80333966,Neu,-0.1369138,hmeisler
132,2021-05-29 16:45:01, Google technical analysis trend lines. Maybe that will help,0,0,1,1,0,0,0.10226427,0.025419535,0.87231624,Neu,0.07684474,hmeisler
152,2021-05-19 12:39:00,Update on my Twitter Hack   These turds crossed over to FB. I have not looked at my FB account in yrs but they managed to find a nephew and attempted to scam him (they couldn't even spell my name correctly-morons)  Imagine putting these efforts to good use instead of this,1,1,1,8,0,82,0.045065455,0.3561118,0.5988228,Neu,-0.31104633,hmeisler
159,2021-05-14 15:25:03,I am stepping off the desk for a bit. It would be nice if you guys could get that SPX gap to fill in my absence. TYIA,0,1,1,7,2,92,0.060867835,0.052918583,0.8862136,Neu,0.007949252,hmeisler
171,2021-05-05 14:14:04," as  might say, just wait til the FB folks find out about this.",1,1,1,0,0,8,0.034385856,0.040256158,0.925358,Neu,-0.0058703013,hmeisler
181,2021-04-29 13:02:01,    you should be a boomer like me (or a faux boomer like  ) and use AAPL :),0,0,1,1,0,6,0.036948416,0.026477577,0.93657404,Neu,0.010470839,hmeisler
189,2021-04-26 18:40:03,"As long as it is 2:1, 4:1, 8:1 it would make my hand drawn chart happy. Doing TSLA or AAPL odd lot splits do not make me happy",1,1,1,4,0,25,0.032886114,0.052195143,0.9149187,Neu,-0.019309029,hmeisler
218,2021-04-09 19:43:05, They can give him a bottle like the AMZN drivers.,0,0,1,2,0,15,0.08473639,0.011891364,0.9033722,Neu,0.07284503,hmeisler
220,2021-04-07 22:38:02," well we would have to see the S&P gap down over 50 bucks, nearly 60 for that to happen so that would catch some attention if that happened!",1,1,1,0,0,2,0.014827931,0.9401503,0.045021724,Neg,-0.9253224,hmeisler
237,2021-03-31 15:38:02,Will there be SPX 4000 hats?,0,0,1,17,3,86,0.05126263,0.02041538,0.92832196,Neu,0.030847248,hmeisler
238,2021-03-31 15:32:03," Oh, can Mickey give me the jab?!",0,0,1,3,0,2,0.051676795,0.08939208,0.8589311,Neu,-0.037715286,hmeisler
259,2021-03-23 19:33:03, I can always cut and paste my charts. Have tape and scissors!,0,1,1,1,0,4,0.039569438,0.06583996,0.89459056,Neu,-0.026270524,hmeisler
267,2021-03-20 13:33:05, later today you will get a chart with the poll and the spx,0,0,1,1,1,16,0.030895345,0.022848625,0.94625604,Neu,0.00804672,hmeisler
293,2021-03-11 14:40:05,FINALLY!!!!  Also today folks will like FB again :),0,0,1,5,0,26,0.11604415,0.019293591,0.86466223,Neu,0.09675056,hmeisler
301,2021-03-10 12:41:05, 1) tell Warren 2) 1 for 8 should not mess my chart up so I thank them for this (AAPL went and did a stupid 7:1 instead of 8:1 which messed my chart up),1,1,1,0,0,2,0.16369358,0.48779985,0.3485065,Neg,-0.32410628,hmeisler
308,2021-03-08 18:48:02,Will Naz drag the SPX down with it?,0,0,1,57,6,123,0.021210255,0.72894734,0.24984239,Neg,-0.7077371,hmeisler
314,2021-03-06 12:17:00,SPY:QQQ. I can't  take my eyes off this one.  ,0,0,1,7,8,156,0.028782712,0.16117592,0.8100413,Neu,-0.13239321,hmeisler
318,2021-03-05 12:46:01, Should have said it all started to go bad when Chamath lost his shirt,1,0,1,0,0,19,0.02518134,0.8697769,0.105041735,Neg,-0.84459555,hmeisler
371,2021-02-14 17:30:03,As someone who likes to cook I must say I appreciate this type of stuff from Amazon. Don't even care that they get a commission; ATK has done the work/testing to reco something good. Their reco's are usually worth it.  ,1,1,1,9,0,57,0.1315173,0.014441383,0.8540413,Neu,0.11707592,hmeisler
377,2021-02-11 20:12:04,I'll even give you the narrative. As folks go farther out on the risk curve they stop buying indexes like SPY.  You are welcome.,0,1,1,17,26,163,0.086839154,0.021232663,0.8919282,Neu,0.06560649,hmeisler
380,2021-02-11 12:06:01,Wasn't it MSFT that showed an interest in YHOO about a decade ago?,1,0,1,2,0,21,0.047315553,0.016724534,0.9359599,Neu,0.030591018,hmeisler
390,2021-02-05 21:01:02,Maybe we should do a RUT poll on Saturday instead of SPX,0,0,1,3,0,33,0.036015384,0.049761932,0.91422266,Neu,-0.013746548,hmeisler
394,2021-02-02 21:30:00, I am not being annoying but I would suggest you google it. that would be a better explanation than i can give here.,0,1,1,0,0,1,0.07359013,0.041789114,0.8846207,Neu,0.031801015,hmeisler
399,2021-01-30 18:25:03,I won't  do the AMZN chart because it's pre-eps.,0,1,1,8,1,40,0.035077654,0.14714627,0.8177761,Neu,-0.112068616,hmeisler
