,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
23,2021-07-19 23:09:03,It’s Jeff Bezos and Blue Origin’s turn to head into space. The former $AMZN CEO takes flight on July 20. See how the upcoming  launch will shape space tourism efforts. WATCH here:    ,1,1,1,1,4,19,0.047171354,0.014566136,0.93826246,Neu,0.03260522,ibdinvestors
27,2021-07-09 15:30:00,Big tech companies $FB $AMZN $AAPL $GOOGL $MSFT & $TWTR are under fire for practices deemed anticompetitive.  updates us on the ongoing antitrust battle and how it could impact investors. WATCH here:    ,1,1,1,3,1,6,0.017441034,0.78601867,0.19654033,Neg,-0.76857764,ibdinvestors
28,2021-07-09 14:30:02,The billionaire space race has turned into a battle of egos as $SPCE's Richard Branson aims to beat $AMZN founder Jeff Bezos into space by 9 days. See how the upcoming  and  launches will shape space tourism efforts. WATCH here:    ,1,1,1,2,2,15,0.07811204,0.015541243,0.90634674,Neu,0.0625708,ibdinvestors
33,2021-07-04 00:05:00,"Tech trends have driven big gains this year, particularly for $GOOGL, $MSFT, $FB and $NVDA. But here are 3 events that could derail that tech train.  ",1,1,1,0,3,16,0.051860876,0.5705976,0.3775415,Neg,-0.5187367,ibdinvestors
44,2021-06-28 22:39:02,"Facebook won a round in court in two lawsuits alleging monopolistic practices. However, the court ruled the suits could be amended and return.  ",1,1,1,0,4,9,0.10090354,0.7126673,0.1864291,Neg,-0.6117637,ibdinvestors
47,2021-06-25 16:52:05,Richard Branson could beat Amazon and Blue Origin founder Jeff Bezos to space. $AMZN $SPCE  ,0,0,1,1,2,17,0.52735496,0.010176966,0.46246806,Pos,0.517178,ibdinvestors
48,2021-06-25 14:14:00,"Now that Microsoft joined Apple as a $2 trillion company, it's only natural to guess which company will be next. And the forecasts are clear. $MSFT $AAPL stocks  ",1,1,1,2,1,9,0.07280136,0.013603763,0.91359484,Neu,0.059197597,ibdinvestors
56,2021-06-17 20:04:04,"On this week's IWIBD podcast, Larry Cordisco of Osterweis Capital tells  why growth stocks could soon get their time in the sun again. As tech starts perking up, we discuss the long-term growth stories for $AMZN $AMD & $APTV.  WATCH here:    ",0,1,1,0,1,5,0.17458835,0.012358082,0.8130536,Neu,0.16223027,ibdinvestors
58,2021-06-15 15:02:00,This could be the next catalyst for Microsoft stock. $MSFT microsoft stocks  ,0,0,1,1,3,9,0.028704122,0.034443863,0.93685204,Neu,-0.005739741,ibdinvestors
60,2021-06-11 19:10:03,The Blue Origin flight will mark the first crewed flight of the New Shepard rocket. $AMZN $SPCE blueorigin  ,1,0,1,1,4,4,0.13431728,0.008669046,0.85701364,Neu,0.12564823,ibdinvestors
64,2021-06-09 16:09:00,These S&P 500 stocks are the big winners that analysts can get behind. stocks stockstowatch $TPR $AMAT $GNRC  ,0,1,1,0,4,8,0.08941111,0.025994347,0.8845945,Neu,0.063416764,ibdinvestors
100,2021-04-29 18:32:05,Warren Buffett will host Berkshire Hathaway's highly anticipated annual meeting this weekend. $BRKB warrenbuffett   ,1,0,1,1,1,10,0.03204341,0.023795784,0.94416076,Neu,0.008247625,ibdinvestors
