,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2021-07-21 02:32:02,$SPY closed -1.4% from her all-time high with immediate-term upside to new all-time highs (which I'll publish in the AM) TheGods  ,1,0,1,5,2,74,0.89243805,0.068074025,0.039487902,Pos,0.824364,keithmccullough
60,2021-04-08 12:54:03,My trade secrets will not be revealed publicly! Read the Risk Range product on $AAPL,1,0,1,3,1,23,0.026526725,0.027259257,0.94621396,Neu,-0.0007325318,keithmccullough
90,2021-03-03 00:31:05,"You should have paid attention to A) implied vol discounts in plenty, including $SPY and B) all of my SELL signals in the last 2 days on green",1,1,1,3,1,20,0.16232876,0.031193648,0.8064776,Neu,0.13113512,keithmccullough
94,2021-02-25 20:45:05,"You chirped, and you got chirped back. Watch the Macro Show and you'll learn why I'm out of $AAPL",1,1,1,5,0,26,0.051079776,0.07423009,0.8746901,Neu,-0.023150314,keithmccullough
120,2021-01-22 09:58:01,IMPLIED: vol on $SPY just went from +74% (when you should have been buying stocks last week) to +46% where you sell-some into the squeeze  ,1,1,1,1,4,39,0.32701406,0.16473536,0.50825053,Neu,0.1622787,keithmccullough
129,2021-01-06 23:36:04,TIMESTAMPED (video replay) Why This Market Can Keep Making All-Time Highs $SPY   via ,0,1,1,2,1,25,0.07622835,0.22663769,0.697134,Neu,-0.15040934,keithmccullough
136,2020-12-29 13:23:04,"That's all yesterday's news with $SPY and $QQQ ramping to all-time highs  I'll review what to do from here, LIVE on The Macro Show  9AM  ",0,1,1,1,0,24,0.08234129,0.031608783,0.88605,Neu,0.05073251,keithmccullough
159,2020-11-10 14:42:02,945AM yesterday you could have been the uninformed volume buying $SPY at 3624  Don't do that. PayAttention  ,1,1,1,3,0,18,0.02826972,0.1052067,0.8665235,Neu,-0.076936975,keithmccullough
161,2020-11-05 20:47:03,"As you know, the Risk Range targets are based on using an Instantaneous (Stochastic) Volatility process - top-end only 6 SPX points away from where I had it this AM. I'll sleep fine with that",1,1,1,1,0,7,0.05176222,0.030991692,0.9172461,Neu,0.020770527,keithmccullough
166,2020-10-30 09:17:00,"SPAIN: doesn't have the $AAPL bubble in its Index and can only go down so many days in a row, -0.1%",0,1,1,1,3,36,0.02003319,0.8978771,0.0820898,Neg,-0.8778439,keithmccullough
176,2020-09-30 12:50:00,Stevo  and his ESF boys doing all they can this morning to not have a gap down open in $SPY PaintTheTape,0,1,1,8,8,89,0.28186235,0.04028657,0.677851,Neu,0.24157578,keithmccullough
271,2020-05-27 12:43:05,Q: can a subscriber tell me when the last time was I shorted $SPY?,1,0,1,52,1,51,0.03243266,0.049561333,0.91800606,Neu,-0.017128672,keithmccullough
276,2020-05-19 15:33:00,"""Should people give their lives to increase the Dow by 1,000 points""   Stevo didn't like that Q",1,0,1,23,36,248,0.07234523,0.054308493,0.87334627,Neu,0.018036734,keithmccullough
280,2020-05-13 01:32:01,FACTS: you'll need to be up +18% and +36% (from here) to get back to break-even on being long the SP500 and Russell 2000 from their all-time bubble highs  ,0,1,1,2,5,48,0.9177081,0.036203142,0.04608868,Pos,0.88150495,keithmccullough
302,2020-04-28 21:37:03,"Thanks. My math was right on $SPY for the 2nd day in a row, but the crowd gets serious FOMO when they should be fading it",1,1,1,5,1,27,0.22784697,0.33994943,0.43220365,Neu,-0.112102464,keithmccullough
309,2020-04-25 14:54:02,Hope is not a risk management process. Apple will be firing many in the next 3-6 months,0,1,1,27,42,292,0.022603042,0.64927083,0.3281262,Neg,-0.6266678,keithmccullough
316,2020-04-16 20:54:03,"If Pump is on his game tonight, he can easily get $SPY up another 100 handles, from here",0,1,1,31,13,151,0.48697796,0.015198055,0.49782392,Neu,0.4717799,keithmccullough
327,2020-04-06 22:57:02,I said $SPX could go to 2660 today. Totally fd that up. It closed at 2663,1,1,1,30,11,248,0.16568178,0.23998435,0.5943338,Neu,-0.07430257,keithmccullough
329,2020-04-06 15:32:01,"If $SPY can't probe the top-end of the  Risk Range in the next 48 hours, that's just sad",0,1,1,11,5,94,0.03227361,0.22259739,0.745129,Neu,-0.19032378,keithmccullough
346,2020-03-23 16:03:04,SP500 loses -34% of its value during The Crash of 2020   *need to be up +52% (from here) to get back to breakeven,0,1,1,6,23,93,0.921769,0.031738274,0.046492692,Pos,0.89003074,keithmccullough
352,2020-03-18 16:53:03,"Bill, if $SPY drops another -0.5% they'll ""shut it down now""  You'll have another timeout   Then, as a capitalist, you have the opportunity to make the next decision ",0,1,1,17,7,73,0.057493933,0.1849554,0.7575507,Neu,-0.12746146,keithmccullough
386,2020-03-10 19:54:01,"Like I said on The Macro Show  $SPX should/could be +6.5% from yesterday's low, not 4.5%. Ramp the close boys!",1,0,1,1,1,16,0.15739962,0.36803406,0.47456637,Neu,-0.21063444,keithmccullough
402,2020-03-02 21:14:01,"Not that the Moving Monkeys would do the math, but today's probable Risk Range for the SP500 had -7.8% downside vs. +8.4% upside, so +4.6% wasn't much with realized vol trading where it is",1,1,1,3,11,65,0.07198402,0.31807843,0.60993755,Neu,-0.2460944,keithmccullough
410,2020-02-12 09:59:03,"Cool, we remain Long of $DISH &gt; Dish Network chairman Charlie Ergen may be planning to build wireless network with Amazon - NY Post",0,1,1,1,1,13,0.19580589,0.009043303,0.7951508,Neu,0.18676259,keithmccullough
411,2020-02-11 10:26:05,"Assets that he should be long (US Dollars, Treasuries, Gold, etc.) all went up with $SPY at all-time highs",1,0,1,0,0,7,0.8367186,0.025177,0.1381043,Pos,0.8115416,keithmccullough
423,2020-01-03 15:12:03,Important level here for The Machine on $SPY   Let's see if the bulls can hold support with their ISM narrative completely wrong,0,0,1,3,0,21,0.24403186,0.013517568,0.7424506,Neu,0.23051429,keithmccullough
426,2019-12-23 11:30:01,"OIL: corrects -0.2% after ramping to +9.6% for December-to-date, smashing $SPY at +2.6%   But the Old Wall and its media are not long of Oil or Energy Stocks ($XLE +4.2% December-to-date)  So you won't hear much about it",0,1,1,0,3,26,0.19685873,0.11573669,0.6874046,Neu,0.08112204,keithmccullough
439,2019-11-26 14:48:05,"One more gasp higher in $SPY should help me sell what I bought last week on green, cmon baby!",1,0,1,5,2,37,0.41521987,0.014391679,0.5703885,Neu,0.40082818,keithmccullough
441,2019-11-26 10:24:04,FX: USD Index unchanged after yesterday's StrongDollar move (which will continue to slow $SPY earnings in Q4),0,0,1,1,2,6,0.021685606,0.9604264,0.017887922,Neg,-0.9387408,keithmccullough
445,2019-11-18 09:56:02,"Should be good for new $SPY highs as US + Chinese growth continues to slow &gt; China, US had 'constructive' phone call on trade - Bloomberg  ",1,1,1,2,0,14,0.91684705,0.046602592,0.036550347,Pos,0.87024444,keithmccullough
450,2019-11-06 10:56:00,"No worries, the Dow will never correct or crash again",0,0,1,24,14,249,0.054157063,0.07489214,0.8709508,Neu,-0.020735078,keithmccullough
460,2019-10-29 14:26:03,"Team  can you publish my Early Look note from this morning for all of the OldWall to read. It's on me - ex-1 anonymous dude who is probably long $GOOGL (we were too!), clients loved the note",1,1,1,0,3,30,0.044916183,0.040671792,0.91441196,Neu,0.004244391,keithmccullough
473,2019-10-12 02:05:04,"We were long high beta growth (i.e. ""stocks"") from SEP 2016 to SEP 2018 - that's where all the money was made. Trump's Dow up nothing since vs. Gold, Treasuries, REITS, etc. up what he'd trumpet",1,1,1,4,1,20,0.1715339,0.031948745,0.7965173,Neu,0.13958515,keithmccullough
494,2019-08-29 12:27:04,"In today's Early Look: ""Got Month-End FOMO?"" ... Subscribe   I outline what I'll do if and when $SPY gets back to the top-end of the  Risk Range  ",0,1,1,2,1,6,0.045495357,0.029893512,0.9246111,Neu,0.015601845,keithmccullough
513,2019-07-30 23:27:04,"You can now get your ""asset allocation"" (to SPY), politicized voting advice, and amateur hour comedy all on one Twitter Stream ReformedRanting  ",1,0,1,12,7,74,0.04427012,0.019287944,0.936442,Neu,0.024982177,keithmccullough
523,2019-06-18 20:59:00,Top end of today's  Risk Range for $SPX was 2919 timestamped   Tomorrow morning's range will reset after I model in tonight's implied vol data   Don't chase. Process trumps emotion  ,1,1,1,3,5,41,0.044200335,0.12434284,0.83145684,Neu,-0.0801425,keithmccullough
530,2019-06-05 00:14:05,SP500: today's move changes nothing in terms of the intermediate-term TREND   Tomorrow will be the 1st day in 4 where there's more immediate-term downside in my $SPY Risk Range vs upside   = 2729 (-2.6% downside) - 2835 (+1.1% upside),0,1,1,6,14,98,0.105069324,0.5953141,0.29961666,Neg,-0.49024475,keithmccullough
537,2019-05-28 17:51:02,"He likes ""signals"" so he should have sold $AAPL when my signal went Bearish  TREND",1,1,1,6,6,41,0.08034993,0.06361095,0.8560391,Neu,0.016738981,keithmccullough
549,2019-04-01 15:07:02,Btw you could have (should have in Real-Time Alerts) covered all of your shorts only 1 week ago today on the $SPY oversold signal,1,0,1,0,0,7,0.30015332,0.46420768,0.23563899,Neg,-0.16405436,keithmccullough
568,2019-02-01 10:05:04,$SPY will start FEB 2019 with an implied volatility DISCOUNT of -45% vs. 30-day realized complacency101,1,0,1,3,5,34,0.36301154,0.018477555,0.61851084,Neu,0.34453398,keithmccullough
572,2019-01-31 12:19:00,"In today's Early Look ""More Fed Cowbell"" I explain the long Gold and Treasuries vs. Short $SPY position and why I'll continue to gross it up as the US Economy slows",0,1,1,4,12,78,0.098280504,0.07753163,0.8241879,Neu,0.020748876,keithmccullough
573,2019-01-17 19:44:01,"must chase charts &gt; US weighing lifting China trade tariffs, though USTR Lighthizer resisting easing tariffs- Dow Jones",0,1,1,2,1,7,0.85872483,0.050096594,0.09117853,Pos,0.80862826,keithmccullough
587,2019-01-03 12:28:03,"In today's Early Look ""i-GuideLower vs, CyclicalPeaks"" (subscribe)...   I review why we made the Cycle Peak call in US Corporate Profits back in September...   And why $AAPL will be one of many companies perpetuating both multiple compression and credit spreads blowing out",1,1,1,2,3,21,0.058949642,0.12847444,0.81257594,Neu,-0.0695248,keithmccullough
591,2019-01-03 00:34:03,$AAPL remains Bearish TREND  - I'll have levels refreshed in our Risk Ranges product tomorrow morning,1,1,1,6,4,51,0.34785497,0.02407932,0.62806576,Neu,0.32377565,keithmccullough
623,2018-11-20 15:40:03,$SPX tested making a lower-low (where we sent out cover signals in Real-Time Alerts)   Recovering that prior closing low of 2641 should get some to chase this intraday bounce   I need one to sell into again,1,1,1,3,1,13,0.4226894,0.2737958,0.3035148,Pos,0.1488936,keithmccullough
624,2018-11-20 14:56:05,"When I said $SPY could easily drop another 5-7% from where I tweeted it... it didn't happen in a day, but it is happening quickly   Risk happens slowly, then all at once",1,1,1,2,1,49,0.03100817,0.8489055,0.12008633,Neg,-0.8178973,keithmccullough
625,2018-11-15 13:59:02,"""I can't help but get excited about Apple $AAPL"" -Old Wall Technician  After not getting you out of $AAPL like we did ... and we're not buyers here either",1,1,1,4,1,17,0.21598893,0.022423074,0.76158804,Neu,0.19356586,keithmccullough
636,2018-10-18 19:26:01,"At least if $SPX recaptures their beloved 200-day Moving Monkey, we'll know they'll start buying from us again OldWall",0,1,1,1,2,6,0.6020511,0.016585136,0.38136378,Pos,0.58546597,keithmccullough
639,2018-10-11 00:11:05,"SP500: here's what your Risk Manager should have proactively prepared you for, prior to today  A) Get out of Tech -7.7% MTD B) Get into Utes +2.6% MTD  ",1,1,1,3,12,39,0.102565475,0.012903462,0.8845311,Neu,0.089662015,keithmccullough
668,2018-06-21 23:24:02,Can Amazon Save Nike?   via ,0,0,1,0,1,4,0.10297018,0.011187991,0.8858418,Neu,0.09178219,keithmccullough
