,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
8,2021-07-28 16:30:02, I'd like that. Holding $FB.,0,1,1,0,0,1,0.06992913,0.0143840825,0.9156867,Neu,0.055545047,lmt978
15,2021-07-24 17:21:03,"The price on the screen is the price - that's reality. Whether anyone agrees with the price or not, or thinks it's justified or not, it doesn't need any more confirmation that what it is. We can either trade with the tape, or justify trying to fight it. $SPX $QQQ  ",0,1,1,3,3,57,0.03684072,0.028100716,0.9350586,Neu,0.008740002,lmt978
18,2021-07-23 19:31:01,"$NFLX stuck in a 12 month range and slowing growth - too many strong breakout names in $FB $ROKU $SHOP $NVDA to get locked into a flat range. If/when it starts to breakout, a simple breakout screener will pick it up.  ",1,1,1,5,6,74,0.052306186,0.45855275,0.48914108,Neu,-0.40624657,lmt978
28,2021-07-20 16:30:00,"Decent recovery move so far, will see if they can carry it into the close. $SPX $QQQ",0,0,1,0,0,7,0.50142694,0.022960402,0.47561273,Pos,0.47846654,lmt978
30,2021-07-15 00:41:03,"When I get into stocks that can go +50% to 200% $TSLA $FCX $NVDA $ROKU $SE $MT $SQ in the last 12 months, I set the stop & position size based on volatility, I'm not looking for 5% wins and I'm not going to flip uber bull/bear based on what SPX does that day.",1,1,1,6,1,46,0.051382005,0.0482864,0.90033156,Neu,0.0030956045,lmt978
34,2021-07-13 18:08:05,"I expected that $QQQ could underperform and that bond yields would go up - neither played out. I don't get locked into views and always defer to the chart. I took a small loss in $TBT, higher, and added $NVDA $FB $CRWD $SE etc. along the way. Charts &gt; opinions.",1,1,1,5,4,45,0.1018293,0.22246048,0.6757102,Neu,-0.12063118,lmt978
42,2021-07-08 16:00:03,"Market pullbacks are a common occurrence, and we can control the risk through stop placement, position sizing and managing cash balances. Any time a stop gets hit, I see it as a chance to upgrade to a better technical opportunity. $SPX $QQQ",1,1,1,3,6,58,0.33771318,0.019378198,0.64290863,Neu,0.318335,lmt978
47,2021-07-04 02:59:04,"  I agree, to a degree. In 2011-2014, WTI traded between 75 to 115 and $SPX went much higher. Each market is unique, consumers can't really hedge, corporations can, but I agree it doesn't seem like it would be a positive.",1,1,1,0,0,1,0.1600273,0.02699294,0.81297976,Neu,0.13303435,lmt978
68,2021-06-04 14:12:01,"Solid NFP - good, but not too good. $TNX backing off early at 1.604 and seems to keep the Fed on hold. $SPX $NDX ticking up - a strong close would help.",0,1,1,0,2,21,0.87109035,0.08043164,0.048478093,Pos,0.7906587,lmt978
71,2021-06-02 16:51:02,"Markets are trending higher & stocks are breaking out in many sectors. A good reminder that $SPX is down 48% of the time, so there will be pullback days as well. Understanding this makes it much easier to hold through pullbacks & drawdowns w/o getting shaken out on the red days.",1,1,1,0,4,37,0.11509959,0.79432636,0.09057409,Neg,-0.67922676,lmt978
73,2021-05-29 14:45:00,"$XME, while not one of the 11 SPX sectors (it is included in $XLB) is leading all of them, at +39.00% YTD.   Commodity based stocks, (energy, steel, copper, metals, ag, etc.), when they hit their cycle (there now), can produce major moves.  ",1,1,1,0,4,35,0.19093116,0.016296582,0.7927723,Neu,0.17463458,lmt978
77,2021-05-27 16:43:03,"$SPX testing over 4200, a close above would help - alot of clean upper right hand corner breakouts under way as well.  ",0,1,1,1,3,23,0.9196353,0.021329522,0.05903518,Pos,0.8983058,lmt978
84,2021-05-24 16:22:03,"Tech/growth stocks aren't going way, but I think the market will still sort through the growth stocks that are highly profitable & trade near market valuations or in line w/ their growth as opposed to those that aren't profitable yet and trade at 25-30x sales +.  $SPX $QQQ $SMH",1,1,1,3,9,49,0.19777867,0.025749853,0.7764715,Neu,0.17202882,lmt978
85,2021-05-24 16:18:04,"$FB leading early, after a few 50-sma tests - a recent new buy for me and our Chart of the Week 8 days ago. A few of the FANNGM names fit into the GARP model that I continue to think will do well in Q2/Q3.  ",0,1,1,1,2,14,0.8489716,0.009004898,0.14202346,Pos,0.8399667,lmt978
88,2021-05-22 22:09:05,"$ARKK topped on 2/16. 10-year UST $TNX broke out on 2/16 and went from 1.20 to 1.76 in 5 weeks.  History shows that $SPX can go up if $TNX goes up, but the higher valuation stocks & stocks with no earnings will need bond yields to stay in check.  ",1,1,1,0,5,43,0.87890005,0.063154764,0.0579452,Pos,0.8157453,lmt978
89,2021-05-22 21:59:00,"$FB +15% ytd vs $QQQ +4% ytd. uptrend made $33B last 12mo.  trades @ 9x sales, 20x E  grew revs at 47%  $U -39% ytd downtrend lost $353M last 12 mo.  trades @ 29x sales, no E  grew revs at 41%  $U could put in a low, &gt; support & after a 56% DD, but the s tell the story so far.  ",1,1,1,3,1,25,0.16797562,0.23190373,0.60012066,Neu,-0.06392811,lmt978
92,2021-05-20 20:24:05," Agreed Mark, sellers had a big window to take $SPX $QQQ down yesterday and couldn't keep it down.",1,0,1,0,0,9,0.12633614,0.5010756,0.3725882,Neg,-0.37473947,lmt978
93,2021-05-20 14:24:03,"Sellers have had some big opportunities to take $SPX down over the last 2 weeks - big miss on the Jobs report, upside surprise in inflation & crypto 30% unwind yesterday. $SPX is currently 2.9% off all time highs & trending over the 50-sma. If &gt; 4200, could signal more upside.  ",1,1,1,3,2,49,0.046126436,0.92686486,0.02700875,Neg,-0.88073844,lmt978
