,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
7,2020-08-07 16:38:03,Episode 3 of This Week in Intelligent Investing is out!  talks COVID losses and Berkshire's Q2 earnings.  reflects on Apple's stock split and what it means for corporate governance. Missed  who will be back next week.  ,1,1,1,1,5,19,0.026186295,0.08895561,0.88485813,Neu,-0.062769316,manualofideas
13,2020-05-28 19:56:02," One way of looking at it: $AAPL share price is an exchange ratio vs. USD, similar to a for-stock merger. The ""number of shares out"" of USD has gone up since Feb 12, so the exchange ratio needs to be adjusted accordingly. Without this adjustment, $AAPL would be quoted far lower.",1,1,1,1,0,2,0.10418025,0.13544759,0.76037216,Neu,-0.031267345,manualofideas
14,2020-05-09 14:45:05,"Generally speaking, everyone felt fine with the S&P 500 at 2,000 in 2016. Yet, if the S&P dropped to 2,000 now, people would feel like the world was ending.",1,1,1,2,0,18,0.013782414,0.9284464,0.057771128,Neg,-0.914664,manualofideas
19,2020-05-01 14:38:00,"If you'll be tweeting during the Berkshire Hathaway annual meeting, reply here so MOI Global members can follow you and share their own thoughts.  Anything in particular you'll be listening for tomorrow?  The livestream starts at 4pm ET  ",0,1,1,8,3,23,0.019794852,0.03692706,0.9432781,Neu,-0.017132208,manualofideas
21,2020-04-15 14:10:02,"We've had a ""Fed put"". Do we now also have a ""Fed call""? In other words, if the S&P goes back above 3,000, will the Fed ""call away"" further upside by trying to unwind the stimulus?",1,1,1,1,0,2,0.04327039,0.3285834,0.62814623,Neu,-0.285313,manualofideas
25,2020-03-03 06:36:02,"5/ Today's activists are not too dissimilar from Tesla shorts. Yes, $TSLA may not be worth its market quotation, but it would never have amounted to *anything* in the hands of activists. Back in the day at $AAPL, today's activists might have replaced Steve Jobs with John Sculley.",1,1,1,2,0,2,0.03242912,0.33461222,0.63295865,Neu,-0.3021831,manualofideas
26,2020-03-03 06:36:02,"4/ The problem is that activists are working with too much capital, and they think they know better than the likes of  This is a loser's mindset. It's like thinking you can figure out how to make Sears competitive versus Amazon. Good luck.",0,1,1,1,0,2,0.07197599,0.027406551,0.9006175,Neu,0.04456944,manualofideas
30,2019-04-30 23:00:02,"Anything can happen, but it seems like Apple prefers to make money, not burn it.",0,1,1,0,0,11,0.03343804,0.029551001,0.9370109,Neu,0.0038870405,manualofideas
31,2019-03-06 00:13:04,"Google pricing power: “We’re writing to remind you that on April 2, 2019, the list price of G Suite Basic edition will increase from $5 USD to $6 USD per user per month, and the list price of G Suite Business edition will increase from $10 USD to $12 USD per user per month...”",0,1,1,3,13,60,0.8791547,0.009755026,0.11109036,Pos,0.86939967,manualofideas
35,2018-10-16 04:06:03,Sears needed *much* more innovation than the “Shop Your Way” membership initiative would ever deliver. It smelled like hubris for Sears to believe it could take on Amazon in this way.,1,0,1,0,0,4,0.05042883,0.15055455,0.79901665,Neu,-0.10012572,manualofideas
