,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2021-06-18 03:36:01, China has begun to withdraw their massive credit impulse from last year and is triggering cascade of liquidations that will eventually reach $SPX…   * do I get the bonus points? 😉,1,1,1,7,5,76,0.04783529,0.47360346,0.47856122,Neu,-0.42576817,markyusko
2,2021-05-20 20:38:05,"     Majority of dollars have trace levels of cocaine on them, so clearly we should all stop using Fiat... 🤦🏻‍♂️",0,1,1,0,0,1,0.033061918,0.25441596,0.71252215,Neu,-0.22135404,markyusko
8,2020-11-05 22:39:02,   Still 🦗 🦗  on our MCDABitcoinChallenge   There has to be someone who will take $SPX against $BTC for the coming decade...   AnyoneAnyone 😉,0,1,1,0,0,0,0.09054681,0.025760029,0.8836932,Neu,0.06478678,markyusko
14,2020-05-29 15:09:05,MathIsHard  $SPX EPS in 2020 will be lucky to be triple digits...,0,0,1,2,0,7,0.4324306,0.01828721,0.54928225,Neu,0.41414338,markyusko
20,2020-05-15 02:00:01,"Given all the excitement about bounce in stocks courtesy of the massive Fed stimulus, thought we should check the scoreboard to see which assets were actually doing the best:  Since 3/23 $SPX +27% $GLD +11% $BTC +64%  CYTD $SPY (12%) $GLD +14% $BTC +48%  FiatFiasco HardMoney  ",1,1,1,15,33,114,0.12141113,0.019621259,0.8589676,Neu,0.10178987,markyusko
26,2020-04-07 22:49:02,                  Thanks JD! Appreciate being included in the terrific group. Hope we can connect soon when lockdown lifts. Be well my friend.,1,1,1,0,0,1,0.69581145,0.013296673,0.29089195,Pos,0.6825148,markyusko
27,2020-03-21 14:02:03,"    The deeper the crash, the better the compound returns will be going forward (just math), the real problem was we were starting from valuations in Feb that would produce meaningful negative returns for a decade. $SPX is still well above fair value and expected returns still low 7/",1,1,1,2,0,6,0.018535687,0.9505661,0.030898197,Neg,-0.93203044,markyusko
28,2020-03-21 13:59:02,"    All that said, there are places to find value & some of greatest value managers will produce outstanding returns in coming decade, just like they did from 2000-2010 when they compounded at 17% vs. $SPX at (1.9%)  Where Pomp & I agree completely is on long-term recovery returns 6/",1,1,1,1,0,7,0.7277406,0.022649137,0.2496103,Pos,0.7050915,markyusko
31,2020-03-16 20:32:02, 85% of options expire worthless...  GreenspanPut expired worthless in 2000 and $SPX fell (40%)  BernankePut expired worthless in 2008 and $SPX fell (58%)  YellenPowellPut is expiring worthless today and $SPX will likely fall more than last two...  NewtonWasRight,1,1,1,2,8,34,0.010232679,0.9609701,0.028797206,Neg,-0.9507374,markyusko
33,2020-03-13 14:00:03,And... $SPX would have been down much more if not for Fed intervention to bailout two huge hedge funds that were going into liquidation mode...  Bitcoin is the one true FreeMarket 💪🏼🚀,1,1,1,3,6,23,0.04411987,0.63771296,0.31816718,Neg,-0.59359306,markyusko
35,2020-03-13 02:23:05," They’ll pull out bazooka at 10:00, $SPX will rally until 11:30, but PPT will then be swamped by fund liquidations and deleveraging that will be met with buybacks from 2:00 to 3:00 pausing drop and then big Distribution at 3:30 when SmartMoney sells... but don’t feel strongly 😉",1,1,1,4,2,27,0.047404103,0.64283615,0.30975977,Neg,-0.59543204,markyusko
39,2020-02-29 03:52:01,People always buy what they wish they would have bought ($SPX) and sell that they are about to need (HedgeFunds)  Near record flows in/out of stocks/HFS around end of 2019...,1,1,1,2,1,12,0.09356721,0.0698606,0.8365722,Neu,0.023706608,markyusko
41,2020-02-28 14:16:00,"To this point, PPT will attempt to rally $SPX sometime between 10:00 and 11:30 EST today...   if they are unsuccessful, it could get very ugly, very quickly...",0,1,1,5,4,24,0.05422008,0.7668382,0.17894171,Neg,-0.7126181,markyusko
44,2020-02-21 02:28:00,On 12/7/18 went on   and issued MCCryptoChallenge saying MorganCreekDigital would take Bitcoin vs. anyone who wanted to take $SPX over next decade in $1MM charity bet No one stepped up...  StillNoTakers*  *Lucky for Bithaters since $BTC up 180% since then 😉  ,1,1,1,5,12,74,0.8331638,0.014305077,0.15253118,Pos,0.81885874,markyusko
48,2020-02-15 23:48:01,GreenspanPut eventually expired worthless and $SPX crashed...  BernankePut eventually expired worthless and $SPX crashed...  PowellPut will eventually expire worthless and $SPX will crash...  Do you really want to be All In $SPX now..? 🤔,1,1,1,8,11,71,0.034439217,0.3947445,0.5708162,Neu,-0.36030528,markyusko
