,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
9,2020-08-04 20:39:00,"   i don't understand these claims at all, why not just let tiktok's owners sell it to whatever american company they want, at auction, for whatever value they can obtain? why is there an assumption that msft gets it for cheap?",0,1,1,1,0,1,0.037621487,0.09739819,0.86498034,Neu,-0.059776705,matt_levine
10,2020-07-31 18:11:04, sure but why would *apple* care,0,0,1,1,0,0,0.04748015,0.059260633,0.8932592,Neu,-0.011780482,matt_levine
11,2020-07-24 11:46:03,more spy movies should feature automatic phone software updates    ,0,0,1,0,18,109,0.0734028,0.010871873,0.9157253,Neu,0.06253093,matt_levine
17,2019-09-16 17:30:00,"  it's immediately the best social network, facebook will be copying it by friday",0,1,1,0,0,6,0.15590338,0.010857163,0.83323944,Neu,0.14504622,matt_levine
21,2019-06-22 21:17:04,"  like in a direct listing, there is no ""IPO price,"" there is only the opening price on the exchange, and early investors can sell then. with Google, as with every IPO, there was an IPO price, and then the next day there was an entirely separate opening auction.",1,1,1,0,0,1,0.023426132,0.04768077,0.9288931,Neu,-0.024254637,matt_levine
22,2019-06-22 21:15:04,"  you can certainly do an IPO and price the stock with some sort of explicit auction, as Google did. but you pay fees and build a book etc. etc. etc., it's not the same as Slack/Spotify at all.",1,1,1,1,0,0,0.04207039,0.028594857,0.9293348,Neu,0.013475532,matt_levine
24,2019-01-31 19:37:02,i assume that this sort of naming emerges unconsciously from a bunch of committee meetings but i would like to believe that facebook has a Chief of Dystopian Terminology who lovingly crafts them all herself,0,1,1,3,18,147,0.0367708,0.027403135,0.93582606,Neu,0.009367663,matt_levine
28,2019-01-03 14:05:03,"  yeah but if you took out an ad in the paper to be like ""google is a big deal"" you would not be wrong, it's a big deal!",1,1,1,0,0,1,0.054487675,0.030498834,0.91501355,Neu,0.023988841,matt_levine
30,2018-11-15 20:23:04,like why would you go on facebook now if you're not a russian bot?,0,1,1,12,11,74,0.0293688,0.14706379,0.8235674,Neu,-0.11769499,matt_levine
31,2018-11-15 20:23:01,"this sort of seems like a ... correct diagnosis, no? like a gresham's law of social networks, the less normal people trust facebook the crazier it will get?  ",0,1,1,5,41,188,0.032495543,0.26567966,0.7018248,Neu,-0.23318411,matt_levine
32,2018-11-05 20:45:01," like it's not like bankers will say no. (they said yes to spotify which was waaaaay weirder than google!) it's more like everything's a bit untested and complicated, and you have to be willing to work through that. google and spotify were, but many new public companies aren't.",1,1,1,2,0,1,0.050208244,0.07466493,0.87512684,Neu,-0.024456684,matt_levine
38,2018-08-21 16:49:01,"   like it's all well and good to say ""google will charge users and media will be a state-owned trust"" (?!?!?) but where does that leave telling people about new things?",0,1,1,0,0,0,0.02952814,0.06744152,0.90303034,Neu,-0.037913382,matt_levine
39,2018-08-21 16:39:02,"  like i agree that google is excellent for questions like ""which robot vacuum should i buy,"" but it is less good for informing you that robot vacuums exist.",0,1,1,1,0,1,0.07228088,0.032448288,0.8952708,Neu,0.03983259,matt_levine
40,2018-08-21 16:28:00," later on he's like ""well google could charge you""",0,1,1,2,0,8,0.060818266,0.028079618,0.91110206,Neu,0.03273865,matt_levine
43,2018-06-05 19:51:03," ""if you turned bezos's amzn stake into five-dollar footlongs and laid them end to end, they would be the length of 10 million Titanics"" or something really dumb",1,1,1,0,0,1,0.025985265,0.07203589,0.90197885,Neu,-0.046050623,matt_levine
