,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
15,2021-07-08 19:30:02,"For years we've talked about the folly of directly attacking FANG, you're not going to buy more planes than Amazon. So is a last mile network a way to build up an infrastructure that can disrupt Amazon?    ",1,1,1,3,2,24,0.047426865,0.059258733,0.89331436,Neu,-0.011831868,modestproposal1
23,2021-07-08 18:59:01,Amazon Unbound is obviously a must read. So many different topics are touched on consistent with Amazon’s sprawling nature. But feels appropriate given today’s news to dive in today on one very important for the future: grocery and last mile. This will be long and meandering…,1,1,1,9,34,281,0.045283943,0.021698443,0.93301755,Neu,0.0235855,modestproposal1
25,2021-07-08 15:35:04," One man's monopoly is another man's greatest business ever invented, but this is as clear as it gets:  ""I wanted to see if we could get traction in a country launch without using Google"" Wilke later said ""and it turned out the answer was no.. We weren't reaching enough customers""  ",1,1,1,3,5,36,0.09930807,0.032920584,0.86777127,Neu,0.06638749,modestproposal1
26,2021-07-06 19:53:04,"it would obviously be value creating, and AWS would operationally benefit from whole industries like retail being back in play for them, but the remaining Amazon would still be under the antitrust gun IMO",0,1,1,3,2,30,0.2771178,0.007527906,0.7153543,Neu,0.26958987,modestproposal1
30,2021-06-28 20:40:02,"My read is Judge left open PSN could be a market, that FB could be a monopolist within it, and that FB could be forced to unwind the FB and WA acquisitions, but the FCC case was such garbage and lacking in facts that they threw out this complaint and said try again if you want.",1,1,1,4,2,43,0.01599082,0.7298794,0.25412977,Neg,-0.7138886,modestproposal1
32,2021-06-22 23:23:02,"   Decline in expectations was boomers coming to Jesus, tho Matt you pointed out that should still have signal value",1,1,1,1,0,2,0.62177914,0.26443294,0.11378784,Pos,0.3573462,modestproposal1
34,2021-06-22 15:58:03,"Shopify Audiences: ""Creates lookalike audiences using aggregated and anonymized data across its merchants to target people on Facebook and Google who might be interested in those products.""  ",0,1,1,2,3,17,0.079210475,0.01204411,0.9087454,Neu,0.067166366,modestproposal1
35,2021-06-22 02:08:03,"Maybe this commonplace, but new to me. Buzzfeed is buying twitter ads for a review page with affiliate links to Prime Day deals. Would love to see the flow of funds from Amazon to buzzfeed and buzzfeed to twitter.   🐢🐢🐢  ",0,1,1,4,2,44,0.054357797,0.013867835,0.9317744,Neu,0.040489964,modestproposal1
36,2021-06-21 20:57:04,"this is very funny. also, google pantry would be a great name for their eventual entry into metasearch for last mile grocery delivery.  ",0,1,1,1,2,34,0.21747775,0.0089298785,0.77359235,Neu,0.20854788,modestproposal1
37,2021-06-09 23:23:03,"From  on a Microsoft offsite in 1994:  ""Bill improvised the term “mania” to describe the internet and emphasized a core company value, which was that exponential phenomena cannot be ignored. The internet was exponential.""     ",1,0,1,6,9,60,0.057858687,0.03707277,0.9050686,Neu,0.020785917,modestproposal1
38,2021-06-09 21:05:00," That is of course glib and they likely will make changes over time, but the reason they and Google appear not to gaf quite often is because they don’t have to",0,1,1,0,0,2,0.04204318,0.07399947,0.88395727,Neu,-0.031956293,modestproposal1
40,2021-06-03 15:10:02,"""These categories make up ~65% of the remaining offline core US consumer expenditure and will drive ~40% of forward US e-commerce growth. If AMZN wants to maintain/grow its share of e-commerce, it will likely need to win this spend.""  ",0,1,1,3,2,15,0.86911327,0.007835454,0.123051375,Pos,0.8612778,modestproposal1
48,2021-05-12 20:49:04," excuse me sir, BLL trades at a 3.5 turn premium to FB and a turn to GOOG on 22 nums and inline with AMZN on 23 nums so you and your sector can take those fancy multiples to a growth conference. Sohn is for value.  $STUDY",0,1,1,2,0,12,0.08632221,0.016980633,0.89669716,Neu,0.06934158,modestproposal1
55,2021-04-28 21:39:03," FB ""leaked"" Instas 2019 revenues of $20B+ after Google broke out YouTube. From there you can use previous disclosures to do some math to determine approximate trajectory. This is rough estimate, before this most recent Q raised estimates across the board.   ",1,1,1,1,3,33,0.041278973,0.029052125,0.9296689,Neu,0.012226848,modestproposal1
60,2021-04-22 12:31:01,"This thread begins with Apple and here we are again  “Apple will expand its advertising business, according to two people familiar with its plans, just as it brings in new privacy rules for iPhones that are likely to cripple the ads offered by its rivals”   ",1,1,1,2,2,26,0.41019756,0.031022983,0.5587794,Neu,0.37917456,modestproposal1
64,2021-04-15 16:46:03,Apple has always struck me as the canonical company that shapes customer desires and almost forces their will upon the world. And I think it is why it is most revered by tech and product people.   ,1,1,1,3,2,16,0.078629486,0.02021525,0.90115523,Neu,0.058414236,modestproposal1
65,2021-04-12 21:10:00," I think that's right. Attacking AMZN in traditional fulfillment is extremely difficult, so attack them from different angle, with different product set and different customer desire being met.   Q is can AMZN afford to lose the battle in grocery + rapid?    ",1,1,1,2,2,11,0.08884978,0.08875671,0.82239354,Neu,9.307265e-05,modestproposal1
68,2021-04-06 20:46:00,gonna try this again.   is there something like google trends but for keywords within tweets?   can you track how often certain words appear on twitter over time?,0,1,1,7,2,22,0.026573231,0.046358254,0.9270685,Neu,-0.019785022,modestproposal1
77,2021-03-18 22:19:00,"""On Thursday, Apple fired pre-emptive warnings to at least two Chinese apps, telling them to cease and desist after naming a dozen parameters such as “setDeviceName” that could be used “to create a unique identifier for the user’s device”.  ",1,1,1,1,3,15,0.024071699,0.71519476,0.2607335,Neg,-0.69112307,modestproposal1
91,2021-02-21 16:52:02, Love this. Can describe the risk cycle as:  Tip toe —&gt; FOMO —&gt; YOLO —&gt; Oh no,0,0,1,4,25,170,0.04323911,0.025943032,0.9308179,Neu,0.017296078,modestproposal1
93,2021-02-19 18:52:02, they should rebrand FB Watch as Facebook+. that's worth like 6 turns i hear.,0,1,1,0,0,20,0.110887274,0.011698283,0.8774144,Neu,0.09918899,modestproposal1
95,2021-02-18 13:34:03,"from today's    ""The first problem with the law is that, as I have repeatedly noted, it gets the flow of value exactly backwards. News orgs need Google and Facebook, not the other way around""  ",1,1,1,1,10,60,0.066075966,0.3003752,0.6335488,Neu,-0.23429923,modestproposal1
96,2021-02-18 01:32:01,"""You don’t have to ask the hypothetical “what would happen if Google and Facebook had less market power- would they pay for links?” You can just look at, well, every other site on the internet.""  ",1,1,1,1,2,28,0.033102293,0.030930685,0.935967,Neu,0.0021716077,modestproposal1
104,2021-02-09 19:18:01,"Have spent time thinking about and discussing the professionalization of supply on marketplaces, and how it seems an inevitability.   Can see capital really starting to pour into professionalizing Third Party sellers on Amazon now.      ",1,1,1,7,13,109,0.21047704,0.016733939,0.77278906,Neu,0.1937431,modestproposal1
105,2021-02-06 19:29:05,"“It may feel unfair to force Apple to loosen the controls that led it to such unprecedented success and adoption. Yet problems arising from Apple’s controls are becoming larger every day, as is the company’s unprecedented strength.”  ",1,1,1,1,1,13,0.49537727,0.29687586,0.2077468,Pos,0.19850141,modestproposal1
110,2021-02-05 02:10:02,"FB's earnings call:   ""this is a platform-wide change... it will impact everyone and... that's going to mitigate it to some extent.. over time, we hope to help businesses by providing more on-site conversion opportunities through initiatives like shops and click to messaging ads""  ",0,1,1,4,3,18,0.85635215,0.009844251,0.13380356,Pos,0.8465079,modestproposal1
114,2021-02-05 01:44:00,"This is a very good interview. You may agree in principle with notions of greater privacy, but it's interesting to try and understand what Apple is doing, how self serving it appears to be, and what the ramifications are beyond a pissing match with Facebook.",0,1,1,7,33,207,0.055270836,0.044783853,0.8999453,Neu,0.010486983,modestproposal1
123,2020-12-22 21:24:05," My prior is the FTC case is very weak, but this seems like a meaningful offer from FB, which would indicate a different threat assessment from them. So was seeing if I was misreading the value of licensing the graph.",1,1,1,2,0,4,0.11183556,0.12812,0.7600445,Neu,-0.016284443,modestproposal1
124,2020-12-22 20:57:01,"Is anyone else surprised by this potential offer from FB to the FTC or am I reading too much into this?   ""One of the ideas Facebook floated would have allowed another firm or developer to license access to its powerful code — and its users’ intricate web of relationships""  ",1,1,1,5,2,31,0.09665832,0.013415152,0.88992655,Neu,0.08324317,modestproposal1
125,2020-12-22 14:27:01,I can't even imagine how much money apple is gonna make on the dongles and cords for iCar. Like they'll definitely change the charging plug with every new model year. Incredible upside.,0,1,1,14,31,404,0.37081206,0.017476093,0.61171186,Neu,0.35333598,modestproposal1
126,2020-12-22 12:49:03,"a Google presentation said if the company couldn’t “avoid competing with” Facebook, it would collaborate to “build a moat.”  Just a couple friends working together to build a moat   🏰  ",1,1,1,3,1,32,0.050641563,0.026661586,0.9226968,Neu,0.023979977,modestproposal1
131,2020-12-15 15:57:02,"from today's   ""Twitter’s incompetence didn’t simply make Facebook’s advertising business look more dominant than it should have; it led all of us — including the FTC — to miss the point that friends and family was Social Networking 1.0""  ",1,1,1,2,2,67,0.10625002,0.53714573,0.35660425,Neg,-0.43089572,modestproposal1
137,2020-11-05 16:06:00,DOJ suing Visa seems like an interesting data point going forward for any large *cough* competitively advantaged *cough* company looking to make acquisitions that can be interpreted as defensive in nature,1,1,1,3,4,65,0.69212466,0.018047739,0.28982762,Pos,0.6740769,modestproposal1
141,2020-10-28 12:25:00,"Peter Thiel famously said being long MSFT (🧐) and ORCL was being short innovation.   Can make the case that today being short travel & leisure and long WFH is likewise short innovation. Either you believe science figures this out, or you believe in the zombie apocalypse.",1,1,1,12,20,193,0.03186826,0.047479335,0.9206524,Neu,-0.015611075,modestproposal1
145,2020-10-21 16:58:05,"It's just interesting to me that like the FCC quantified the cost of building a nationwide fiber network in 2010 at $300B, but no one has said ""it would cost $X to surpass Google"" cause no one knows how they would even go about doing that.",1,1,1,7,3,29,0.05375869,0.019099088,0.92714214,Neu,0.0346596,modestproposal1
149,2020-10-15 19:53:05,"Twitter could build a more powerful LinkedIn for networking, Google for specialized search, endless possibilities.   Thx for the responses everyone!",0,0,1,2,0,36,0.08109372,0.012591102,0.9063152,Neu,0.06850262,modestproposal1
151,2020-10-07 01:34:03,"After the report spends 10 pages on the internal details of how Facebook tracks usage of every app anywhere in the world that might draw attention away from them, Google is like ""haha, what?""",0,1,1,1,2,69,0.02639289,0.19701406,0.7765931,Neu,-0.17062117,modestproposal1
152,2020-10-07 01:31:02,"You might be a monopoly if:  In response to the Committee’s written request for market share data, combined with several follow-ups from Subcommittee staff, Google stated the company “doesn’t maintain information in the normal course of business about market share in its products",1,0,1,3,36,305,0.030693574,0.50571054,0.46359593,Neg,-0.47501698,modestproposal1
154,2020-09-22 19:00:05,"  the normal Amazon response of ""we're just doing what's best for consumers"" doesn't quite work here, but not sure going full snark would've been my backup plan",1,1,1,3,0,25,0.047277726,0.13178554,0.8209368,Neu,-0.084507816,modestproposal1
155,2020-09-21 16:47:01," ""McElfresh defended DirecTV acquisition because the cash flows from the deal helped AT&T invest in fiber""   helped?? it was a condition of the consent decree. like, they could've just chosen to without buying a satellite tv biz. they know we have google right?",1,1,1,2,0,3,0.054476626,0.044959873,0.90056354,Neu,0.009516753,modestproposal1
159,2020-09-02 02:55:01,"My favorite example of an extreme speculation – the most advanced stock in 1999, a very high hurdle.) “Rather, I will keep dancing with RCA or GE in 1929, Coca Cola and Avon in 1972, and Cisco and Microsoft in 1999.”",0,1,1,2,1,23,0.068297766,0.02391383,0.90778834,Neu,0.044383936,modestproposal1
167,2020-08-06 15:45:00,"""Xbox Game Pass is not on iOS because Apple is being anticompetitive, period. There are no technical or safety reasons, Apple is simply blocking a streaming service because they can""",0,1,1,1,4,19,0.020112302,0.5479614,0.43192622,Neg,-0.52784914,modestproposal1
168,2020-08-05 22:50:01," ""Yes, every cloud provider can run containers that you hurl their way. This is the promise that Kubernetes (an open source project out of Google that’s named after the Greek god of spending money on cloud services) has brought to life.""  ",1,1,1,0,0,26,0.29527506,0.010677854,0.69404703,Neu,0.28459722,modestproposal1
169,2020-08-04 19:57:04,"Ben Thompson on the hearings. TL,DR:  ""I think that Google is in trouble... seems clear that if and when an antitrust case is brought, it will have few defenders. That is a particularly big problem because the antitrust case against the company is by far the most straightforward""",1,1,1,3,10,49,0.02878681,0.80200964,0.16920356,Neg,-0.7732228,modestproposal1
170,2020-08-01 20:31:02,"It might be better to compete against Microsoft than ByteDance, but it’s not like Microsoft doesn’t have AI talent or access to capital. And if they’re spending $30B or whatever, presumably they’re gonna put some resources behind it.",0,1,1,6,2,28,0.13734704,0.040441275,0.8222117,Neu,0.09690577,modestproposal1
171,2020-08-01 20:29:01,Worlds second largest company becoming direct competitor as a win shows how much perception of Microsoft has changed in 20 years. There was a time this would be an oh shit moment.,1,1,1,5,4,79,0.09775038,0.044302337,0.8579473,Neu,0.053448044,modestproposal1
172,2020-08-01 18:15:04,Microsoft’s weakness is with startups. Easy solution. Founders can earn Azure credits on TikTok. synergy ClippyDoesTheRenegade,0,1,1,3,1,48,0.064295195,0.020601606,0.9151032,Neu,0.043693587,modestproposal1
173,2020-07-31 17:58:02,"When Facebook says “we’re not a monopoly, there’s lots of competition in the connecting-with-people space, some of our most fearsome competitors include Having Dinner With Friends and Reading Stories to Your Children,” you could interpret that as a threat.  ",1,1,1,2,6,64,0.035479978,0.37197143,0.59254855,Neu,-0.33649147,modestproposal1
174,2020-07-29 20:30:00,"Reupping  :  ""The fact that Apple and Google have more questions than Amazon and Facebook is not an accident: as I detailed in that article they have much more significant antitrust issues.  It will be interesting to see if that fact is recognized by the committee""  ",1,1,1,1,2,28,0.12156754,0.0423406,0.8360918,Neu,0.07922694,modestproposal1
176,2020-07-29 00:36:03,"""The fact that Apple and Google have more questions than Amazon and Facebook is not an accident: as I detailed in that article they have much more significant antitrust issues. It will be interesting to see if that fact is recognized by the committee""",1,1,1,0,1,18,0.12020753,0.026636029,0.85315645,Neu,0.09357151,modestproposal1
177,2020-07-23 14:58:04,It would be more interesting if Google tried subsidizing consumers to use Buy on Google than cutting seller fees to zero. Changing user behavior is a lot harder than getting sellers to access another demand pool.,1,1,1,2,2,48,0.0655344,0.07554444,0.8589212,Neu,-0.010010041,modestproposal1
179,2020-07-15 21:08:01,"Of course, the original premise of Amazon was to be lowest cost and most customer centric. So if you can do both, you too can build a $1.5T company.   But I was more interested in can you attack established commoditized industries with customer service as the differentiator.",1,0,1,4,1,20,0.083777875,0.013879752,0.9023424,Neu,0.06989812,modestproposal1
180,2020-07-14 18:38:05,Another way to think about this is that Peter Thiel once famously said that being long Microsoft (and Oracle) was being short innovation.   You could say that being long growth stocks right now is akin to being short science and long stagnation.,1,1,1,10,8,130,0.031259537,0.1673141,0.80142635,Neu,-0.13605456,modestproposal1
181,2020-07-10 14:06:02," yes, tiktok is big and growing fast. and there might be signal value in google trends for newer products. but in general i still think it's a noisy data source.  ",0,1,1,1,0,5,0.042529155,0.60183996,0.35563082,Neg,-0.5593108,modestproposal1
184,2020-07-08 15:14:00,"People eagerly RT'ing the existential crisis in L/S HF article. I will reiterate my estimate that on a $ weighted basis, the industry is likely outperforming the S&P 500 by the most in any year post GFC. Ignore HFRI.",0,1,1,7,1,48,0.47896245,0.45455763,0.06647985,Pos,0.024404824,modestproposal1
185,2020-06-30 18:29:00,"It seems unlikely current antitrust law will find consumer harm from Google Search behavior, but I thought this paper made an interesting case for how consumers are being harmed by Google actions to prevent vertical search from usurping it, which is/was a major risk to their biz.  ",1,1,1,0,2,14,0.09281419,0.3294208,0.57776505,Neu,-0.23660661,modestproposal1
186,2020-06-30 18:25:03,"this is an interesting point:  ""Because rivals in specialized search could buy themselves back to the top of the page with high-priced ads, it cannot be the case that the Google’s motivation was designed to protect consumers from low quality.""  ",1,1,1,1,1,13,0.07459442,0.05085772,0.87454784,Neu,0.023736704,modestproposal1
187,2020-06-30 18:24:03,"""If Google had instead competed with these businesses on the merits, consumers would have benefited from more innovation and quality generated by that competition. Instead, Google reduced the scale of its rivals through denying them customers and delivering that scale to itself""  ",1,1,1,1,2,12,0.17597382,0.18540716,0.638619,Neu,-0.009433344,modestproposal1
189,2020-06-30 18:19:00,"""The change in quality that follows foreclosure also protects Google from antitrust investigations. Google can assert to the authority that the foreclosed rival was not foreclosed, but rather had poor quality...""  ",1,1,1,2,0,6,0.06768155,0.5391236,0.3931948,Neg,-0.47144204,modestproposal1
190,2020-06-30 18:17:03,"""By steering users to its own site, Google can weaken rivals because lack of scale and data lowers the quality of their products. By contrast, the additional customers and scale strengthen the Google product and raises its quality.""  ",0,1,1,2,2,11,0.26383758,0.58783406,0.14832836,Neg,-0.32399648,modestproposal1
201,2020-06-23 21:09:03,"  I think defining who/what Twitter is is critical, and my sense is they've accepted FB like userbase is no longer the goal. If that's the case, it follows that FB like ad biz shouldn't be the only path forward on monetization. But yes, big cultural change required.",1,1,1,0,0,2,0.069239706,0.02335981,0.9074005,Neu,0.045879897,modestproposal1
205,2020-06-18 15:45:03,"""I would go so far as to say that executives in the tech industry are more afraid of Apple in 2020 than they were of Microsoft two decades ago.""",1,1,1,4,4,29,0.052214652,0.29372543,0.65405995,Neu,-0.24151078,modestproposal1
211,2020-06-09 16:51:02,The funny thing is my sense is L/S HF's probably having best relative performance year in a long time. Would guess on $ weighted basis beating SPX by 500bps or more with fairly low net exposures. But everyone wants to laugh at the short book because yolo airlines.,0,1,1,2,3,27,0.3547644,0.15008396,0.4951516,Neu,0.20468044,modestproposal1
214,2020-06-02 17:02:01,"""Amazon will offer a new family care benefit through   to 650,000 full and part-time Amazon and Whole Foods Market employees in the U.S.""   ",0,0,1,1,4,55,0.75674736,0.008036891,0.2352157,Pos,0.74871045,modestproposal1
216,2020-05-28 13:48:02,Twitter should pull the plug for a week or two. He’s mad he can’t hold his rallies. Wait till he can only yell at the AOL address crowd on Facebook.,1,0,1,8,10,198,0.019614799,0.45619833,0.5241869,Neu,-0.43658355,modestproposal1
218,2020-05-27 18:57:00,Come for the very thoughtful discussion about the economics of bundling (spoiler alert: bundles are usually good) but stay for the incredible anecdote about pitching Google leadership on bidding for Direct Ticket.   “Why can’t we just start our own sport” 😂😂😂,0,1,1,3,3,56,0.060148213,0.016354095,0.9234977,Neu,0.043794118,modestproposal1
223,2020-05-20 02:42:01," Reminded of a  from 2016 called The Facebook of ecommerce 🤔  “So, someone needs to do the demand generation - to tell you there's something you might want”   ",1,1,1,1,0,3,0.053821314,0.019532686,0.92664593,Neu,0.03428863,modestproposal1
224,2020-05-20 02:35:01, Amazon is for buying.  You go there when you know what you need. You rarely go there just to browse.   FB/Insta if they succeed will be about shopping. Reintroducing discovery and serendipity to the experience online. Very different.,0,1,1,3,1,31,0.053182863,0.020969346,0.9258478,Neu,0.032213517,modestproposal1
232,2020-05-04 16:03:03," Sure if we start with Google and work our way down, it's an interesting conversation to have. But its a total rethink of the entire digital world, which you may be in favor of. Under current constructs, food delivery apps are no more nefarious than any other consumer marketplace.",0,1,1,2,0,3,0.045631617,0.08507523,0.8692932,Neu,-0.039443612,modestproposal1
234,2020-05-01 02:59:03,"at current trend, Apple will buy the last share in 2028",0,0,1,24,30,324,0.033387706,0.016349327,0.95026296,Neu,0.017038379,modestproposal1
235,2020-04-28 21:33:00,"Using DB's matrix, the exit rate for Google ad biz was probably down low 20s percent. That's with YouTube outperforming though. So his estimate of Search was probably pretty close. Would still seem to imply Google Search was shrinking 20%+ by end of March.  ",1,1,1,4,9,66,0.018114204,0.9519724,0.02991331,Neg,-0.9338582,modestproposal1
237,2020-04-26 16:16:05,"The conundrum is 2021 EPS will almost certainly be lower than 2019. But MSFT, AMZN, and AAPL earnings will be higher. As the first two in particular become greater % of SPX earnings they will likely pull the multiple higher.",0,1,1,2,4,83,0.54512984,0.40438142,0.05048879,Pos,0.14074841,modestproposal1
238,2020-04-24 00:11:01,"The pro Google argument is Sundar/Ruth are in control and managing costs tighter. They are an absolute monopoly so need to play offense or defense, clients will be back when biz recovers. The counter is things aren't great? I don't know what to think.  ",0,1,1,9,0,22,0.050570514,0.38349664,0.56593287,Neu,-0.33292612,modestproposal1
244,2020-04-15 23:15:04,Interesting phrasing:   “We believe now is the time to significantly slow down the pace of hiring... we can ensure Google emerges from this year at a more appropriate size and scale than we would otherwise”  ,0,1,1,7,11,81,0.8171112,0.04454583,0.13834299,Pos,0.77256536,modestproposal1
247,2020-04-11 19:30:02,"Opportunists have been harvesting retweets with a picture of Best week for the Dow juxtaposed with 16M job losses.   NDR published a study Thursday: “High Unemployment Claims Have Been Bullish for Stocks”.   It may be counterintuitive, but it’s consistent with market history.  ",1,1,1,16,28,152,0.02533889,0.95368624,0.020974966,Neg,-0.92834735,modestproposal1
251,2020-04-04 01:01:00,"Buffett was on CNBC in Feb 2017, shortly after disclosing the Apple and airlines position.   “It’s been a disaster for capital” “It’s a very tough business” “It can be brutal” “We‘ll see how it turns out”     ",1,1,1,2,10,59,0.022456432,0.7968698,0.18067373,Neg,-0.7744134,modestproposal1
252,2020-04-02 23:02:04,More details of the Apple-Amazon arrangement.   I can understand why both Apple and Amazon think this deal makes sense in a vacuum.   I cannot understand how Apple thinks this makes sense given the intense regulatory scrutiny of app store rules.    ,1,1,1,1,5,19,0.06490865,0.044500563,0.8905908,Neu,0.02040809,modestproposal1
253,2020-04-01 23:05:00,"   Given your background, will take your word for it. I wonder if even slightly opening the door makes it harder for Apple to defend its approach, including forcing you through the iOS payment rails. Feels like Pandora’s Box is being pried open, tho always easy to overreact.",1,1,1,1,0,2,0.047418628,0.30753428,0.6450471,Neu,-0.26011565,modestproposal1
255,2020-04-01 02:40:01,MTCH just said they will outperform Google search and Visa by double digit percentage growth rates in Q2 and people acting like dating is the challenged biz maslow,1,1,1,4,7,155,0.6394102,0.026694303,0.3338955,Pos,0.6127159,modestproposal1
257,2020-03-31 18:42:05,"""are we going to retest the lows"" is really asking ""are people going to sell MSFT and AMZN"" so might make sense to rephrase the question",0,1,1,16,18,205,0.04716667,0.051985443,0.90084785,Neu,-0.004818771,modestproposal1
259,2020-03-31 03:04:05,Google search is likely the greatest business of all time.   Morgan Stanley now estimates Google ad revenue will decline by 26% in Q2.   2020 is a hell of a drug.  ,0,1,1,12,79,471,0.00797885,0.9717258,0.02029535,Neg,-0.96374696,modestproposal1
267,2020-03-11 15:38:03,"Don't @ me with but the S&P is just back to last August or whatever dumb shit. I have a Bloomberg, I can see. What I'm saying is for the median stock, so basically excluding mega tech, the current price action is nearly analogous to that period.",0,1,1,5,0,53,0.046730213,0.057172038,0.8960978,Neu,-0.010441825,modestproposal1
271,2020-03-09 23:01:04,"YELP antitrust testimony:  ""You can't look at Standard Oil without looking at oil; you cannot investigate Google without looking at search.""  ""Like Microsoft before it, Google is attacking vertical rivals to preserve its primary monopoly.""   ",0,1,1,1,12,52,0.039464705,0.33731118,0.62322414,Neu,-0.29784647,modestproposal1
