,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
11,2021-07-29 21:56:00,Amazon $AMZN should just announce a stock split to pare back it’s losses  ,0,1,1,1,1,21,0.0829264,0.020818006,0.89625555,Neu,0.062108394,newsquawk
19,2021-07-28 12:13:05,Would love to see his $SPX price model,0,0,1,1,0,12,0.10536819,0.011169501,0.8834623,Neu,0.09419869,newsquawk
28,2021-07-21 13:36:05,"Netflix: subscription losses could prompt M&A plans  ""Rivals Disney and Amazon are building impressive television and film content libraries. Netflix should consider buying its own studio.""   ",0,1,1,0,1,5,0.018100562,0.93705434,0.04484511,Neg,-0.9189538,newsquawk
99,2021-02-11 20:13:00,S&P cuts Exxon Mobil (XOM) to AA- from AA; outlook revised to negative from credit watch negative  Any more of this and Exxon should qualify for FTSE inclusion,1,1,1,1,3,12,0.14151561,0.8269742,0.031510234,Neg,-0.6854586,newsquawk
110,2021-01-29 17:50:05,"In one weeks' time, will S&P 500 (~3700) be higher or lower?",0,0,1,1,2,2,0.16414733,0.22042166,0.615431,Neu,-0.056274325,newsquawk
123,2021-01-25 11:39:02,Chevron Merck Verizon Intel Coke  Dow Cisco Walgreens  All the companies that will have a smaller weighting than Gamestop when it joins the Dow Jones index,0,1,1,0,5,17,0.046404287,0.027503196,0.9260925,Neu,0.018901091,newsquawk
129,2020-12-22 06:15:00,"- Apple (AAPL) is looking at electric vehicle production as early as 2024 that could have its own novel ""monocell"" battery tech",0,1,1,2,0,3,0.22196504,0.008971375,0.7690636,Neu,0.21299367,newsquawk
132,2020-12-14 19:19:04,CALIFORNIA ATTORNEY GENERAL PETITIONS COURT TO COMPEL   INC AMZN.O TO COMPLY WITH OUTSTANDING INVESTIGATIVE SUBPOENAS  Get this book while you can!  ,0,0,1,0,1,5,0.05529894,0.08232801,0.86237305,Neu,-0.027029067,newsquawk
134,2020-12-08 15:02:00,  I think it may be a funny reference to the amount of cash AMZN has - might be wrong though,0,1,1,1,0,0,0.031903714,0.4946434,0.4734528,Neg,-0.46273968,newsquawk
147,2020-11-17 06:25:05,- Tesla (TSLA) is to join S&P 500 prior to the open on December 21st. The Co. that it will replace will be named at a separate press release prior to the rejig,1,1,1,1,0,1,0.01913837,0.0321226,0.948739,Neu,-0.012984231,newsquawk
161,2020-10-30 05:32:04,US equity futures extend on losses with Emini S&P and DJIA futures now lower by around 1.5%; no immediate news catalysts seen which could be influenced as European participants begin to get to their desks and react to the big-tech disappointment,1,1,1,0,2,7,0.009498445,0.96042806,0.030073432,Neg,-0.95092964,newsquawk
167,2020-10-21 08:34:05,"Google translate really is something: ""we can't have the butter, the money of the butter, and the smile of the dairy woman"" Brexit",0,1,1,7,3,14,0.034622043,0.0923531,0.8730249,Neu,-0.057731055,newsquawk
168,2020-10-20 16:41:02,"Google: ""This isn’t the dial-up 1990s, when changing services was slow and difficult .. Today, you can easily download your choice of apps or change your default settings in a matter of seconds""  $GOOG h/t ",1,1,1,2,0,3,0.03379252,0.031346176,0.93486136,Neu,0.002446346,newsquawk
181,2020-10-06 12:46:05,Bill Gates can sleep well knowing that innovation is still rife at Microsoft,1,1,1,0,1,20,0.2126841,0.0688354,0.71848047,Neu,0.14384869,newsquawk
182,2020-10-04 23:04:05,US equity futures open higher with both Emini S&P and DJIA futures gaining around 0.5% following positive updates regarding US President Trump's condition who may be discharged from hospital on Monday and who had greeted supporters outside,1,1,1,1,7,11,0.933953,0.031100104,0.03494688,Pos,0.9028529,newsquawk
187,2020-09-23 17:38:02,LinkedIn tried to get me to connect to someone who died almost a decade ago. I'd rather trust Zuckerberg with my baby than allowing LinkedIn to see all my Gmail contacts $MSFT $FB,1,1,1,1,0,2,0.032848094,0.032629963,0.9345219,Neu,0.00021813065,newsquawk
188,2020-09-23 15:06:01,"how much will a (sub) Prime subscription cost?  EXCLUSIVE-ECB WORKING ON AMAZON-STYLE PLATFORM TO SELL LOANS SOURED BY CORONAVIRUS CRISIS, ECB OFFICIALS SAY",0,0,1,1,0,15,0.23059794,0.1470068,0.6223953,Neu,0.08359115,newsquawk
193,2020-09-14 06:37:00,ByteDance will reportedly not sell TikTok to $MSFT or $ORCL; CGTV sources,0,0,1,1,1,10,0.024914227,0.02036357,0.95472217,Neu,0.004550658,newsquawk
197,2020-09-08 16:47:05," Sorry, I should have been clear; 'new' iphone means new money going into AAPL accounts; AAPL itself hasn't innovated for donkey's years, so def not 'new' tech :) :) :)",1,1,1,0,0,0,0.08806865,0.015225244,0.89670604,Neu,0.0728434,newsquawk
202,2020-09-08 14:18:04,"I wonder if S&P can use this after giving them the boot $KSS  ""Kohl's introduces new loyalty program nationwide""   ",0,1,1,0,0,0,0.20892484,0.008338641,0.78273654,Neu,0.2005862,newsquawk
204,2020-09-07 14:46:01,JPM: The latest rotation attempt could also prove transitory $SPX $NQ $RTY  ,0,0,1,0,1,7,0.13337922,0.5009095,0.36571127,Neg,-0.3675303,newsquawk
210,2020-09-03 14:32:02," Mate, you won't get a US visa with talk like that",0,0,1,1,0,3,0.06880555,0.07653905,0.85465544,Neu,-0.007733494,newsquawk
229,2020-08-24 07:36:00,POLL: Where will E-mini S&P close? (It's a quiet day😔),0,1,1,3,2,4,0.025564136,0.071184665,0.90325123,Neu,-0.04562053,newsquawk
241,2020-08-19 13:35:05,Fair to say it will be missed by no one $MSFT,1,0,1,5,4,49,0.04970558,0.13247475,0.8178197,Neu,-0.08276917,newsquawk
243,2020-08-18 18:01:03,"Soon $AMZN will turn our attics into fulfilment centres, then we can just deliver to ourselves when we want something - quickest prime delivery ever.",0,1,1,3,1,7,0.0937764,0.010264882,0.8959587,Neu,0.08351152,newsquawk
245,2020-08-18 14:47:05,181 days between the 19th Feb previous all-time high and today's new high. Begs the question: Where will SPX be in another 181 days? Let us know below!,0,0,1,4,1,2,0.03508943,0.045779157,0.9191314,Neu,-0.010689728,newsquawk
262,2020-07-07 10:11:03,$AAPL will for the first time not include a charger in the box for the upcoming new iPhones and iPads this year: Nikkei sources     ,0,0,1,19,16,62,0.036223296,0.023068191,0.94070846,Neu,0.013155105,newsquawk
268,2020-06-29 18:45:02,"The 'XYZ is next to quit $FB advertising' is a little boring already. Looking ahead, who will be the first on that list of companies that have 'paused' ads to resume marketing on the platform. And when. That will tell you more about their 'ethical stance'",1,1,1,4,19,56,0.035071183,0.099396825,0.865532,Neu,-0.064325646,newsquawk
270,2020-06-29 14:56:04,"Soon, Apple's new iPhones will come without the phone $AAPL  ",0,0,1,8,20,81,0.06108007,0.020112194,0.91880774,Neu,0.040967874,newsquawk
275,2020-06-22 19:53:04,"The transition was widely expected/already known. The time frame however was not, and it now appears $AAPL will still have some $INTC chip based Mac's in the pipeline. $INTC spiking",1,1,1,0,3,1,0.10133413,0.010713254,0.88795257,Neu,0.090620875,newsquawk
278,2020-06-18 13:51:02," In the May surveys, analysts reckoned SPX was going to close out 2020 at 2,950 - will be interesting to see the updates at the end of this month. Essentially data has gotten better, is that enough to revise targets upwards?",1,1,1,0,0,1,0.3553367,0.024392603,0.6202707,Neu,0.3309441,newsquawk
290,2020-06-09 17:21:00,"Brace for the 'if your husband bought $AAPL stock in 2000, you'd now be able to divorce him and buy a Lamborghini with half his Apple holdings' type ""analysis""",1,0,1,1,2,26,0.040854286,0.01738901,0.94175667,Neu,0.023465276,newsquawk
298,2020-05-29 13:46:05,More stretch marks (I told the S&P500 that having babies would do this to its skin)…  ,1,1,1,0,1,1,0.06283917,0.07989722,0.85726357,Neu,-0.017058045,newsquawk
301,2020-05-27 14:11:01,"Burrrrn from AlphaVille  ""We’re not sure about the veracity of each other’s claims but you must admit, it beats a 20-minute discussion with a John Doe wealth manager about his S&P 500 price target.""  ",0,1,1,4,2,18,0.07512745,0.034338087,0.8905344,Neu,0.040789366,newsquawk
302,2020-05-27 12:53:03,"""falling volatility and rebounding activity could trigger a ‘buy’ signal, and revive FOMO."" $ES $NQ $SPX $NDX  ",0,1,1,3,4,7,0.8093174,0.06802209,0.122660466,Pos,0.74129534,newsquawk
315,2020-05-01 14:54:04,"Bezos: ""If you’re a shareowner in Amazon, you may want to take a seat, because we’re not thinking small.""  Shareowners:  ",0,1,1,2,2,27,0.02786891,0.046616036,0.925515,Neu,-0.018747127,newsquawk
