,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
4,2021-07-30 12:31:00,"Type “running shoes,” “best laptop” or “camping equipment” into Google from just about anywhere in the world and the top of the screen will show a carousel of ads promoting products to browse and compare. Not in Turkey.  ",0,1,1,0,1,0,0.049815554,0.014662654,0.93552184,Neu,0.0351529,nytimesbusiness
22,2021-07-22 19:29:00,"In a brief email to customers, Amazon said anyone using its products would now have to pursue disputes with the company in federal court, which critics say puts consumers at a huge disadvantage.  ",1,1,1,1,5,8,0.01208434,0.90983593,0.078079686,Neg,-0.89775157,nytimesbusiness
24,2021-07-21 08:08:02,That Jeff Bezos himself was seated in the New Shepard capsule may signal his intent to give Blue Origin the focus and creative entrepreneurship that made Amazon one of the most powerful economic forces on the planet.  ,1,0,1,1,1,6,0.6634638,0.009253968,0.32728228,Pos,0.6542098,nytimesbusiness
38,2021-07-15 01:48:00,". writes that the break up of CrowdTangle, a data analytics tool owned by Facebook, is a result of a battle over data transparency, and how much the social network should reveal about its inner workings.  ",1,1,1,0,1,0,0.014760705,0.77024937,0.21498998,Neg,-0.75548863,nytimesbusiness
40,2021-07-14 19:28:00,"CrowdTangle, a Facebook-owned data tool that reveals user engagement levels with right-wing media, was the cause of a yearlong battle among Facebook executives over data transparency, and how much the social network should reveal about its inner workings.  ",1,1,1,0,3,1,0.01645255,0.840372,0.14317535,Neg,-0.8239195,nytimesbusiness
41,2021-07-14 18:45:03,"Facebook on Wednesday demanded that the new chair of the Federal Trade Commission, Lina Khan, recuse herself from the agency’s lawsuit against the company, saying her prior criticism of the company meant she could not be impartial in the case.  ",1,1,1,1,3,3,0.018829232,0.8256066,0.15556419,Neg,-0.80677736,nytimesbusiness
42,2021-07-14 14:09:00,"CrowdTangle, a Facebook-owned data tool that reveals user engagement levels with right-wing media, was the cause of a yearlong battle among Facebook executives over data transparency, and how much the social network should reveal about its inner workings.  ",1,1,1,2,3,3,0.01645255,0.840372,0.14317535,Neg,-0.8239195,nytimesbusiness
46,2021-07-13 11:27:00,"Will Netflix, Apple TV+ and other streaming services dominate the Emmy nominations?  Here's what you can expect from today's announcement.  ",0,1,1,0,0,2,0.05650205,0.019856164,0.9236418,Neu,0.03664589,nytimesbusiness
47,2021-07-13 02:15:00,"To lure the next generation of viral stars, Facebook started throwing millions of dollars at top influencers so they would use its products,  and  report. It even tweaked its biggest apps to emulate its competitors.  ",1,1,1,0,0,0,0.07548814,0.03653892,0.8879729,Neu,0.03894922,nytimesbusiness
66,2021-07-06 23:44:00,"""Come make your movie at Metro."" Will Michael De Luca and Pamela Abdy's invitation to Hollywood to make original films at MGM still be welcome once the studio is part of Amazon?   ",0,1,1,0,0,1,0.10791473,0.010794087,0.88129115,Neu,0.09712064,nytimesbusiness
67,2021-07-06 16:30:01,"""Come make your movie at Metro."" Will Michael De Luca and Pamela Abdy's invitation to Hollywood to make original films at MGM still be welcome once the studio is part of Amazon?  ",0,1,1,0,2,3,0.10791473,0.010794087,0.88129115,Neu,0.09712064,nytimesbusiness
72,2021-07-04 15:00:00,"When Andy Jassy becomes Amazon's CEO on Monday it will be one of the most closely watched executive handoffs in years. But dozens of executives in Amazon’s upper ranks have already departed in the past 18 months, many after working there for over a decade.  ",1,1,1,0,0,1,0.010899799,0.85888886,0.13021132,Neg,-0.8479891,nytimesbusiness
75,2021-07-02 19:30:01,"When Andy Jassy becomes Amazon's CEO on Monday it will be one of the most closely watched executive handoffs in years. But dozens of executives in Amazon’s upper ranks have already departed in the past 18 months, many after working there for over a decade.  ",1,1,1,0,1,1,0.010899799,0.85888886,0.13021132,Neg,-0.8479891,nytimesbusiness
77,2021-07-01 20:15:00,"Despite making epic mistakes for years, Microsoft didn't die. In On Tech,  explores what we can learn from this about Big Tech today.  ",1,1,1,1,1,1,0.08257579,0.01486564,0.9025586,Neu,0.067710154,nytimesbusiness
80,2021-06-30 09:46:04,"Facebook and the tech platforms might like the judge’s decisions, said Bill Baer, who once led the Justice Department antitrust division, “but they might not like what happens in the Congress.”  ",1,1,1,0,1,1,0.0857622,0.07840328,0.83583456,Neu,0.0073589236,nytimesbusiness
106,2021-06-21 18:15:00,"Amazon Prime Day is scheduled for June 21 and 22, 2021, and there will be more deals than ever this year. Although some of those deals will certainly live up to the hype, it’s advisable to be wary of many advertised discounts and promotions.  ",1,1,1,0,0,0,0.19861023,0.021425767,0.779964,Neu,0.17718446,nytimesbusiness
111,2021-06-20 17:30:01,"Amazon’s turnover was roughly 150% a year, The New York Times learned, meaning the company had to replace the equivalent of its entire hourly work force roughly every eight months. Some executives worry that the company may run out of workers.  ",1,1,1,1,1,10,0.007489866,0.966771,0.02573915,Neg,-0.95928115,nytimesbusiness
112,2021-06-20 08:00:00,"Amazon’s turnover was roughly 150% a year, The New York Times learned, meaning the company had to replace the equivalent of its entire hourly work force roughly every eight months. Some executives worry that the company may run out of workers.  ",1,1,1,0,8,12,0.007489866,0.966771,0.02573915,Neg,-0.95928115,nytimesbusiness
126,2021-06-17 04:00:00,In today's DealBook newsletter: why today's Fed meeting is so important; DraftKings faces a short-seller;  on why high worker turnover may be good -- for Amazon;  on efforts to make U.S. banking more just; and more  ,0,1,1,0,0,1,0.19076774,0.02319451,0.78603774,Neu,0.16757323,nytimesbusiness
132,2021-06-16 14:40:04,In today's DealBook newsletter: why today's Fed meeting is so important; DraftKings faces a short-seller;  on why high worker turnover may be good -- for Amazon;  on efforts to make U.S. banking more just; and more  ,0,1,1,0,0,0,0.19076774,0.02319451,0.78603774,Neu,0.16757323,nytimesbusiness
