,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-24 02:12:03,"U.S. stock market -- a health checkup  S&Ps - New all-time high weekly close $SPX $ES_F NASDAQ -- New all-time weekly close $NQ_F DJIA -- New all-time weekly close $YM_F  The perma-bears may be right eventually, but not this week  ",0,0,1,33,59,448,0.19472638,0.035225157,0.7700485,Neu,0.15950122,peterlbrandt
2,2021-05-06 15:55:04,"$BTC was revolutionary technology (transparent, trustworthy, secure and universally accepted store-of-value) Who is to say that $BTC will remain apex predator of fiats forever Might newer tech make $BTC the Yahoo of Google or MySpace of Facebook?",1,1,1,815,273,2630,0.059681535,0.018869016,0.9214495,Neu,0.04081252,peterlbrandt
3,2021-05-02 02:12:04," Honestly, putting a certain percentage of savings into $SPY throughout your life would be a good idea",0,1,1,1,0,12,0.099828884,0.01296971,0.88720137,Neu,0.086859174,peterlbrandt
8,2021-01-31 15:29:01,"     This is the case for coins. But Google a metal smelter, call a few, and ask what they will charge for a 100 ounce ingot.",0,1,1,2,1,13,0.03719817,0.023332873,0.9394689,Neu,0.013865298,peterlbrandt
10,2021-01-19 14:06:02,"   I try to be polite on Twitter -- I blast ideas and concepts, not people. But you really are a first-class idiot & jerk. Google PPP forgivable loans. See who got your tax money. I'm gave an example of how Covid-19 could have been handled to allow you punks to live your lives.",1,1,1,2,0,2,0.03895565,0.09045247,0.8705919,Neu,-0.05149682,peterlbrandt
13,2021-01-13 02:44:03,   You should be able to get contact info on Google. I use TradeNav Gold and CQG Trader.,0,1,1,2,0,3,0.034111544,0.019692333,0.94619614,Neu,0.014419211,peterlbrandt
15,2020-12-22 14:06:03,"Hey Tesla mega-bears, what if $TSLA's stock growth curve is only where $MSFT was in 2018?  This move could just be starting.  This Tweet represents a ""possibility,"" not a prediction.  ",1,1,1,95,85,688,0.03809438,0.051710457,0.9101952,Neu,-0.013616078,peterlbrandt
16,2020-11-19 22:27:05,"To all the naysayers: I get it, TA can provide profitable signals -- I agree But who among you is willing to put your neck in a guillotine if you don't predict ALL of the following: Next $100 in Gold, and Next 1,000 in S&Ps, and Next $100 in $AAPL, and Next S&P company to go bust",0,1,1,25,5,111,0.080757864,0.015676353,0.90356576,Neu,0.06508151,peterlbrandt
17,2020-11-18 12:26:04," A ""sold too soon"" trade will never bankrupt you.  I have personally witnessed a ""no stop"" trade bankrupt people and even major companies. Google ""Cook Industries."" This was a grain company caught on the wrong side of an old crop/new crop Soybean trade.",1,1,1,2,3,38,0.021636928,0.7395264,0.23883675,Neg,-0.7178895,peterlbrandt
25,2020-09-18 21:18:03,Apple $AAPL filled the worm hole at 106.37.  Will the wormhole at 96.25 be covered as well -- that would be a 30% decline from the high?  A retest of the Feb 2020 high would be a 40% decline.  What do you think?  ,1,1,1,113,65,417,0.09418759,0.3050954,0.60071707,Neu,-0.21090782,peterlbrandt
30,2020-08-24 13:24:04,"New ATH in S&P futures  It must be a bear market  Hey bears, troll away  $ES_F  ",0,0,1,43,39,340,0.02835963,0.85960776,0.11203251,Neg,-0.8312481,peterlbrandt
36,2020-07-26 01:50:04,"  Woke. If a person bought Gold on January 1, 1975, when Comex began trading, the investment today would have returned 5.2% annualized vs S&P 8.6% annualized, 11.7% with dividends reinvested. Just saying. Though I like owning Gold as a hedge vs USD.",1,1,1,17,6,90,0.14579211,0.023259515,0.83094835,Neu,0.1225326,peterlbrandt
38,2020-07-08 21:20:03,"If I was a university professor and taught a class on the futures market, this would be my textbook. I would even ask   to be a guest lecturer  This is my Amazon affiliate page  ",1,1,1,12,47,295,0.03781817,0.021355245,0.94082654,Neu,0.016462926,peterlbrandt
