,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-30 21:52:00,  What an asinine statement. Figures CNBC shills would let Saylor get away with it. With the benefit of hindsight any speculative investment can be justified. But you can't justify borrowing to gamble on Bitcoin because a similar wager if made to buy Facebook would have paid off.,1,1,1,64,3,47,0.09169057,0.10924646,0.79906297,Neu,-0.017555892,peterschiff
2,2021-07-19 15:34:04,"President  wants Facebook to purge fake news from its platfrom. It can start by eliminating all the fake news on the President's Facebook page. For example, on his July 9th post Biden claimed that his policies are strengthening the middle class. The opposite is true.",1,1,1,122,431,3037,0.096942276,0.15917026,0.7438875,Neu,-0.06222798,peterschiff
3,2021-07-05 16:21:03," I read that online and assumed that it was some kind of technicality. But I think the internet was wrong. However I can't find a link to when Italy officially outlawed slavery.  Do you have one? Just google ""when did Italy end slavery."" You will see what I mean.",1,1,1,3,0,4,0.030187517,0.07385039,0.89596206,Neu,-0.043662876,peterschiff
8,2021-05-14 01:16:01,"   We may have under performed the S&P during that period, but not our benchmarks.  However give it a bit more time and I think we will outperform the S&P since inception.",1,1,1,13,1,22,0.9143986,0.019083092,0.06651826,Pos,0.8953155,peterschiff
9,2021-05-05 02:55:02,"Americans should be stocking up on nonperishable consumer goods. Foods, cleansers, toiletries, medicines, batteries, etc. as all prices will be at least 10%-20% higher next year.  Since there's no chance prices will be lower, it's a no-brainer that will likely beat the S&P 500.",0,1,1,316,503,3119,0.8215666,0.017912224,0.16052122,Pos,0.8036544,peterschiff
12,2021-02-07 18:35:01,"Being the first mover gave Bitcoin a head start, but it doesn't guarantee that it wins the race. Bitcoin = Myspace, Dogecoin = Facebook,  _______ = Instagram,  ______ = ______.  Nothing will ever equal gold!",1,1,1,860,161,1301,0.06375409,0.03472575,0.90152013,Neu,0.029028337,peterschiff
13,2021-01-12 13:38:03,It's amazing that  main on-screen quote bug toggles between the Dow Jones and Bitcoin. According to CNBC these are the two most important prices relevant to their viewers. This is one reason why CNBC should be completely irrelevent to investors.,0,1,1,254,55,678,0.045684185,0.064037345,0.89027846,Neu,-0.01835316,peterschiff
14,2021-01-12 13:30:04,"    Not bragging. Just being honest. But if you count the last two decades anyone following my investment advice would have substantially outperformed the S&P, despite the under performance during the more recent decade. I'm investing abroad, so the direction of the dollar is key.",1,1,1,2,0,1,0.33453098,0.024401406,0.6410676,Neu,0.31012958,peterschiff
15,2021-01-12 13:20:05,"   Now in the second decade we underperformed the S&P, but we did not lose money. We just made less. But I'm confident that underperformance will be more than made up over the next few years, as a weak dollar and rising commodity prices benefit foreign stocks and emerging markets.",1,1,1,4,0,2,0.8457977,0.033915993,0.120286316,Pos,0.8118817,peterschiff
18,2020-12-22 21:09:00," THE GDX is up over 18% this year, and the GDXJ is up 24%. That beats the S&P 500. I agree the returns could have been better, and I think they will be better next year. Most investors are still getting it wrong. I think that's why these stocks are still so under valued.",1,1,1,4,0,7,0.7225103,0.14056143,0.13692822,Pos,0.5819489,peterschiff
21,2020-11-24 17:37:00,"How is it that  is now bragging about and taking credit for the Dow Jones hitting $30,000, when he said that if  was elected that the stock market would crash the likes of which we have never seen before? It's the Fed, not Trump that inflated this bubble.",1,1,1,445,211,2461,0.036044333,0.26837635,0.6955793,Neu,-0.23233202,peterschiff
22,2020-11-21 14:28:01,  Might piss off the government.  The same reason Facebook didn't want to back Libra with gold.  Something like that might actually bring down the entire fiat based monetary system.,1,1,1,56,4,117,0.01857835,0.8385639,0.14285769,Neg,-0.81998557,peterschiff
23,2020-11-18 11:44:01, Also if Google searches were hitting new highs you would be arguing how bullish this is for Bitcoin as it proves that more people are adopting it.  Wider adoption is key to Bitcoin's potential success.,1,1,1,2,0,6,0.77741176,0.00876915,0.2138191,Pos,0.7686426,peterschiff
24,2020-09-16 17:18:05,"Apple's announcement that it will no long include power adapters with the AppleWatch is another example of how price increases aren't fully captured by the CPI. Instead of raising prices, Apple can just keep the price the same and make customers pay extra to buy a power adapter.",1,1,1,106,270,1695,0.06802018,0.049017973,0.8829618,Neu,0.019002207,peterschiff
27,2020-08-02 15:45:03,"How is TikTok knowing the fashion or music preferences of teenage girls, or which teenage girls teenage boys think are hot, a national security threat? What will the Chinese do with this information other than sell it to American advertiser just like  or  do?",0,1,1,141,57,518,0.026987052,0.100699626,0.8723133,Neu,-0.07371257,peterschiff
29,2020-07-09 21:23:05,"  Maybe, but then gold may also hit $66K at around the same time. So, in real terms a $66K Dow Jones will actually be worth less in the future than a $25K Dow is today.",0,1,1,1,0,7,0.09024539,0.09665246,0.8131021,Neu,-0.0064070746,peterschiff
31,2020-06-30 19:57:03,"The Dow Jones bottom at about 7.5 ounces of gold in 2009, having fallen from a record high of just over 40 ounces of gold in 2000. The Dow is now worth just under 14.5 ounces of gold. There's a good chance that over the next 2 years 100% of the Dow's gains in gold will be lost.",1,1,1,25,31,270,0.019419648,0.9274634,0.053116977,Neg,-0.90804374,peterschiff
33,2020-06-30 02:30:03," Every post by everyone on Facebook would be considered a facebook publication, as they now admit that they have editorial control over what gets published.  They can no loner hide behind providing an open public forum.",1,1,1,3,3,28,0.030661793,0.034669872,0.9346683,Neu,-0.004008079,peterschiff
35,2020-06-30 00:16:00,"Google is a private company, and as the owner of YouTube it can ban  for whatever reason it wants. But management should at least be honest about their reasons. Fortunately, you can still listen to Stefan at  ",1,1,1,57,58,468,0.033820603,0.051044945,0.91513443,Neu,-0.017224342,peterschiff
37,2020-06-05 01:24:01,"   Time to end the Fed's monopoly on money printing and price fixing interest rates. If we had a real economy, based on savings and production, instead of a bubble based on credit conjured into existence, Amazon wouldn't be nearly as large, as it would have to generate real profits.",1,0,1,35,121,915,0.10860522,0.016373051,0.87502176,Neu,0.09223217,peterschiff
39,2020-05-26 14:16:00,"April Chicago Fed National Activity Index crashed to a record-low minus 16.74, down from a downwardly revised minus 4.97 in Mar., and well below the minus 3.5 that had been expected. But Dow futures are up 600 points. Who needs a real economy when the Fed can inflate a fake one?",1,1,1,29,55,263,0.014149147,0.9575888,0.028262079,Neg,-0.94343966,peterschiff
40,2020-05-15 16:57:04, Because the dollar may lose more value than the S&P. When you short stocks you are fighting the Fed. When you buy gold you are trading with the Fed.,0,1,1,9,3,71,0.030127868,0.45505673,0.51481545,Neu,-0.42492884,peterschiff
41,2020-05-15 16:39:03,"Many investors are buying Amazon and Netflix, as the winners in the current crisis. But the biggest winners few investors are buying are gold stocks. The surge in government spending and unprecedented inflation the Fed is creating to finance it, will send gold prices soaring.",0,1,1,175,176,1140,0.14705493,0.21976885,0.6331762,Neu,-0.07271393,peterschiff
42,2020-05-05 15:54:01,"  There is nothing to fall for with gold. It's beaten the S&P over the past 20 years, and will likely continue doing so for many years to come. Gold is the real deal. Bitcoin is a cheap imitation. Buffett should own some.",1,1,1,6,1,7,0.14641783,0.013115201,0.84046704,Neu,0.13330263,peterschiff
43,2020-04-27 14:08:02,"    Plus my accounts are up over 10 years, just not nearly as much as the S&P. Let's see what happens after 12 years (though I think I'm already ahead over 20). I may beat the S&P over that time period. It's also common curtesy to attribute an analogy to the person who created it.",1,1,1,1,0,1,0.18554801,0.019757617,0.79469436,Neu,0.1657904,peterschiff
44,2020-04-27 13:50:05,"    Gundlach has been managing bonds in a historic bond bull market which is now a huge bubble. I've been managing foreign equities in a 10-year dollar bull market, which has suppressed U.S. dollar prices of foreign stocks. The S&P is not my benchmark, though I will ultimate beat it.",1,1,1,2,0,2,0.1232769,0.08065262,0.7960705,Neu,0.04262428,peterschiff
45,2020-04-26 18:58:02,"  For most of the past 10 years I said the S&P would go up because of the Fed. On Bitcoin, I also said the price would go up early on, but I did not buy I knew it was a bubble that would pop. I was right about that too.",1,0,1,3,0,1,0.24938694,0.055864107,0.69474894,Neu,0.19352283,peterschiff
46,2020-04-26 13:08:00,"No matter how high my podcast actually ranks in any iTunes category or subcategory, it's set to rank at exactly 201. That way it just misses any list of top 200 podcasts. So, anyone browsing popular show will not know about mine. Someone at Apple doesn't want people to listen!",1,1,1,88,43,552,0.031802483,0.18550555,0.782692,Neu,-0.15370306,peterschiff
50,2020-04-15 15:32:01,Does anyone really expect this bear market to end with Netflix and Amazon making new record highs? It seems to me that a real nominal bottom won't be made until these leaders are also shot!,1,1,1,68,65,576,0.09350952,0.3769969,0.5294936,Neu,-0.28348738,peterschiff
51,2020-04-13 13:15:05,"If the CPI starts rising at 5% per year will the Fed raise rates and sell bonds, or just keep printing? If we have 10% inflation for 5 years the DOW needs to rise to 48k to get back to its Feb. high adjusted for inflation. If it falls to 15k instead, the real loss will be 69%.",1,1,1,37,56,368,0.14742774,0.14742236,0.7051499,Neu,5.379319e-06,peterschiff
