,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2021-07-18 14:32:03,"Would  ever accuse President Xi Jinping of ""looking for scapegoats""",0,1,1,42,65,644,0.038005304,0.6170853,0.34490937,Neg,-0.57908,profgalloway
8,2021-06-15 22:03:02,Tesla will shed $25-200 billion the minute Tim Cook unveils an Apple car  Yesterday's ProfGPod $TSLA $AAPL  ,0,1,1,61,28,266,0.038427033,0.62566125,0.33591178,Neg,-0.5872342,profgalloway
14,2021-06-04 21:19:00,It's finally ... 2012 Facebook will soon end a policy that exempts politicians from being subject to the same fact-checking and content moderation that regular users face   ,0,1,1,8,20,191,0.03656993,0.22776507,0.735665,Neu,-0.19119513,profgalloway
17,2021-05-25 02:19:04,"On the concentration of venture capital investments in CA, MA & NYC; why it can be worth it to lose money in the housing market; eBay in the Amazon era, and why the world needs young Americans to participate in public service  today’s officehours ep   ",0,1,1,8,5,67,0.05523647,0.01937618,0.9253874,Neu,0.035860293,profgalloway
23,2021-05-11 20:18:02,"Great book —  it’s rare that someone can tell a first-person account of the earliest Dylan concerts, the civil rights movement, JFK’s assassination, MLK’s rallies, the Beatles’ first arrival in America   Jonathan is also the author of ""Move Fast & Break Things"" about Facebook",1,1,1,3,7,43,0.03459584,0.04837502,0.9170291,Neu,-0.013779182,profgalloway
24,2021-05-10 19:56:00,Today's officehours ProfGPod:  Disney should acquire AMC $DIS $AMC  The cannabis industry  Apple's own social media network?   ,0,0,1,9,4,36,0.041696742,0.0162129,0.94209033,Neu,0.025483843,profgalloway
29,2021-05-06 16:39:03,"On Facebook's non-decision — the question is should we have business models that purposely link profits to the enragement, division & polarization of our society  w/  &      ",0,1,1,11,9,66,0.0293578,0.102767356,0.8678748,Neu,-0.07340956,profgalloway
34,2021-04-27 19:48:00,"64% of people who joined an extremist group on FB did so only because its algorithm recommended it. If companies like FB push us to view certain posts or join certain groups, should they bear no responsibility if doing so leads to real-world violence?   💯  ",1,1,1,47,175,865,0.039993465,0.31309837,0.64690816,Neu,-0.2731049,profgalloway
35,2021-04-26 19:50:01," thx Jason, you can find someone better (than me).  I'm comfortable discussing the algebra of deterrence, but don't have domain expertise re if/what line(s) has been crossed.    The email from  feels benign to me, an FB exec calling it as she sees it.",1,1,1,1,0,5,0.07794674,0.029130643,0.89292264,Neu,0.048816092,profgalloway
40,2021-04-14 15:22:02,". or . will acquire  handset division, make inexpensive appliance to stream content.  Gangster move would be  acquiring.    Hopefully not   Discuss...",0,1,1,98,15,388,0.0846863,0.009679533,0.9056342,Neu,0.07500677,profgalloway
