,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2021-07-21 11:34:05,"From   Apple is sitting on $38 billion in cash and cash equivalents; include bonds, and it's $195 billion in cash. $195 billion is a lot of money.  How many companies in the S&P 500 could $AAPL buy with all that cash?   460.   ",0,1,1,6,11,96,0.04726786,0.018151222,0.934581,Neu,0.02911664,ritholtz
14,2021-06-20 12:09:01,"Of course, we should always question authority and keep them honest.  But do not conflate this with those who blindly believe what's in their Facebook feed, mostly engage in confirmation bias + refuse to follow basic principles of logic, reason, and science.",0,1,1,8,6,112,0.031183101,0.3058754,0.66294146,Neu,-0.2746923,ritholtz
23,2021-06-11 13:56:03," Absolutely. And perhaps to a fault (e.g., $FB)   Ask a 20-something which they would give up first: their iPhone or significant other.",0,1,1,0,0,2,0.036461256,0.02780764,0.9357312,Neu,0.0086536165,ritholtz
38,2021-05-21 14:23:00,"""Few outsiders think new stores, no matter how well-conceived, will get Apple back on the hot-growth path . . . Maybe it's time Steve Jobs stopped thinking quite so differently.""   -May 21, 2001   ",1,1,1,2,8,18,0.051831707,0.03873716,0.9094311,Neu,0.013094548,ritholtz
42,2021-05-14 21:57:01,"Goddamn,  kills this one. If $AAPL is going to fire Antonio Garcia-Martinez for what he wrote in his book, then $AAPL must fire Dr. Dre for his lyrics as well.    ",1,1,1,7,13,81,0.03253136,0.67367166,0.29379693,Neg,-0.6411403,ritholtz
47,2021-05-11 18:00:05," If it argued compounding is a miracle & we eventually would see Dow 100,000, that would be different.  Instead, its authors made claim fair value for the Dow in ‘99 = 36,000.  It’s premise was unsound, failed to understand fundamentals, risk mgmt, expected returns or valuation",1,1,1,0,0,1,0.026323425,0.35611778,0.61755884,Neu,-0.32979435,ritholtz
50,2021-05-11 15:27:00,"“What is there to stop Microsoft from putting out their own version of this idea, integrating it into DOS or Windows, or giving it away for free?”    I would write this 2011 discussion of $MSFT differently today but the broad strokes are ~right.   ",1,1,1,7,2,6,0.035054527,0.084868215,0.8800773,Neu,-0.049813688,ritholtz
54,2021-05-06 23:55:00,"""An outlier — a lone, longtime rule breaker who was coddled and protected on social media platforms until he wandered into seditious territory. He’s an unrepentant gamer of Facebook’s badly enforced rules who will never change"" via     ",1,1,1,0,4,30,0.025955128,0.5321841,0.4418607,Neg,-0.506229,ritholtz
55,2021-05-06 23:06:03," Never search while still logged into Facebook   And its not a bad idea to strip out most of your personal info that data thieves could use DOB, Address etc",1,1,1,0,0,2,0.020959383,0.14106193,0.83797866,Neu,-0.12010255,ritholtz
59,2021-04-30 03:18:00, But can the S&P500 blow the wind through your hair?,0,0,1,2,0,3,0.042573642,0.038906053,0.9185203,Neu,0.0036675893,ritholtz
