,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
6,2021-07-21 00:07:03,"Apple is a Large Company  ""Apple isn’t hoarding cash because they’re preparing for the apocalypse. They literally cannot distribute it fast enough to their shareholders.""     by   ",0,1,1,2,1,16,0.026645243,0.30735096,0.66600376,Neu,-0.28070572,ritholtzwealth
7,2021-07-20 22:00:00,"We Are All Investors Now  ""I believe that the future of retail investing will be one of mass customization. We will look back on an era when everyone owned the S&P 500 in its exact proportions as archaic and backward.""     by   ",1,1,1,0,2,5,0.029970784,0.066518046,0.90351117,Neu,-0.036547262,ritholtzwealth
16,2021-06-30 21:15:00,"Wednesday Links: Long-Term Bullish  Today's market-related links include: the case against thematic funds, why the Fed should stop buying mortgages and Amazon's CEO transition.      by   ",0,1,1,0,0,1,0.033667937,0.049299683,0.9170324,Neu,-0.015631747,ritholtzwealth
50,2021-04-28 23:00:04,"Apple is on Fire  ""It’s really, really hard to look at what’s going on with Apple and Google and Facebook and be bearish. Maybe this is as good as it gets, but would you really bet on that?""     by   ",1,1,1,0,1,4,0.054682583,0.16321538,0.782102,Neu,-0.1085328,ritholtzwealth
71,2021-03-26 14:00:01,"FROM THE GOLDMINE  You can listen to ""Non-Compete"" by  Then follow The Goldmine on Apple Podcasts, or your favorite app, to get regular insights from your favorite financial writers.     ",0,0,1,1,1,2,0.03794191,0.021202901,0.94085515,Neu,0.016739009,ritholtzwealth
87,2021-03-11 14:00:02,"FROM THE GOLDMINE  Check out ""They Will Flood the Market With Collectibles"" by  And follow The Goldmine on Apple Podcasts, or your favorite app, to get regular insights like these from your favorite financial writers.     ",0,0,1,0,0,3,0.04669447,0.020213345,0.9330922,Neu,0.026481124,ritholtzwealth
98,2021-02-17 01:00:03,"How to Value Equities in a Post-Pandemic Economic Boom  ""You can argue that pegging a startup’s valuation to some multiple of Apple or Amazon doesn’t make a ton of sense, but that seems to be what investors are doing.""     by   ",0,1,1,0,0,4,0.044726856,0.034668088,0.920605,Neu,0.010058768,ritholtzwealth
104,2021-02-09 12:01:00,"Today in market history, 1966:  The Dow Jones Industryial Average crosses 1,000 for the first time ever. It won't do it again until November 1972.  chart:    ",0,1,1,0,0,6,0.04065302,0.037798636,0.92154837,Neu,0.0028543845,ritholtzwealth
106,2021-02-06 14:00:03,"Will Robinhood Become the Facebook of Finance?  ""Allow me to make the case that Robinhood is becoming the Facebook of finance and then stick around for some thoughts on how they can avoid this fate.""     by   ",0,1,1,1,1,4,0.0379386,0.027761582,0.9342998,Neu,0.010177016,ritholtzwealth
108,2021-02-04 12:00:03,"Today in market history, 2004:   Facebook (FB), a mainstream online social networking site, is founded by Mark Zuckerberg. The company would go public on May 18, 2012.   chart:    ",1,1,1,0,2,3,0.024388013,0.023099089,0.9525129,Neu,0.0012889244,ritholtzwealth
120,2021-01-14 12:00:00,"Today in market history, 2000:   The Dow Jones hits its all-time high of 11,750. It will fall by 38.7% as the tech bubble bursts.  chart:    ",0,1,1,2,4,12,0.007366124,0.9484585,0.044175442,Neg,-0.9410924,ritholtzwealth
128,2020-12-22 12:00:02,"Today in market history, 2016:  Traders obsess over the elusive 20,000 milestone for the Dow, which slips away once again. Stocks would hit 24,000 just one year later. So much fuss for no reason.  chart:    ",0,1,1,0,0,2,0.031268768,0.6828297,0.28590158,Neg,-0.6515609,ritholtzwealth
129,2020-12-20 12:00:00,"Today in market history, 1996:   Apple Computer announced a merger with NeXT which would lead to the development of the groundbreaking Mac OS X and bring Steve Jobs back into the fold.  image:    ",1,1,1,0,1,5,0.13961206,0.011479617,0.8489083,Neu,0.12813245,ritholtzwealth
132,2020-12-18 14:00:05,"THE COMPOUND SHOW  This week on 'The Compound Show,' Josh talks with  about his '20 rules for retirement investing' and  about his Dow 35,000 call for 2021 and how vaccines will affect the economy and much more.     by   ",0,1,1,2,1,24,0.04228312,0.02856248,0.92915434,Neu,0.013720641,ritholtzwealth
138,2020-12-10 12:00:00,"Today in market history, 1945:   The Dow closed the day at 195.64. This was the highest close since the Dow's Depression-era peak on March 5, 1937. The Dow would not go on to a new all-time high until November 23, 1954.  chart:    ",1,0,1,1,1,3,0.07504585,0.06811661,0.8568376,Neu,0.0069292337,ritholtzwealth
140,2020-12-05 20:45:00,"This Week on TRB  ""Did you get your copy yet? Another ten thousand have been printed will be headed to Amazon’s fulfillment center shortly, so hang on, I promise they’re coming!""     by   ",1,1,1,0,1,2,0.063954026,0.031078517,0.9049675,Neu,0.032875508,ritholtzwealth
141,2020-12-05 12:00:00,"Today in market history, 1996:   Fed Chairman Alan Greenspan gave the so-called ""irrational exuberance"" speech at the Institute for Public Policy Research. At the time the Dow stood at 6437.1 and would top out at 11,722.98 on January 14, 2000.  image:    ",1,0,1,0,4,11,0.026297027,0.057285078,0.9164179,Neu,-0.03098805,ritholtzwealth
143,2020-12-02 11:00:00,"The Biggest S&P 500 Addition Ever  ""The sixth biggest company in the United States is being added to the S&P 500. We might never see anything like this again in our lifetimes.""     by   ",1,1,1,2,2,19,0.05652867,0.03002313,0.9134482,Neu,0.02650554,ritholtzwealth
148,2020-11-20 21:15:00,"Friday links: a history of Bitcoin using charts, another spike in lumber prices and a look at how Tesla will change the makeup of the S&P 500.     by   ",0,1,1,0,0,3,0.064938255,0.019142268,0.9159195,Neu,0.045795985,ritholtzwealth
151,2020-11-19 12:00:02,"Today in market history, 1973:   The Dow Jones Industrial Average closed down 28.67 points or 3.2% amidst a brutal month of November amidst the 1973-74 bear market. November 1973 would see the Dow drop 13.3%.  image:    ",1,0,1,0,0,1,0.006878935,0.9697445,0.023376549,Neg,-0.9628656,ritholtzwealth
154,2020-11-18 01:00:01,"Should Index Fund Investors Care About Tesla Getting Added to the S&P 500?  ""If you hold a total stock market index fund it doesn’t matter when the S&P 500 adds or replaces certain stocks.""     by   ",0,1,1,0,1,24,0.030166375,0.06716724,0.9026664,Neu,-0.037000865,ritholtzwealth
167,2020-10-23 12:01:01,"This day in market history, 2001:   The first Apple iPod launches. It would revolutionize how we listen to music and would help Apple eventually become the world's most valuable company.  image:    ",1,1,1,1,1,12,0.16318262,0.012257259,0.8245601,Neu,0.15092535,ritholtzwealth
172,2020-10-15 13:00:02,"10 Thursday AM Reads  Barry's work-from-home reads include: five myths about the suburbs, Netflix's quick trigger on shows and why Facebook can't fix itself.     by   ",0,1,1,0,0,7,0.028044377,0.0711906,0.90076494,Neu,-0.043146227,ritholtzwealth
173,2020-10-15 00:00:00,"Chart of the Day  ""Profits don’t matter right now. I understand this line of thinking and I don’t have a problem with it, but everyone can’t be the next Amazon.""     by   ",0,1,1,0,0,3,0.041369777,0.13277853,0.8258517,Neu,-0.091408744,ritholtzwealth
174,2020-10-11 12:00:02,"Today in market history, 2007:   The S&P 500 reaches an intra-day high of 1,576.09, which would become the peak of the market before the Great Recession. Stocks would fall more than 50% over the next 12 months.  chart:    ",0,1,1,0,0,6,0.007584857,0.9620569,0.030358175,Neg,-0.954472,ritholtzwealth
185,2020-09-19 14:30:00,"Saturday links: the Apple Watch as a health monitor, avoiding battles you can't win and the revival of golf in pandemic.      by   ",0,1,1,0,1,1,0.05187747,0.020628864,0.9274937,Neu,0.031248605,ritholtzwealth
191,2020-09-14 00:30:00,"The Whole Story  ""So yes, the Nasdaq 100 has now done significantly better than the S&P 500 over the last few years. But this time, it absolutely should have.""     by   ",1,1,1,1,0,5,0.84691274,0.019667827,0.13341948,Pos,0.82724494,ritholtzwealth
194,2020-09-04 20:01:00,"OUTSIDE VOICES  ""How long can companies like Apple, Microsoft and Amazon stay on top? The slow decline of Exxon and the shocking drop in leading tech stocks show that corporate lifecycles are, in fact, circular."" -       ",0,1,1,0,0,3,0.03308615,0.8817096,0.08520426,Neg,-0.8486234,ritholtzwealth
199,2020-08-31 20:00:01,"Warren Buffett’s Japan Bet, Warren Buffett’s Gold Bet, etc  ""One thing you will not find throughout the annals of Berkshire Hathaway’s history is a lot of “thematic” investing. Buffett doesn’t do “themes.”     by   ",1,1,1,0,0,3,0.028327348,0.040921386,0.93075126,Neu,-0.012594039,ritholtzwealth
207,2020-08-26 01:30:00,"Generational Buying Opportunity  ""Stocks have gained 55% since the March lows, meaning it would take a 35% decline from here to revisit those levels. Will investors ever get another chance to swing the bat at Dow 18k?""     by   ",1,1,1,1,2,10,0.8071145,0.07803458,0.11485093,Pos,0.7290799,ritholtzwealth
218,2020-08-10 12:00:03,"Today in market history, 2015:    Google incorporates a new holding company called Alphabet. Modeled after Berkshire Hathaway, it will allow for each unit to be run by its own CEO. Voting power will be concentrated among its founders.  chart:    ",1,1,1,0,0,5,0.036583953,0.012773567,0.95064247,Neu,0.023810387,ritholtzwealth
222,2020-08-06 21:15:00,"Thursday links: the busiest year ever for SPACs, why TikTok would be a headache for Microsoft and the bear market in khaki pants.     by   ",0,0,1,0,0,6,0.034056205,0.3123372,0.6536066,Neu,-0.27828097,ritholtzwealth
223,2020-08-06 13:00:02,"10 Thursday AM Reads  Barry's work-from-home reads include: an increasingly concentrated stock market, the Microsoft-TikTok story explained and asking if killing cookies can save journalism.     by   ",1,1,1,0,0,5,0.038823776,0.039109826,0.9220664,Neu,-0.00028605014,ritholtzwealth
233,2020-07-24 12:00:05,"Today in market history, 2002:   The Dow Jones Industrial Average closed at 8,191.29, up 488.95 points or 6.35%. The Dow had fallen 11 of 12 of the prior trading sessions. The market wouldn't bottom until October.  chart:    ",1,0,1,1,1,3,0.041886553,0.868632,0.089481495,Neg,-0.82674545,ritholtzwealth
234,2020-07-23 21:15:00,"Thursday links: how Apple sells experiences, why SPACs are having their moment in the sun and how the pandemic will (or won't) change consumer habits.     by   ",0,1,1,0,0,2,0.03023894,0.038081586,0.9316795,Neu,-0.007842647,ritholtzwealth
237,2020-07-20 17:00:00,"How the S&P 500 Uncoupled From Your Local Economy  ""Stock prices and real-life economic growth may trend in the same direction or they may stray from each other for long stretches of time.""     by   ",1,0,1,0,3,9,0.031910427,0.06515786,0.90293175,Neu,-0.033247434,ritholtzwealth
238,2020-07-20 12:00:01,"Today in market history, 2004:   Microsoft announces it will make a one-time dividend payment of $32 billion and buy back up to $30 billion of stock over the next four years.   chart:    ",0,1,1,0,0,4,0.081194416,0.013279055,0.9055266,Neu,0.06791536,ritholtzwealth
239,2020-07-19 12:00:01,"Today in market history, 2007:   The Dow Jones Industrial Average closes above 14,000 for the first time ever closing at 14,000.41. The Dow would peak three months later on October 9th and would not exceed those highs until 2013.  chart:    ",0,1,1,0,1,4,0.071983434,0.04565434,0.88236225,Neu,0.026329093,ritholtzwealth
241,2020-07-16 12:00:00,"Today in market history, 1997:  The Dow Jones Industrial Average closed above the 8,000 level for the first time in history finishing the day at 8,038.88. The Dow would eventually peak at 11,722.98 in January 2000.  chart:    ",1,1,1,0,0,6,0.07188236,0.05804006,0.8700776,Neu,0.0138423,ritholtzwealth
242,2020-07-08 12:00:00,"Today in market history, 1932:  The Dow Jones Industrial Average fell to its lowest point during the Great Depression.  The Dow bottomed in 1932 at 41.22, after losing 90%. The stock market wouldn't reach new all-time highs until November 1954.  chart:    ",1,1,1,0,2,9,0.010268278,0.926348,0.06338379,Neg,-0.9160797,ritholtzwealth
257,2020-06-25 00:00:01,"Will the Dollar Crash?  ""People are worried that the Dollar is going to crash. On Google they’re searching for it at a higher rate than they have over the last 5 years.""     by   ",0,1,1,1,0,8,0.06994898,0.715448,0.21460299,Neg,-0.64549905,ritholtzwealth
264,2020-06-15 12:00:04,"Today in market history, 2006:   Microsoft Corp. Chairman Bill Gates said he would transition from day-to-day responsibilities at the company to concentrate on the charitable work of the Bill and Melinda Gates Foundation.  chart:    ",1,0,1,1,0,6,0.05117735,0.016571518,0.9322511,Neu,0.03460583,ritholtzwealth
269,2020-06-07 12:00:01,"Today in market history, 2000:  A federal judge ordered Microsoft to be broken into two smaller companies to prevent it from violating state and federal antitrust laws in the future. Microsoft would settle with the Justice Department in 2001.  image:    ",1,1,1,0,2,10,0.02006526,0.3839709,0.59596384,Neu,-0.36390564,ritholtzwealth
270,2020-06-04 12:00:01,"Today in market history, 1968:   The S&P 500 closes above 100 for the first time ever. The stock market would peak in late 1968 that led to a significant bear market that didn't end until June 1970.  chart:    ",1,0,1,0,0,5,0.06526711,0.22039913,0.7143337,Neu,-0.15513203,ritholtzwealth
292,2020-04-22 14:00:00,"Returning Cash to Shareholders is often Better than the Alternative  ""Few companies outside of Berkshire Hathaway have a base of investors that would tolerate giant piles of cash sitting idly around.""     by   ",0,1,1,1,0,8,0.07643961,0.026619785,0.8969406,Neu,0.049819827,ritholtzwealth
300,2020-04-01 16:00:00,"Will the Economy Go Back to “Normal”  ""So, will things go back to “normal” by the end of the year? I think we can get close, but with some huge caveats by industry and segment. Live Nation will not recover as fast as Apple does.""     by   ",0,1,1,0,2,8,0.30150947,0.03447747,0.6640131,Neu,0.267032,ritholtzwealth
302,2020-03-29 12:00:02,"Today in market history, 1999:   The Dow Jones Industrial Average crosses 10,000 for the first time ever. The Dow wouldn't peak until January 14, 2000 at 11,722.98.  chart:    ",0,1,1,0,2,3,0.04675391,0.039348844,0.9138973,Neu,0.007405065,ritholtzwealth
306,2020-03-17 01:00:01,"S&P500 Buyers & Sellers  ""I cannot recall ever seeing the exact same asset handled so differently at the same exact time depending upon the ETF issuer — but not the ETF.""     by   ",1,1,1,0,1,3,0.02815576,0.06610863,0.9057356,Neu,-0.03795287,ritholtzwealth
313,2020-03-03 15:00:03,"3 Reasons Why You Should Invest in Bonds  ""When the S&P 500 drops 4% in a day and your portfolio is only down 2.5%, that’s a win.  It’s a small win, but one that can make all the difference psychologically.""     by   ",1,1,1,1,3,14,0.035469342,0.851817,0.11271365,Neg,-0.81634766,ritholtzwealth
316,2020-03-01 12:00:01,"Today in market history, 1957:   S&P expands its stock market index from 90 to 500 stocks. The index would now hold 425 industrial companies, 60 utilities, and 15 railroads.  image:    ",0,1,1,0,1,7,0.061613757,0.018045502,0.9203408,Neu,0.043568254,ritholtzwealth
321,2020-02-26 02:00:01,"5 Companies Make up 18% of the S&P 500. Should Investors Care?  ""Concentration has always been a part of the stock market’s structure. Today is no different than the past in that respect.""     by   ",1,1,1,0,0,5,0.039781038,0.044650488,0.91556853,Neu,-0.00486945,ritholtzwealth
323,2020-02-19 12:00:02,"Today in market history, 2014:   Facebook said it will pay $19 billion in cash and stock to buy WhatsApp, a mobile messaging company founded in 2009. This was the most ever paid for a venture-capital-backed company.  image:    ",1,0,1,0,0,4,0.11104035,0.011931012,0.87702864,Neu,0.09910934,ritholtzwealth
